date,country,networks,market_volume
2021-04-26,UK,Facebook,635854.0
2021-04-27,UK,Facebook,632875.0
2021-04-28,UK,Facebook,638944.0
2021-04-29,UK,Facebook,547216.0
2021-04-30,UK,Facebook,689706.0
2021-05-01,UK,Facebook,869351.0
2021-05-02,UK,Facebook,830211.0
2021-05-03,UK,Facebook,802411.0
2021-05-04,UK,Facebook,686959.0
2021-05-05,UK,Facebook,434076.0
2021-05-06,UK,Facebook,682514.0
2021-05-07,UK,Facebook,643813.0
2021-05-08,UK,Facebook,1099566.0
2021-05-09,UK,Facebook,1110166.0
2021-05-10,UK,Facebook,633728.0
2021-05-11,UK,Facebook,512292.0
2021-05-12,UK,Facebook,529730.0
2021-05-13,UK,Facebook,683778.0
2021-05-14,UK,Facebook,807040.0
2021-05-15,UK,Facebook,1321809.0
2021-05-16,UK,Facebook,1186130.0
2021-05-17,UK,Facebook,805746.0
2021-05-18,UK,Facebook,662223.0
2021-05-19,UK,Facebook,625026.0
2021-05-20,UK,Facebook,661348.0
2021-05-21,UK,Facebook,738984.0
2021-05-22,UK,Facebook,1202914.0
2021-05-23,UK,Facebook,981100.0
2021-05-24,UK,Facebook,675864.0
2021-05-25,UK,Facebook,679813.0
2021-05-26,UK,Facebook,699997.0
2021-05-27,UK,Facebook,643482.0
2021-05-28,UK,Facebook,681056.0
2021-05-29,UK,Facebook,1031430.0
2021-05-30,UK,Facebook,867421.0
2021-05-31,UK,Facebook,927009.0
2021-06-01,UK,Facebook,878528.0
2021-06-02,UK,Facebook,779547.0
2021-06-03,UK,Facebook,737033.0
2021-06-04,UK,Facebook,793792.0
2021-06-05,UK,Facebook,860441.0
2021-06-06,UK,Facebook,689337.0
2021-06-07,UK,Facebook,591435.0
2021-06-08,UK,Facebook,424558.0
2021-06-09,UK,Facebook,402054.0
2021-06-10,UK,Facebook,403604.0
2021-06-11,UK,Facebook,584942.0
2021-06-12,UK,Facebook,647550.0
2021-06-13,UK,Facebook,800762.0
2021-06-14,UK,Facebook,532585.0
2021-06-15,UK,Facebook,480792.0
2021-06-16,UK,Facebook,454156.0
2021-06-17,UK,Facebook,512999.0
2021-06-18,UK,Facebook,646274.0
2021-06-19,UK,Facebook,850391.0
2021-06-20,UK,Facebook,981231.0
2021-06-21,UK,Facebook,491895.0
2021-06-22,UK,Facebook,428948.0
2021-06-23,UK,Facebook,428180.0
2021-06-24,UK,Facebook,551042.0
2021-06-25,UK,Facebook,701146.0
2021-06-26,UK,Facebook,773200.0
2021-06-27,UK,Facebook,732550.0
2021-06-28,UK,Facebook,529417.0
2021-06-29,UK,Facebook,447301.0
2021-06-30,UK,Facebook,472520.0
2021-07-01,UK,Facebook,458455.0
2021-07-02,UK,Facebook,738828.0
2021-07-03,UK,Facebook,752601.0
2021-07-04,UK,Facebook,860320.0
2021-07-05,UK,Facebook,631549.0
2021-07-06,UK,Facebook,511631.0
2021-07-07,UK,Facebook,518764.0
2021-07-08,UK,Facebook,502569.0
2021-07-09,UK,Facebook,572537.0
2021-07-10,UK,Facebook,783863.0
2021-07-11,UK,Facebook,896070.0
2021-07-12,UK,Facebook,708467.0
2021-07-13,UK,Facebook,651614.0
2021-07-14,UK,Facebook,548487.0
2021-07-15,UK,Facebook,535270.0
2021-07-16,UK,Facebook,469404.0
2021-07-17,UK,Facebook,682385.0
2021-07-18,UK,Facebook,680130.0
2021-07-19,UK,Facebook,558314.0
2021-07-20,UK,Facebook,623653.0
2021-07-21,UK,Facebook,801855.0
2021-07-22,UK,Facebook,761237.0
2021-07-23,UK,Facebook,885968.0
2021-07-24,UK,Facebook,702815.0
2021-07-25,UK,Facebook,914253.0
2021-07-26,UK,Facebook,699380.0
2021-07-27,UK,Facebook,637048.0
2021-07-28,UK,Facebook,606822.0
2021-07-29,UK,Facebook,708612.0
2021-07-30,UK,Facebook,692650.0
2021-07-31,UK,Facebook,749704.0
2021-08-01,UK,Facebook,745079.0
2021-08-02,UK,Facebook,615073.0
2021-08-03,UK,Facebook,532466.0
2021-08-04,UK,Facebook,572143.0
2021-08-05,UK,Facebook,587532.0
2021-08-06,UK,Facebook,509099.0
2021-08-07,UK,Facebook,617908.0
2021-08-08,UK,Facebook,622266.0
2021-08-09,UK,Facebook,646296.0
2021-08-10,UK,Facebook,477593.0
2021-08-11,UK,Facebook,547903.0
2021-08-12,UK,Facebook,497919.0
2021-08-13,UK,Facebook,628295.0
2021-08-14,UK,Facebook,918616.0
2021-08-15,UK,Facebook,803419.0
2021-08-16,UK,Facebook,649785.0
2021-08-17,UK,Facebook,489048.0
2021-08-18,UK,Facebook,888794.0
2021-08-19,UK,Facebook,705697.0
2021-08-20,UK,Facebook,756096.0
2021-08-21,UK,Facebook,556712.0
2021-08-22,UK,Facebook,785524.0
2021-08-23,UK,Facebook,502753.0
2021-08-24,UK,Facebook,508457.0
2021-08-25,UK,Facebook,721065.0
2021-08-26,UK,Facebook,1127389.0
2021-08-27,UK,Facebook,811994.0
2021-08-28,UK,Facebook,740349.0
2021-08-29,UK,Facebook,917153.0
2021-08-30,UK,Facebook,1030465.0
2021-08-31,UK,Facebook,885572.0
2021-09-01,UK,Facebook,778378.0
2021-09-02,UK,Facebook,562831.0
2021-09-03,UK,Facebook,704875.0
2021-09-04,UK,Facebook,756400.0
2021-09-05,UK,Facebook,755320.0
2021-09-06,UK,Facebook,431199.0
2021-09-07,UK,Facebook,338823.0
2021-09-08,UK,Facebook,433435.0
2021-09-09,UK,Facebook,598942.0
2021-09-10,UK,Facebook,580764.0
2021-09-11,UK,Facebook,741371.0
2021-09-12,UK,Facebook,1794586.0
2021-09-13,UK,Facebook,597451.0
2021-09-14,UK,Facebook,473103.0
2021-09-15,UK,Facebook,513846.0
2021-09-16,UK,Facebook,562825.0
2021-09-17,UK,Facebook,921095.0
2021-09-18,UK,Facebook,774791.0
2021-09-19,UK,Facebook,986440.0
2021-09-20,UK,Facebook,415621.0
2021-09-21,UK,Facebook,448149.0
2021-09-22,UK,Facebook,586920.0
2021-09-23,UK,Facebook,393907.0
2021-09-24,UK,Facebook,461938.0
2021-09-25,UK,Facebook,751966.0
2021-09-26,UK,Facebook,2339637.0
2021-09-27,UK,Facebook,318029.0
2021-09-28,UK,Facebook,576868.0
2021-09-29,UK,Facebook,529530.0
2021-09-30,UK,Facebook,666223.0
2021-10-01,UK,Facebook,434212.0
2021-10-02,UK,Facebook,773496.0
2021-10-03,UK,Facebook,857061.0
2021-10-04,UK,Facebook,485210.0
2021-10-05,UK,Facebook,2476885.0
2021-10-06,UK,Facebook,482023.0
2021-10-07,UK,Facebook,996226.0
2021-10-08,UK,Facebook,878281.0
2021-10-09,UK,Facebook,912596.0
2021-10-10,UK,Facebook,754342.0
2021-10-11,UK,Facebook,282930.0
2021-10-12,UK,Facebook,435017.0
2021-10-13,UK,Facebook,304419.0
2021-10-14,UK,Facebook,284979.0
2021-10-15,UK,Facebook,310709.0
2021-10-16,UK,Facebook,541476.0
2021-10-17,UK,Facebook,732985.0
2021-10-18,UK,Facebook,414645.0
2021-10-19,UK,Facebook,989546.0
2021-10-20,UK,Facebook,704863.0
2021-10-21,UK,Facebook,335229.0
2021-10-22,UK,Facebook,555525.0
2021-10-23,UK,Facebook,558381.0
2021-10-24,UK,Facebook,1003018.0
2021-10-25,UK,Facebook,726364.0
2021-10-26,UK,Facebook,419817.0
2021-10-27,UK,Facebook,703632.0
2021-10-28,UK,Facebook,511070.0
2021-10-29,UK,Facebook,473005.0
2021-10-30,UK,Facebook,501025.0
2021-10-31,UK,Facebook,525362.0
2021-11-01,UK,Facebook,220372.0
2021-11-02,UK,Facebook,247854.0
2021-11-03,UK,Facebook,399680.0
2021-11-04,UK,Facebook,703708.0
2021-11-05,UK,Facebook,1395415.0
2021-11-06,UK,Facebook,432492.0
2021-11-07,UK,Facebook,1049871.0
2021-11-08,UK,Facebook,216774.0
2021-11-09,UK,Facebook,264633.0
2021-11-10,UK,Facebook,297189.0
2021-11-11,UK,Facebook,295608.0
2021-11-12,UK,Facebook,273825.0
2021-11-13,UK,Facebook,229154.0
2021-11-14,UK,Facebook,312526.0
2021-11-15,UK,Facebook,433969.0
2021-11-16,UK,Facebook,188581.0
2021-11-17,UK,Facebook,339394.0
2021-11-18,UK,Facebook,205110.0
2021-11-19,UK,Facebook,468454.0
2021-11-20,UK,Facebook,383310.0
2021-11-21,UK,Facebook,505529.0
2021-11-22,UK,Facebook,296742.0
2021-11-23,UK,Facebook,385613.0
2021-11-24,UK,Facebook,333637.0
2021-11-25,UK,Facebook,359462.0
2021-11-26,UK,Facebook,851328.0
2021-11-27,UK,Facebook,675926.0
2021-11-28,UK,Facebook,1192142.0
2021-11-29,UK,Facebook,1118008.0
2021-11-30,UK,Facebook,273736.0
2021-12-01,UK,Facebook,528962.0
2021-12-02,UK,Facebook,404969.0
2021-12-03,UK,Facebook,298613.0
2021-12-04,UK,Facebook,394809.0
2021-12-05,UK,Facebook,768277.0
2021-12-06,UK,Facebook,360050.0
2021-12-07,UK,Facebook,405616.0
2021-12-08,UK,Facebook,698298.0
2021-12-09,UK,Facebook,958073.0
2021-12-10,UK,Facebook,1121842.0
2021-12-11,UK,Facebook,795927.0
