date,country,network,market_volume
2021-05-03,UK,Unity,510051.0
2021-05-04,UK,Unity,302582.0
2021-05-05,UK,Unity,260726.0
2021-05-06,UK,Unity,315280.0
2021-05-07,UK,Unity,377330.0
2021-05-08,UK,Unity,524272.0
2021-05-09,UK,Unity,546617.0
2021-05-10,UK,Unity,343598.0
2021-05-11,UK,Unity,223227.0
2021-05-12,UK,Unity,281803.0
2021-05-13,UK,Unity,329770.0
2021-05-14,UK,Unity,323785.0
2021-05-15,UK,Unity,588974.0
2021-05-16,UK,Unity,627360.0
2021-05-17,UK,Unity,321819.0
2021-05-18,UK,Unity,322017.0
2021-05-19,UK,Unity,280023.0
2021-05-20,UK,Unity,372689.0
2021-05-21,UK,Unity,404965.0
2021-05-22,UK,Unity,565086.0
2021-05-23,UK,Unity,594541.0
2021-05-24,UK,Unity,286575.0
2021-05-25,UK,Unity,295936.0
2021-05-26,UK,Unity,381093.0
2021-05-27,UK,Unity,317141.0
2021-05-28,UK,Unity,337609.0
2021-05-29,UK,Unity,449428.0
2021-05-30,UK,Unity,461381.0
2021-05-31,UK,Unity,423809.0
2021-06-01,UK,Unity,396025.0
2021-06-02,UK,Unity,447605.0
2021-06-03,UK,Unity,463415.0
2021-06-04,UK,Unity,576654.0
2021-06-05,UK,Unity,548281.0
2021-06-06,UK,Unity,577397.0
2021-06-07,UK,Unity,365774.0
2021-06-08,UK,Unity,271596.0
2021-06-09,UK,Unity,287699.0
2021-06-10,UK,Unity,325397.0
2021-06-11,UK,Unity,363230.0
2021-06-12,UK,Unity,466797.0
2021-06-13,UK,Unity,519164.0
2021-06-14,UK,Unity,327915.0
2021-06-15,UK,Unity,292793.0
2021-06-16,UK,Unity,293933.0
2021-06-17,UK,Unity,281019.0
2021-06-18,UK,Unity,346415.0
2021-06-19,UK,Unity,480763.0
2021-06-20,UK,Unity,596350.0
2021-06-21,UK,Unity,307659.0
2021-06-22,UK,Unity,276711.0
2021-06-23,UK,Unity,239712.0
2021-06-24,UK,Unity,286925.0
2021-06-25,UK,Unity,342298.0
2021-06-26,UK,Unity,477002.0
2021-06-27,UK,Unity,618470.0
2021-06-28,UK,Unity,367489.0
2021-06-29,UK,Unity,282682.0
2021-06-30,UK,Unity,268423.0
2021-07-01,UK,Unity,324228.0
2021-07-02,UK,Unity,317273.0
2021-07-03,UK,Unity,482009.0
2021-07-04,UK,Unity,559138.0
2021-07-05,UK,Unity,325346.0
2021-07-06,UK,Unity,333548.0
2021-07-07,UK,Unity,320025.0
2021-07-08,UK,Unity,432894.0
2021-07-09,UK,Unity,383241.0
2021-07-10,UK,Unity,665747.0
2021-07-11,UK,Unity,643956.0
2021-07-12,UK,Unity,412645.0
2021-07-13,UK,Unity,421771.0
2021-07-14,UK,Unity,375880.0
2021-07-15,UK,Unity,346148.0
2021-07-16,UK,Unity,407215.0
2021-07-17,UK,Unity,509259.0
2021-07-18,UK,Unity,515142.0
2021-07-19,UK,Unity,432335.0
2021-07-20,UK,Unity,504193.0
2021-07-21,UK,Unity,510717.0
2021-07-22,UK,Unity,439420.0
2021-07-23,UK,Unity,645497.0
2021-07-24,UK,Unity,638436.0
2021-07-25,UK,Unity,615036.0
2021-07-26,UK,Unity,419115.0
2021-07-27,UK,Unity,470414.0
2021-07-28,UK,Unity,337512.0
2021-07-29,UK,Unity,321125.0
2021-07-30,UK,Unity,510452.0
2021-07-31,UK,Unity,398838.0
2021-08-01,UK,Unity,529113.0
2021-08-02,UK,Unity,337214.0
2021-08-03,UK,Unity,314059.0
2021-08-04,UK,Unity,417089.0
2021-08-05,UK,Unity,297992.0
2021-08-06,UK,Unity,348938.0
2021-08-07,UK,Unity,460904.0
2021-08-08,UK,Unity,453058.0
2021-08-09,UK,Unity,449652.0
2021-08-10,UK,Unity,331733.0
2021-08-11,UK,Unity,397698.0
2021-08-12,UK,Unity,369302.0
2021-08-13,UK,Unity,416962.0
2021-08-14,UK,Unity,450616.0
2021-08-15,UK,Unity,383230.0
