date,country,networks,market_volume
2021-04-26,UK,other,269680.0
2021-04-27,UK,other,287831.0
2021-04-28,UK,other,306566.0
2021-04-29,UK,other,287276.0
2021-04-30,UK,other,347272.0
2021-05-01,UK,other,291096.0
2021-05-02,UK,other,337472.0
2021-05-03,UK,other,276169.0
2021-05-04,UK,other,147398.0
2021-05-05,UK,other,174120.0
2021-05-06,UK,other,173134.0
2021-05-07,UK,other,241926.0
2021-05-08,UK,other,389836.0
2021-05-09,UK,other,398983.0
2021-05-10,UK,other,222349.0
2021-05-11,UK,other,192418.0
2021-05-12,UK,other,204158.0
2021-05-13,UK,other,233501.0
2021-05-14,UK,other,219910.0
2021-05-15,UK,other,396777.0
2021-05-16,UK,other,364221.0
2021-05-17,UK,other,210849.0
2021-05-18,UK,other,245863.0
2021-05-19,UK,other,181350.0
2021-05-20,UK,other,200544.0
2021-05-21,UK,other,231511.0
2021-05-22,UK,other,343448.0
2021-05-23,UK,other,371587.0
2021-05-24,UK,other,219112.0
2021-05-25,UK,other,256026.0
2021-05-26,UK,other,265328.0
2021-05-27,UK,other,217143.0
2021-05-28,UK,other,319568.0
2021-05-29,UK,other,462616.0
2021-05-30,UK,other,370800.0
2021-05-31,UK,other,313589.0
2021-06-01,UK,other,246530.0
2021-06-02,UK,other,265745.0
2021-06-03,UK,other,266389.0
2021-06-04,UK,other,242725.0
2021-06-05,UK,other,271503.0
2021-06-06,UK,other,285101.0
2021-06-07,UK,other,170449.0
2021-06-08,UK,other,130258.0
2021-06-09,UK,other,117051.0
2021-06-10,UK,other,138540.0
2021-06-11,UK,other,189423.0
2021-06-12,UK,other,286409.0
2021-06-13,UK,other,298966.0
2021-06-14,UK,other,193552.0
2021-06-15,UK,other,201878.0
2021-06-16,UK,other,169648.0
2021-06-17,UK,other,189480.0
2021-06-18,UK,other,207584.0
2021-06-19,UK,other,299503.0
2021-06-20,UK,other,393479.0
2021-06-21,UK,other,195715.0
2021-06-22,UK,other,180781.0
2021-06-23,UK,other,126675.0
2021-06-24,UK,other,134705.0
2021-06-25,UK,other,215231.0
2021-06-26,UK,other,403619.0
2021-06-27,UK,other,404933.0
2021-06-28,UK,other,244168.0
2021-06-29,UK,other,243561.0
2021-06-30,UK,other,280480.0
2021-07-01,UK,other,157839.0
2021-07-02,UK,other,196547.0
2021-07-03,UK,other,236513.0
2021-07-04,UK,other,385800.0
2021-07-05,UK,other,189859.0
2021-07-06,UK,other,162256.0
2021-07-07,UK,other,169007.0
2021-07-08,UK,other,193585.0
2021-07-09,UK,other,241882.0
2021-07-10,UK,other,393410.0
2021-07-11,UK,other,329722.0
2021-07-12,UK,other,203661.0
2021-07-13,UK,other,147215.0
2021-07-14,UK,other,153387.0
2021-07-15,UK,other,170844.0
2021-07-16,UK,other,193528.0
2021-07-17,UK,other,291899.0
2021-07-18,UK,other,281240.0
2021-07-19,UK,other,177843.0
2021-07-20,UK,other,177777.0
2021-07-21,UK,other,242945.0
2021-07-22,UK,other,169616.0
2021-07-23,UK,other,202522.0
2021-07-24,UK,other,237383.0
2021-07-25,UK,other,321967.0
2021-07-26,UK,other,208415.0
2021-07-27,UK,other,194542.0
2021-07-28,UK,other,156014.0
2021-07-29,UK,other,171877.0
2021-07-30,UK,other,193621.0
2021-07-31,UK,other,195747.0
2021-08-01,UK,other,232474.0
2021-08-02,UK,other,210262.0
2021-08-03,UK,other,173767.0
2021-08-04,UK,other,194952.0
2021-08-05,UK,other,184743.0
2021-08-06,UK,other,205493.0
2021-08-07,UK,other,238731.0
2021-08-08,UK,other,158538.0
2021-08-09,UK,other,172540.0
2021-08-10,UK,other,198295.0
2021-08-11,UK,other,195619.0
2021-08-12,UK,other,267608.0
2021-08-13,UK,other,265980.0
2021-08-14,UK,other,249416.0
2021-08-15,UK,other,270712.0
2021-08-16,UK,other,234192.0
2021-08-17,UK,other,291588.0
2021-08-18,UK,other,259994.0
2021-08-19,UK,other,285891.0
2021-08-20,UK,other,326865.0
2021-08-21,UK,other,323916.0
2021-08-22,UK,other,405719.0
2021-08-23,UK,other,253124.0
2021-08-24,UK,other,296974.0
2021-08-25,UK,other,290158.0
2021-08-26,UK,other,246897.0
2021-08-27,UK,other,196032.0
2021-08-28,UK,other,244731.0
2021-08-29,UK,other,316264.0
2021-08-30,UK,other,302760.0
2021-08-31,UK,other,218774.0
2021-09-01,UK,other,248891.0
2021-09-02,UK,other,229892.0
2021-09-03,UK,other,306603.0
2021-09-04,UK,other,321134.0
2021-09-05,UK,other,316605.0
2021-09-06,UK,other,233321.0
2021-09-07,UK,other,163881.0
2021-09-08,UK,other,169437.0
2021-09-09,UK,other,210322.0
2021-09-10,UK,other,189293.0
2021-09-11,UK,other,333221.0
2021-09-12,UK,other,307278.0
2021-09-13,UK,other,162912.0
2021-09-14,UK,other,167963.0
2021-09-15,UK,other,188294.0
2021-09-16,UK,other,219837.0
2021-09-17,UK,other,194523.0
2021-09-18,UK,other,404672.0
2021-09-19,UK,other,341553.0
2021-09-20,UK,other,164334.0
2021-09-21,UK,other,137833.0
2021-09-22,UK,other,166476.0
2021-09-23,UK,other,151991.0
2021-09-24,UK,other,167310.0
2021-09-25,UK,other,305504.0
2021-09-26,UK,other,300574.0
2021-09-27,UK,other,151351.0
2021-09-28,UK,other,128060.0
2021-09-29,UK,other,161789.0
2021-09-30,UK,other,188228.0
2021-10-01,UK,other,258165.0
2021-10-02,UK,other,341741.0
2021-10-03,UK,other,438397.0
2021-10-04,UK,other,257857.0
2021-10-05,UK,other,260002.0
2021-10-06,UK,other,252582.0
2021-10-07,UK,other,287900.0
2021-10-08,UK,other,319892.0
2021-10-09,UK,other,410724.0
2021-10-10,UK,other,409399.0
2021-10-11,UK,other,183758.0
2021-10-12,UK,other,205057.0
2021-10-13,UK,other,290447.0
2021-10-14,UK,other,902234.0
2021-10-15,UK,other,659406.0
2021-10-16,UK,other,910088.0
2021-10-17,UK,other,680139.0
2021-10-18,UK,other,290380.0
2021-10-19,UK,other,317448.0
2021-10-20,UK,other,464952.0
2021-10-21,UK,other,349698.0
2021-10-22,UK,other,469745.0
2021-10-23,UK,other,601572.0
2021-10-24,UK,other,590249.0
2021-10-25,UK,other,298467.0
2021-10-26,UK,other,322176.0
2021-10-27,UK,other,317436.0
2021-10-28,UK,other,308168.0
2021-10-29,UK,other,417611.0
2021-10-30,UK,other,527864.0
2021-10-31,UK,other,608348.0
2021-11-01,UK,other,227654.0
2021-11-02,UK,other,368478.0
2021-11-03,UK,other,194080.0
2021-11-04,UK,other,220497.0
2021-11-05,UK,other,197601.0
2021-11-06,UK,other,392194.0
2021-11-07,UK,other,405282.0
2021-11-08,UK,other,199636.0
2021-11-09,UK,other,218933.0
2021-11-10,UK,other,191473.0
2021-11-11,UK,other,221262.0
2021-11-12,UK,other,241213.0
2021-11-13,UK,other,355406.0
2021-11-14,UK,other,340540.0
2021-11-15,UK,other,209459.0
2021-11-16,UK,other,172451.0
2021-11-17,UK,other,218987.0
2021-11-18,UK,other,147485.0
2021-11-19,UK,other,204637.0
2021-11-20,UK,other,321302.0
2021-11-21,UK,other,438220.0
2021-11-22,UK,other,224784.0
2021-11-23,UK,other,129774.0
2021-11-24,UK,other,187420.0
2021-11-25,UK,other,111597.0
2021-11-26,UK,other,126491.0
2021-11-27,UK,other,271206.0
2021-11-28,UK,other,319349.0
2021-11-29,UK,other,429962.0
2021-11-30,UK,other,429833.0
2021-12-01,UK,other,377674.0
2021-12-02,UK,other,472615.0
2021-12-03,UK,other,407562.0
2021-12-04,UK,other,682032.0
2021-12-05,UK,other,689399.0
2021-12-06,UK,other,425276.0
2021-12-07,UK,other,334757.0
2021-12-08,UK,other,346417.0
2021-12-09,UK,other,486179.0
2021-12-10,UK,other,455929.0
2021-12-11,UK,other,713905.0
2021-12-12,UK,other,843409.0
2021-12-13,UK,other,530811.0
2021-12-14,UK,other,489731.0
2021-12-15,UK,other,531969.0
2021-12-16,UK,other,499020.0
2021-12-17,UK,other,690416.0
2021-12-18,UK,other,919552.0
2021-12-19,UK,other,765781.0
2021-12-20,UK,other,755160.0
2021-12-21,UK,other,626110.0
2021-12-22,UK,other,760379.0
2021-12-23,UK,other,642881.0
2021-12-24,UK,other,569050.0
2021-12-25,UK,other,928489.0
2021-12-26,UK,other,885039.0
2021-12-27,UK,other,661873.0
2021-12-28,UK,other,693643.0
2021-12-29,UK,other,722367.0
2021-12-30,UK,other,607153.0
2021-12-31,UK,other,637858.0
2022-01-01,UK,other,604666.0
2022-01-02,UK,other,790814.0
2022-01-03,UK,other,769435.0
2022-01-04,UK,other,590877.0
2022-01-05,UK,other,559602.0
2022-01-06,UK,other,550640.0
2022-01-07,UK,other,546567.0
2022-01-08,UK,other,827903.0
2022-01-09,UK,other,835097.0
2022-01-10,UK,other,510729.0
2022-01-11,UK,other,427268.0
2022-01-12,UK,other,344127.0
2022-01-13,UK,other,372257.0
2022-01-14,UK,other,520342.0
2022-01-15,UK,other,595515.0
2022-01-16,UK,other,779533.0
2022-01-17,UK,other,485334.0
2022-01-18,UK,other,339517.0
2022-01-19,UK,other,407433.0
2022-01-20,UK,other,344444.0
2022-01-21,UK,other,356927.0
2022-01-22,UK,other,817039.0
2022-01-23,UK,other,611650.0
