date,country,networks,market_volume
2021-04-26,UK,AdMob,175032.0
2021-04-27,UK,AdMob,200165.0
2021-04-28,UK,AdMob,143255.0
2021-04-29,UK,AdMob,156468.0
2021-04-30,UK,AdMob,167705.0
2021-05-01,UK,AdMob,248419.0
2021-05-02,UK,AdMob,227096.0
2021-05-03,UK,AdMob,259701.0
2021-05-04,UK,AdMob,161027.0
2021-05-05,UK,AdMob,130954.0
2021-05-06,UK,AdMob,149986.0
2021-05-07,UK,AdMob,130312.0
2021-05-08,UK,AdMob,175570.0
2021-05-09,UK,AdMob,226484.0
2021-05-10,UK,AdMob,124062.0
2021-05-11,UK,AdMob,120137.0
2021-05-12,UK,AdMob,128502.0
2021-05-13,UK,AdMob,131403.0
2021-05-14,UK,AdMob,147637.0
2021-05-15,UK,AdMob,242332.0
2021-05-16,UK,AdMob,202534.0
2021-05-17,UK,AdMob,137055.0
2021-05-18,UK,AdMob,193071.0
2021-05-19,UK,AdMob,205814.0
2021-05-20,UK,AdMob,281936.0
2021-05-21,UK,AdMob,217770.0
2021-05-22,UK,AdMob,314947.0
2021-05-23,UK,AdMob,196695.0
2021-05-24,UK,AdMob,134752.0
2021-05-25,UK,AdMob,233634.0
2021-05-26,UK,AdMob,238928.0
2021-05-27,UK,AdMob,221448.0
2021-05-28,UK,AdMob,311058.0
2021-05-29,UK,AdMob,420013.0
2021-05-30,UK,AdMob,400820.0
2021-05-31,UK,AdMob,371351.0
2021-06-01,UK,AdMob,371382.0
2021-06-02,UK,AdMob,343329.0
2021-06-03,UK,AdMob,393102.0
2021-06-04,UK,AdMob,330621.0
2021-06-05,UK,AdMob,483901.0
2021-06-06,UK,AdMob,458074.0
2021-06-07,UK,AdMob,262497.0
2021-06-08,UK,AdMob,203775.0
2021-06-09,UK,AdMob,184369.0
2021-06-10,UK,AdMob,263473.0
2021-06-11,UK,AdMob,241787.0
2021-06-12,UK,AdMob,353249.0
2021-06-13,UK,AdMob,405525.0
2021-06-14,UK,AdMob,287979.0
2021-06-15,UK,AdMob,235621.0
2021-06-16,UK,AdMob,195305.0
2021-06-17,UK,AdMob,240929.0
2021-06-18,UK,AdMob,299342.0
2021-06-19,UK,AdMob,374402.0
2021-06-20,UK,AdMob,442288.0
2021-06-21,UK,AdMob,248171.0
2021-06-22,UK,AdMob,244189.0
2021-06-23,UK,AdMob,211841.0
2021-06-24,UK,AdMob,229997.0
2021-06-25,UK,AdMob,568720.0
2021-06-26,UK,AdMob,175869.0
2021-06-27,UK,AdMob,160182.0
2021-06-28,UK,AdMob,105939.0
2021-06-29,UK,AdMob,108358.0
2021-06-30,UK,AdMob,117120.0
2021-07-01,UK,AdMob,126980.0
2021-07-02,UK,AdMob,142528.0
2021-07-03,UK,AdMob,274803.0
2021-07-04,UK,AdMob,486625.0
2021-07-05,UK,AdMob,162336.0
2021-07-06,UK,AdMob,171460.0
2021-07-07,UK,AdMob,272375.0
2021-07-08,UK,AdMob,254209.0
2021-07-09,UK,AdMob,257488.0
2021-07-10,UK,AdMob,406099.0
2021-07-11,UK,AdMob,457298.0
2021-07-12,UK,AdMob,298583.0
2021-07-13,UK,AdMob,329172.0
2021-07-14,UK,AdMob,102316.0
2021-07-15,UK,AdMob,94604.0
2021-07-16,UK,AdMob,180313.0
2021-07-17,UK,AdMob,368985.0
2021-07-18,UK,AdMob,196975.0
2021-07-19,UK,AdMob,178507.0
2021-07-20,UK,AdMob,226743.0
2021-07-21,UK,AdMob,197053.0
2021-07-22,UK,AdMob,207128.0
2021-07-23,UK,AdMob,228654.0
2021-07-24,UK,AdMob,282308.0
2021-07-25,UK,AdMob,369940.0
2021-07-26,UK,AdMob,252760.0
2021-07-27,UK,AdMob,240974.0
2021-07-28,UK,AdMob,237240.0
2021-07-29,UK,AdMob,249158.0
2021-07-30,UK,AdMob,249652.0
2021-07-31,UK,AdMob,1056472.0
2021-08-01,UK,AdMob,1077761.0
2021-08-02,UK,AdMob,297981.0
2021-08-03,UK,AdMob,282626.0
2021-08-04,UK,AdMob,213011.0
2021-08-05,UK,AdMob,861024.0
2021-08-06,UK,AdMob,1075673.0
2021-08-07,UK,AdMob,896875.0
2021-08-08,UK,AdMob,1092725.0
2021-08-09,UK,AdMob,838473.0
2021-08-10,UK,AdMob,831672.0
2021-08-11,UK,AdMob,762778.0
2021-08-12,UK,AdMob,745217.0
2021-08-13,UK,AdMob,922185.0
2021-08-14,UK,AdMob,1762198.0
2021-08-15,UK,AdMob,1550227.0
2021-08-16,UK,AdMob,1435644.0
2021-08-17,UK,AdMob,1362682.0
2021-08-18,UK,AdMob,189427.0
2021-08-19,UK,AdMob,808813.0
2021-08-20,UK,AdMob,196698.0
2021-08-21,UK,AdMob,1258661.0
2021-08-22,UK,AdMob,1088600.0
2021-08-23,UK,AdMob,862152.0
2021-08-24,UK,AdMob,1302076.0
2021-08-25,UK,AdMob,1224404.0
2021-08-26,UK,AdMob,1045739.0
2021-08-27,UK,AdMob,1467418.0
2021-08-28,UK,AdMob,1651430.0
2021-08-29,UK,AdMob,1779114.0
2021-08-30,UK,AdMob,1437032.0
2021-08-31,UK,AdMob,1307405.0
2021-09-01,UK,AdMob,1245640.0
2021-09-02,UK,AdMob,1119811.0
2021-09-03,UK,AdMob,838412.0
2021-09-04,UK,AdMob,1448697.0
2021-09-05,UK,AdMob,2034352.0
2021-09-06,UK,AdMob,1010838.0
2021-09-07,UK,AdMob,1035000.0
2021-09-08,UK,AdMob,997178.0
2021-09-09,UK,AdMob,1042879.0
2021-09-10,UK,AdMob,960629.0
2021-09-11,UK,AdMob,1298243.0
2021-09-12,UK,AdMob,1248944.0
2021-09-13,UK,AdMob,704156.0
2021-09-14,UK,AdMob,608837.0
2021-09-15,UK,AdMob,694899.0
2021-09-16,UK,AdMob,546343.0
2021-09-17,UK,AdMob,810026.0
2021-09-18,UK,AdMob,1291252.0
2021-09-19,UK,AdMob,1192562.0
2021-09-20,UK,AdMob,650114.0
2021-09-21,UK,AdMob,647270.0
2021-09-22,UK,AdMob,609834.0
2021-09-23,UK,AdMob,603545.0
2021-09-24,UK,AdMob,618741.0
2021-09-25,UK,AdMob,1072972.0
2021-09-26,UK,AdMob,1221005.0
2021-09-27,UK,AdMob,736063.0
2021-09-28,UK,AdMob,1143204.0
2021-09-29,UK,AdMob,801683.0
2021-09-30,UK,AdMob,733057.0
2021-10-01,UK,AdMob,922704.0
2021-10-02,UK,AdMob,912133.0
2021-10-03,UK,AdMob,1118820.0
2021-10-04,UK,AdMob,817846.0
2021-10-05,UK,AdMob,767887.0
2021-10-06,UK,AdMob,607168.0
2021-10-07,UK,AdMob,885344.0
2021-10-08,UK,AdMob,954903.0
2021-10-09,UK,AdMob,1471228.0
2021-10-10,UK,AdMob,1299085.0
2021-10-11,UK,AdMob,585828.0
2021-10-12,UK,AdMob,426843.0
2021-10-13,UK,AdMob,982945.0
2021-10-14,UK,AdMob,494999.0
2021-10-15,UK,AdMob,750994.0
2021-10-16,UK,AdMob,1849691.0
2021-10-17,UK,AdMob,2133752.0
2021-10-18,UK,AdMob,1179457.0
2021-10-19,UK,AdMob,617129.0
2021-10-20,UK,AdMob,1003114.0
2021-10-21,UK,AdMob,762854.0
2021-10-22,UK,AdMob,726619.0
2021-10-23,UK,AdMob,1155176.0
2021-10-24,UK,AdMob,1118788.0
2021-10-25,UK,AdMob,758166.0
2021-10-26,UK,AdMob,704365.0
2021-10-27,UK,AdMob,768366.0
2021-10-28,UK,AdMob,756938.0
2021-10-29,UK,AdMob,718776.0
2021-10-30,UK,AdMob,872237.0
2021-10-31,UK,AdMob,1307942.0
2021-11-01,UK,AdMob,699855.0
2021-11-02,UK,AdMob,516421.0
2021-11-03,UK,AdMob,522130.0
2021-11-04,UK,AdMob,525249.0
2021-11-05,UK,AdMob,171183.0
2021-11-06,UK,AdMob,965490.0
2021-11-07,UK,AdMob,988861.0
2021-11-08,UK,AdMob,423446.0
2021-11-09,UK,AdMob,389564.0
2021-11-10,UK,AdMob,457913.0
2021-11-11,UK,AdMob,538947.0
2021-11-12,UK,AdMob,783766.0
2021-11-13,UK,AdMob,273263.0
2021-11-14,UK,AdMob,225599.0
2021-11-15,UK,AdMob,540641.0
2021-11-16,UK,AdMob,995018.0
2021-11-17,UK,AdMob,473402.0
2021-11-18,UK,AdMob,431204.0
2021-11-19,UK,AdMob,571942.0
2021-11-20,UK,AdMob,280213.0
2021-11-21,UK,AdMob,1742551.0
2021-11-22,UK,AdMob,187269.0
2021-11-23,UK,AdMob,803525.0
2021-11-24,UK,AdMob,707909.0
2021-11-25,UK,AdMob,693799.0
2021-11-26,UK,AdMob,3006588.0
2021-11-27,UK,AdMob,2418235.0
2021-11-28,UK,AdMob,1668384.0
2021-11-29,UK,AdMob,985814.0
2021-11-30,UK,AdMob,637062.0
2021-12-01,UK,AdMob,516329.0
2021-12-02,UK,AdMob,550245.0
2021-12-03,UK,AdMob,1838011.0
2021-12-04,UK,AdMob,1544864.0
2021-12-05,UK,AdMob,1586008.0
2021-12-06,UK,AdMob,1446288.0
2021-12-07,UK,AdMob,656394.0
2021-12-08,UK,AdMob,2677389.0
2021-12-09,UK,AdMob,842819.0
2021-12-10,UK,AdMob,2638397.0
2021-12-11,UK,AdMob,2751491.0
2021-12-12,UK,AdMob,1459528.0
