,date,country,platform,market_volume
0,2021-04-26,UK,Android,210062.7934293825
1,2021-04-27,UK,Android,211457.7333765996
2,2021-04-28,UK,Android,201400.75291622145
3,2021-04-29,UK,Android,188786.00677654825
4,2021-04-30,UK,Android,221319.28242980735
5,2021-05-01,UK,Android,255403.989936943
6,2021-05-02,UK,Android,262297.82008647785
7,2021-05-03,UK,Android,273600.01742622606
8,2021-05-04,UK,Android,186123.0953867722
9,2021-05-05,UK,Android,141841.00294753985
10,2021-05-06,UK,Android,184115.77151403017
11,2021-05-07,UK,Android,177531.3633711764
12,2021-05-08,UK,Android,280774.3819239717
13,2021-05-09,UK,Android,292700.1256226487
14,2021-05-10,UK,Android,161678.1317126101
15,2021-05-11,UK,Android,143516.99396580312
16,2021-05-12,UK,Android,141034.69304696526
17,2021-05-13,UK,Android,169831.22838005674
18,2021-05-14,UK,Android,210124.42179987382
19,2021-05-15,UK,Android,344979.5067481512
20,2021-05-16,UK,Android,300887.3951535763
21,2021-05-17,UK,Android,213812.93864566553
22,2021-05-18,UK,Android,212098.11800038212
23,2021-05-19,UK,Android,199847.62776460956
24,2021-05-20,UK,Android,230820.92762253238
25,2021-05-21,UK,Android,242737.51015913597
26,2021-05-22,UK,Android,389145.7750335881
27,2021-05-23,UK,Android,291454.08149517496
28,2021-05-24,UK,Android,198620.18747420964
29,2021-05-25,UK,Android,214224.55655576644
30,2021-05-26,UK,Android,236321.57260207838
31,2021-05-27,UK,Android,198059.33378904327
32,2021-05-28,UK,Android,232628.63062124472
33,2021-05-29,UK,Android,367802.75867409725
34,2021-05-30,UK,Android,301339.58309866337
35,2021-05-31,UK,Android,304592.6284372731
36,2021-06-01,UK,Android,273279.45543075574
37,2021-06-02,UK,Android,276433.25681357
38,2021-06-03,UK,Android,272441.373040256
39,2021-06-04,UK,Android,285683.6678623326
40,2021-06-05,UK,Android,359009.1454988677
41,2021-06-06,UK,Android,307034.3774715262
42,2021-06-07,UK,Android,207335.9304096765
43,2021-06-08,UK,Android,157502.0607935999
