date,country,network,market_volume
2021-05-03,UK,AppLovin,27987.0
2021-05-04,UK,AppLovin,18674.0
2021-05-05,UK,AppLovin,14241.0
2021-05-06,UK,AppLovin,14308.0
2021-05-07,UK,AppLovin,12108.0
2021-05-08,UK,AppLovin,26256.0
2021-05-09,UK,AppLovin,26209.0
2021-05-10,UK,AppLovin,14611.0
2021-05-11,UK,AppLovin,11610.0
2021-05-12,UK,AppLovin,14282.0
2021-05-13,UK,AppLovin,17117.0
2021-05-14,UK,AppLovin,22030.0
2021-05-15,UK,AppLovin,37069.0
2021-05-16,UK,AppLovin,39530.0
2021-05-17,UK,AppLovin,29418.0
2021-05-18,UK,AppLovin,17946.0
2021-05-19,UK,AppLovin,16702.0
2021-05-20,UK,AppLovin,23741.0
2021-05-21,UK,AppLovin,26432.0
2021-05-22,UK,AppLovin,40935.0
2021-05-23,UK,AppLovin,42505.0
2021-05-24,UK,AppLovin,22606.0
2021-05-25,UK,AppLovin,18544.0
2021-05-26,UK,AppLovin,19651.0
2021-05-27,UK,AppLovin,15294.0
2021-05-28,UK,AppLovin,21864.0
2021-05-29,UK,AppLovin,33392.0
2021-05-30,UK,AppLovin,29589.0
2021-05-31,UK,AppLovin,23973.0
2021-06-01,UK,AppLovin,29650.0
2021-06-02,UK,AppLovin,26961.0
2021-06-03,UK,AppLovin,27297.0
2021-06-04,UK,AppLovin,31489.0
2021-06-05,UK,AppLovin,40517.0
2021-06-06,UK,AppLovin,39287.0
2021-06-07,UK,AppLovin,23045.0
2021-06-08,UK,AppLovin,19231.0
2021-06-09,UK,AppLovin,15827.0
2021-06-10,UK,AppLovin,17880.0
2021-06-11,UK,AppLovin,21716.0
2021-06-12,UK,AppLovin,31225.0
2021-06-13,UK,AppLovin,29800.0
2021-06-14,UK,AppLovin,17002.0
2021-06-15,UK,AppLovin,28029.0
2021-06-16,UK,AppLovin,27609.0
2021-06-17,UK,AppLovin,29048.0
2021-06-18,UK,AppLovin,30465.0
2021-06-19,UK,AppLovin,32063.0
2021-06-20,UK,AppLovin,45880.0
2021-06-21,UK,AppLovin,22078.0
2021-06-22,UK,AppLovin,25871.0
2021-06-23,UK,AppLovin,22857.0
2021-06-24,UK,AppLovin,28795.0
2021-06-25,UK,AppLovin,39951.0
2021-06-26,UK,AppLovin,64346.0
2021-06-27,UK,AppLovin,52280.0
2021-06-28,UK,AppLovin,34780.0
2021-06-29,UK,AppLovin,33488.0
2021-06-30,UK,AppLovin,32993.0
2021-07-01,UK,AppLovin,26843.0
2021-07-02,UK,AppLovin,20593.0
2021-07-03,UK,AppLovin,32201.0
2021-07-04,UK,AppLovin,35490.0
2021-07-05,UK,AppLovin,21702.0
2021-07-06,UK,AppLovin,22911.0
2021-07-07,UK,AppLovin,20176.0
2021-07-08,UK,AppLovin,17266.0
2021-07-09,UK,AppLovin,19168.0
2021-07-10,UK,AppLovin,29275.0
2021-07-11,UK,AppLovin,36868.0
2021-07-12,UK,AppLovin,24491.0
2021-07-13,UK,AppLovin,40573.0
2021-07-14,UK,AppLovin,33126.0
2021-07-15,UK,AppLovin,32237.0
2021-07-16,UK,AppLovin,43139.0
2021-07-17,UK,AppLovin,61892.0
2021-07-18,UK,AppLovin,57832.0
2021-07-19,UK,AppLovin,57377.0
2021-07-20,UK,AppLovin,31087.0
2021-07-21,UK,AppLovin,27511.0
2021-07-22,UK,AppLovin,36632.0
2021-07-23,UK,AppLovin,42540.0
2021-07-24,UK,AppLovin,44933.0
2021-07-25,UK,AppLovin,46647.0
2021-07-26,UK,AppLovin,35660.0
2021-07-27,UK,AppLovin,40122.0
2021-07-28,UK,AppLovin,43049.0
2021-07-29,UK,AppLovin,41361.0
2021-07-30,UK,AppLovin,40573.0
2021-07-31,UK,AppLovin,54782.0
2021-08-01,UK,AppLovin,51542.0
2021-08-02,UK,AppLovin,47786.0
2021-08-03,UK,AppLovin,40993.0
2021-08-04,UK,AppLovin,38632.0
2021-08-05,UK,AppLovin,45011.0
2021-08-06,UK,AppLovin,47149.0
2021-08-07,UK,AppLovin,43039.0
2021-08-08,UK,AppLovin,53515.0
2021-08-09,UK,AppLovin,45790.0
2021-08-10,UK,AppLovin,37601.0
2021-08-11,UK,AppLovin,41694.0
2021-08-12,UK,AppLovin,36780.0
2021-08-13,UK,AppLovin,37064.0
2021-08-14,UK,AppLovin,39358.0
2021-08-15,UK,AppLovin,47177.0
