date,country,networks,market_volume
2021-04-26,UK,Chartboost,131707.0
2021-04-27,UK,Chartboost,91020.0
2021-04-28,UK,Chartboost,93340.0
2021-04-29,UK,Chartboost,49737.0
2021-04-30,UK,Chartboost,73023.0
2021-05-01,UK,Chartboost,95972.0
2021-05-02,UK,Chartboost,119426.0
2021-05-03,UK,Chartboost,113373.0
2021-05-04,UK,Chartboost,67749.0
2021-05-05,UK,Chartboost,60186.0
2021-05-06,UK,Chartboost,66889.0
2021-05-07,UK,Chartboost,50550.0
2021-05-08,UK,Chartboost,92278.0
2021-05-09,UK,Chartboost,104316.0
2021-05-10,UK,Chartboost,54411.0
2021-05-11,UK,Chartboost,55318.0
2021-05-12,UK,Chartboost,51138.0
2021-05-13,UK,Chartboost,93996.0
2021-05-14,UK,Chartboost,57395.0
2021-05-15,UK,Chartboost,148232.0
2021-05-16,UK,Chartboost,94238.0
2021-05-17,UK,Chartboost,97845.0
2021-05-18,UK,Chartboost,80542.0
2021-05-19,UK,Chartboost,81267.0
2021-05-20,UK,Chartboost,89848.0
2021-05-21,UK,Chartboost,125922.0
2021-05-22,UK,Chartboost,161990.0
2021-05-23,UK,Chartboost,110293.0
2021-05-24,UK,Chartboost,68761.0
2021-05-25,UK,Chartboost,56181.0
2021-05-26,UK,Chartboost,66092.0
2021-05-27,UK,Chartboost,87287.0
2021-05-28,UK,Chartboost,74240.0
2021-05-29,UK,Chartboost,93777.0
2021-05-30,UK,Chartboost,104403.0
2021-05-31,UK,Chartboost,86516.0
2021-06-01,UK,Chartboost,94243.0
2021-06-02,UK,Chartboost,90833.0
2021-06-03,UK,Chartboost,85536.0
2021-06-04,UK,Chartboost,128531.0
2021-06-05,UK,Chartboost,175215.0
2021-06-06,UK,Chartboost,158192.0
2021-06-07,UK,Chartboost,105680.0
2021-06-08,UK,Chartboost,79338.0
2021-06-09,UK,Chartboost,70802.0
2021-06-10,UK,Chartboost,85290.0
2021-06-11,UK,Chartboost,89496.0
2021-06-12,UK,Chartboost,114878.0
2021-06-13,UK,Chartboost,137791.0
2021-06-14,UK,Chartboost,100638.0
2021-06-15,UK,Chartboost,75076.0
2021-06-16,UK,Chartboost,72409.0
2021-06-17,UK,Chartboost,85361.0
2021-06-18,UK,Chartboost,102017.0
2021-06-19,UK,Chartboost,133997.0
2021-06-20,UK,Chartboost,137571.0
2021-06-21,UK,Chartboost,97429.0
2021-06-22,UK,Chartboost,71763.0
2021-06-23,UK,Chartboost,65720.0
2021-06-24,UK,Chartboost,90104.0
2021-06-25,UK,Chartboost,62978.0
2021-06-26,UK,Chartboost,143270.0
2021-06-27,UK,Chartboost,86581.0
2021-06-28,UK,Chartboost,91617.0
2021-06-29,UK,Chartboost,82242.0
2021-06-30,UK,Chartboost,60037.0
2021-07-01,UK,Chartboost,72415.0
2021-07-02,UK,Chartboost,93488.0
2021-07-03,UK,Chartboost,140181.0
2021-07-04,UK,Chartboost,163009.0
2021-07-05,UK,Chartboost,68127.0
2021-07-06,UK,Chartboost,55419.0
2021-07-07,UK,Chartboost,83649.0
2021-07-08,UK,Chartboost,94157.0
2021-07-09,UK,Chartboost,88503.0
2021-07-10,UK,Chartboost,170552.0
2021-07-11,UK,Chartboost,158565.0
2021-07-12,UK,Chartboost,115959.0
2021-07-13,UK,Chartboost,118200.0
2021-07-14,UK,Chartboost,57824.0
2021-07-15,UK,Chartboost,57015.0
2021-07-16,UK,Chartboost,54588.0
2021-07-17,UK,Chartboost,131239.0
2021-07-18,UK,Chartboost,76749.0
2021-07-19,UK,Chartboost,71178.0
2021-07-20,UK,Chartboost,74277.0
2021-07-21,UK,Chartboost,64807.0
2021-07-22,UK,Chartboost,68334.0
2021-07-23,UK,Chartboost,77658.0
2021-07-24,UK,Chartboost,81842.0
2021-07-25,UK,Chartboost,98019.0
2021-07-26,UK,Chartboost,73516.0
2021-07-27,UK,Chartboost,70184.0
2021-07-28,UK,Chartboost,84918.0
2021-07-29,UK,Chartboost,115726.0
2021-07-30,UK,Chartboost,63390.0
2021-07-31,UK,Chartboost,102096.0
2021-08-01,UK,Chartboost,106175.0
2021-08-02,UK,Chartboost,179610.0
2021-08-03,UK,Chartboost,127858.0
2021-08-04,UK,Chartboost,107921.0
2021-08-05,UK,Chartboost,139000.0
2021-08-06,UK,Chartboost,92383.0
2021-08-07,UK,Chartboost,115629.0
2021-08-08,UK,Chartboost,90312.0
2021-08-09,UK,Chartboost,157895.0
2021-08-10,UK,Chartboost,89802.0
2021-08-11,UK,Chartboost,226736.0
2021-08-12,UK,Chartboost,101636.0
2021-08-13,UK,Chartboost,117389.0
2021-08-14,UK,Chartboost,198208.0
2021-08-15,UK,Chartboost,139150.0
2021-08-16,UK,Chartboost,225268.0
2021-08-17,UK,Chartboost,121731.0
2021-08-18,UK,Chartboost,96599.0
2021-08-19,UK,Chartboost,135292.0
2021-08-20,UK,Chartboost,95010.0
2021-08-21,UK,Chartboost,127912.0
2021-08-22,UK,Chartboost,127653.0
2021-08-23,UK,Chartboost,88525.0
2021-08-24,UK,Chartboost,108562.0
2021-08-25,UK,Chartboost,88798.0
2021-08-26,UK,Chartboost,88570.0
2021-08-27,UK,Chartboost,100046.0
2021-08-28,UK,Chartboost,220987.0
2021-08-29,UK,Chartboost,155318.0
2021-08-30,UK,Chartboost,143114.0
2021-08-31,UK,Chartboost,137829.0
2021-09-01,UK,Chartboost,104809.0
2021-09-02,UK,Chartboost,106167.0
2021-09-03,UK,Chartboost,102704.0
2021-09-04,UK,Chartboost,212524.0
2021-09-05,UK,Chartboost,104250.0
2021-09-06,UK,Chartboost,130367.0
2021-09-07,UK,Chartboost,73532.0
2021-09-08,UK,Chartboost,77247.0
2021-09-09,UK,Chartboost,75638.0
2021-09-10,UK,Chartboost,108034.0
2021-09-11,UK,Chartboost,106914.0
2021-09-12,UK,Chartboost,131567.0
2021-09-13,UK,Chartboost,171880.0
2021-09-14,UK,Chartboost,80003.0
2021-09-15,UK,Chartboost,103028.0
2021-09-16,UK,Chartboost,117328.0
2021-09-17,UK,Chartboost,97565.0
2021-09-18,UK,Chartboost,206692.0
2021-09-19,UK,Chartboost,176684.0
2021-09-20,UK,Chartboost,67841.0
2021-09-21,UK,Chartboost,91594.0
2021-09-22,UK,Chartboost,71872.0
2021-09-23,UK,Chartboost,65739.0
2021-09-24,UK,Chartboost,108496.0
2021-09-25,UK,Chartboost,166309.0
