date,country,networks,market_volume
2021-04-26,UK,IronSource,188385.0
2021-04-27,UK,IronSource,177154.0
2021-04-28,UK,IronSource,172024.0
2021-04-29,UK,IronSource,85385.0
2021-04-30,UK,IronSource,222656.0
2021-05-01,UK,IronSource,245158.0
2021-05-02,UK,IronSource,163380.0
2021-05-03,UK,IronSource,267424.0
2021-05-04,UK,IronSource,129931.0
2021-05-05,UK,IronSource,96353.0
2021-05-06,UK,IronSource,163762.0
2021-05-07,UK,IronSource,98745.0
2021-05-08,UK,IronSource,187395.0
2021-05-09,UK,IronSource,131525.0
2021-05-10,UK,IronSource,83231.0
2021-05-11,UK,IronSource,80115.0
2021-05-12,UK,IronSource,98312.0
2021-05-13,UK,IronSource,139973.0
2021-05-14,UK,IronSource,119375.0
2021-05-15,UK,IronSource,229685.0
2021-05-16,UK,IronSource,113940.0
2021-05-17,UK,IronSource,119151.0
2021-05-18,UK,IronSource,151674.0
2021-05-19,UK,IronSource,78143.0
2021-05-20,UK,IronSource,203825.0
2021-05-21,UK,IronSource,142060.0
2021-05-22,UK,IronSource,227509.0
2021-05-23,UK,IronSource,172522.0
2021-05-24,UK,IronSource,104264.0
2021-05-25,UK,IronSource,84341.0
2021-05-26,UK,IronSource,91293.0
2021-05-27,UK,IronSource,85853.0
2021-05-28,UK,IronSource,75186.0
2021-05-29,UK,IronSource,108164.0
2021-05-30,UK,IronSource,114009.0
2021-05-31,UK,IronSource,165908.0
2021-06-01,UK,IronSource,106862.0
2021-06-02,UK,IronSource,116641.0
2021-06-03,UK,IronSource,99685.0
2021-06-04,UK,IronSource,155206.0
2021-06-05,UK,IronSource,180848.0
2021-06-06,UK,IronSource,135928.0
2021-06-07,UK,IronSource,115149.0
2021-06-08,UK,IronSource,76308.0
2021-06-09,UK,IronSource,118840.0
2021-06-10,UK,IronSource,170677.0
2021-06-11,UK,IronSource,173301.0
2021-06-12,UK,IronSource,179788.0
2021-06-13,UK,IronSource,261252.0
2021-06-14,UK,IronSource,169052.0
2021-06-15,UK,IronSource,214129.0
2021-06-16,UK,IronSource,132117.0
2021-06-17,UK,IronSource,150586.0
2021-06-18,UK,IronSource,133131.0
2021-06-19,UK,IronSource,239768.0
2021-06-20,UK,IronSource,246224.0
2021-06-21,UK,IronSource,127585.0
2021-06-22,UK,IronSource,97678.0
2021-06-23,UK,IronSource,92375.0
2021-06-24,UK,IronSource,104242.0
2021-06-25,UK,IronSource,140495.0
2021-06-26,UK,IronSource,193896.0
2021-06-27,UK,IronSource,163624.0
2021-06-28,UK,IronSource,82589.0
2021-06-29,UK,IronSource,81534.0
2021-06-30,UK,IronSource,87747.0
2021-07-01,UK,IronSource,106990.0
2021-07-02,UK,IronSource,116054.0
2021-07-03,UK,IronSource,143058.0
2021-07-04,UK,IronSource,181427.0
2021-07-05,UK,IronSource,131482.0
2021-07-06,UK,IronSource,120208.0
2021-07-07,UK,IronSource,108511.0
2021-07-08,UK,IronSource,93539.0
2021-07-09,UK,IronSource,91775.0
2021-07-10,UK,IronSource,178679.0
2021-07-11,UK,IronSource,230583.0
2021-07-12,UK,IronSource,116994.0
2021-07-13,UK,IronSource,117004.0
2021-07-14,UK,IronSource,115187.0
2021-07-15,UK,IronSource,46693.0
2021-07-16,UK,IronSource,115183.0
2021-07-17,UK,IronSource,145196.0
2021-07-18,UK,IronSource,80731.0
2021-07-19,UK,IronSource,146102.0
2021-07-20,UK,IronSource,189355.0
2021-07-21,UK,IronSource,179640.0
2021-07-22,UK,IronSource,220521.0
2021-07-23,UK,IronSource,182924.0
2021-07-24,UK,IronSource,134563.0
2021-07-25,UK,IronSource,218188.0
2021-07-26,UK,IronSource,202972.0
2021-07-27,UK,IronSource,246740.0
2021-07-28,UK,IronSource,233969.0
2021-07-29,UK,IronSource,131916.0
2021-07-30,UK,IronSource,177877.0
2021-07-31,UK,IronSource,187283.0
2021-08-01,UK,IronSource,303770.0
2021-08-02,UK,IronSource,244181.0
2021-08-03,UK,IronSource,205222.0
2021-08-04,UK,IronSource,163840.0
2021-08-05,UK,IronSource,216881.0
2021-08-06,UK,IronSource,246003.0
2021-08-07,UK,IronSource,148889.0
2021-08-08,UK,IronSource,236864.0
2021-08-09,UK,IronSource,193235.0
2021-08-10,UK,IronSource,271307.0
2021-08-11,UK,IronSource,266479.0
2021-08-12,UK,IronSource,173682.0
2021-08-13,UK,IronSource,214291.0
2021-08-14,UK,IronSource,240305.0
2021-08-15,UK,IronSource,257010.0
2021-08-16,UK,IronSource,246295.0
2021-08-17,UK,IronSource,203979.0
2021-08-18,UK,IronSource,194366.0
2021-08-19,UK,IronSource,173154.0
2021-08-20,UK,IronSource,175593.0
2021-08-21,UK,IronSource,228958.0
2021-08-22,UK,IronSource,285771.0
2021-08-23,UK,IronSource,221980.0
2021-08-24,UK,IronSource,192215.0
2021-08-25,UK,IronSource,197431.0
2021-08-26,UK,IronSource,201960.0
2021-08-27,UK,IronSource,169257.0
2021-08-28,UK,IronSource,237297.0
2021-08-29,UK,IronSource,256564.0
2021-08-30,UK,IronSource,219829.0
2021-08-31,UK,IronSource,233435.0
2021-09-01,UK,IronSource,258334.0
2021-09-02,UK,IronSource,240281.0
2021-09-03,UK,IronSource,244390.0
2021-09-04,UK,IronSource,236826.0
2021-09-05,UK,IronSource,266143.0
2021-09-06,UK,IronSource,159530.0
2021-09-07,UK,IronSource,223886.0
2021-09-08,UK,IronSource,234746.0
2021-09-09,UK,IronSource,171377.0
2021-09-10,UK,IronSource,278168.0
2021-09-11,UK,IronSource,289359.0
2021-09-12,UK,IronSource,356405.0
2021-09-13,UK,IronSource,269734.0
2021-09-14,UK,IronSource,272062.0
2021-09-15,UK,IronSource,193148.0
2021-09-16,UK,IronSource,225693.0
2021-09-17,UK,IronSource,208713.0
2021-09-18,UK,IronSource,414309.0
2021-09-19,UK,IronSource,438912.0
2021-09-20,UK,IronSource,187954.0
2021-09-21,UK,IronSource,198535.0
2021-09-22,UK,IronSource,226252.0
