date,country,network,market_volume
2021-04-26,UK,other,191343.0
2021-04-27,UK,other,206734.0
2021-04-28,UK,other,207914.0
2021-04-29,UK,other,194214.0
2021-04-30,UK,other,234586.0
2021-05-01,UK,other,136256.0
2021-05-02,UK,other,175896.0
2021-05-03,UK,other,157027.0
2021-05-04,UK,other,77078.0
2021-05-05,UK,other,102504.0
2021-05-06,UK,other,98836.0
2021-05-07,UK,other,160822.0
2021-05-08,UK,other,246461.0
2021-05-09,UK,other,273576.0
2021-05-10,UK,other,141618.0
2021-05-11,UK,other,125127.0
2021-05-12,UK,other,129590.0
2021-05-13,UK,other,157904.0
2021-05-14,UK,other,146103.0
2021-05-15,UK,other,267051.0
2021-05-16,UK,other,239197.0
2021-05-17,UK,other,142655.0
2021-05-18,UK,other,185520.0
2021-05-19,UK,other,120535.0
2021-05-20,UK,other,138311.0
2021-05-21,UK,other,162315.0
2021-05-22,UK,other,247134.0
2021-05-23,UK,other,248482.0
2021-05-24,UK,other,145861.0
2021-05-25,UK,other,188112.0
2021-05-26,UK,other,200472.0
2021-05-27,UK,other,157401.0
2021-05-28,UK,other,238390.0
2021-05-29,UK,other,346556.0
2021-05-30,UK,other,268449.0
2021-05-31,UK,other,219330.0
2021-06-01,UK,other,144049.0
2021-06-02,UK,other,165868.0
2021-06-03,UK,other,173070.0
2021-06-04,UK,other,159260.0
2021-06-05,UK,other,170524.0
2021-06-06,UK,other,166827.0
2021-06-07,UK,other,103730.0
2021-06-08,UK,other,79239.0
2021-06-09,UK,other,62550.0
2021-06-10,UK,other,74376.0
2021-06-11,UK,other,129421.0
2021-06-12,UK,other,185783.0
2021-06-13,UK,other,187495.0
2021-06-14,UK,other,136657.0
2021-06-15,UK,other,134238.0
2021-06-16,UK,other,111847.0
2021-06-17,UK,other,136595.0
2021-06-18,UK,other,144571.0
2021-06-19,UK,other,207271.0
2021-06-20,UK,other,280324.0
2021-06-21,UK,other,139055.0
2021-06-22,UK,other,130160.0
2021-06-23,UK,other,75147.0
2021-06-24,UK,other,79194.0
2021-06-25,UK,other,159492.0
2021-06-26,UK,other,326898.0
2021-06-27,UK,other,304505.0
2021-06-28,UK,other,180573.0
2021-06-29,UK,other,195940.0
2021-06-30,UK,other,237274.0
2021-07-01,UK,other,101667.0
2021-07-02,UK,other,136132.0
2021-07-03,UK,other,135672.0
2021-07-04,UK,other,269635.0
2021-07-05,UK,other,134414.0
2021-07-06,UK,other,103519.0
2021-07-07,UK,other,102972.0
2021-07-08,UK,other,116116.0
2021-07-09,UK,other,166122.0
2021-07-10,UK,other,239504.0
2021-07-11,UK,other,205888.0
2021-07-12,UK,other,105905.0
2021-07-13,UK,other,84295.0
2021-07-14,UK,other,89269.0
2021-07-15,UK,other,108701.0
2021-07-16,UK,other,125672.0
2021-07-17,UK,other,210809.0
2021-07-18,UK,other,159135.0
2021-07-19,UK,other,109051.0
2021-07-20,UK,other,89048.0
2021-07-21,UK,other,88300.0
2021-07-22,UK,other,84026.0
2021-07-23,UK,other,116882.0
2021-07-24,UK,other,135348.0
2021-07-25,UK,other,188579.0
2021-07-26,UK,other,113282.0
2021-07-27,UK,other,127858.0
2021-07-28,UK,other,91820.0
2021-07-29,UK,other,85944.0
2021-07-30,UK,other,79384.0
2021-07-31,UK,other,99913.0
2021-08-01,UK,other,127889.0
2021-08-02,UK,other,118516.0
2021-08-03,UK,other,96899.0
2021-08-04,UK,other,89657.0
2021-08-05,UK,other,92858.0
2021-08-06,UK,other,87410.0
2021-08-07,UK,other,106785.0
2021-08-08,UK,other,53449.0
2021-08-09,UK,other,96061.0
2021-08-10,UK,other,95914.0
2021-08-11,UK,other,98780.0
2021-08-12,UK,other,141285.0
2021-08-13,UK,other,123203.0
2021-08-14,UK,other,161758.0
2021-08-15,UK,other,162159.0
2021-08-16,UK,other,93160.0
2021-08-17,UK,other,123736.0
2021-08-18,UK,other,109182.0
2021-08-19,UK,other,169759.0
2021-08-20,UK,other,150190.0
2021-08-21,UK,other,150212.0
2021-08-22,UK,other,183081.0
2021-08-23,UK,other,145774.0
2021-08-24,UK,other,127719.0
2021-08-25,UK,other,181050.0
2021-08-26,UK,other,86696.0
2021-08-27,UK,other,79398.0
2021-08-28,UK,other,141005.0
2021-08-29,UK,other,180566.0
2021-08-30,UK,other,121134.0
2021-08-31,UK,other,120655.0
2021-09-01,UK,other,97739.0
2021-09-02,UK,other,124167.0
2021-09-03,UK,other,132952.0
2021-09-04,UK,other,142185.0
2021-09-05,UK,other,132291.0
2021-09-06,UK,other,90681.0
2021-09-07,UK,other,68546.0
2021-09-08,UK,other,87015.0
2021-09-09,UK,other,83880.0
2021-09-10,UK,other,131406.0
2021-09-11,UK,other,166191.0
2021-09-12,UK,other,155743.0
2021-09-13,UK,other,123877.0
2021-09-14,UK,other,67304.0
2021-09-15,UK,other,74536.0
2021-09-16,UK,other,123130.0
2021-09-17,UK,other,109064.0
2021-09-18,UK,other,232456.0
2021-09-19,UK,other,179309.0
2021-09-20,UK,other,97121.0
2021-09-21,UK,other,99363.0
2021-09-22,UK,other,51788.0
2021-09-23,UK,other,57803.0
2021-09-24,UK,other,57149.0
2021-09-25,UK,other,129465.0
2021-09-26,UK,other,131981.0
2021-09-27,UK,other,62435.0
2021-09-28,UK,other,77350.0
2021-09-29,UK,other,59749.0
2021-09-30,UK,other,77110.0
2021-10-01,UK,other,118162.0
2021-10-02,UK,other,142502.0
2021-10-03,UK,other,171704.0
2021-10-04,UK,other,124121.0
2021-10-05,UK,other,101324.0
2021-10-06,UK,other,91504.0
2021-10-07,UK,other,156252.0
2021-10-08,UK,other,132990.0
2021-10-09,UK,other,179553.0
2021-10-10,UK,other,157457.0
2021-10-11,UK,other,81907.0
2021-10-12,UK,other,82095.0
2021-10-13,UK,other,142615.0
2021-10-14,UK,other,116559.0
2021-10-15,UK,other,168330.0
2021-10-16,UK,other,239381.0
2021-10-17,UK,other,247286.0
2021-10-18,UK,other,24971.0
2021-10-19,UK,other,32874.0
2021-10-20,UK,other,22446.0
2021-10-21,UK,other,23218.0
2021-10-22,UK,other,27829.0
2021-10-23,UK,other,43519.0
2021-10-24,UK,other,44496.0
