date,country,network,market_volume
2021-05-03,UK,AdMob,63225.0
2021-05-04,UK,AdMob,40452.0
2021-05-05,UK,AdMob,57530.0
2021-05-06,UK,AdMob,49421.0
2021-05-07,UK,AdMob,50283.0
2021-05-08,UK,AdMob,78991.0
2021-05-09,UK,AdMob,71388.0
2021-05-10,UK,AdMob,49372.0
2021-05-11,UK,AdMob,53365.0
2021-05-12,UK,AdMob,40401.0
2021-05-13,UK,AdMob,37390.0
2021-05-14,UK,AdMob,26795.0
2021-05-15,UK,AdMob,33697.0
2021-05-16,UK,AdMob,50371.0
2021-05-17,UK,AdMob,12304.0
2021-05-18,UK,AdMob,14774.0
2021-05-19,UK,AdMob,22373.0
2021-05-20,UK,AdMob,17906.0
2021-05-21,UK,AdMob,25038.0
2021-05-22,UK,AdMob,42540.0
2021-05-23,UK,AdMob,58909.0
2021-05-24,UK,AdMob,33080.0
2021-05-25,UK,AdMob,15859.0
2021-05-26,UK,AdMob,22527.0
2021-05-27,UK,AdMob,19867.0
2021-05-28,UK,AdMob,22154.0
2021-05-29,UK,AdMob,28544.0
2021-05-30,UK,AdMob,22951.0
2021-05-31,UK,AdMob,26606.0
2021-06-01,UK,AdMob,26324.0
2021-06-02,UK,AdMob,36355.0
2021-06-03,UK,AdMob,28974.0
2021-06-04,UK,AdMob,28936.0
2021-06-05,UK,AdMob,31512.0
2021-06-06,UK,AdMob,34313.0
2021-06-07,UK,AdMob,23046.0
2021-06-08,UK,AdMob,23368.0
2021-06-09,UK,AdMob,15190.0
2021-06-10,UK,AdMob,13329.0
2021-06-11,UK,AdMob,13376.0
2021-06-12,UK,AdMob,22268.0
2021-06-13,UK,AdMob,24915.0
2021-06-14,UK,AdMob,8869.0
2021-06-15,UK,AdMob,9446.0
2021-06-16,UK,AdMob,8987.0
2021-06-17,UK,AdMob,8413.0
2021-06-18,UK,AdMob,17059.0
2021-06-19,UK,AdMob,24375.0
2021-06-20,UK,AdMob,22222.0
2021-06-21,UK,AdMob,13199.0
2021-06-22,UK,AdMob,18423.0
2021-06-23,UK,AdMob,27824.0
2021-06-24,UK,AdMob,5184.0
2021-06-25,UK,AdMob,25058.0
2021-06-26,UK,AdMob,14580.0
2021-06-27,UK,AdMob,43353.0
2021-06-28,UK,AdMob,14230.0
2021-06-29,UK,AdMob,13828.0
2021-06-30,UK,AdMob,22972.0
2021-07-01,UK,AdMob,34790.0
2021-07-02,UK,AdMob,21456.0
2021-07-03,UK,AdMob,50258.0
2021-07-04,UK,AdMob,79581.0
2021-07-05,UK,AdMob,39361.0
2021-07-06,UK,AdMob,52546.0
2021-07-07,UK,AdMob,46113.0
2021-07-08,UK,AdMob,62409.0
2021-07-09,UK,AdMob,42695.0
2021-07-10,UK,AdMob,53441.0
2021-07-11,UK,AdMob,55276.0
2021-07-12,UK,AdMob,24971.0
2021-07-13,UK,AdMob,18392.0
2021-07-14,UK,AdMob,38099.0
2021-07-15,UK,AdMob,45470.0
2021-07-16,UK,AdMob,34592.0
2021-07-17,UK,AdMob,49406.0
2021-07-18,UK,AdMob,34660.0
2021-07-19,UK,AdMob,40610.0
2021-07-20,UK,AdMob,62481.0
2021-07-21,UK,AdMob,50314.0
2021-07-22,UK,AdMob,51912.0
2021-07-23,UK,AdMob,46352.0
2021-07-24,UK,AdMob,74194.0
2021-07-25,UK,AdMob,69213.0
2021-07-26,UK,AdMob,68167.0
2021-07-27,UK,AdMob,69790.0
2021-07-28,UK,AdMob,81640.0
2021-07-29,UK,AdMob,56096.0
2021-07-30,UK,AdMob,66391.0
2021-07-31,UK,AdMob,76112.0
2021-08-01,UK,AdMob,134193.0
2021-08-02,UK,AdMob,81403.0
2021-08-03,UK,AdMob,79096.0
2021-08-04,UK,AdMob,44155.0
2021-08-05,UK,AdMob,61734.0
2021-08-06,UK,AdMob,45989.0
2021-08-07,UK,AdMob,53606.0
2021-08-08,UK,AdMob,79599.0
2021-08-09,UK,AdMob,63588.0
2021-08-10,UK,AdMob,114866.0
2021-08-11,UK,AdMob,113231.0
2021-08-12,UK,AdMob,97465.0
2021-08-13,UK,AdMob,58125.0
2021-08-14,UK,AdMob,39161.0
2021-08-15,UK,AdMob,76884.0
