,date,country,platform,market_volume
0,2021-04-26,UK,iOS,1410257.857730166
1,2021-04-27,UK,iOS,1867180.5773225157
2,2021-04-28,UK,iOS,1537292.0526851849
3,2021-04-29,UK,iOS,1406364.3597778087
4,2021-04-30,UK,iOS,1724368.810120857
5,2021-05-01,UK,iOS,2384815.8924901076
6,2021-05-02,UK,iOS,2912201.4507206012
7,2021-05-03,UK,iOS,2492576.5448948075
8,2021-05-04,UK,iOS,1363997.0486483334
9,2021-05-05,UK,iOS,1335642.639631169
10,2021-05-06,UK,iOS,1649746.6504755474
11,2021-05-07,UK,iOS,1675714.879632723
12,2021-05-08,UK,iOS,3164873.076419571
13,2021-05-09,UK,iOS,2722681.8104730626
14,2021-05-10,UK,iOS,1733161.5770317046
15,2021-05-11,UK,iOS,1678508.260254441
16,2021-05-12,UK,iOS,1517655.622615051
17,2021-05-13,UK,iOS,1615679.6270898995
18,2021-05-14,UK,iOS,1725409.7140332933
19,2021-05-15,UK,iOS,3223918.905536567
20,2021-05-16,UK,iOS,2714099.892514606
21,2021-05-17,UK,iOS,2184837.3954929244
22,2021-05-18,UK,iOS,1909579.2584067613
23,2021-05-19,UK,iOS,1721187.808298524
24,2021-05-20,UK,iOS,1802103.0042540287
25,2021-05-21,UK,iOS,1825862.7953533994
26,2021-05-22,UK,iOS,2508412.285557738
27,2021-05-23,UK,iOS,3073780.54468266
28,2021-05-24,UK,iOS,1733456.20883818
29,2021-05-25,UK,iOS,1497890.6711118293
30,2021-05-26,UK,iOS,1369309.91009032
31,2021-05-27,UK,iOS,1485100.8841723287
32,2021-05-28,UK,iOS,1517364.8209831393
33,2021-05-29,UK,iOS,2168224.282755537
34,2021-05-30,UK,iOS,1834139.569364218
35,2021-05-31,UK,iOS,2175591.4165665964
36,2021-06-01,UK,iOS,1908011.4091392623
37,2021-06-02,UK,iOS,1824300.4597034124
38,2021-06-03,UK,iOS,1678265.870962235
39,2021-06-04,UK,iOS,1806069.1226121623
40,2021-06-05,UK,iOS,1996372.0804631757
41,2021-06-06,UK,iOS,1936859.984441376
42,2021-06-07,UK,iOS,1605570.274350761
43,2021-06-08,UK,iOS,1274867.0673558218
44,2021-06-09,UK,iOS,1030015.1459106135
45,2021-06-10,UK,iOS,1009641.1556437572
46,2021-06-11,UK,iOS,1166392.3494065325
47,2021-06-12,UK,iOS,1398889.4390825904
48,2021-06-13,UK,iOS,1594013.6249288311
49,2021-06-14,UK,iOS,1023903.3447021826
50,2021-06-15,UK,iOS,903110.7952913274
51,2021-06-16,UK,iOS,1232675.190522253
52,2021-06-17,UK,iOS,957260.6555921731
53,2021-06-18,UK,iOS,1279832.8312025284
54,2021-06-19,UK,iOS,1825636.6784099522
55,2021-06-20,UK,iOS,1791358.2833766174
56,2021-06-21,UK,iOS,914276.9259927763
57,2021-06-22,UK,iOS,1353922.6332579523
58,2021-06-23,UK,iOS,1088735.0789632169
59,2021-06-24,UK,iOS,816903.5097499642
60,2021-06-25,UK,iOS,1335582.3250921986
61,2021-06-26,UK,iOS,1307766.854419092
62,2021-06-27,UK,iOS,1600535.9369049903
63,2021-06-28,UK,iOS,995669.077057356
64,2021-06-29,UK,iOS,839346.3409557785
65,2021-06-30,UK,iOS,1049834.5040569068
66,2021-07-01,UK,iOS,1087314.0462951735
67,2021-07-02,UK,iOS,1148262.0115828954
68,2021-07-03,UK,iOS,1555618.651898163
69,2021-07-04,UK,iOS,2189708.708349691
70,2021-07-05,UK,iOS,1200966.425208799
71,2021-07-06,UK,iOS,1134689.1092140616
72,2021-07-07,UK,iOS,1149873.5387749206
73,2021-07-08,UK,iOS,2052601.6150375924
74,2021-07-09,UK,iOS,1694658.3627900274
75,2021-07-10,UK,iOS,1876357.880570705
76,2021-07-11,UK,iOS,1873067.2536906067
77,2021-07-12,UK,iOS,1546688.4139066301
78,2021-07-13,UK,iOS,1208591.0818091256
79,2021-07-14,UK,iOS,1328047.2471209997
80,2021-07-15,UK,iOS,1559390.5335191146
81,2021-07-16,UK,iOS,1551146.8587086492
82,2021-07-17,UK,iOS,1529701.0535933077
83,2021-07-18,UK,iOS,1638305.1435050261
84,2021-07-19,UK,iOS,1324650.246667825
85,2021-07-20,UK,iOS,1436242.8098106128
86,2021-07-21,UK,iOS,1873502.8904607324
87,2021-07-22,UK,iOS,1879076.3712002002
