date,country,networks,market_volume
2021-04-26,UK,Chartboost,39768.0
2021-04-27,UK,Chartboost,39319.0
2021-04-28,UK,Chartboost,32166.0
2021-04-29,UK,Chartboost,47212.0
2021-04-30,UK,Chartboost,42856.0
2021-05-01,UK,Chartboost,58772.0
2021-05-02,UK,Chartboost,65779.0
2021-05-03,UK,Chartboost,54546.0
2021-05-04,UK,Chartboost,32582.0
2021-05-05,UK,Chartboost,36204.0
2021-05-06,UK,Chartboost,40251.0
2021-05-07,UK,Chartboost,35494.0
2021-05-08,UK,Chartboost,68111.0
2021-05-09,UK,Chartboost,62093.0
2021-05-10,UK,Chartboost,50396.0
2021-05-11,UK,Chartboost,41867.0
2021-05-12,UK,Chartboost,38410.0
2021-05-13,UK,Chartboost,49560.0
2021-05-14,UK,Chartboost,46536.0
2021-05-15,UK,Chartboost,63143.0
2021-05-16,UK,Chartboost,80369.0
2021-05-17,UK,Chartboost,49196.0
2021-05-18,UK,Chartboost,71727.0
2021-05-19,UK,Chartboost,33455.0
2021-05-20,UK,Chartboost,45279.0
2021-05-21,UK,Chartboost,105433.0
2021-05-22,UK,Chartboost,70417.0
2021-05-23,UK,Chartboost,66008.0
2021-05-24,UK,Chartboost,38084.0
2021-05-25,UK,Chartboost,42883.0
2021-05-26,UK,Chartboost,35500.0
2021-05-27,UK,Chartboost,38922.0
2021-05-28,UK,Chartboost,99982.0
2021-05-29,UK,Chartboost,55683.0
2021-05-30,UK,Chartboost,71281.0
2021-05-31,UK,Chartboost,65149.0
2021-06-01,UK,Chartboost,120382.0
2021-06-02,UK,Chartboost,112085.0
2021-06-03,UK,Chartboost,41594.0
2021-06-04,UK,Chartboost,107199.0
2021-06-05,UK,Chartboost,120613.0
2021-06-06,UK,Chartboost,97381.0
2021-06-07,UK,Chartboost,80770.0
2021-06-08,UK,Chartboost,61263.0
2021-06-09,UK,Chartboost,27000.0
2021-06-10,UK,Chartboost,62370.0
2021-06-11,UK,Chartboost,76326.0
2021-06-12,UK,Chartboost,101798.0
2021-06-13,UK,Chartboost,89620.0
2021-06-14,UK,Chartboost,73029.0
2021-06-15,UK,Chartboost,34559.0
2021-06-16,UK,Chartboost,69830.0
2021-06-17,UK,Chartboost,64046.0
2021-06-18,UK,Chartboost,77864.0
2021-06-19,UK,Chartboost,95835.0
2021-06-20,UK,Chartboost,128857.0
2021-06-21,UK,Chartboost,67769.0
2021-06-22,UK,Chartboost,62866.0
2021-06-23,UK,Chartboost,67650.0
