date,country,network,market_volume
2021-04-21,UK,Facebook,712483.0
2021-04-22,UK,Facebook,513149.0
2021-04-23,UK,Facebook,555871.0
2021-04-24,UK,Facebook,1080195.0
2021-04-25,UK,Facebook,1021050.0
2021-04-26,UK,Facebook,595207.0
2021-04-27,UK,Facebook,686491.0
2021-04-28,UK,Facebook,724297.0
2021-04-29,UK,Facebook,492271.0
2021-04-30,UK,Facebook,751180.0
2021-05-01,UK,Facebook,636771.0
2021-05-02,UK,Facebook,800331.0
2021-05-03,UK,Facebook,761997.0
2021-05-04,UK,Facebook,427615.0
2021-05-05,UK,Facebook,606355.0
2021-05-06,UK,Facebook,499251.0
2021-05-07,UK,Facebook,516535.0
2021-05-08,UK,Facebook,671643.0
2021-05-09,UK,Facebook,698151.0
2021-05-10,UK,Facebook,512414.0
2021-05-11,UK,Facebook,608809.0
2021-05-12,UK,Facebook,681343.0
2021-05-13,UK,Facebook,728315.0
2021-05-14,UK,Facebook,596725.0
2021-05-15,UK,Facebook,1776922.0
2021-05-16,UK,Facebook,1777656.0
2021-05-17,UK,Facebook,775293.0
2021-05-18,UK,Facebook,716614.0
2021-05-19,UK,Facebook,578182.0
2021-05-20,UK,Facebook,678764.0
2021-05-21,UK,Facebook,749422.0
2021-05-22,UK,Facebook,1348137.0
2021-05-23,UK,Facebook,1096980.0
2021-05-24,UK,Facebook,887152.0
2021-05-25,UK,Facebook,1089401.0
2021-05-26,UK,Facebook,988415.0
2021-05-27,UK,Facebook,1124499.0
2021-05-28,UK,Facebook,1023969.0
2021-05-29,UK,Facebook,838621.0
2021-05-30,UK,Facebook,833896.0
2021-05-31,UK,Facebook,641669.0
2021-06-01,UK,Facebook,822107.0
2021-06-02,UK,Facebook,690628.0
2021-06-03,UK,Facebook,676111.0
2021-06-04,UK,Facebook,414436.0
2021-06-05,UK,Facebook,393670.0
2021-06-06,UK,Facebook,333899.0
2021-06-07,UK,Facebook,417247.0
2021-06-08,UK,Facebook,417515.0
2021-06-09,UK,Facebook,316608.0
2021-06-10,UK,Facebook,372736.0
2021-06-11,UK,Facebook,284773.0
2021-06-12,UK,Facebook,293062.0
2021-06-13,UK,Facebook,405025.0
2021-06-14,UK,Facebook,227976.0
2021-06-15,UK,Facebook,235855.0
2021-06-16,UK,Facebook,312055.0
2021-06-17,UK,Facebook,329800.0
2021-06-18,UK,Facebook,332457.0
2021-06-19,UK,Facebook,171988.0
2021-06-20,UK,Facebook,269868.0
2021-06-21,UK,Facebook,458178.0
2021-06-22,UK,Facebook,508448.0
2021-06-23,UK,Facebook,644563.0
2021-06-24,UK,Facebook,320575.0
2021-06-25,UK,Facebook,477708.0
2021-06-26,UK,Facebook,673622.0
2021-06-27,UK,Facebook,555368.0
2021-06-28,UK,Facebook,315801.0
2021-06-29,UK,Facebook,349116.0
2021-06-30,UK,Facebook,304313.0
2021-07-01,UK,Facebook,283911.0
2021-07-02,UK,Facebook,321346.0
