date,country,networks,market_volume
2021-04-26,UK,IronSource,126726.0
2021-04-27,UK,IronSource,190005.0
2021-04-28,UK,IronSource,167363.0
2021-04-29,UK,IronSource,138651.0
2021-04-30,UK,IronSource,171528.0
2021-05-01,UK,IronSource,238515.0
2021-05-02,UK,IronSource,262182.0
2021-05-03,UK,IronSource,242862.0
2021-05-04,UK,IronSource,151719.0
2021-05-05,UK,IronSource,166005.0
2021-05-06,UK,IronSource,141510.0
2021-05-07,UK,IronSource,141635.0
2021-05-08,UK,IronSource,249729.0
2021-05-09,UK,IronSource,208870.0
2021-05-10,UK,IronSource,142295.0
2021-05-11,UK,IronSource,119348.0
2021-05-12,UK,IronSource,133632.0
2021-05-13,UK,IronSource,145830.0
2021-05-14,UK,IronSource,150856.0
2021-05-15,UK,IronSource,201726.0
2021-05-16,UK,IronSource,210529.0
2021-05-17,UK,IronSource,129391.0
2021-05-18,UK,IronSource,142304.0
2021-05-19,UK,IronSource,115970.0
2021-05-20,UK,IronSource,129028.0
2021-05-21,UK,IronSource,156285.0
2021-05-22,UK,IronSource,181631.0
2021-05-23,UK,IronSource,214493.0
2021-05-24,UK,IronSource,132847.0
2021-05-25,UK,IronSource,130092.0
2021-05-26,UK,IronSource,132016.0
2021-05-27,UK,IronSource,119696.0
2021-05-28,UK,IronSource,137417.0
2021-05-29,UK,IronSource,168110.0
2021-05-30,UK,IronSource,181984.0
2021-05-31,UK,IronSource,181167.0
2021-06-01,UK,IronSource,148369.0
2021-06-02,UK,IronSource,176520.0
2021-06-03,UK,IronSource,150594.0
2021-06-04,UK,IronSource,150173.0
2021-06-05,UK,IronSource,163324.0
2021-06-06,UK,IronSource,168905.0
2021-06-07,UK,IronSource,120603.0
2021-06-08,UK,IronSource,109067.0
2021-06-09,UK,IronSource,107440.0
2021-06-10,UK,IronSource,100821.0
2021-06-11,UK,IronSource,124587.0
2021-06-12,UK,IronSource,160695.0
2021-06-13,UK,IronSource,150269.0
2021-06-14,UK,IronSource,136365.0
2021-06-15,UK,IronSource,109870.0
2021-06-16,UK,IronSource,114044.0
2021-06-17,UK,IronSource,129120.0
2021-06-18,UK,IronSource,126051.0
2021-06-19,UK,IronSource,192310.0
2021-06-20,UK,IronSource,211899.0
2021-06-21,UK,IronSource,144272.0
2021-06-22,UK,IronSource,132475.0
2021-06-23,UK,IronSource,126260.0
2021-06-24,UK,IronSource,134414.0
2021-06-25,UK,IronSource,145497.0
2021-06-26,UK,IronSource,168969.0
2021-06-27,UK,IronSource,187068.0
2021-06-28,UK,IronSource,136339.0
2021-06-29,UK,IronSource,109879.0
2021-06-30,UK,IronSource,107866.0
2021-07-01,UK,IronSource,99458.0
2021-07-02,UK,IronSource,111788.0
2021-07-03,UK,IronSource,159526.0
2021-07-04,UK,IronSource,199366.0
2021-07-05,UK,IronSource,118411.0
2021-07-06,UK,IronSource,121520.0
2021-07-07,UK,IronSource,137591.0
2021-07-08,UK,IronSource,120774.0
2021-07-09,UK,IronSource,137546.0
2021-07-10,UK,IronSource,196974.0
2021-07-11,UK,IronSource,185112.0
2021-07-12,UK,IronSource,143896.0
2021-07-13,UK,IronSource,134820.0
2021-07-14,UK,IronSource,125263.0
2021-07-15,UK,IronSource,134479.0
2021-07-16,UK,IronSource,127520.0
2021-07-17,UK,IronSource,171131.0
2021-07-18,UK,IronSource,175306.0
2021-07-19,UK,IronSource,140908.0
2021-07-20,UK,IronSource,145460.0
2021-07-21,UK,IronSource,210854.0
2021-07-22,UK,IronSource,163595.0
2021-07-23,UK,IronSource,173933.0
2021-07-24,UK,IronSource,197047.0
2021-07-25,UK,IronSource,212056.0
2021-07-26,UK,IronSource,181942.0
2021-07-27,UK,IronSource,183626.0
2021-07-28,UK,IronSource,164122.0
2021-07-29,UK,IronSource,165618.0
2021-07-30,UK,IronSource,193348.0
2021-07-31,UK,IronSource,204062.0
2021-08-01,UK,IronSource,227526.0
2021-08-02,UK,IronSource,137797.0
2021-08-03,UK,IronSource,170383.0
2021-08-04,UK,IronSource,154002.0
2021-08-05,UK,IronSource,173759.0
2021-08-06,UK,IronSource,167909.0
2021-08-07,UK,IronSource,170400.0
2021-08-08,UK,IronSource,186807.0
2021-08-09,UK,IronSource,152018.0
2021-08-10,UK,IronSource,134423.0
2021-08-11,UK,IronSource,141171.0
2021-08-12,UK,IronSource,153578.0
2021-08-13,UK,IronSource,139904.0
2021-08-14,UK,IronSource,188439.0
2021-08-15,UK,IronSource,187053.0
2021-08-16,UK,IronSource,152419.0
2021-08-17,UK,IronSource,141772.0
2021-08-18,UK,IronSource,131537.0
2021-08-19,UK,IronSource,132557.0
2021-08-20,UK,IronSource,139625.0
2021-08-21,UK,IronSource,155224.0
2021-08-22,UK,IronSource,187271.0
2021-08-23,UK,IronSource,141538.0
2021-08-24,UK,IronSource,146564.0
2021-08-25,UK,IronSource,152681.0
2021-08-26,UK,IronSource,136230.0
2021-08-27,UK,IronSource,146207.0
2021-08-28,UK,IronSource,140985.0
2021-08-29,UK,IronSource,180991.0
2021-08-30,UK,IronSource,170319.0
2021-08-31,UK,IronSource,158152.0
2021-09-01,UK,IronSource,179292.0
2021-09-02,UK,IronSource,146883.0
2021-09-03,UK,IronSource,131366.0
2021-09-04,UK,IronSource,144774.0
