date,country,network,market_volume
2021-04-21,UK,Unity,55010.0
2021-04-22,UK,Unity,63980.0
2021-04-23,UK,Unity,67804.0
2021-04-24,UK,Unity,69005.0
2021-04-25,UK,Unity,58125.0
2021-04-26,UK,Unity,48548.0
2021-04-27,UK,Unity,65441.0
2021-04-28,UK,Unity,51069.0
2021-04-29,UK,Unity,33462.0
2021-04-30,UK,Unity,47082.0
2021-05-01,UK,Unity,59359.0
2021-05-02,UK,Unity,54446.0
2021-05-03,UK,Unity,50773.0
2021-05-04,UK,Unity,54382.0
2021-05-05,UK,Unity,41350.0
2021-05-06,UK,Unity,42011.0
2021-05-07,UK,Unity,67559.0
2021-05-08,UK,Unity,73550.0
2021-05-09,UK,Unity,100717.0
2021-05-10,UK,Unity,64370.0
2021-05-11,UK,Unity,72845.0
2021-05-12,UK,Unity,66468.0
2021-05-13,UK,Unity,55720.0
2021-05-14,UK,Unity,53859.0
2021-05-15,UK,Unity,94150.0
2021-05-16,UK,Unity,89967.0
2021-05-17,UK,Unity,71436.0
2021-05-18,UK,Unity,53724.0
2021-05-19,UK,Unity,56154.0
2021-05-20,UK,Unity,53323.0
2021-05-21,UK,Unity,57108.0
2021-05-22,UK,Unity,70747.0
2021-05-23,UK,Unity,69804.0
2021-05-24,UK,Unity,61739.0
2021-05-25,UK,Unity,38884.0
2021-05-26,UK,Unity,53099.0
2021-05-27,UK,Unity,39654.0
2021-05-28,UK,Unity,47193.0
2021-05-29,UK,Unity,58249.0
2021-05-30,UK,Unity,42723.0
2021-05-31,UK,Unity,49390.0
2021-06-01,UK,Unity,41976.0
2021-06-02,UK,Unity,59722.0
2021-06-03,UK,Unity,49329.0
2021-06-04,UK,Unity,62588.0
2021-06-05,UK,Unity,44517.0
2021-06-06,UK,Unity,59716.0
2021-06-07,UK,Unity,47304.0
2021-06-08,UK,Unity,46377.0
2021-06-09,UK,Unity,42863.0
2021-06-10,UK,Unity,44667.0
2021-06-11,UK,Unity,57356.0
2021-06-12,UK,Unity,50830.0
2021-06-13,UK,Unity,41822.0
2021-06-14,UK,Unity,36496.0
2021-06-15,UK,Unity,46635.0
2021-06-16,UK,Unity,31916.0
2021-06-17,UK,Unity,31818.0
2021-06-18,UK,Unity,32005.0
2021-06-19,UK,Unity,32486.0
2021-06-20,UK,Unity,30758.0
2021-06-21,UK,Unity,35558.0
2021-06-22,UK,Unity,42763.0
2021-06-23,UK,Unity,34724.0
2021-06-24,UK,Unity,44719.0
2021-06-25,UK,Unity,55863.0
2021-06-26,UK,Unity,59320.0
2021-06-27,UK,Unity,59782.0
2021-06-28,UK,Unity,39811.0
2021-06-29,UK,Unity,34990.0
2021-06-30,UK,Unity,38730.0
2021-07-01,UK,Unity,31216.0
2021-07-02,UK,Unity,44041.0
