date,country,networks,market_volume
2021-04-26,UK,other,78337.0
2021-04-27,UK,other,81097.0
2021-04-28,UK,other,98652.0
2021-04-29,UK,other,93062.0
2021-04-30,UK,other,112686.0
2021-05-01,UK,other,154840.0
2021-05-02,UK,other,161576.0
2021-05-03,UK,other,119142.0
2021-05-04,UK,other,70320.0
2021-05-05,UK,other,71616.0
2021-05-06,UK,other,74299.0
2021-05-07,UK,other,81105.0
2021-05-08,UK,other,143375.0
2021-05-09,UK,other,125407.0
2021-05-10,UK,other,80731.0
2021-05-11,UK,other,67291.0
2021-05-12,UK,other,74568.0
2021-05-13,UK,other,75597.0
2021-05-14,UK,other,73807.0
2021-05-15,UK,other,129726.0
2021-05-16,UK,other,125024.0
2021-05-17,UK,other,68194.0
2021-05-18,UK,other,60343.0
2021-05-19,UK,other,60816.0
2021-05-20,UK,other,62234.0
2021-05-21,UK,other,69196.0
2021-05-22,UK,other,96314.0
2021-05-23,UK,other,123105.0
2021-05-24,UK,other,73251.0
2021-05-25,UK,other,67914.0
2021-05-26,UK,other,64856.0
2021-05-27,UK,other,59742.0
2021-05-28,UK,other,81179.0
2021-05-29,UK,other,116060.0
2021-05-30,UK,other,102350.0
2021-05-31,UK,other,94258.0
2021-06-01,UK,other,102481.0
2021-06-02,UK,other,99877.0
2021-06-03,UK,other,93320.0
2021-06-04,UK,other,83465.0
2021-06-05,UK,other,100979.0
2021-06-06,UK,other,118274.0
2021-06-07,UK,other,66719.0
2021-06-08,UK,other,51019.0
2021-06-09,UK,other,54501.0
2021-06-10,UK,other,64164.0
2021-06-11,UK,other,60002.0
2021-06-12,UK,other,100626.0
2021-06-13,UK,other,111471.0
2021-06-14,UK,other,56895.0
2021-06-15,UK,other,67640.0
2021-06-16,UK,other,57801.0
2021-06-17,UK,other,52886.0
2021-06-18,UK,other,63014.0
2021-06-19,UK,other,92233.0
2021-06-20,UK,other,113156.0
2021-06-21,UK,other,56660.0
2021-06-22,UK,other,50621.0
2021-06-23,UK,other,51528.0
2021-06-24,UK,other,55511.0
2021-06-25,UK,other,55740.0
2021-06-26,UK,other,76720.0
2021-06-27,UK,other,100428.0
2021-06-28,UK,other,63595.0
2021-06-29,UK,other,47622.0
2021-06-30,UK,other,43206.0
2021-07-01,UK,other,56172.0
2021-07-02,UK,other,60415.0
2021-07-03,UK,other,100841.0
2021-07-04,UK,other,116165.0
2021-07-05,UK,other,55445.0
2021-07-06,UK,other,58737.0
2021-07-07,UK,other,66035.0
2021-07-08,UK,other,77468.0
2021-07-09,UK,other,75760.0
2021-07-10,UK,other,153906.0
2021-07-11,UK,other,123834.0
2021-07-12,UK,other,97755.0
2021-07-13,UK,other,62563.0
2021-07-14,UK,other,64118.0
2021-07-15,UK,other,62143.0
2021-07-16,UK,other,67857.0
2021-07-17,UK,other,81090.0
2021-07-18,UK,other,122105.0
2021-07-19,UK,other,68792.0
2021-07-20,UK,other,88729.0
2021-07-21,UK,other,154646.0
2021-07-22,UK,other,85590.0
2021-07-23,UK,other,85640.0
2021-07-24,UK,other,102035.0
2021-07-25,UK,other,133388.0
2021-07-26,UK,other,92791.0
2021-07-27,UK,other,64790.0
2021-07-28,UK,other,64194.0
2021-07-29,UK,other,85932.0
2021-07-30,UK,other,114238.0
2021-07-31,UK,other,95834.0
2021-08-01,UK,other,104585.0
2021-08-02,UK,other,91746.0
2021-08-03,UK,other,76868.0
2021-08-04,UK,other,105295.0
2021-08-05,UK,other,91885.0
2021-08-06,UK,other,118083.0
2021-08-07,UK,other,128635.0
2021-08-08,UK,other,105089.0
2021-08-09,UK,other,76479.0
2021-08-10,UK,other,99771.0
2021-08-11,UK,other,96839.0
2021-08-12,UK,other,126323.0
2021-08-13,UK,other,142777.0
2021-08-14,UK,other,85475.0
2021-08-15,UK,other,106243.0
2021-08-16,UK,other,139906.0
2021-08-17,UK,other,166064.0
2021-08-18,UK,other,150812.0
2021-08-19,UK,other,112240.0
2021-08-20,UK,other,176674.0
2021-08-21,UK,other,173704.0
2021-08-22,UK,other,222639.0
2021-08-23,UK,other,107349.0
2021-08-24,UK,other,169254.0
2021-08-25,UK,other,109108.0
2021-08-26,UK,other,158432.0
2021-08-27,UK,other,116634.0
2021-08-28,UK,other,100004.0
2021-08-29,UK,other,135698.0
2021-08-30,UK,other,178021.0
2021-08-31,UK,other,98119.0
2021-09-01,UK,other,151152.0
2021-09-02,UK,other,101498.0
2021-09-03,UK,other,173651.0
2021-09-04,UK,other,174958.0
2021-09-05,UK,other,184314.0
2021-09-06,UK,other,138654.0
2021-09-07,UK,other,92023.0
2021-09-08,UK,other,82422.0
2021-09-09,UK,other,126442.0
2021-09-10,UK,other,57887.0
2021-09-11,UK,other,156043.0
2021-09-12,UK,other,148510.0
2021-09-13,UK,other,34199.0
2021-09-14,UK,other,100658.0
2021-09-15,UK,other,106435.0
2021-09-16,UK,other,89646.0
2021-09-17,UK,other,85460.0
2021-09-18,UK,other,161856.0
2021-09-19,UK,other,148530.0
2021-09-20,UK,other,67213.0
2021-09-21,UK,other,38254.0
2021-09-22,UK,other,114688.0
2021-09-23,UK,other,91910.0
2021-09-24,UK,other,107163.0
2021-09-25,UK,other,176039.0
2021-09-26,UK,other,164356.0
2021-09-27,UK,other,87403.0
2021-09-28,UK,other,49115.0
2021-09-29,UK,other,98551.0
2021-09-30,UK,other,110279.0
2021-10-01,UK,other,136482.0
2021-10-02,UK,other,187540.0
2021-10-03,UK,other,255601.0
2021-10-04,UK,other,116030.0
2021-10-05,UK,other,149867.0
2021-10-06,UK,other,155575.0
2021-10-07,UK,other,126311.0
2021-10-08,UK,other,180038.0
2021-10-09,UK,other,224148.0
2021-10-10,UK,other,237304.0
2021-10-11,UK,other,97254.0
2021-10-12,UK,other,131258.0
2021-10-13,UK,other,162919.0
2021-10-14,UK,other,800244.0
2021-10-15,UK,other,511062.0
2021-10-16,UK,other,702234.0
2021-10-17,UK,other,469982.0
2021-10-18,UK,other,173666.0
2021-10-19,UK,other,178388.0
2021-10-20,UK,other,343245.0
2021-10-21,UK,other,235787.0
2021-10-22,UK,other,335872.0
2021-10-23,UK,other,391011.0
2021-10-24,UK,other,371323.0
2021-10-25,UK,other,190176.0
2021-10-26,UK,other,196100.0
2021-10-27,UK,other,192950.0
2021-10-28,UK,other,155868.0
2021-10-29,UK,other,276923.0
2021-10-30,UK,other,336742.0
2021-10-31,UK,other,374897.0
2021-11-01,UK,other,128113.0
2021-11-02,UK,other,293495.0
2021-11-03,UK,other,112194.0
2021-11-04,UK,other,138011.0
2021-11-05,UK,other,128787.0
2021-11-06,UK,other,270924.0
2021-11-07,UK,other,289554.0
2021-11-08,UK,other,135123.0
2021-11-09,UK,other,162633.0
2021-11-10,UK,other,135950.0
2021-11-11,UK,other,155527.0
2021-11-12,UK,other,109784.0
2021-11-13,UK,other,255821.0
2021-11-14,UK,other,169542.0
2021-11-15,UK,other,140658.0
2021-11-16,UK,other,101970.0
2021-11-17,UK,other,161664.0
2021-11-18,UK,other,66962.0
2021-11-19,UK,other,120331.0
2021-11-20,UK,other,217993.0
2021-11-21,UK,other,236318.0
2021-11-22,UK,other,145129.0
2021-11-23,UK,other,71849.0
2021-11-24,UK,other,112145.0
2021-11-25,UK,other,49190.0
2021-11-26,UK,other,66902.0
2021-11-27,UK,other,145741.0
2021-11-28,UK,other,145626.0
2021-11-29,UK,other,232017.0
2021-11-30,UK,other,214309.0
2021-12-01,UK,other,248515.0
2021-12-02,UK,other,284820.0
2021-12-03,UK,other,257509.0
2021-12-04,UK,other,409351.0
2021-12-05,UK,other,501642.0
2021-12-06,UK,other,178733.0
2021-12-07,UK,other,179225.0
2021-12-08,UK,other,122425.0
