date,country,network,market_volume
2021-04-26,US,AdMob,11215187.0
2021-04-27,US,AdMob,11572847.0
2021-04-28,US,AdMob,10148591.0
2021-04-29,US,AdMob,9921271.0
2021-04-30,US,AdMob,12328739.0
2021-05-01,US,AdMob,18096010.0
2021-05-02,US,AdMob,17928841.0
2021-05-03,US,AdMob,14296630.0
2021-05-04,US,AdMob,10616519.0
2021-05-05,US,AdMob,11667243.0
2021-05-06,US,AdMob,9860717.0
2021-05-07,US,AdMob,13028226.0
2021-05-08,US,AdMob,15324104.0
2021-05-09,US,AdMob,13977558.0
2021-05-10,US,AdMob,9906612.0
2021-05-11,US,AdMob,10411411.0
2021-05-12,US,AdMob,11284690.0
2021-05-13,US,AdMob,11212122.0
2021-05-14,US,AdMob,11373885.0
2021-05-15,US,AdMob,14457895.0
2021-05-16,US,AdMob,13032153.0
2021-05-17,US,AdMob,10029728.0
2021-05-18,US,AdMob,12125084.0
2021-05-19,US,AdMob,10988620.0
2021-05-20,US,AdMob,14420319.0
2021-05-21,US,AdMob,11243066.0
2021-05-22,US,AdMob,14618696.0
2021-05-23,US,AdMob,12419770.0
2021-05-24,US,AdMob,9870383.0
2021-05-25,US,AdMob,10057996.0
2021-05-26,US,AdMob,11462384.0
2021-05-27,US,AdMob,9196228.0
2021-05-28,US,AdMob,13681323.0
2021-05-29,US,AdMob,13859338.0
2021-05-30,US,AdMob,16124844.0
2021-05-31,US,AdMob,17952250.0
2021-06-01,US,AdMob,16017892.0
2021-06-02,US,AdMob,16683587.0
2021-06-03,US,AdMob,15306630.0
2021-06-04,US,AdMob,12331223.0
2021-06-05,US,AdMob,13939542.0
2021-06-06,US,AdMob,12033227.0
2021-06-07,US,AdMob,11037520.0
2021-06-08,US,AdMob,12336821.0
2021-06-09,US,AdMob,10348533.0
2021-06-10,US,AdMob,8296583.0
2021-06-11,US,AdMob,8539818.0
2021-06-12,US,AdMob,10760814.0
2021-06-13,US,AdMob,11895917.0
2021-06-14,US,AdMob,8619195.0
2021-06-15,US,AdMob,11335716.0
2021-06-16,US,AdMob,8942708.0
2021-06-17,US,AdMob,8344999.0
2021-06-18,US,AdMob,9419928.0
2021-06-19,US,AdMob,9812777.0
2021-06-20,US,AdMob,10767296.0
2021-06-21,US,AdMob,9892958.0
2021-06-22,US,AdMob,11373586.0
2021-06-23,US,AdMob,11377704.0
2021-06-24,US,AdMob,11455765.0
2021-06-25,US,AdMob,13603209.0
2021-06-26,US,AdMob,12438096.0
2021-06-27,US,AdMob,13566283.0
2021-06-28,US,AdMob,6688885.0
2021-06-29,US,AdMob,6932608.0
2021-06-30,US,AdMob,6792518.0
2021-07-01,US,AdMob,8162846.0
2021-07-02,US,AdMob,9936757.0
2021-07-03,US,AdMob,10100648.0
2021-07-04,US,AdMob,10514514.0
2021-07-05,US,AdMob,11912723.0
2021-07-06,US,AdMob,12195358.0
2021-07-07,US,AdMob,11649821.0
2021-07-08,US,AdMob,11186207.0
2021-07-09,US,AdMob,10870124.0
2021-07-10,US,AdMob,14297895.0
