,date,country,market_volume
0,2021-04-26,US,37754425.687415734
1,2021-04-27,US,36084146.93298297
2,2021-04-28,US,34840041.46293414
3,2021-04-29,US,34607954.49474511
4,2021-04-30,US,38913058.10137433
5,2021-05-01,US,53697840.411981754
6,2021-05-02,US,52572029.2662341
7,2021-05-03,US,39659592.78932348
8,2021-05-04,US,37800480.621873505
9,2021-05-05,US,36783411.5285388
10,2021-05-06,US,33014650.404763374
11,2021-05-07,US,40172822.07415405
12,2021-05-08,US,49451406.24895856
13,2021-05-09,US,53085507.757469855
14,2021-05-10,US,36192322.79245537
15,2021-05-11,US,37476055.262760505
16,2021-05-12,US,39519621.742939524
17,2021-05-13,US,38095179.831618674
18,2021-05-14,US,42862012.1450583
19,2021-05-15,US,52064067.726666346
20,2021-05-16,US,50442027.66404587
21,2021-05-17,US,37133272.53962335
22,2021-05-18,US,39992833.85879426
23,2021-05-19,US,37878113.39244184
24,2021-05-20,US,44567624.40795535
25,2021-05-21,US,42661334.50442419
26,2021-05-22,US,52483523.488482356
27,2021-05-23,US,51046400.514709674
28,2021-05-24,US,40794367.007699504
29,2021-05-25,US,38439535.002291664
30,2021-05-26,US,41619449.807189606
31,2021-05-27,US,40225154.50865823
32,2021-05-28,US,50703737.34776998
33,2021-05-29,US,51230671.639050506
34,2021-05-30,US,57828434.08225444
35,2021-05-31,US,49851728.82518025
36,2021-06-01,US,42840997.05948531
37,2021-06-02,US,43714032.41610015
38,2021-06-03,US,41613207.43456254
39,2021-06-04,US,40097855.01575436
40,2021-06-05,US,46268807.659737475
41,2021-06-06,US,44813225.41147048
42,2021-06-07,US,39975729.06424875
43,2021-06-08,US,37148916.709190734
44,2021-06-09,US,37808335.37420871
45,2021-06-10,US,33591256.81089189
46,2021-06-11,US,34582389.44683879
47,2021-06-12,US,39970224.557968244
48,2021-06-13,US,44077650.350164995
49,2021-06-14,US,34605375.951698385
50,2021-06-15,US,38267694.16375731
51,2021-06-16,US,35424928.09939886
52,2021-06-17,US,34662911.53219293
53,2021-06-18,US,37888829.00501607
54,2021-06-19,US,40556816.99974221
55,2021-06-20,US,44478809.5242771
56,2021-06-21,US,40505072.009009
57,2021-06-22,US,42007775.228607886
58,2021-06-23,US,40388475.16650559
59,2021-06-24,US,38106539.2239359
60,2021-06-25,US,41402342.66361278
61,2021-06-26,US,41239962.54234402
62,2021-06-27,US,43252699.305365466
63,2021-06-28,US,32958920.66729682
64,2021-06-29,US,32426082.260180447
65,2021-06-30,US,31243229.947857443
66,2021-07-01,US,31888066.648971394
67,2021-07-02,US,37539614.22456679
68,2021-07-03,US,36643958.47152921
69,2021-07-04,US,38623340.68144164
70,2021-07-05,US,43415655.90680558
71,2021-07-06,US,41427251.44160572
72,2021-07-07,US,40544831.18583638
73,2021-07-08,US,39690812.477752656
74,2021-07-09,US,40797036.77399544
75,2021-07-10,US,46180728.16401008
76,2021-07-11,US,45877347.71427148
77,2021-07-12,US,40990816.688053355
78,2021-07-13,US,40951427.202950135
79,2021-07-14,US,39666512.35658801
80,2021-07-15,US,40306423.190014295
81,2021-07-16,US,41404762.199587524
82,2021-07-17,US,44058529.111870095
83,2021-07-18,US,45503298.24377557
84,2021-07-19,US,44723760.51935854
85,2021-07-20,US,42116588.79203619
86,2021-07-21,US,44080853.271354675
87,2021-07-22,US,37397312.394767046
88,2021-07-23,US,38195476.73396248
89,2021-07-24,US,40996917.783313215
90,2021-07-25,US,44594190.95756507
91,2021-07-26,US,40058248.8338869
92,2021-07-27,US,41645201.759636715
93,2021-07-28,US,39065978.99017822
94,2021-07-29,US,36790314.60012065
95,2021-07-30,US,37722829.09460204
96,2021-07-31,US,44589839.239432454
97,2021-08-01,US,48394317.864672996
98,2021-08-02,US,41886145.90000047
99,2021-08-03,US,38913466.20871168
100,2021-08-04,US,35601143.019375324
101,2021-08-05,US,35430503.4316738
102,2021-08-06,US,39341122.46712724
103,2021-08-07,US,41441245.05230665
104,2021-08-08,US,44458896.45505005
105,2021-08-09,US,37024529.22003298
106,2021-08-10,US,34854646.2133153
107,2021-08-11,US,34402924.49992504
108,2021-08-12,US,35473231.37443139
109,2021-08-13,US,38210304.816317
110,2021-08-14,US,43666339.00829981
111,2021-08-15,US,46788978.039981015
112,2021-08-16,US,32963657.403077718
113,2021-08-17,US,34447048.872523494
114,2021-08-18,US,33393652.956262
115,2021-08-19,US,30979692.841679636
116,2021-08-20,US,33770521.69641164
117,2021-08-21,US,41442347.671044365
118,2021-08-22,US,46914591.25499448
119,2021-08-23,US,32090044.664299846
120,2021-08-24,US,33564629.14755033
121,2021-08-25,US,33808406.47591747
122,2021-08-26,US,33834950.31251176
123,2021-08-27,US,37647547.75707314
124,2021-08-28,US,46275268.507266246
125,2021-08-29,US,48230872.4226925
126,2021-08-30,US,33736435.353047386
127,2021-08-31,US,33601346.652539164
128,2021-09-01,US,31260762.533184562
129,2021-09-02,US,30943225.71817591
130,2021-09-03,US,35811737.016009435
131,2021-09-04,US,48615396.94005793
132,2021-09-05,US,57110223.638119236
133,2021-09-06,US,43454869.44991226
134,2021-09-07,US,32978035.314465545
135,2021-09-08,US,34221692.245146744
136,2021-09-09,US,32578597.806399353
137,2021-09-10,US,35041677.445783444
138,2021-09-11,US,46611800.91602223
139,2021-09-12,US,50203866.65806696
140,2021-09-13,US,29440787.337547936
141,2021-09-14,US,26591689.781255264
142,2021-09-15,US,29260745.14938491
143,2021-09-16,US,32321227.181518696
144,2021-09-17,US,34445917.219018534
145,2021-09-18,US,50809542.56760488
146,2021-09-19,US,53878159.241446175
147,2021-09-20,US,31873209.892132018
148,2021-09-21,US,31100225.739273526
149,2021-09-22,US,32136674.382575877
150,2021-09-23,US,34589516.35939614
151,2021-09-24,US,35130378.50020702
152,2021-09-25,US,60074909.421589926
153,2021-09-26,US,61919368.70107541
154,2021-09-27,US,34511922.7503296
155,2021-09-28,US,32680711.85153188
156,2021-09-29,US,36489278.75811701
157,2021-09-30,US,36390861.95291736
158,2021-10-01,US,42966053.056529775
159,2021-10-02,US,43057282.28594483
160,2021-10-03,US,58012809.90203228
161,2021-10-04,US,38614809.34176634
162,2021-10-05,US,35028972.53997133
163,2021-10-06,US,35094916.88272758
164,2021-10-07,US,40234294.600177236
165,2021-10-08,US,42143168.216108255
166,2021-10-09,US,56739054.468924806
