date,country,network,market_volume
2021-04-26,US,Amazon,294828.0
2021-04-27,US,Amazon,449247.0
2021-04-28,US,Amazon,292748.0
2021-04-29,US,Amazon,308966.0
2021-04-30,US,Amazon,401838.0
2021-05-01,US,Amazon,548149.0
2021-05-02,US,Amazon,537901.0
2021-05-03,US,Amazon,374383.0
2021-05-04,US,Amazon,406780.0
2021-05-05,US,Amazon,375367.0
2021-05-06,US,Amazon,319971.0
2021-05-07,US,Amazon,369481.0
2021-05-08,US,Amazon,450208.0
2021-05-09,US,Amazon,481566.0
2021-05-10,US,Amazon,265891.0
2021-05-11,US,Amazon,316941.0
2021-05-12,US,Amazon,307322.0
2021-05-13,US,Amazon,303273.0
2021-05-14,US,Amazon,411075.0
2021-05-15,US,Amazon,567635.0
2021-05-16,US,Amazon,505071.0
2021-05-17,US,Amazon,353565.0
2021-05-18,US,Amazon,429593.0
2021-05-19,US,Amazon,464267.0
2021-05-20,US,Amazon,564649.0
2021-05-21,US,Amazon,613612.0
2021-05-22,US,Amazon,668366.0
2021-05-23,US,Amazon,660669.0
2021-05-24,US,Amazon,456813.0
2021-05-25,US,Amazon,438550.0
2021-05-26,US,Amazon,442657.0
2021-05-27,US,Amazon,437291.0
2021-05-28,US,Amazon,520795.0
2021-05-29,US,Amazon,568907.0
2021-05-30,US,Amazon,597563.0
2021-05-31,US,Amazon,322115.0
2021-06-01,US,Amazon,165997.0
2021-06-02,US,Amazon,171651.0
2021-06-03,US,Amazon,176562.0
2021-06-04,US,Amazon,190582.0
2021-06-05,US,Amazon,257114.0
2021-06-06,US,Amazon,264090.0
2021-06-07,US,Amazon,325230.0
2021-06-08,US,Amazon,375664.0
2021-06-09,US,Amazon,531461.0
2021-06-10,US,Amazon,574492.0
2021-06-11,US,Amazon,609348.0
2021-06-12,US,Amazon,676910.0
2021-06-13,US,Amazon,761232.0
2021-06-14,US,Amazon,696498.0
2021-06-15,US,Amazon,741079.0
2021-06-16,US,Amazon,669015.0
2021-06-17,US,Amazon,724717.0
2021-06-18,US,Amazon,892543.0
2021-06-19,US,Amazon,752544.0
2021-06-20,US,Amazon,727757.0
2021-06-21,US,Amazon,979969.0
2021-06-22,US,Amazon,1054960.0
2021-06-23,US,Amazon,840899.0
2021-06-24,US,Amazon,508371.0
2021-06-25,US,Amazon,456778.0
2021-06-26,US,Amazon,314047.0
2021-06-27,US,Amazon,194365.0
2021-06-28,US,Amazon,134137.0
2021-06-29,US,Amazon,119301.0
2021-06-30,US,Amazon,132041.0
2021-07-01,US,Amazon,173865.0
2021-07-02,US,Amazon,346819.0
2021-07-03,US,Amazon,372938.0
2021-07-04,US,Amazon,384226.0
2021-07-05,US,Amazon,424637.0
2021-07-06,US,Amazon,501782.0
2021-07-07,US,Amazon,496479.0
2021-07-08,US,Amazon,456311.0
2021-07-09,US,Amazon,470126.0
2021-07-10,US,Amazon,522769.0
2021-07-11,US,Amazon,553804.0
2021-07-12,US,Amazon,514534.0
2021-07-13,US,Amazon,637025.0
2021-07-14,US,Amazon,664024.0
2021-07-15,US,Amazon,640323.0
2021-07-16,US,Amazon,697361.0
2021-07-17,US,Amazon,766931.0
2021-07-18,US,Amazon,795937.0
2021-07-19,US,Amazon,641482.0
2021-07-20,US,Amazon,631757.0
2021-07-21,US,Amazon,589568.0
2021-07-22,US,Amazon,545147.0
2021-07-23,US,Amazon,540009.0
2021-07-24,US,Amazon,595709.0
2021-07-25,US,Amazon,531317.0
2021-07-26,US,Amazon,479649.0
2021-07-27,US,Amazon,521511.0
2021-07-28,US,Amazon,498262.0
2021-07-29,US,Amazon,494261.0
2021-07-30,US,Amazon,517746.0
2021-07-31,US,Amazon,570107.0
2021-08-01,US,Amazon,560977.0
2021-08-02,US,Amazon,472743.0
2021-08-03,US,Amazon,476753.0
2021-08-04,US,Amazon,450014.0
2021-08-05,US,Amazon,453906.0
2021-08-06,US,Amazon,474624.0
2021-08-07,US,Amazon,536566.0
2021-08-08,US,Amazon,515807.0
2021-08-09,US,Amazon,311315.0
2021-08-10,US,Amazon,331509.0
2021-08-11,US,Amazon,295769.0
2021-08-12,US,Amazon,297449.0
2021-08-13,US,Amazon,316722.0
2021-08-14,US,Amazon,327291.0
2021-08-15,US,Amazon,333112.0
2021-08-16,US,Amazon,176039.0
2021-08-17,US,Amazon,84082.0
2021-08-18,US,Amazon,88771.0
2021-08-19,US,Amazon,74527.0
2021-08-20,US,Amazon,71619.0
2021-08-21,US,Amazon,89074.0
2021-08-22,US,Amazon,180079.0
2021-08-23,US,Amazon,132093.0
2021-08-24,US,Amazon,199390.0
2021-08-25,US,Amazon,208048.0
2021-08-26,US,Amazon,199026.0
2021-08-27,US,Amazon,195839.0
2021-08-28,US,Amazon,259390.0
2021-08-29,US,Amazon,243425.0
2021-08-30,US,Amazon,160317.0
2021-08-31,US,Amazon,191533.0
2021-09-01,US,Amazon,179309.0
2021-09-02,US,Amazon,191452.0
2021-09-03,US,Amazon,204802.0
2021-09-04,US,Amazon,295291.0
2021-09-05,US,Amazon,309243.0
2021-09-06,US,Amazon,253588.0
2021-09-07,US,Amazon,207142.0
2021-09-08,US,Amazon,238128.0
2021-09-09,US,Amazon,225282.0
2021-09-10,US,Amazon,264412.0
2021-09-11,US,Amazon,342501.0
2021-09-12,US,Amazon,387677.0
2021-09-13,US,Amazon,245093.0
2021-09-14,US,Amazon,212946.0
2021-09-15,US,Amazon,231799.0
2021-09-16,US,Amazon,246455.0
2021-09-17,US,Amazon,248869.0
2021-09-18,US,Amazon,362439.0
2021-09-19,US,Amazon,390615.0
2021-09-20,US,Amazon,204823.0
2021-09-21,US,Amazon,191959.0
2021-09-22,US,Amazon,193476.0
2021-09-23,US,Amazon,200964.0
2021-09-24,US,Amazon,179934.0
2021-09-25,US,Amazon,364996.0
2021-09-26,US,Amazon,344452.0
2021-09-27,US,Amazon,171495.0
2021-09-28,US,Amazon,164690.0
2021-09-29,US,Amazon,153402.0
2021-09-30,US,Amazon,139195.0
2021-10-01,US,Amazon,173157.0
2021-10-02,US,Amazon,196616.0
2021-10-03,US,Amazon,192275.0
2021-10-04,US,Amazon,195790.0
2021-10-05,US,Amazon,215488.0
2021-10-06,US,Amazon,240359.0
2021-10-07,US,Amazon,288875.0
2021-10-08,US,Amazon,280423.0
2021-10-09,US,Amazon,397002.0
2021-10-10,US,Amazon,349741.0
2021-10-11,US,Amazon,231466.0
2021-10-12,US,Amazon,190602.0
2021-10-13,US,Amazon,203072.0
2021-10-14,US,Amazon,216030.0
2021-10-15,US,Amazon,275948.0
2021-10-16,US,Amazon,360452.0
2021-10-17,US,Amazon,460912.0
2021-10-18,US,Amazon,309567.0
2021-10-19,US,Amazon,261018.0
2021-10-20,US,Amazon,257393.0
2021-10-21,US,Amazon,302099.0
2021-10-22,US,Amazon,332543.0
2021-10-23,US,Amazon,445996.0
2021-10-24,US,Amazon,524926.0
