date,country,networks,market_volume
2021-04-26,US,AppLovin,4207440.0
2021-04-27,US,AppLovin,3881794.0
2021-04-28,US,AppLovin,3961038.0
2021-04-29,US,AppLovin,3841004.0
2021-04-30,US,AppLovin,4368712.0
2021-05-01,US,AppLovin,5730265.0
2021-05-02,US,AppLovin,5152055.0
2021-05-03,US,AppLovin,3519018.0
2021-05-04,US,AppLovin,4389595.0
2021-05-05,US,AppLovin,3803538.0
2021-05-06,US,AppLovin,3736036.0
2021-05-07,US,AppLovin,4218355.0
2021-05-08,US,AppLovin,5361441.0
2021-05-09,US,AppLovin,6359088.0
2021-05-10,US,AppLovin,4076587.0
2021-05-11,US,AppLovin,4151132.0
2021-05-12,US,AppLovin,4409800.0
2021-05-13,US,AppLovin,4178217.0
2021-05-14,US,AppLovin,4807495.0
2021-05-15,US,AppLovin,5577816.0
2021-05-16,US,AppLovin,5614204.0
2021-05-17,US,AppLovin,4380595.0
2021-05-18,US,AppLovin,4253420.0
2021-05-19,US,AppLovin,3737280.0
2021-05-20,US,AppLovin,4144895.0
2021-05-21,US,AppLovin,5005614.0
2021-05-22,US,AppLovin,5917066.0
2021-05-23,US,AppLovin,5606675.0
2021-05-24,US,AppLovin,4837785.0
2021-05-25,US,AppLovin,4114153.0
2021-05-26,US,AppLovin,4404641.0
2021-05-27,US,AppLovin,4769523.0
2021-05-28,US,AppLovin,5631263.0
2021-05-29,US,AppLovin,5203307.0
2021-05-30,US,AppLovin,6177534.0
2021-05-31,US,AppLovin,4005750.0
2021-06-01,US,AppLovin,3562928.0
2021-06-02,US,AppLovin,3807872.0
2021-06-03,US,AppLovin,3737101.0
2021-06-04,US,AppLovin,3806061.0
2021-06-05,US,AppLovin,5233946.0
2021-06-06,US,AppLovin,4653110.0
2021-06-07,US,AppLovin,4602578.0
2021-06-08,US,AppLovin,3347858.0
2021-06-09,US,AppLovin,3729956.0
2021-06-10,US,AppLovin,3411547.0
2021-06-11,US,AppLovin,3247058.0
2021-06-12,US,AppLovin,3787426.0
2021-06-13,US,AppLovin,5108831.0
2021-06-14,US,AppLovin,3984384.0
2021-06-15,US,AppLovin,4122623.0
2021-06-16,US,AppLovin,4036569.0
2021-06-17,US,AppLovin,3937735.0
2021-06-18,US,AppLovin,4073251.0
2021-06-19,US,AppLovin,4811844.0
2021-06-20,US,AppLovin,4814564.0
2021-06-21,US,AppLovin,4609811.0
2021-06-22,US,AppLovin,4551687.0
2021-06-23,US,AppLovin,4709112.0
2021-06-24,US,AppLovin,4352561.0
2021-06-25,US,AppLovin,4613301.0
2021-06-26,US,AppLovin,4170832.0
2021-06-27,US,AppLovin,4705401.0
2021-06-28,US,AppLovin,4234460.0
2021-06-29,US,AppLovin,4344843.0
2021-06-30,US,AppLovin,3535982.0
2021-07-01,US,AppLovin,4100274.0
2021-07-02,US,AppLovin,4392497.0
2021-07-03,US,AppLovin,3921795.0
2021-07-04,US,AppLovin,4317757.0
2021-07-05,US,AppLovin,4522555.0
2021-07-06,US,AppLovin,4193852.0
2021-07-07,US,AppLovin,3499376.0
2021-07-08,US,AppLovin,3264134.0
2021-07-09,US,AppLovin,3218801.0
2021-07-10,US,AppLovin,3334340.0
2021-07-11,US,AppLovin,3742228.0
2021-07-12,US,AppLovin,3341657.0
2021-07-13,US,AppLovin,3861208.0
2021-07-14,US,AppLovin,3862060.0
2021-07-15,US,AppLovin,4255375.0
2021-07-16,US,AppLovin,3454601.0
2021-07-17,US,AppLovin,4132268.0
2021-07-18,US,AppLovin,4560383.0
2021-07-19,US,AppLovin,4607256.0
2021-07-20,US,AppLovin,3808089.0
2021-07-21,US,AppLovin,4575474.0
2021-07-22,US,AppLovin,3630373.0
2021-07-23,US,AppLovin,3283914.0
2021-07-24,US,AppLovin,3520926.0
2021-07-25,US,AppLovin,3916599.0
2021-07-26,US,AppLovin,3636030.0
2021-07-27,US,AppLovin,4100532.0
2021-07-28,US,AppLovin,3392389.0
2021-07-29,US,AppLovin,3659970.0
2021-07-30,US,AppLovin,3290906.0
2021-07-31,US,AppLovin,3588180.0
2021-08-01,US,AppLovin,3792298.0
2021-08-02,US,AppLovin,3388624.0
2021-08-03,US,AppLovin,3311597.0
2021-08-04,US,AppLovin,3195537.0
2021-08-05,US,AppLovin,3072547.0
2021-08-06,US,AppLovin,3381976.0
2021-08-07,US,AppLovin,3957471.0
2021-08-08,US,AppLovin,4091299.0
2021-08-09,US,AppLovin,3466529.0
2021-08-10,US,AppLovin,3231578.0
2021-08-11,US,AppLovin,3067956.0
2021-08-12,US,AppLovin,3199567.0
2021-08-13,US,AppLovin,3308021.0
2021-08-14,US,AppLovin,3805824.0
2021-08-15,US,AppLovin,4350388.0
2021-08-16,US,AppLovin,3084405.0
2021-08-17,US,AppLovin,3199047.0
2021-08-18,US,AppLovin,3268282.0
2021-08-19,US,AppLovin,3096574.0
2021-08-20,US,AppLovin,3395147.0
