date,country,network,market_volume
2021-04-21,US,Facebook,775854.0
2021-04-22,US,Facebook,754729.0
2021-04-23,US,Facebook,1033875.0
2021-04-24,US,Facebook,1006516.0
2021-04-25,US,Facebook,940464.0
2021-04-26,US,Facebook,718458.0
2021-04-27,US,Facebook,738225.0
2021-04-28,US,Facebook,765719.0
2021-04-29,US,Facebook,703041.0
2021-04-30,US,Facebook,798550.0
2021-05-01,US,Facebook,933165.0
2021-05-02,US,Facebook,791022.0
2021-05-03,US,Facebook,651270.0
2021-05-04,US,Facebook,623747.0
2021-05-05,US,Facebook,722655.0
2021-05-06,US,Facebook,600375.0
2021-05-07,US,Facebook,684989.0
2021-05-08,US,Facebook,803092.0
2021-05-09,US,Facebook,798879.0
2021-05-10,US,Facebook,638512.0
2021-05-11,US,Facebook,778286.0
2021-05-12,US,Facebook,858894.0
2021-05-13,US,Facebook,691067.0
2021-05-14,US,Facebook,822523.0
2021-05-15,US,Facebook,984394.0
2021-05-16,US,Facebook,1032635.0
2021-05-17,US,Facebook,808523.0
2021-05-18,US,Facebook,844544.0
2021-05-19,US,Facebook,802563.0
2021-05-20,US,Facebook,956264.0
2021-05-21,US,Facebook,882139.0
2021-05-22,US,Facebook,1014014.0
2021-05-23,US,Facebook,934508.0
2021-05-24,US,Facebook,787080.0
2021-05-25,US,Facebook,817909.0
2021-05-26,US,Facebook,841407.0
2021-05-27,US,Facebook,838484.0
2021-05-28,US,Facebook,897987.0
2021-05-29,US,Facebook,822319.0
2021-05-30,US,Facebook,834246.0
2021-05-31,US,Facebook,550997.0
2021-06-01,US,Facebook,485386.0
2021-06-02,US,Facebook,504835.0
2021-06-03,US,Facebook,546923.0
2021-06-04,US,Facebook,695969.0
2021-06-05,US,Facebook,729608.0
2021-06-06,US,Facebook,707877.0
2021-06-07,US,Facebook,635828.0
2021-06-08,US,Facebook,541663.0
2021-06-09,US,Facebook,539110.0
2021-06-10,US,Facebook,557641.0
2021-06-11,US,Facebook,610387.0
2021-06-12,US,Facebook,521351.0
2021-06-13,US,Facebook,502636.0
2021-06-14,US,Facebook,434091.0
2021-06-15,US,Facebook,433834.0
2021-06-16,US,Facebook,417767.0
2021-06-17,US,Facebook,507435.0
2021-06-18,US,Facebook,511191.0
2021-06-19,US,Facebook,580108.0
2021-06-20,US,Facebook,549162.0
2021-06-21,US,Facebook,540829.0
2021-06-22,US,Facebook,496389.0
2021-06-23,US,Facebook,500327.0
2021-06-24,US,Facebook,365971.0
2021-06-25,US,Facebook,508074.0
2021-06-26,US,Facebook,599454.0
2021-06-27,US,Facebook,516399.0
2021-06-28,US,Facebook,539597.0
2021-06-29,US,Facebook,597841.0
2021-06-30,US,Facebook,575056.0
2021-07-01,US,Facebook,570945.0
2021-07-02,US,Facebook,520572.0
2021-07-03,US,Facebook,437391.0
2021-07-04,US,Facebook,374917.0
2021-07-05,US,Facebook,408422.0
2021-07-06,US,Facebook,291185.0
2021-07-07,US,Facebook,351901.0
2021-07-08,US,Facebook,318671.0
2021-07-09,US,Facebook,302697.0
2021-07-10,US,Facebook,375410.0
2021-07-11,US,Facebook,293221.0
2021-07-12,US,Facebook,278698.0
2021-07-13,US,Facebook,356500.0
2021-07-14,US,Facebook,389158.0
2021-07-15,US,Facebook,374984.0
2021-07-16,US,Facebook,419268.0
2021-07-17,US,Facebook,475368.0
2021-07-18,US,Facebook,373938.0
2021-07-19,US,Facebook,327470.0
2021-07-20,US,Facebook,358612.0
2021-07-21,US,Facebook,499961.0
2021-07-22,US,Facebook,492017.0
2021-07-23,US,Facebook,658347.0
2021-07-24,US,Facebook,728807.0
2021-07-25,US,Facebook,511801.0
2021-07-26,US,Facebook,444698.0
2021-07-27,US,Facebook,521448.0
2021-07-28,US,Facebook,575447.0
2021-07-29,US,Facebook,577849.0
2021-07-30,US,Facebook,571707.0
2021-07-31,US,Facebook,681674.0
2021-08-01,US,Facebook,567527.0
2021-08-02,US,Facebook,477817.0
2021-08-03,US,Facebook,604518.0
2021-08-04,US,Facebook,755037.0
2021-08-05,US,Facebook,631274.0
2021-08-06,US,Facebook,715461.0
2021-08-07,US,Facebook,990071.0
2021-08-08,US,Facebook,955611.0
2021-08-09,US,Facebook,826695.0
2021-08-10,US,Facebook,816025.0
2021-08-11,US,Facebook,646238.0
2021-08-12,US,Facebook,701106.0
2021-08-13,US,Facebook,592826.0
2021-08-14,US,Facebook,609374.0
2021-08-15,US,Facebook,709522.0
