date,country,network,market_volume
2021-05-03,US,IronSource,723466.0
2021-05-04,US,IronSource,755664.0
2021-05-05,US,IronSource,735954.0
2021-05-06,US,IronSource,679896.0
2021-05-07,US,IronSource,774346.0
2021-05-08,US,IronSource,964028.0
2021-05-09,US,IronSource,1148443.0
2021-05-10,US,IronSource,798965.0
2021-05-11,US,IronSource,971530.0
2021-05-12,US,IronSource,843069.0
2021-05-13,US,IronSource,763195.0
2021-05-14,US,IronSource,843563.0
2021-05-15,US,IronSource,1139045.0
2021-05-16,US,IronSource,977713.0
2021-05-17,US,IronSource,764140.0
2021-05-18,US,IronSource,881698.0
2021-05-19,US,IronSource,733750.0
2021-05-20,US,IronSource,840481.0
2021-05-21,US,IronSource,876500.0
2021-05-22,US,IronSource,1208125.0
2021-05-23,US,IronSource,1319377.0
2021-05-24,US,IronSource,874458.0
2021-05-25,US,IronSource,815011.0
2021-05-26,US,IronSource,772719.0
2021-05-27,US,IronSource,766758.0
2021-05-28,US,IronSource,946162.0
2021-05-29,US,IronSource,1003280.0
2021-05-30,US,IronSource,1117978.0
2021-05-31,US,IronSource,954177.0
2021-06-01,US,IronSource,831645.0
2021-06-02,US,IronSource,833578.0
2021-06-03,US,IronSource,843477.0
2021-06-04,US,IronSource,895539.0
2021-06-05,US,IronSource,949111.0
2021-06-06,US,IronSource,1097093.0
2021-06-07,US,IronSource,841555.0
2021-06-08,US,IronSource,659687.0
2021-06-09,US,IronSource,654903.0
2021-06-10,US,IronSource,674012.0
2021-06-11,US,IronSource,689633.0
2021-06-12,US,IronSource,719964.0
2021-06-13,US,IronSource,870445.0
2021-06-14,US,IronSource,706972.0
2021-06-15,US,IronSource,710142.0
2021-06-16,US,IronSource,731518.0
2021-06-17,US,IronSource,740850.0
2021-06-18,US,IronSource,770759.0
2021-06-19,US,IronSource,842954.0
2021-06-20,US,IronSource,993492.0
2021-06-21,US,IronSource,809213.0
2021-06-22,US,IronSource,836609.0
2021-06-23,US,IronSource,984778.0
2021-06-24,US,IronSource,1057825.0
2021-06-25,US,IronSource,1104342.0
2021-06-26,US,IronSource,1204143.0
2021-06-27,US,IronSource,1281056.0
2021-06-28,US,IronSource,1218009.0
2021-06-29,US,IronSource,1133716.0
2021-06-30,US,IronSource,1018425.0
2021-07-01,US,IronSource,975401.0
2021-07-02,US,IronSource,1103683.0
2021-07-03,US,IronSource,1121705.0
2021-07-04,US,IronSource,1047481.0
2021-07-05,US,IronSource,1041497.0
2021-07-06,US,IronSource,1103962.0
2021-07-07,US,IronSource,1072933.0
2021-07-08,US,IronSource,1058202.0
2021-07-09,US,IronSource,1197272.0
2021-07-10,US,IronSource,1061913.0
2021-07-11,US,IronSource,1262540.0
2021-07-12,US,IronSource,1046104.0
2021-07-13,US,IronSource,1017922.0
2021-07-14,US,IronSource,977129.0
2021-07-15,US,IronSource,927832.0
2021-07-16,US,IronSource,1043939.0
2021-07-17,US,IronSource,1086662.0
2021-07-18,US,IronSource,1181042.0
2021-07-19,US,IronSource,1041404.0
2021-07-20,US,IronSource,955417.0
2021-07-21,US,IronSource,1117153.0
2021-07-22,US,IronSource,1057715.0
2021-07-23,US,IronSource,1137097.0
2021-07-24,US,IronSource,1286388.0
2021-07-25,US,IronSource,1304917.0
2021-07-26,US,IronSource,1083835.0
2021-07-27,US,IronSource,993851.0
2021-07-28,US,IronSource,1020844.0
2021-07-29,US,IronSource,1211475.0
2021-07-30,US,IronSource,1202987.0
2021-07-31,US,IronSource,1310947.0
2021-08-01,US,IronSource,1525749.0
2021-08-02,US,IronSource,1297690.0
2021-08-03,US,IronSource,1351348.0
2021-08-04,US,IronSource,1300973.0
2021-08-05,US,IronSource,1296505.0
2021-08-06,US,IronSource,1359314.0
2021-08-07,US,IronSource,1284563.0
2021-08-08,US,IronSource,1515162.0
2021-08-09,US,IronSource,1203020.0
2021-08-10,US,IronSource,1171317.0
2021-08-11,US,IronSource,865382.0
2021-08-12,US,IronSource,1068575.0
2021-08-13,US,IronSource,1054019.0
2021-08-14,US,IronSource,1298015.0
2021-08-15,US,IronSource,1602757.0
