date,country,network,market_volume
2021-04-21,US,other,1480851.0
2021-04-22,US,other,1805207.0
2021-04-23,US,other,1752160.0
2021-04-24,US,other,1853642.0
2021-04-25,US,other,1591985.0
2021-04-26,US,other,1434965.0
2021-04-27,US,other,1401966.0
2021-04-28,US,other,1621046.0
2021-04-29,US,other,1479208.0
2021-04-30,US,other,1671339.0
2021-05-01,US,other,1905817.0
2021-05-02,US,other,1844058.0
2021-05-03,US,other,1665314.0
2021-05-04,US,other,1498270.0
2021-05-05,US,other,1588193.0
2021-05-06,US,other,1318256.0
2021-05-07,US,other,1576935.0
2021-05-08,US,other,1838881.0
2021-05-09,US,other,1836716.0
2021-05-10,US,other,1392493.0
2021-05-11,US,other,1567636.0
2021-05-12,US,other,1565384.0
2021-05-13,US,other,1396602.0
2021-05-14,US,other,1316716.0
2021-05-15,US,other,1675628.0
2021-05-16,US,other,1637933.0
2021-05-17,US,other,1416251.0
2021-05-18,US,other,1273760.0
2021-05-19,US,other,1098323.0
2021-05-20,US,other,1404053.0
2021-05-21,US,other,1352555.0
2021-05-22,US,other,1469937.0
2021-05-23,US,other,1459940.0
2021-05-24,US,other,1256484.0
2021-05-25,US,other,1455863.0
2021-05-26,US,other,1399071.0
2021-05-27,US,other,1366639.0
2021-05-28,US,other,1693562.0
2021-05-29,US,other,1485097.0
2021-05-30,US,other,1471341.0
2021-05-31,US,other,2505084.0
2021-06-01,US,other,2559366.0
2021-06-02,US,other,1699131.0
2021-06-03,US,other,1731762.0
2021-06-04,US,other,1235867.0
2021-06-05,US,other,1257900.0
2021-06-06,US,other,1311135.0
2021-06-07,US,other,1221951.0
2021-06-08,US,other,1217677.0
2021-06-09,US,other,1255553.0
2021-06-10,US,other,1287039.0
2021-06-11,US,other,1556467.0
2021-06-12,US,other,1530260.0
2021-06-13,US,other,1605409.0
2021-06-14,US,other,1422371.0
2021-06-15,US,other,1320049.0
2021-06-16,US,other,1311364.0
2021-06-17,US,other,1267370.0
2021-06-18,US,other,1615118.0
2021-06-19,US,other,1520114.0
2021-06-20,US,other,1950715.0
2021-06-21,US,other,1320076.0
2021-06-22,US,other,1423367.0
2021-06-23,US,other,1882760.0
2021-06-24,US,other,1662293.0
2021-06-25,US,other,1553655.0
2021-06-26,US,other,1593819.0
2021-06-27,US,other,1320912.0
2021-06-28,US,other,1064614.0
2021-06-29,US,other,1206149.0
2021-06-30,US,other,1146102.0
2021-07-01,US,other,1449087.0
2021-07-02,US,other,1552081.0
2021-07-03,US,other,1723654.0
2021-07-04,US,other,1479452.0
2021-07-05,US,other,1827415.0
2021-07-06,US,other,1750417.0
2021-07-07,US,other,1593761.0
2021-07-08,US,other,1755279.0
2021-07-09,US,other,1783931.0
2021-07-10,US,other,2502822.0
2021-07-11,US,other,2571414.0
2021-07-12,US,other,1900732.0
2021-07-13,US,other,2127898.0
2021-07-14,US,other,2278020.0
2021-07-15,US,other,2387548.0
2021-07-16,US,other,2374171.0
2021-07-17,US,other,2515844.0
2021-07-18,US,other,2639468.0
2021-07-19,US,other,2565317.0
2021-07-20,US,other,2820128.0
2021-07-21,US,other,1954687.0
2021-07-22,US,other,1664205.0
2021-07-23,US,other,1557372.0
2021-07-24,US,other,2080611.0
2021-07-25,US,other,3249450.0
2021-07-26,US,other,4022627.0
2021-07-27,US,other,2703727.0
2021-07-28,US,other,1860577.0
2021-07-29,US,other,1719281.0
2021-07-30,US,other,1503952.0
2021-07-31,US,other,1401452.0
2021-08-01,US,other,1530299.0
2021-08-02,US,other,1169831.0
2021-08-03,US,other,1047547.0
2021-08-04,US,other,1030387.0
2021-08-05,US,other,1140825.0
2021-08-06,US,other,1233882.0
2021-08-07,US,other,1286963.0
2021-08-08,US,other,1565384.0
2021-08-09,US,other,1299159.0
2021-08-10,US,other,1295672.0
2021-08-11,US,other,1359445.0
2021-08-12,US,other,1373629.0
2021-08-13,US,other,1667110.0
2021-08-14,US,other,1951987.0
2021-08-15,US,other,2219993.0
