,date,country,platform,market_volume
0,2021-04-26,US,Android,17019036.624628417
1,2021-04-27,US,Android,16119907.372125795
2,2021-04-28,US,Android,15482239.638337849
3,2021-04-29,US,Android,15100059.049043275
4,2021-04-30,US,Android,18424671.10017461
5,2021-05-01,US,Android,25652540.942890394
6,2021-05-02,US,Android,27405258.61238671
7,2021-05-03,US,Android,19965203.92912806
8,2021-05-04,US,Android,17401705.749213275
9,2021-05-05,US,Android,17950693.78451362
10,2021-05-06,US,Android,14072542.892790059
11,2021-05-07,US,Android,17738109.88717302
12,2021-05-08,US,Android,21680654.87177398
13,2021-05-09,US,Android,21239761.64667401
14,2021-05-10,US,Android,15717961.357422179
15,2021-05-11,US,Android,15278793.027370589
16,2021-05-12,US,Android,16782383.875695553
17,2021-05-13,US,Android,16033058.621793903
18,2021-05-14,US,Android,19697272.839654088
19,2021-05-15,US,Android,23494816.33686471
20,2021-05-16,US,Android,22115961.40139716
21,2021-05-17,US,Android,16299624.408933494
22,2021-05-18,US,Android,18175403.336656205
23,2021-05-19,US,Android,17065602.18921002
24,2021-05-20,US,Android,19529929.84444014
25,2021-05-21,US,Android,21224839.30755164
26,2021-05-22,US,Android,23997127.3414326
27,2021-05-23,US,Android,25057487.13337005
28,2021-05-24,US,Android,20318891.55206848
29,2021-05-25,US,Android,18391617.37565585
30,2021-05-26,US,Android,20245985.46395334
31,2021-05-27,US,Android,20004662.501713138
32,2021-05-28,US,Android,24152756.297003597
33,2021-05-29,US,Android,24427980.229684047
34,2021-05-30,US,Android,26749203.458975874
35,2021-05-31,US,Android,24089785.040644296
36,2021-06-01,US,Android,21125481.76681111
37,2021-06-02,US,Android,20732125.87179353
38,2021-06-03,US,Android,20040183.69276771
39,2021-06-04,US,Android,18743354.42512484
40,2021-06-05,US,Android,23034603.72044672
41,2021-06-06,US,Android,22654286.47233394
42,2021-06-07,US,Android,20767807.670099415
43,2021-06-08,US,Android,19632327.39704139
44,2021-06-09,US,Android,18492392.776955
45,2021-06-10,US,Android,18044467.62537302
46,2021-06-11,US,Android,19227772.029599648
47,2021-06-12,US,Android,22387821.231042586
48,2021-06-13,US,Android,24158429.86746721
49,2021-06-14,US,Android,21200210.989016164
50,2021-06-15,US,Android,24139266.39175165
51,2021-06-16,US,Android,22062088.8867244
52,2021-06-17,US,Android,21696273.28124705
53,2021-06-18,US,Android,24127615.263910264
54,2021-06-19,US,Android,25655085.737455487
55,2021-06-20,US,Android,28548084.100781456
56,2021-06-21,US,Android,24995385.819995627
57,2021-06-22,US,Android,25066029.28134694
58,2021-06-23,US,Android,24288358.185164575
59,2021-06-24,US,Android,20425683.075590316
60,2021-06-25,US,Android,21347884.983111616
61,2021-06-26,US,Android,22870530.2566809
62,2021-06-27,US,Android,23141434.064878978
63,2021-06-28,US,Android,17550885.87140125
64,2021-06-29,US,Android,16559322.862371419
65,2021-06-30,US,Android,16266091.748668723
66,2021-07-01,US,Android,16621072.875118734
67,2021-07-02,US,Android,21383081.982411183
68,2021-07-03,US,Android,21311214.068739712
69,2021-07-04,US,Android,23316185.415535863
70,2021-07-05,US,Android,24891905.28121051
71,2021-07-06,US,Android,23922517.81307218
72,2021-07-07,US,Android,23162886.182436295
73,2021-07-08,US,Android,22534677.163718417
74,2021-07-09,US,Android,21736200.929925572
75,2021-07-10,US,Android,25623302.534455717
76,2021-07-11,US,Android,25297988.40844197
77,2021-07-12,US,Android,24195388.751019835
78,2021-07-13,US,Android,25667962.26951999
79,2021-07-14,US,Android,24097093.21696783
80,2021-07-15,US,Android,23487542.07043653
81,2021-07-16,US,Android,22528393.83690872
82,2021-07-17,US,Android,23676594.010791242
83,2021-07-18,US,Android,26484976.84691322
84,2021-07-19,US,Android,24563324.263935182
85,2021-07-20,US,Android,22998561.79268146
86,2021-07-21,US,Android,20976667.287750803
87,2021-07-22,US,Android,19649022.071677927
88,2021-07-23,US,Android,20240832.910287958
89,2021-07-24,US,Android,24059376.48408272
90,2021-07-25,US,Android,26943581.32198678
91,2021-07-26,US,Android,23841574.97141618
92,2021-07-27,US,Android,23270886.03112948
93,2021-07-28,US,Android,22307218.83077173
94,2021-07-29,US,Android,20547543.13371847
95,2021-07-30,US,Android,21890612.061488975
96,2021-07-31,US,Android,24971286.019799165
97,2021-08-01,US,Android,25921056.73233364
98,2021-08-02,US,Android,21773466.974512238
99,2021-08-03,US,Android,21482536.276949964
100,2021-08-04,US,Android,20427940.60382118
101,2021-08-05,US,Android,20087086.10538779
102,2021-08-06,US,Android,22935526.260626264
103,2021-08-07,US,Android,24423045.561602186
104,2021-08-08,US,Android,26489423.31432177
105,2021-08-09,US,Android,19665613.252302315
106,2021-08-10,US,Android,18295672.234243326
107,2021-08-11,US,Android,18738098.571045354
108,2021-08-12,US,Android,18255533.720231853
109,2021-08-13,US,Android,20136471.396085523
110,2021-08-14,US,Android,23688794.03559087
111,2021-08-15,US,Android,25231594.905256473
112,2021-08-16,US,Android,18183574.12676552
113,2021-08-17,US,Android,19824797.474251337
114,2021-08-18,US,Android,18351406.44265874
115,2021-08-19,US,Android,16580021.555573117
116,2021-08-20,US,Android,18566032.779399358
117,2021-08-21,US,Android,22845105.838190522
118,2021-08-22,US,Android,25938578.644175235
119,2021-08-23,US,Android,17490997.78681258
120,2021-08-24,US,Android,18286628.101474237
121,2021-08-25,US,Android,17700051.241120696
122,2021-08-26,US,Android,18127425.325751126
123,2021-08-27,US,Android,21593308.918305725
124,2021-08-28,US,Android,26183561.84769386
125,2021-08-29,US,Android,27283606.9852335
126,2021-08-30,US,Android,19049538.84500397
127,2021-08-31,US,Android,18133898.934555016
128,2021-09-01,US,Android,18077017.449834507
129,2021-09-02,US,Android,18594606.44803578
130,2021-09-03,US,Android,20460719.182628717
131,2021-09-04,US,Android,28245757.559678696
132,2021-09-05,US,Android,30936499.080599308
133,2021-09-06,US,Android,25156937.819718122
134,2021-09-07,US,Android,18035386.335409734
135,2021-09-08,US,Android,20155268.469889097
136,2021-09-09,US,Android,19531537.15403673
137,2021-09-10,US,Android,20853322.028374515
138,2021-09-11,US,Android,27279325.594762333
139,2021-09-12,US,Android,29611134.028282005
140,2021-09-13,US,Android,17422520.402854003
