date,country,network,market_volume
2021-04-26,US,Amazon,1961030.0
2021-04-27,US,Amazon,1904926.0
2021-04-28,US,Amazon,1926944.0
2021-04-29,US,Amazon,1985057.0
2021-04-30,US,Amazon,2008606.0
2021-05-01,US,Amazon,2773730.0
2021-05-02,US,Amazon,2691009.0
2021-05-03,US,Amazon,2371981.0
2021-05-04,US,Amazon,2133531.0
2021-05-05,US,Amazon,2045598.0
2021-05-06,US,Amazon,1549083.0
2021-05-07,US,Amazon,1921813.0
2021-05-08,US,Amazon,2250900.0
2021-05-09,US,Amazon,2575755.0
2021-05-10,US,Amazon,1952061.0
2021-05-11,US,Amazon,1869420.0
2021-05-12,US,Amazon,1771689.0
2021-05-13,US,Amazon,1733114.0
2021-05-14,US,Amazon,2221385.0
2021-05-15,US,Amazon,2932086.0
2021-05-16,US,Amazon,2607683.0
2021-05-17,US,Amazon,2151574.0
2021-05-18,US,Amazon,2045381.0
2021-05-19,US,Amazon,2071316.0
2021-05-20,US,Amazon,2432056.0
2021-05-21,US,Amazon,2888884.0
2021-05-22,US,Amazon,2835833.0
2021-05-23,US,Amazon,3142567.0
2021-05-24,US,Amazon,2530253.0
2021-05-25,US,Amazon,2560757.0
2021-05-26,US,Amazon,2383323.0
2021-05-27,US,Amazon,2469952.0
2021-05-28,US,Amazon,3043879.0
2021-05-29,US,Amazon,3489483.0
2021-05-30,US,Amazon,3277821.0
2021-05-31,US,Amazon,2964440.0
2021-06-01,US,Amazon,1857000.0
2021-06-02,US,Amazon,1771452.0
2021-06-03,US,Amazon,1520534.0
2021-06-04,US,Amazon,1685658.0
2021-06-05,US,Amazon,2004465.0
2021-06-06,US,Amazon,2261713.0
2021-06-07,US,Amazon,2570685.0
2021-06-08,US,Amazon,2341960.0
2021-06-09,US,Amazon,2460688.0
2021-06-10,US,Amazon,2646966.0
2021-06-11,US,Amazon,2547565.0
2021-06-12,US,Amazon,2926140.0
2021-06-13,US,Amazon,3012510.0
2021-06-14,US,Amazon,3321135.0
2021-06-15,US,Amazon,3076322.0
2021-06-16,US,Amazon,3080086.0
2021-06-17,US,Amazon,2731300.0
2021-06-18,US,Amazon,3458765.0
2021-06-19,US,Amazon,2906061.0
2021-06-20,US,Amazon,3232019.0
2021-06-21,US,Amazon,3726785.0
2021-06-22,US,Amazon,3820093.0
2021-06-23,US,Amazon,3417252.0
2021-06-24,US,Amazon,2719122.0
2021-06-25,US,Amazon,2831532.0
2021-06-26,US,Amazon,3232505.0
2021-06-27,US,Amazon,2724255.0
2021-06-28,US,Amazon,3223124.0
2021-06-29,US,Amazon,2979485.0
2021-06-30,US,Amazon,2863922.0
2021-07-01,US,Amazon,2453321.0
2021-07-02,US,Amazon,3155569.0
2021-07-03,US,Amazon,2771137.0
2021-07-04,US,Amazon,3110848.0
2021-07-05,US,Amazon,3336560.0
2021-07-06,US,Amazon,3440763.0
2021-07-07,US,Amazon,3101709.0
2021-07-08,US,Amazon,3420959.0
2021-07-09,US,Amazon,3093972.0
2021-07-10,US,Amazon,3507463.0
2021-07-11,US,Amazon,3241814.0
2021-07-12,US,Amazon,3355669.0
2021-07-13,US,Amazon,3424826.0
2021-07-14,US,Amazon,3424069.0
2021-07-15,US,Amazon,3303891.0
2021-07-16,US,Amazon,3440293.0
2021-07-17,US,Amazon,3704043.0
2021-07-18,US,Amazon,4325341.0
2021-07-19,US,Amazon,3756371.0
2021-07-20,US,Amazon,3737563.0
2021-07-21,US,Amazon,3337450.0
2021-07-22,US,Amazon,3375325.0
2021-07-23,US,Amazon,3261328.0
2021-07-24,US,Amazon,3797245.0
2021-07-25,US,Amazon,3896332.0
2021-07-26,US,Amazon,3699871.0
2021-07-27,US,Amazon,3109558.0
2021-07-28,US,Amazon,3290908.0
2021-07-29,US,Amazon,3010951.0
2021-07-30,US,Amazon,3056656.0
2021-07-31,US,Amazon,3172937.0
2021-08-01,US,Amazon,3177905.0
2021-08-02,US,Amazon,2909060.0
2021-08-03,US,Amazon,2928787.0
2021-08-04,US,Amazon,2714363.0
2021-08-05,US,Amazon,2774207.0
2021-08-06,US,Amazon,2761604.0
2021-08-07,US,Amazon,3182217.0
2021-08-08,US,Amazon,3013811.0
2021-08-09,US,Amazon,2855977.0
2021-08-10,US,Amazon,2629929.0
2021-08-11,US,Amazon,2530081.0
2021-08-12,US,Amazon,2295813.0
2021-08-13,US,Amazon,2527241.0
2021-08-14,US,Amazon,2723256.0
2021-08-15,US,Amazon,3009921.0
2021-08-16,US,Amazon,2104188.0
2021-08-17,US,Amazon,1733449.0
2021-08-18,US,Amazon,1766394.0
2021-08-19,US,Amazon,1459085.0
2021-08-20,US,Amazon,1593450.0
2021-08-21,US,Amazon,1866108.0
2021-08-22,US,Amazon,2330410.0
2021-08-23,US,Amazon,2192207.0
2021-08-24,US,Amazon,2003999.0
2021-08-25,US,Amazon,2149994.0
2021-08-26,US,Amazon,1984288.0
2021-08-27,US,Amazon,2378095.0
2021-08-28,US,Amazon,2836890.0
2021-08-29,US,Amazon,3032198.0
2021-08-30,US,Amazon,2102730.0
2021-08-31,US,Amazon,2229175.0
2021-09-01,US,Amazon,2061315.0
2021-09-02,US,Amazon,2057957.0
2021-09-03,US,Amazon,2126815.0
2021-09-04,US,Amazon,3049099.0
2021-09-05,US,Amazon,3021023.0
2021-09-06,US,Amazon,3292705.0
2021-09-07,US,Amazon,2085873.0
2021-09-08,US,Amazon,2257187.0
2021-09-09,US,Amazon,1993342.0
2021-09-10,US,Amazon,2244336.0
2021-09-11,US,Amazon,2982303.0
2021-09-12,US,Amazon,3073356.0
2021-09-13,US,Amazon,2112762.0
2021-09-14,US,Amazon,1934525.0
2021-09-15,US,Amazon,1985817.0
2021-09-16,US,Amazon,2221093.0
2021-09-17,US,Amazon,2186349.0
2021-09-18,US,Amazon,3310779.0
