date,country,networks,market_volume
2021-04-26,US,Facebook,4368998.0
2021-04-27,US,Facebook,2946838.0
2021-04-28,US,Facebook,3182247.0
2021-04-29,US,Facebook,3137677.0
2021-04-30,US,Facebook,3498111.0
2021-05-01,US,Facebook,4889162.0
2021-05-02,US,Facebook,4870401.0
2021-05-03,US,Facebook,3814555.0
2021-05-04,US,Facebook,3866224.0
2021-05-05,US,Facebook,3366150.0
2021-05-06,US,Facebook,2983291.0
2021-05-07,US,Facebook,3514445.0
2021-05-08,US,Facebook,4396625.0
2021-05-09,US,Facebook,4709723.0
2021-05-10,US,Facebook,4215163.0
2021-05-11,US,Facebook,3243918.0
2021-05-12,US,Facebook,4222268.0
2021-05-13,US,Facebook,4039434.0
2021-05-14,US,Facebook,5425311.0
2021-05-15,US,Facebook,6189533.0
2021-05-16,US,Facebook,5099275.0
2021-05-17,US,Facebook,3721791.0
2021-05-18,US,Facebook,4511511.0
2021-05-19,US,Facebook,3368548.0
2021-05-20,US,Facebook,4003899.0
2021-05-21,US,Facebook,4297312.0
2021-05-22,US,Facebook,5051940.0
2021-05-23,US,Facebook,5123196.0
2021-05-24,US,Facebook,4077565.0
2021-05-25,US,Facebook,4080891.0
2021-05-26,US,Facebook,4197510.0
2021-05-27,US,Facebook,3919244.0
2021-05-28,US,Facebook,4611028.0
2021-05-29,US,Facebook,4762870.0
2021-05-30,US,Facebook,5095632.0
2021-05-31,US,Facebook,3142934.0
2021-06-01,US,Facebook,2726241.0
2021-06-02,US,Facebook,2773583.0
2021-06-03,US,Facebook,2742686.0
2021-06-04,US,Facebook,3659467.0
2021-06-05,US,Facebook,4381199.0
2021-06-06,US,Facebook,4346852.0
2021-06-07,US,Facebook,3657546.0
2021-06-08,US,Facebook,3178946.0
2021-06-09,US,Facebook,3714791.0
2021-06-10,US,Facebook,3376196.0
2021-06-11,US,Facebook,3799776.0
2021-06-12,US,Facebook,4327778.0
2021-06-13,US,Facebook,4434431.0
2021-06-14,US,Facebook,3888761.0
2021-06-15,US,Facebook,3743468.0
2021-06-16,US,Facebook,4018234.0
2021-06-17,US,Facebook,4223491.0
2021-06-18,US,Facebook,5104257.0
2021-06-19,US,Facebook,5501289.0
2021-06-20,US,Facebook,6358474.0
2021-06-21,US,Facebook,5416688.0
2021-06-22,US,Facebook,5683809.0
2021-06-23,US,Facebook,5076414.0
2021-06-24,US,Facebook,3516626.0
2021-06-25,US,Facebook,3877588.0
2021-06-26,US,Facebook,4111562.0
2021-06-27,US,Facebook,4049565.0
2021-06-28,US,Facebook,3794834.0
2021-06-29,US,Facebook,3751956.0
2021-06-30,US,Facebook,4572004.0
2021-07-01,US,Facebook,3793958.0
2021-07-02,US,Facebook,4283812.0
2021-07-03,US,Facebook,4147442.0
2021-07-04,US,Facebook,4420957.0
2021-07-05,US,Facebook,4801148.0
2021-07-06,US,Facebook,3761480.0
2021-07-07,US,Facebook,4641619.0
2021-07-08,US,Facebook,4439342.0
2021-07-09,US,Facebook,4360419.0
2021-07-10,US,Facebook,4585359.0
2021-07-11,US,Facebook,4156293.0
2021-07-12,US,Facebook,3885512.0
2021-07-13,US,Facebook,4132873.0
2021-07-14,US,Facebook,4019704.0
2021-07-15,US,Facebook,4125169.0
2021-07-16,US,Facebook,3680716.0
2021-07-17,US,Facebook,3876758.0
2021-07-18,US,Facebook,3433914.0
2021-07-19,US,Facebook,3304225.0
2021-07-20,US,Facebook,2788954.0
2021-07-21,US,Facebook,3840453.0
2021-07-22,US,Facebook,3425353.0
2021-07-23,US,Facebook,3120981.0
2021-07-24,US,Facebook,3888985.0
2021-07-25,US,Facebook,4024011.0
2021-07-26,US,Facebook,3401531.0
2021-07-27,US,Facebook,3495392.0
2021-07-28,US,Facebook,3583349.0
2021-07-29,US,Facebook,3583167.0
2021-07-30,US,Facebook,3916553.0
2021-07-31,US,Facebook,5080993.0
2021-08-01,US,Facebook,4401678.0
2021-08-02,US,Facebook,3457432.0
2021-08-03,US,Facebook,3424559.0
2021-08-04,US,Facebook,4008501.0
2021-08-05,US,Facebook,3379386.0
2021-08-06,US,Facebook,4316677.0
2021-08-07,US,Facebook,4810184.0
2021-08-08,US,Facebook,4862786.0
2021-08-09,US,Facebook,3807274.0
2021-08-10,US,Facebook,3472855.0
2021-08-11,US,Facebook,3312247.0
2021-08-12,US,Facebook,3124801.0
2021-08-13,US,Facebook,3530398.0
2021-08-14,US,Facebook,4173291.0
2021-08-15,US,Facebook,4252222.0
2021-08-16,US,Facebook,3268138.0
2021-08-17,US,Facebook,3631057.0
2021-08-18,US,Facebook,3113322.0
