date,country,networks,market_volume
2021-04-26,US,IronSource,1569921.0
2021-04-27,US,IronSource,1309150.0
2021-04-28,US,IronSource,1348856.0
2021-04-29,US,IronSource,1341474.0
2021-04-30,US,IronSource,1619148.0
2021-05-01,US,IronSource,1835500.0
2021-05-02,US,IronSource,2143350.0
2021-05-03,US,IronSource,1391553.0
2021-05-04,US,IronSource,1488883.0
2021-05-05,US,IronSource,1474498.0
2021-05-06,US,IronSource,1258437.0
2021-05-07,US,IronSource,1294977.0
2021-05-08,US,IronSource,1612261.0
2021-05-09,US,IronSource,1882415.0
2021-05-10,US,IronSource,1316908.0
2021-05-11,US,IronSource,1359423.0
2021-05-12,US,IronSource,1370773.0
2021-05-13,US,IronSource,1349733.0
2021-05-14,US,IronSource,1709334.0
2021-05-15,US,IronSource,1754195.0
2021-05-16,US,IronSource,1777757.0
2021-05-17,US,IronSource,869490.0
2021-05-18,US,IronSource,1447532.0
2021-05-19,US,IronSource,1440398.0
2021-05-20,US,IronSource,1570599.0
2021-05-21,US,IronSource,1562538.0
2021-05-22,US,IronSource,1876173.0
2021-05-23,US,IronSource,2010638.0
2021-05-24,US,IronSource,1434927.0
2021-05-25,US,IronSource,1391913.0
2021-05-26,US,IronSource,1611778.0
2021-05-27,US,IronSource,1528523.0
2021-05-28,US,IronSource,1822551.0
2021-05-29,US,IronSource,1906858.0
2021-05-30,US,IronSource,2120909.0
2021-05-31,US,IronSource,1844416.0
2021-06-01,US,IronSource,1594804.0
2021-06-02,US,IronSource,1558108.0
2021-06-03,US,IronSource,1623091.0
2021-06-04,US,IronSource,1741367.0
2021-06-05,US,IronSource,1936486.0
2021-06-06,US,IronSource,1805082.0
2021-06-07,US,IronSource,1615558.0
2021-06-08,US,IronSource,1467908.0
2021-06-09,US,IronSource,1428268.0
2021-06-10,US,IronSource,1633982.0
2021-06-11,US,IronSource,1814963.0
2021-06-12,US,IronSource,1774116.0
2021-06-13,US,IronSource,1809422.0
2021-06-14,US,IronSource,1487182.0
2021-06-15,US,IronSource,1581836.0
2021-06-16,US,IronSource,1505271.0
2021-06-17,US,IronSource,1539067.0
2021-06-18,US,IronSource,1506489.0
2021-06-19,US,IronSource,1748073.0
2021-06-20,US,IronSource,2008070.0
2021-06-21,US,IronSource,1589159.0
2021-06-22,US,IronSource,1782744.0
2021-06-23,US,IronSource,1550303.0
2021-06-24,US,IronSource,1423431.0
2021-06-25,US,IronSource,1598526.0
2021-06-26,US,IronSource,1645434.0
2021-06-27,US,IronSource,1601937.0
2021-06-28,US,IronSource,1449780.0
2021-06-29,US,IronSource,1465785.0
2021-06-30,US,IronSource,1310044.0
2021-07-01,US,IronSource,1291623.0
2021-07-02,US,IronSource,1458664.0
2021-07-03,US,IronSource,1524028.0
2021-07-04,US,IronSource,1416311.0
2021-07-05,US,IronSource,1566074.0
2021-07-06,US,IronSource,1727215.0
2021-07-07,US,IronSource,1452674.0
2021-07-08,US,IronSource,1402633.0
2021-07-09,US,IronSource,1417261.0
2021-07-10,US,IronSource,1583686.0
2021-07-11,US,IronSource,1753292.0
2021-07-12,US,IronSource,1537537.0
2021-07-13,US,IronSource,1577131.0
2021-07-14,US,IronSource,1564688.0
2021-07-15,US,IronSource,1530083.0
2021-07-16,US,IronSource,1648176.0
2021-07-17,US,IronSource,1632472.0
2021-07-18,US,IronSource,1777583.0
2021-07-19,US,IronSource,1817367.0
2021-07-20,US,IronSource,1834300.0
2021-07-21,US,IronSource,1610917.0
2021-07-22,US,IronSource,1492029.0
2021-07-23,US,IronSource,1752284.0
2021-07-24,US,IronSource,1832909.0
2021-07-25,US,IronSource,2060519.0
2021-07-26,US,IronSource,1908925.0
2021-07-27,US,IronSource,1722315.0
2021-07-28,US,IronSource,1782145.0
2021-07-29,US,IronSource,1599611.0
2021-07-30,US,IronSource,1633018.0
2021-07-31,US,IronSource,1628283.0
2021-08-01,US,IronSource,2111752.0
2021-08-02,US,IronSource,1846120.0
2021-08-03,US,IronSource,1534644.0
2021-08-04,US,IronSource,1618057.0
2021-08-05,US,IronSource,1395964.0
2021-08-06,US,IronSource,1823986.0
2021-08-07,US,IronSource,1613379.0
2021-08-08,US,IronSource,1736435.0
2021-08-09,US,IronSource,1438142.0
2021-08-10,US,IronSource,1378730.0
2021-08-11,US,IronSource,1311702.0
2021-08-12,US,IronSource,1361283.0
2021-08-13,US,IronSource,1786986.0
2021-08-14,US,IronSource,2187173.0
2021-08-15,US,IronSource,2418555.0
2021-08-16,US,IronSource,1689611.0
2021-08-17,US,IronSource,1911873.0
2021-08-18,US,IronSource,1808460.0
2021-08-19,US,IronSource,1512767.0
2021-08-20,US,IronSource,1646872.0
2021-08-21,US,IronSource,1960843.0
2021-08-22,US,IronSource,2067140.0
