date,country,network,market_volume
2021-05-03,US,Unity,267785.0
2021-05-04,US,Unity,264149.0
2021-05-05,US,Unity,210182.0
2021-05-06,US,Unity,196705.0
2021-05-07,US,Unity,214291.0
2021-05-08,US,Unity,315499.0
2021-05-09,US,Unity,397475.0
2021-05-10,US,Unity,275342.0
2021-05-11,US,Unity,230253.0
2021-05-12,US,Unity,203516.0
2021-05-13,US,Unity,196233.0
2021-05-14,US,Unity,265094.0
2021-05-15,US,Unity,453420.0
2021-05-16,US,Unity,505986.0
2021-05-17,US,Unity,376379.0
2021-05-18,US,Unity,373154.0
2021-05-19,US,Unity,404506.0
2021-05-20,US,Unity,423264.0
2021-05-21,US,Unity,429348.0
2021-05-22,US,Unity,505523.0
2021-05-23,US,Unity,617453.0
2021-05-24,US,Unity,570054.0
2021-05-25,US,Unity,334657.0
2021-05-26,US,Unity,490766.0
2021-05-27,US,Unity,477985.0
2021-05-28,US,Unity,587041.0
2021-05-29,US,Unity,603208.0
2021-05-30,US,Unity,671813.0
2021-05-31,US,Unity,421372.0
2021-06-01,US,Unity,385167.0
2021-06-02,US,Unity,389107.0
2021-06-03,US,Unity,362328.0
2021-06-04,US,Unity,580901.0
2021-06-05,US,Unity,645897.0
2021-06-06,US,Unity,620263.0
2021-06-07,US,Unity,569568.0
2021-06-08,US,Unity,408274.0
2021-06-09,US,Unity,531139.0
2021-06-10,US,Unity,399806.0
2021-06-11,US,Unity,372629.0
2021-06-12,US,Unity,439984.0
2021-06-13,US,Unity,508346.0
2021-06-14,US,Unity,486467.0
2021-06-15,US,Unity,520434.0
2021-06-16,US,Unity,434395.0
2021-06-17,US,Unity,306650.0
2021-06-18,US,Unity,359204.0
2021-06-19,US,Unity,373683.0
2021-06-20,US,Unity,450435.0
2021-06-21,US,Unity,418151.0
2021-06-22,US,Unity,367062.0
2021-06-23,US,Unity,382380.0
2021-06-24,US,Unity,414761.0
2021-06-25,US,Unity,319721.0
2021-06-26,US,Unity,329515.0
2021-06-27,US,Unity,311405.0
2021-06-28,US,Unity,293295.0
2021-06-29,US,Unity,241826.0
2021-06-30,US,Unity,200290.0
2021-07-01,US,Unity,267067.0
2021-07-02,US,Unity,472739.0
2021-07-03,US,Unity,447669.0
2021-07-04,US,Unity,467814.0
2021-07-05,US,Unity,530941.0
2021-07-06,US,Unity,519169.0
2021-07-07,US,Unity,478549.0
2021-07-08,US,Unity,561871.0
2021-07-09,US,Unity,559688.0
2021-07-10,US,Unity,532661.0
2021-07-11,US,Unity,618645.0
2021-07-12,US,Unity,558200.0
2021-07-13,US,Unity,550958.0
2021-07-14,US,Unity,468585.0
2021-07-15,US,Unity,561952.0
2021-07-16,US,Unity,462872.0
2021-07-17,US,Unity,516399.0
2021-07-18,US,Unity,635261.0
2021-07-19,US,Unity,620002.0
2021-07-20,US,Unity,523126.0
2021-07-21,US,Unity,569155.0
2021-07-22,US,Unity,508135.0
2021-07-23,US,Unity,489398.0
2021-07-24,US,Unity,469259.0
2021-07-25,US,Unity,486340.0
2021-07-26,US,Unity,406054.0
2021-07-27,US,Unity,401073.0
2021-07-28,US,Unity,404854.0
2021-07-29,US,Unity,321500.0
2021-07-30,US,Unity,309897.0
2021-07-31,US,Unity,381332.0
2021-08-01,US,Unity,354973.0
2021-08-02,US,Unity,365173.0
2021-08-03,US,Unity,304971.0
2021-08-04,US,Unity,321499.0
2021-08-05,US,Unity,292058.0
2021-08-06,US,Unity,307370.0
2021-08-07,US,Unity,311684.0
2021-08-08,US,Unity,322071.0
2021-08-09,US,Unity,268803.0
2021-08-10,US,Unity,242053.0
2021-08-11,US,Unity,208467.0
2021-08-12,US,Unity,196189.0
2021-08-13,US,Unity,197918.0
2021-08-14,US,Unity,228740.0
2021-08-15,US,Unity,244122.0
