date,country,network,market_volume
2021-04-26,US,AdMob,8253428.0
2021-04-27,US,AdMob,8053179.0
2021-04-28,US,AdMob,7198164.0
2021-04-29,US,AdMob,7290988.0
2021-04-30,US,AdMob,7422609.0
2021-05-01,US,AdMob,10795781.0
2021-05-02,US,AdMob,9475260.0
2021-05-03,US,AdMob,8633908.0
2021-05-04,US,AdMob,7663607.0
2021-05-05,US,AdMob,7174984.0
2021-05-06,US,AdMob,7064525.0
2021-05-07,US,AdMob,8120334.0
2021-05-08,US,AdMob,9560323.0
2021-05-09,US,AdMob,10724748.0
2021-05-10,US,AdMob,8140408.0
2021-05-11,US,AdMob,7971449.0
2021-05-12,US,AdMob,8245594.0
2021-05-13,US,AdMob,8158620.0
2021-05-14,US,AdMob,7988199.0
2021-05-15,US,AdMob,12285646.0
2021-05-16,US,AdMob,11991165.0
2021-05-17,US,AdMob,10085846.0
2021-05-18,US,AdMob,9611283.0
2021-05-19,US,AdMob,9610920.0
2021-05-20,US,AdMob,12071523.0
2021-05-21,US,AdMob,7483696.0
2021-05-22,US,AdMob,9934633.0
2021-05-23,US,AdMob,6635022.0
2021-05-24,US,AdMob,5910399.0
2021-05-25,US,AdMob,7904271.0
2021-05-26,US,AdMob,7618230.0
2021-05-27,US,AdMob,5039380.0
2021-05-28,US,AdMob,8643816.0
2021-05-29,US,AdMob,9785150.0
2021-05-30,US,AdMob,9630757.0
2021-05-31,US,AdMob,8842688.0
2021-06-01,US,AdMob,7768911.0
2021-06-02,US,AdMob,9149223.0
2021-06-03,US,AdMob,6182991.0
2021-06-04,US,AdMob,8997060.0
2021-06-05,US,AdMob,9829153.0
2021-06-06,US,AdMob,7171251.0
2021-06-07,US,AdMob,6821845.0
2021-06-08,US,AdMob,6838076.0
2021-06-09,US,AdMob,4614610.0
2021-06-10,US,AdMob,4283746.0
2021-06-11,US,AdMob,3747295.0
2021-06-12,US,AdMob,4941759.0
2021-06-13,US,AdMob,5834546.0
2021-06-14,US,AdMob,3582558.0
2021-06-15,US,AdMob,3055621.0
2021-06-16,US,AdMob,2574839.0
2021-06-17,US,AdMob,2699616.0
2021-06-18,US,AdMob,2861718.0
2021-06-19,US,AdMob,3268603.0
2021-06-20,US,AdMob,3117872.0
2021-06-21,US,AdMob,3492852.0
2021-06-22,US,AdMob,3353604.0
2021-06-23,US,AdMob,3073846.0
2021-06-24,US,AdMob,3474314.0
2021-06-25,US,AdMob,8148101.0
2021-06-26,US,AdMob,5173013.0
2021-06-27,US,AdMob,5094509.0
2021-06-28,US,AdMob,2740985.0
2021-06-29,US,AdMob,4362541.0
2021-06-30,US,AdMob,4536885.0
2021-07-01,US,AdMob,4734025.0
2021-07-02,US,AdMob,5009797.0
2021-07-03,US,AdMob,4769579.0
2021-07-04,US,AdMob,3557156.0
2021-07-05,US,AdMob,4551268.0
2021-07-06,US,AdMob,4762215.0
2021-07-07,US,AdMob,4858488.0
2021-07-08,US,AdMob,5163108.0
2021-07-09,US,AdMob,4861444.0
2021-07-10,US,AdMob,5895357.0
2021-07-11,US,AdMob,5289472.0
2021-07-12,US,AdMob,4809782.0
2021-07-13,US,AdMob,3518099.0
2021-07-14,US,AdMob,3367090.0
2021-07-15,US,AdMob,3669562.0
2021-07-16,US,AdMob,5860523.0
2021-07-17,US,AdMob,5387513.0
2021-07-18,US,AdMob,3996128.0
2021-07-19,US,AdMob,5051972.0
2021-07-20,US,AdMob,5302770.0
2021-07-21,US,AdMob,4153301.0
2021-07-22,US,AdMob,4242358.0
2021-07-23,US,AdMob,3965616.0
2021-07-24,US,AdMob,3685564.0
2021-07-25,US,AdMob,4154228.0
2021-07-26,US,AdMob,4480138.0
2021-07-27,US,AdMob,7126251.0
2021-07-28,US,AdMob,6729063.0
2021-07-29,US,AdMob,4719477.0
2021-07-30,US,AdMob,5131906.0
2021-07-31,US,AdMob,8777046.0
2021-08-01,US,AdMob,9775760.0
2021-08-02,US,AdMob,11659667.0
2021-08-03,US,AdMob,8935822.0
2021-08-04,US,AdMob,6567029.0
2021-08-05,US,AdMob,7651063.0
2021-08-06,US,AdMob,5281530.0
2021-08-07,US,AdMob,6868244.0
2021-08-08,US,AdMob,7488006.0
2021-08-09,US,AdMob,6216333.0
2021-08-10,US,AdMob,8023295.0
2021-08-11,US,AdMob,8321496.0
2021-08-12,US,AdMob,8780571.0
2021-08-13,US,AdMob,4938367.0
2021-08-14,US,AdMob,5935013.0
2021-08-15,US,AdMob,5546612.0
2021-08-16,US,AdMob,5452467.0
2021-08-17,US,AdMob,4344149.0
2021-08-18,US,AdMob,5272136.0
2021-08-19,US,AdMob,4433222.0
2021-08-20,US,AdMob,4169345.0
2021-08-21,US,AdMob,6063398.0
2021-08-22,US,AdMob,6037066.0
2021-08-23,US,AdMob,4771096.0
2021-08-24,US,AdMob,6120126.0
2021-08-25,US,AdMob,6166943.0
2021-08-26,US,AdMob,6048916.0
2021-08-27,US,AdMob,6584555.0
2021-08-28,US,AdMob,7693778.0
2021-08-29,US,AdMob,8928234.0
2021-08-30,US,AdMob,6508823.0
2021-08-31,US,AdMob,6140106.0
2021-09-01,US,AdMob,5955562.0
2021-09-02,US,AdMob,5065663.0
2021-09-03,US,AdMob,5940131.0
2021-09-04,US,AdMob,7215160.0
2021-09-05,US,AdMob,9131193.0
2021-09-06,US,AdMob,8610900.0
2021-09-07,US,AdMob,6194833.0
2021-09-08,US,AdMob,5593614.0
2021-09-09,US,AdMob,4948965.0
2021-09-10,US,AdMob,3686663.0
2021-09-11,US,AdMob,6876052.0
2021-09-12,US,AdMob,6973859.0
2021-09-13,US,AdMob,5070284.0
2021-09-14,US,AdMob,3072842.0
2021-09-15,US,AdMob,3198961.0
2021-09-16,US,AdMob,4222804.0
2021-09-17,US,AdMob,5827119.0
2021-09-18,US,AdMob,8527441.0
