,date,country,platform,market_volume
0,2021-04-21,US,iOS,1573453.6653649008
1,2021-04-22,US,iOS,1417818.0854769077
2,2021-04-23,US,iOS,1637401.1084059766
3,2021-04-24,US,iOS,1598715.0680342
4,2021-04-25,US,iOS,1587156.615801868
5,2021-04-26,US,iOS,1273318.1095787764
6,2021-04-27,US,iOS,1400908.0126780604
7,2021-04-28,US,iOS,1431475.1124046212
8,2021-04-29,US,iOS,1368235.2235363158
9,2021-04-30,US,iOS,1377617.5563050646
10,2021-05-01,US,iOS,1595102.9169352334
11,2021-05-02,US,iOS,1410707.0673416047
12,2021-05-03,US,iOS,1192723.9412295432
13,2021-05-04,US,iOS,1218769.223597576
14,2021-05-05,US,iOS,1306847.583471402
15,2021-05-06,US,iOS,1172442.1914014476
16,2021-05-07,US,iOS,1489067.1372718744
17,2021-05-08,US,iOS,1566280.0254395686
18,2021-05-09,US,iOS,1557203.506725653
19,2021-05-10,US,iOS,1228905.3032157042
20,2021-05-11,US,iOS,1515678.7583186885
21,2021-05-12,US,iOS,1327044.04788203
22,2021-05-13,US,iOS,1349610.179004327
23,2021-05-14,US,iOS,1422276.6376698401
24,2021-05-15,US,iOS,1831745.4286613183
25,2021-05-16,US,iOS,1588376.969756246
26,2021-05-17,US,iOS,1335222.2328994672
27,2021-05-18,US,iOS,1569084.1630649532
28,2021-05-19,US,iOS,1462072.7709884436
29,2021-05-20,US,iOS,1672973.7534587178
30,2021-05-21,US,iOS,1564652.1935485138
31,2021-05-22,US,iOS,1796581.6551321459
32,2021-05-23,US,iOS,1665219.1637187924
33,2021-05-24,US,iOS,1376914.6635456246
34,2021-05-25,US,iOS,1476515.5772283575
35,2021-05-26,US,iOS,1389981.714917516
36,2021-05-27,US,iOS,1398827.2232883568
37,2021-05-28,US,iOS,1533581.4901838517
38,2021-05-29,US,iOS,1433978.8571373317
39,2021-05-30,US,iOS,1585485.6142796741
40,2021-05-31,US,iOS,1351806.804051289
41,2021-06-01,US,iOS,1182829.1300301198
42,2021-06-02,US,iOS,1185011.25625645
43,2021-06-03,US,iOS,1204554.6993506718
44,2021-06-04,US,iOS,1096212.5697144724
45,2021-06-05,US,iOS,1060407.4050679323
46,2021-06-06,US,iOS,1083551.461206418
47,2021-06-07,US,iOS,987242.8337503826
48,2021-06-08,US,iOS,967996.2484726538
49,2021-06-09,US,iOS,981913.828322264
50,2021-06-10,US,iOS,817374.4507977631
51,2021-06-11,US,iOS,842028.6771577436
52,2021-06-12,US,iOS,835388.1192434588
53,2021-06-13,US,iOS,722497.496606681
54,2021-06-14,US,iOS,751021.6891574498
55,2021-06-15,US,iOS,748705.6027123576
56,2021-06-16,US,iOS,699358.4580697755
57,2021-06-17,US,iOS,674357.9941703985
58,2021-06-18,US,iOS,720260.3485786609
59,2021-06-19,US,iOS,772732.1756659503
60,2021-06-20,US,iOS,736865.9453266195
61,2021-06-21,US,iOS,731470.9076736085
62,2021-06-22,US,iOS,787286.219967381
63,2021-06-23,US,iOS,823772.9228498414
64,2021-06-24,US,iOS,857792.4630793686
65,2021-06-25,US,iOS,948283.1171630805
66,2021-06-26,US,iOS,931577.8885310865
67,2021-06-27,US,iOS,950317.2133659354
68,2021-06-28,US,iOS,965079.9278988885
69,2021-06-29,US,iOS,971303.4774347119
70,2021-06-30,US,iOS,970820.918146043
71,2021-07-01,US,iOS,1012921.8741558274
72,2021-07-02,US,iOS,1024348.2791628072
73,2021-07-03,US,iOS,1135598.3574993368
74,2021-07-04,US,iOS,1010511.7698982318
75,2021-07-05,US,iOS,1268661.4024407547
76,2021-07-06,US,iOS,1170091.5882852261
77,2021-07-07,US,iOS,1157540.3069854141
78,2021-07-08,US,iOS,1016986.607362323
79,2021-07-09,US,iOS,1104960.9896099907
80,2021-07-10,US,iOS,1112522.5017658998
81,2021-07-11,US,iOS,1140102.0892982716
82,2021-07-12,US,iOS,933894.3429162846
83,2021-07-13,US,iOS,903272.232039776
84,2021-07-14,US,iOS,1030705.7972509515
85,2021-07-15,US,iOS,1016402.8469340644
86,2021-07-16,US,iOS,964361.3631699211
87,2021-07-17,US,iOS,1007073.3706124605
88,2021-07-18,US,iOS,1004916.1214335317
89,2021-07-19,US,iOS,1173805.0050630337
90,2021-07-20,US,iOS,1229477.2612327854
91,2021-07-21,US,iOS,1310123.3417313066
92,2021-07-22,US,iOS,1274999.4647396363
93,2021-07-23,US,iOS,1180125.958953031
94,2021-07-24,US,iOS,1170703.5190538468
95,2021-07-25,US,iOS,1193606.2335400074
96,2021-07-26,US,iOS,1250378.99281108
97,2021-07-27,US,iOS,1105925.8149027338
98,2021-07-28,US,iOS,1187794.6383857362
99,2021-07-29,US,iOS,1309887.6918460755
100,2021-07-30,US,iOS,1088287.2251476138
101,2021-07-31,US,iOS,1007246.7472534792
102,2021-08-01,US,iOS,1213647.119945818
103,2021-08-02,US,iOS,1029979.9102612562
104,2021-08-03,US,iOS,935494.6063919296
105,2021-08-04,US,iOS,986606.8770818079
106,2021-08-05,US,iOS,864199.4577274643
107,2021-08-06,US,iOS,946734.4747393604
108,2021-08-07,US,iOS,1021052.5198437978
109,2021-08-08,US,iOS,982042.8322776414
110,2021-08-09,US,iOS,937696.9359405845
111,2021-08-10,US,iOS,988575.2283308391
112,2021-08-11,US,iOS,799266.0865319951
113,2021-08-12,US,iOS,890589.8751964404
114,2021-08-13,US,iOS,963163.5881861454
115,2021-08-14,US,iOS,1034787.9438329687
116,2021-08-15,US,iOS,1086969.2748088907
