date,country,network,market_volume
2021-04-26,US,Amazon,2112213.0
2021-04-27,US,Amazon,2675136.0
2021-04-28,US,Amazon,2017757.0
2021-04-29,US,Amazon,2121479.0
2021-04-30,US,Amazon,2608315.0
2021-05-01,US,Amazon,2812912.0
2021-05-02,US,Amazon,2768654.0
2021-05-03,US,Amazon,1923538.0
2021-05-04,US,Amazon,2228401.0
2021-05-05,US,Amazon,2518076.0
2021-05-06,US,Amazon,2221883.0
2021-05-07,US,Amazon,2311479.0
2021-05-08,US,Amazon,2803802.0
2021-05-09,US,Amazon,3389904.0
2021-05-10,US,Amazon,1855797.0
2021-05-11,US,Amazon,2458972.0
2021-05-12,US,Amazon,2356906.0
2021-05-13,US,Amazon,2365677.0
2021-05-14,US,Amazon,2498987.0
2021-05-15,US,Amazon,3123554.0
2021-05-16,US,Amazon,3001391.0
2021-05-17,US,Amazon,2270415.0
2021-05-18,US,Amazon,2729841.0
2021-05-19,US,Amazon,2477267.0
2021-05-20,US,Amazon,2863532.0
2021-05-21,US,Amazon,2974066.0
2021-05-22,US,Amazon,3548114.0
2021-05-23,US,Amazon,3403821.0
2021-05-24,US,Amazon,2809283.0
2021-05-25,US,Amazon,2456773.0
2021-05-26,US,Amazon,2700709.0
2021-05-27,US,Amazon,2784018.0
2021-05-28,US,Amazon,3365373.0
2021-05-29,US,Amazon,3170556.0
2021-05-30,US,Amazon,3868331.0
2021-05-31,US,Amazon,2461713.0
2021-06-01,US,Amazon,1682954.0
2021-06-02,US,Amazon,2176973.0
2021-06-03,US,Amazon,1586896.0
2021-06-04,US,Amazon,1352199.0
2021-06-05,US,Amazon,1552394.0
2021-06-06,US,Amazon,1857654.0
2021-06-07,US,Amazon,1539250.0
2021-06-08,US,Amazon,1512173.0
2021-06-09,US,Amazon,2439204.0
2021-06-10,US,Amazon,2651478.0
2021-06-11,US,Amazon,2355487.0
2021-06-12,US,Amazon,2757157.0
2021-06-13,US,Amazon,2757749.0
2021-06-14,US,Amazon,1665602.0
2021-06-15,US,Amazon,2188320.0
2021-06-16,US,Amazon,1797465.0
2021-06-17,US,Amazon,1450930.0
2021-06-18,US,Amazon,2043469.0
2021-06-19,US,Amazon,1545938.0
2021-06-20,US,Amazon,1750647.0
2021-06-21,US,Amazon,1647852.0
2021-06-22,US,Amazon,2289478.0
2021-06-23,US,Amazon,1514983.0
2021-06-24,US,Amazon,1436185.0
2021-06-25,US,Amazon,1491223.0
2021-06-26,US,Amazon,1760138.0
2021-06-27,US,Amazon,1836340.0
2021-06-28,US,Amazon,1273174.0
2021-06-29,US,Amazon,1292810.0
2021-06-30,US,Amazon,1211069.0
2021-07-01,US,Amazon,1032425.0
2021-07-02,US,Amazon,1143110.0
2021-07-03,US,Amazon,1242492.0
2021-07-04,US,Amazon,1149016.0
2021-07-05,US,Amazon,1043841.0
2021-07-06,US,Amazon,1228606.0
2021-07-07,US,Amazon,1257327.0
2021-07-08,US,Amazon,1122419.0
2021-07-09,US,Amazon,1646398.0
2021-07-10,US,Amazon,1991271.0
2021-07-11,US,Amazon,1910682.0
2021-07-12,US,Amazon,1689734.0
2021-07-13,US,Amazon,1663335.0
2021-07-14,US,Amazon,1760963.0
2021-07-15,US,Amazon,2448428.0
2021-07-16,US,Amazon,3016111.0
2021-07-17,US,Amazon,3866326.0
2021-07-18,US,Amazon,2796895.0
2021-07-19,US,Amazon,2485710.0
2021-07-20,US,Amazon,2000567.0
2021-07-21,US,Amazon,2701275.0
2021-07-22,US,Amazon,1498625.0
2021-07-23,US,Amazon,1793183.0
2021-07-24,US,Amazon,1457143.0
2021-07-25,US,Amazon,1573032.0
2021-07-26,US,Amazon,1449184.0
2021-07-27,US,Amazon,1386173.0
2021-07-28,US,Amazon,1232022.0
2021-07-29,US,Amazon,1445647.0
2021-07-30,US,Amazon,1490073.0
2021-07-31,US,Amazon,1403676.0
2021-08-01,US,Amazon,1528380.0
2021-08-02,US,Amazon,1075312.0
2021-08-03,US,Amazon,952271.0
2021-08-04,US,Amazon,968124.0
2021-08-05,US,Amazon,966748.0
2021-08-06,US,Amazon,1239555.0
2021-08-07,US,Amazon,1439140.0
2021-08-08,US,Amazon,1108647.0
2021-08-09,US,Amazon,1079792.0
2021-08-10,US,Amazon,1207377.0
2021-08-11,US,Amazon,1319858.0
2021-08-12,US,Amazon,1466036.0
2021-08-13,US,Amazon,1353297.0
2021-08-14,US,Amazon,1640552.0
2021-08-15,US,Amazon,1653663.0
2021-08-16,US,Amazon,589335.0
2021-08-17,US,Amazon,786258.0
2021-08-18,US,Amazon,650370.0
2021-08-19,US,Amazon,636977.0
2021-08-20,US,Amazon,731663.0
2021-08-21,US,Amazon,925284.0
2021-08-22,US,Amazon,1044425.0
2021-08-23,US,Amazon,773726.0
2021-08-24,US,Amazon,1162246.0
2021-08-25,US,Amazon,813191.0
2021-08-26,US,Amazon,1073295.0
2021-08-27,US,Amazon,1025424.0
2021-08-28,US,Amazon,1508787.0
2021-08-29,US,Amazon,1786765.0
2021-08-30,US,Amazon,1012900.0
2021-08-31,US,Amazon,1590825.0
2021-09-01,US,Amazon,911896.0
2021-09-02,US,Amazon,960885.0
2021-09-03,US,Amazon,1842476.0
2021-09-04,US,Amazon,1795075.0
2021-09-05,US,Amazon,2246538.0
2021-09-06,US,Amazon,1383512.0
2021-09-07,US,Amazon,1246513.0
2021-09-08,US,Amazon,1576660.0
2021-09-09,US,Amazon,1574175.0
2021-09-10,US,Amazon,1934533.0
2021-09-11,US,Amazon,2184988.0
2021-09-12,US,Amazon,2610597.0
2021-09-13,US,Amazon,1717405.0
2021-09-14,US,Amazon,982125.0
2021-09-15,US,Amazon,1209608.0
2021-09-16,US,Amazon,1429021.0
2021-09-17,US,Amazon,1718897.0
2021-09-18,US,Amazon,2271948.0
2021-09-19,US,Amazon,2596293.0
2021-09-20,US,Amazon,2246426.0
2021-09-21,US,Amazon,2179684.0
2021-09-22,US,Amazon,1746796.0
2021-09-23,US,Amazon,2136080.0
2021-09-24,US,Amazon,2122480.0
2021-09-25,US,Amazon,2488838.0
2021-09-26,US,Amazon,3021374.0
2021-09-27,US,Amazon,1495299.0
2021-09-28,US,Amazon,1214707.0
2021-09-29,US,Amazon,1416876.0
2021-09-30,US,Amazon,503059.0
2021-10-01,US,Amazon,790500.0
2021-10-02,US,Amazon,2229161.0
2021-10-03,US,Amazon,3332734.0
2021-10-04,US,Amazon,2089821.0
2021-10-05,US,Amazon,1520854.0
2021-10-06,US,Amazon,1978913.0
2021-10-07,US,Amazon,1974445.0
2021-10-08,US,Amazon,2205330.0
2021-10-09,US,Amazon,3845468.0
2021-10-10,US,Amazon,2143744.0
2021-10-11,US,Amazon,1712752.0
2021-10-12,US,Amazon,1006739.0
2021-10-13,US,Amazon,1932868.0
2021-10-14,US,Amazon,6212928.0
2021-10-15,US,Amazon,5373038.0
2021-10-16,US,Amazon,1873070.0
2021-10-17,US,Amazon,3473645.0
2021-10-18,US,Amazon,2091841.0
2021-10-19,US,Amazon,1738968.0
2021-10-20,US,Amazon,1441703.0
2021-10-21,US,Amazon,2980128.0
2021-10-22,US,Amazon,1092652.0
2021-10-23,US,Amazon,1986454.0
2021-10-24,US,Amazon,1424943.0
2021-10-25,US,Amazon,654940.0
2021-10-26,US,Amazon,2202984.0
2021-10-27,US,Amazon,2262712.0
2021-10-28,US,Amazon,1959263.0
2021-10-29,US,Amazon,2373121.0
2021-10-30,US,Amazon,4085893.0
2021-10-31,US,Amazon,3537383.0
2021-11-01,US,Amazon,1534302.0
2021-11-02,US,Amazon,3715477.0
2021-11-03,US,Amazon,1644918.0
2021-11-04,US,Amazon,1709206.0
2021-11-05,US,Amazon,2196825.0
2021-11-06,US,Amazon,3762288.0
2021-11-07,US,Amazon,3957944.0
