date,country,network,market_volume
2021-04-26,US,AppLovin,1929528.0
2021-04-27,US,AppLovin,1962060.0
2021-04-28,US,AppLovin,2010894.0
2021-04-29,US,AppLovin,2028609.0
2021-04-30,US,AppLovin,2386164.0
2021-05-01,US,AppLovin,2974109.0
2021-05-02,US,AppLovin,2387312.0
2021-05-03,US,AppLovin,1893076.0
2021-05-04,US,AppLovin,2239461.0
2021-05-05,US,AppLovin,2176918.0
2021-05-06,US,AppLovin,2009847.0
2021-05-07,US,AppLovin,2298842.0
2021-05-08,US,AppLovin,2854136.0
2021-05-09,US,AppLovin,3193889.0
2021-05-10,US,AppLovin,2089726.0
2021-05-11,US,AppLovin,2290176.0
2021-05-12,US,AppLovin,2346299.0
2021-05-13,US,AppLovin,2291732.0
2021-05-14,US,AppLovin,2443982.0
2021-05-15,US,AppLovin,2941080.0
2021-05-16,US,AppLovin,2910235.0
2021-05-17,US,AppLovin,2273415.0
2021-05-18,US,AppLovin,2144362.0
2021-05-19,US,AppLovin,2114639.0
2021-05-20,US,AppLovin,2293283.0
2021-05-21,US,AppLovin,2292195.0
2021-05-22,US,AppLovin,2783939.0
2021-05-23,US,AppLovin,3042206.0
2021-05-24,US,AppLovin,2210110.0
2021-05-25,US,AppLovin,2239282.0
2021-05-26,US,AppLovin,1755963.0
2021-05-27,US,AppLovin,2184529.0
2021-05-28,US,AppLovin,2489447.0
2021-05-29,US,AppLovin,2214470.0
2021-05-30,US,AppLovin,2573772.0
2021-05-31,US,AppLovin,2267164.0
2021-06-01,US,AppLovin,2042882.0
2021-06-02,US,AppLovin,1916017.0
2021-06-03,US,AppLovin,1969022.0
2021-06-04,US,AppLovin,1918433.0
2021-06-05,US,AppLovin,2009102.0
2021-06-06,US,AppLovin,2284859.0
2021-06-07,US,AppLovin,1921960.0
2021-06-08,US,AppLovin,1728596.0
2021-06-09,US,AppLovin,1444618.0
2021-06-10,US,AppLovin,1782177.0
2021-06-11,US,AppLovin,1514803.0
2021-06-12,US,AppLovin,1845530.0
2021-06-13,US,AppLovin,2271460.0
2021-06-14,US,AppLovin,1470528.0
2021-06-15,US,AppLovin,1501626.0
2021-06-16,US,AppLovin,1474422.0
2021-06-17,US,AppLovin,1371616.0
2021-06-18,US,AppLovin,1452731.0
2021-06-19,US,AppLovin,1628151.0
2021-06-20,US,AppLovin,1900880.0
2021-06-21,US,AppLovin,1903365.0
2021-06-22,US,AppLovin,1568915.0
2021-06-23,US,AppLovin,1961744.0
2021-06-24,US,AppLovin,2043786.0
2021-06-25,US,AppLovin,2108375.0
2021-06-26,US,AppLovin,1724633.0
2021-06-27,US,AppLovin,2282239.0
2021-06-28,US,AppLovin,2030277.0
2021-06-29,US,AppLovin,2003275.0
2021-06-30,US,AppLovin,1563721.0
2021-07-01,US,AppLovin,2025943.0
2021-07-02,US,AppLovin,2136203.0
2021-07-03,US,AppLovin,1723286.0
2021-07-04,US,AppLovin,2060713.0
2021-07-05,US,AppLovin,2173105.0
2021-07-06,US,AppLovin,2182065.0
2021-07-07,US,AppLovin,1602148.0
2021-07-08,US,AppLovin,1520026.0
2021-07-09,US,AppLovin,1503248.0
2021-07-10,US,AppLovin,1490897.0
2021-07-11,US,AppLovin,1744936.0
2021-07-12,US,AppLovin,1520972.0
2021-07-13,US,AppLovin,1432591.0
2021-07-14,US,AppLovin,1435910.0
2021-07-15,US,AppLovin,1939836.0
2021-07-16,US,AppLovin,1688963.0
2021-07-17,US,AppLovin,1750007.0
2021-07-18,US,AppLovin,1882459.0
2021-07-19,US,AppLovin,2044757.0
2021-07-20,US,AppLovin,2025087.0
2021-07-21,US,AppLovin,2872547.0
2021-07-22,US,AppLovin,2030780.0
2021-07-23,US,AppLovin,1651309.0
2021-07-24,US,AppLovin,1709119.0
2021-07-25,US,AppLovin,1856257.0
2021-07-26,US,AppLovin,1952465.0
2021-07-27,US,AppLovin,1995819.0
2021-07-28,US,AppLovin,1481001.0
2021-07-29,US,AppLovin,1836039.0
2021-07-30,US,AppLovin,1320182.0
2021-07-31,US,AppLovin,1476754.0
2021-08-01,US,AppLovin,1567581.0
2021-08-02,US,AppLovin,1387787.0
2021-08-03,US,AppLovin,1419212.0
2021-08-04,US,AppLovin,1304357.0
2021-08-05,US,AppLovin,1294943.0
2021-08-06,US,AppLovin,1388399.0
2021-08-07,US,AppLovin,1537386.0
2021-08-08,US,AppLovin,1727732.0
2021-08-09,US,AppLovin,1611285.0
2021-08-10,US,AppLovin,1585914.0
2021-08-11,US,AppLovin,1407177.0
2021-08-12,US,AppLovin,1398620.0
2021-08-13,US,AppLovin,1459180.0
2021-08-14,US,AppLovin,1803461.0
2021-08-15,US,AppLovin,1852877.0
2021-08-16,US,AppLovin,1398101.0
2021-08-17,US,AppLovin,1364389.0
2021-08-18,US,AppLovin,1559968.0
2021-08-19,US,AppLovin,1525611.0
2021-08-20,US,AppLovin,1666220.0
2021-08-21,US,AppLovin,1701678.0
2021-08-22,US,AppLovin,1896151.0
2021-08-23,US,AppLovin,1407318.0
2021-08-24,US,AppLovin,1300518.0
2021-08-25,US,AppLovin,1593586.0
2021-08-26,US,AppLovin,1594809.0
2021-08-27,US,AppLovin,1787358.0
2021-08-28,US,AppLovin,2003353.0
2021-08-29,US,AppLovin,1815958.0
2021-08-30,US,AppLovin,1168513.0
2021-08-31,US,AppLovin,1148219.0
2021-09-01,US,AppLovin,1038984.0
2021-09-02,US,AppLovin,1040770.0
2021-09-03,US,AppLovin,1116063.0
2021-09-04,US,AppLovin,1369789.0
2021-09-05,US,AppLovin,2204432.0
2021-09-06,US,AppLovin,1451260.0
2021-09-07,US,AppLovin,1120725.0
2021-09-08,US,AppLovin,1056854.0
2021-09-09,US,AppLovin,1045055.0
2021-09-10,US,AppLovin,1374519.0
2021-09-11,US,AppLovin,1902471.0
2021-09-12,US,AppLovin,1599425.0
2021-09-13,US,AppLovin,883438.0
2021-09-14,US,AppLovin,887626.0
2021-09-15,US,AppLovin,942547.0
2021-09-16,US,AppLovin,1246981.0
2021-09-17,US,AppLovin,1379220.0
2021-09-18,US,AppLovin,1766668.0
