date,country,network,market_volume
2021-04-21,US,Chartboost,15114.0
2021-04-22,US,Chartboost,12463.0
2021-04-23,US,Chartboost,17874.0
2021-04-24,US,Chartboost,16275.0
2021-04-25,US,Chartboost,19166.0
2021-04-26,US,Chartboost,16338.0
2021-04-27,US,Chartboost,13543.0
2021-04-28,US,Chartboost,17773.0
2021-04-29,US,Chartboost,21047.0
2021-04-30,US,Chartboost,24599.0
2021-05-01,US,Chartboost,20840.0
2021-05-02,US,Chartboost,24753.0
2021-05-03,US,Chartboost,18074.0
2021-05-04,US,Chartboost,14231.0
2021-05-05,US,Chartboost,10748.0
2021-05-06,US,Chartboost,15138.0
2021-05-07,US,Chartboost,11190.0
2021-05-08,US,Chartboost,8949.0
2021-05-09,US,Chartboost,9612.0
2021-05-10,US,Chartboost,7605.0
2021-05-11,US,Chartboost,8718.0
2021-05-12,US,Chartboost,9116.0
2021-05-13,US,Chartboost,9824.0
2021-05-14,US,Chartboost,14373.0
2021-05-15,US,Chartboost,20330.0
2021-05-16,US,Chartboost,14596.0
2021-05-17,US,Chartboost,11299.0
2021-05-18,US,Chartboost,11884.0
2021-05-19,US,Chartboost,11175.0
2021-05-20,US,Chartboost,12486.0
2021-05-21,US,Chartboost,10927.0
2021-05-22,US,Chartboost,11973.0
2021-05-23,US,Chartboost,9550.0
2021-05-24,US,Chartboost,9088.0
2021-05-25,US,Chartboost,11005.0
2021-05-26,US,Chartboost,11979.0
2021-05-27,US,Chartboost,12088.0
2021-05-28,US,Chartboost,16795.0
2021-05-29,US,Chartboost,18671.0
2021-05-30,US,Chartboost,30220.0
2021-05-31,US,Chartboost,34134.0
2021-06-01,US,Chartboost,25303.0
2021-06-02,US,Chartboost,20873.0
2021-06-03,US,Chartboost,12178.0
2021-06-04,US,Chartboost,12294.0
2021-06-05,US,Chartboost,17940.0
2021-06-06,US,Chartboost,19652.0
2021-06-07,US,Chartboost,19875.0
2021-06-08,US,Chartboost,10272.0
2021-06-09,US,Chartboost,13243.0
2021-06-10,US,Chartboost,9830.0
2021-06-11,US,Chartboost,12138.0
2021-06-12,US,Chartboost,9876.0
2021-06-13,US,Chartboost,10323.0
2021-06-14,US,Chartboost,9663.0
2021-06-15,US,Chartboost,8272.0
2021-06-16,US,Chartboost,8396.0
2021-06-17,US,Chartboost,10494.0
2021-06-18,US,Chartboost,14237.0
2021-06-19,US,Chartboost,19834.0
2021-06-20,US,Chartboost,9579.0
2021-06-21,US,Chartboost,7829.0
2021-06-22,US,Chartboost,9431.0
2021-06-23,US,Chartboost,8659.0
2021-06-24,US,Chartboost,10217.0
2021-06-25,US,Chartboost,9077.0
2021-06-26,US,Chartboost,9017.0
2021-06-27,US,Chartboost,14586.0
2021-06-28,US,Chartboost,5707.0
2021-06-29,US,Chartboost,7396.0
2021-06-30,US,Chartboost,8960.0
2021-07-01,US,Chartboost,7884.0
2021-07-02,US,Chartboost,8108.0
2021-07-03,US,Chartboost,7445.0
2021-07-04,US,Chartboost,10295.0
2021-07-05,US,Chartboost,24362.0
2021-07-06,US,Chartboost,10211.0
2021-07-07,US,Chartboost,8004.0
2021-07-08,US,Chartboost,7153.0
2021-07-09,US,Chartboost,8485.0
2021-07-10,US,Chartboost,9705.0
2021-07-11,US,Chartboost,11791.0
2021-07-12,US,Chartboost,14396.0
2021-07-13,US,Chartboost,17183.0
2021-07-14,US,Chartboost,12436.0
2021-07-15,US,Chartboost,15232.0
2021-07-16,US,Chartboost,15867.0
2021-07-17,US,Chartboost,14462.0
2021-07-18,US,Chartboost,13069.0
2021-07-19,US,Chartboost,14671.0
2021-07-20,US,Chartboost,14539.0
2021-07-21,US,Chartboost,17028.0
2021-07-22,US,Chartboost,17835.0
2021-07-23,US,Chartboost,23488.0
2021-07-24,US,Chartboost,15506.0
2021-07-25,US,Chartboost,17498.0
2021-07-26,US,Chartboost,26355.0
2021-07-27,US,Chartboost,23689.0
2021-07-28,US,Chartboost,22239.0
2021-07-29,US,Chartboost,21062.0
2021-07-30,US,Chartboost,14901.0
2021-07-31,US,Chartboost,15338.0
2021-08-01,US,Chartboost,13242.0
2021-08-02,US,Chartboost,11450.0
2021-08-03,US,Chartboost,10522.0
2021-08-04,US,Chartboost,11711.0
2021-08-05,US,Chartboost,7584.0
2021-08-06,US,Chartboost,12573.0
2021-08-07,US,Chartboost,17361.0
2021-08-08,US,Chartboost,9466.0
2021-08-09,US,Chartboost,11043.0
2021-08-10,US,Chartboost,10146.0
2021-08-11,US,Chartboost,10734.0
2021-08-12,US,Chartboost,8745.0
2021-08-13,US,Chartboost,9970.0
2021-08-14,US,Chartboost,11479.0
2021-08-15,US,Chartboost,16248.0
