date,country,network,market_volume
2021-04-26,US,Facebook,775893.0
2021-04-27,US,Facebook,723345.0
2021-04-28,US,Facebook,785028.0
2021-04-29,US,Facebook,772523.0
2021-04-30,US,Facebook,859950.0
2021-05-01,US,Facebook,987397.0
2021-05-02,US,Facebook,883965.0
2021-05-03,US,Facebook,720425.0
2021-05-04,US,Facebook,683073.0
2021-05-05,US,Facebook,760188.0
2021-05-06,US,Facebook,683096.0
2021-05-07,US,Facebook,765744.0
2021-05-08,US,Facebook,915433.0
2021-05-09,US,Facebook,1042429.0
2021-05-10,US,Facebook,709105.0
2021-05-11,US,Facebook,805763.0
2021-05-12,US,Facebook,751615.0
2021-05-13,US,Facebook,839017.0
2021-05-14,US,Facebook,858094.0
2021-05-15,US,Facebook,1119004.0
2021-05-16,US,Facebook,1327236.0
2021-05-17,US,Facebook,916981.0
2021-05-18,US,Facebook,898346.0
2021-05-19,US,Facebook,913349.0
2021-05-20,US,Facebook,1029889.0
2021-05-21,US,Facebook,923028.0
2021-05-22,US,Facebook,1226347.0
2021-05-23,US,Facebook,1120401.0
2021-05-24,US,Facebook,941516.0
2021-05-25,US,Facebook,971482.0
2021-05-26,US,Facebook,984051.0
2021-05-27,US,Facebook,1072655.0
2021-05-28,US,Facebook,1228763.0
2021-05-29,US,Facebook,1205433.0
2021-05-30,US,Facebook,1316383.0
2021-05-31,US,Facebook,1032898.0
2021-06-01,US,Facebook,830837.0
2021-06-02,US,Facebook,907122.0
2021-06-03,US,Facebook,951023.0
2021-06-04,US,Facebook,806731.0
2021-06-05,US,Facebook,800568.0
2021-06-06,US,Facebook,791474.0
2021-06-07,US,Facebook,518652.0
2021-06-08,US,Facebook,537943.0
2021-06-09,US,Facebook,562216.0
2021-06-10,US,Facebook,457456.0
2021-06-11,US,Facebook,501091.0
2021-06-12,US,Facebook,365138.0
2021-06-13,US,Facebook,375613.0
2021-06-14,US,Facebook,314864.0
2021-06-15,US,Facebook,372235.0
2021-06-16,US,Facebook,323268.0
2021-06-17,US,Facebook,354472.0
2021-06-18,US,Facebook,325131.0
2021-06-19,US,Facebook,440194.0
2021-06-20,US,Facebook,454977.0
2021-06-21,US,Facebook,395765.0
2021-06-22,US,Facebook,344803.0
2021-06-23,US,Facebook,339752.0
2021-06-24,US,Facebook,401515.0
2021-06-25,US,Facebook,456587.0
2021-06-26,US,Facebook,481567.0
2021-06-27,US,Facebook,392148.0
2021-06-28,US,Facebook,360930.0
2021-06-29,US,Facebook,375742.0
2021-06-30,US,Facebook,355653.0
2021-07-01,US,Facebook,327392.0
2021-07-02,US,Facebook,350736.0
2021-07-03,US,Facebook,323021.0
2021-07-04,US,Facebook,270683.0
2021-07-05,US,Facebook,313950.0
2021-07-06,US,Facebook,252547.0
2021-07-07,US,Facebook,269356.0
2021-07-08,US,Facebook,247131.0
2021-07-09,US,Facebook,252791.0
2021-07-10,US,Facebook,336217.0
2021-07-11,US,Facebook,331797.0
2021-07-12,US,Facebook,298085.0
2021-07-13,US,Facebook,262308.0
2021-07-14,US,Facebook,268364.0
2021-07-15,US,Facebook,289460.0
2021-07-16,US,Facebook,291393.0
2021-07-17,US,Facebook,348624.0
2021-07-18,US,Facebook,359829.0
2021-07-19,US,Facebook,305672.0
2021-07-20,US,Facebook,365464.0
2021-07-21,US,Facebook,463485.0
2021-07-22,US,Facebook,310525.0
2021-07-23,US,Facebook,311180.0
2021-07-24,US,Facebook,298615.0
2021-07-25,US,Facebook,256959.0
2021-07-26,US,Facebook,231171.0
2021-07-27,US,Facebook,159812.0
2021-07-28,US,Facebook,191466.0
2021-07-29,US,Facebook,158688.0
2021-07-30,US,Facebook,178831.0
2021-07-31,US,Facebook,151130.0
2021-08-01,US,Facebook,179711.0
2021-08-02,US,Facebook,119485.0
2021-08-03,US,Facebook,111326.0
2021-08-04,US,Facebook,107331.0
2021-08-05,US,Facebook,98200.0
2021-08-06,US,Facebook,117081.0
2021-08-07,US,Facebook,111130.0
2021-08-08,US,Facebook,120892.0
2021-08-09,US,Facebook,88542.0
2021-08-10,US,Facebook,83634.0
2021-08-11,US,Facebook,58607.0
2021-08-12,US,Facebook,67763.0
2021-08-13,US,Facebook,86061.0
2021-08-14,US,Facebook,84369.0
2021-08-15,US,Facebook,82965.0
2021-08-16,US,Facebook,48662.0
2021-08-17,US,Facebook,42023.0
2021-08-18,US,Facebook,72640.0
2021-08-19,US,Facebook,60569.0
2021-08-20,US,Facebook,59605.0
2021-08-21,US,Facebook,102330.0
2021-08-22,US,Facebook,120660.0
2021-08-23,US,Facebook,47051.0
2021-08-24,US,Facebook,49621.0
2021-08-25,US,Facebook,64393.0
2021-08-26,US,Facebook,61527.0
2021-08-27,US,Facebook,55845.0
2021-08-28,US,Facebook,64425.0
2021-08-29,US,Facebook,78844.0
2021-08-30,US,Facebook,51060.0
2021-08-31,US,Facebook,43640.0
2021-09-01,US,Facebook,35051.0
2021-09-02,US,Facebook,35542.0
2021-09-03,US,Facebook,30806.0
2021-09-04,US,Facebook,66886.0
2021-09-05,US,Facebook,57851.0
2021-09-06,US,Facebook,35557.0
2021-09-07,US,Facebook,26425.0
2021-09-08,US,Facebook,27502.0
2021-09-09,US,Facebook,34493.0
2021-09-10,US,Facebook,35033.0
2021-09-11,US,Facebook,37537.0
2021-09-12,US,Facebook,48539.0
2021-09-13,US,Facebook,21173.0
2021-09-14,US,Facebook,20459.0
2021-09-15,US,Facebook,22666.0
2021-09-16,US,Facebook,26697.0
2021-09-17,US,Facebook,29505.0
2021-09-18,US,Facebook,31280.0
2021-09-19,US,Facebook,33071.0
2021-09-20,US,Facebook,26875.0
2021-09-21,US,Facebook,27237.0
2021-09-22,US,Facebook,18690.0
2021-09-23,US,Facebook,21531.0
2021-09-24,US,Facebook,20989.0
2021-09-25,US,Facebook,41745.0
2021-09-26,US,Facebook,34407.0
2021-09-27,US,Facebook,24597.0
2021-09-28,US,Facebook,17036.0
2021-09-29,US,Facebook,33392.0
2021-09-30,US,Facebook,17098.0
2021-10-01,US,Facebook,24906.0
2021-10-02,US,Facebook,24004.0
2021-10-03,US,Facebook,48016.0
2021-10-04,US,Facebook,17816.0
2021-10-05,US,Facebook,27164.0
2021-10-06,US,Facebook,19515.0
2021-10-07,US,Facebook,25198.0
2021-10-08,US,Facebook,24699.0
2021-10-09,US,Facebook,41927.0
2021-10-10,US,Facebook,48303.0
2021-10-11,US,Facebook,18297.0
2021-10-12,US,Facebook,30005.0
2021-10-13,US,Facebook,173429.0
2021-10-14,US,Facebook,40887.0
2021-10-15,US,Facebook,63090.0
2021-10-16,US,Facebook,10408.0
2021-10-17,US,Facebook,126053.0
2021-10-18,US,Facebook,18880.0
2021-10-19,US,Facebook,23793.0
2021-10-20,US,Facebook,17452.0
2021-10-21,US,Facebook,13544.0
2021-10-22,US,Facebook,26852.0
2021-10-23,US,Facebook,29428.0
2021-10-24,US,Facebook,35020.0
