date,country,network,market_volume
2021-04-26,US,IronSource,2060841.0
2021-04-27,US,IronSource,1648574.0
2021-04-28,US,IronSource,1639577.0
2021-04-29,US,IronSource,1663541.0
2021-04-30,US,IronSource,1843296.0
2021-05-01,US,IronSource,2206922.0
2021-05-02,US,IronSource,2348295.0
2021-05-03,US,IronSource,1778495.0
2021-05-04,US,IronSource,1832437.0
2021-05-05,US,IronSource,1807479.0
2021-05-06,US,IronSource,1703088.0
2021-05-07,US,IronSource,1903435.0
2021-05-08,US,IronSource,2788997.0
2021-05-09,US,IronSource,3191769.0
2021-05-10,US,IronSource,1658278.0
2021-05-11,US,IronSource,2228907.0
2021-05-12,US,IronSource,1885401.0
2021-05-13,US,IronSource,1693112.0
2021-05-14,US,IronSource,2101411.0
2021-05-15,US,IronSource,2466942.0
2021-05-16,US,IronSource,2610654.0
2021-05-17,US,IronSource,1628959.0
2021-05-18,US,IronSource,2050534.0
2021-05-19,US,IronSource,1906696.0
2021-05-20,US,IronSource,1600243.0
2021-05-21,US,IronSource,1610802.0
2021-05-22,US,IronSource,2294923.0
2021-05-23,US,IronSource,2395029.0
2021-05-24,US,IronSource,1526325.0
2021-05-25,US,IronSource,1530559.0
2021-05-26,US,IronSource,1542463.0
2021-05-27,US,IronSource,1729379.0
2021-05-28,US,IronSource,2150223.0
2021-05-29,US,IronSource,2218535.0
2021-05-30,US,IronSource,2386751.0
2021-05-31,US,IronSource,2080488.0
2021-06-01,US,IronSource,1849048.0
2021-06-02,US,IronSource,1822798.0
2021-06-03,US,IronSource,1725471.0
2021-06-04,US,IronSource,1694553.0
2021-06-05,US,IronSource,1784638.0
2021-06-06,US,IronSource,2021540.0
2021-06-07,US,IronSource,1561709.0
2021-06-08,US,IronSource,1199788.0
2021-06-09,US,IronSource,1477646.0
2021-06-10,US,IronSource,1207637.0
2021-06-11,US,IronSource,1273194.0
2021-06-12,US,IronSource,1299664.0
2021-06-13,US,IronSource,1449889.0
2021-06-14,US,IronSource,1297259.0
2021-06-15,US,IronSource,1269186.0
2021-06-16,US,IronSource,1215653.0
2021-06-17,US,IronSource,1152245.0
2021-06-18,US,IronSource,1177242.0
2021-06-19,US,IronSource,1261538.0
2021-06-20,US,IronSource,1675369.0
2021-06-21,US,IronSource,1241402.0
2021-06-22,US,IronSource,1257592.0
2021-06-23,US,IronSource,1630472.0
2021-06-24,US,IronSource,1747091.0
