date,country,network,market_volume
2021-04-26,US,Unity,2464691.0
2021-04-27,US,Unity,2288921.0
2021-04-28,US,Unity,2355308.0
2021-04-29,US,Unity,2201181.0
2021-04-30,US,Unity,1342233.0
2021-05-01,US,Unity,3311471.0
2021-05-02,US,Unity,2058747.0
2021-05-03,US,Unity,1558258.0
2021-05-04,US,Unity,1570426.0
2021-05-05,US,Unity,1512417.0
2021-05-06,US,Unity,1417627.0
2021-05-07,US,Unity,2680685.0
2021-05-08,US,Unity,3076623.0
2021-05-09,US,Unity,3654050.0
2021-05-10,US,Unity,2514772.0
2021-05-11,US,Unity,2707352.0
2021-05-12,US,Unity,2803353.0
2021-05-13,US,Unity,2727621.0
2021-05-14,US,Unity,2714632.0
2021-05-15,US,Unity,3267449.0
2021-05-16,US,Unity,3339696.0
2021-05-17,US,Unity,2443659.0
2021-05-18,US,Unity,2270428.0
2021-05-19,US,Unity,2375335.0
2021-05-20,US,Unity,2743958.0
2021-05-21,US,Unity,2632108.0
2021-05-22,US,Unity,3106823.0
2021-05-23,US,Unity,3256421.0
2021-05-24,US,Unity,2683073.0
2021-05-25,US,Unity,2601614.0
2021-05-26,US,Unity,2500731.0
2021-05-27,US,Unity,2592573.0
2021-05-28,US,Unity,3009297.0
2021-05-29,US,Unity,3150273.0
2021-05-30,US,Unity,3533606.0
2021-05-31,US,Unity,3181093.0
2021-06-01,US,Unity,2945633.0
2021-06-02,US,Unity,2725609.0
2021-06-03,US,Unity,2725489.0
2021-06-04,US,Unity,2626948.0
2021-06-05,US,Unity,2671051.0
2021-06-06,US,Unity,2978022.0
2021-06-07,US,Unity,2778346.0
2021-06-08,US,Unity,2318739.0
2021-06-09,US,Unity,2397483.0
2021-06-10,US,Unity,1383214.0
2021-06-11,US,Unity,1448434.0
2021-06-12,US,Unity,2318934.0
2021-06-13,US,Unity,2303588.0
2021-06-14,US,Unity,1388111.0
2021-06-15,US,Unity,1330897.0
2021-06-16,US,Unity,1382414.0
2021-06-17,US,Unity,1378487.0
2021-06-18,US,Unity,1434952.0
2021-06-19,US,Unity,1522164.0
2021-06-20,US,Unity,1816533.0
2021-06-21,US,Unity,1509659.0
2021-06-22,US,Unity,1462605.0
2021-06-23,US,Unity,1360381.0
2021-06-24,US,Unity,1496796.0
2021-06-25,US,Unity,1468783.0
2021-06-26,US,Unity,1530747.0
2021-06-27,US,Unity,2612321.0
2021-06-28,US,Unity,1526380.0
2021-06-29,US,Unity,1445030.0
2021-06-30,US,Unity,1436015.0
2021-07-01,US,Unity,1389543.0
2021-07-02,US,Unity,1420267.0
2021-07-03,US,Unity,1426107.0
2021-07-04,US,Unity,2243684.0
2021-07-05,US,Unity,2882317.0
2021-07-06,US,Unity,2264638.0
2021-07-07,US,Unity,2661459.0
2021-07-08,US,Unity,2969256.0
2021-07-09,US,Unity,2846237.0
2021-07-10,US,Unity,2843853.0
2021-07-11,US,Unity,2665071.0
2021-07-12,US,Unity,1514735.0
2021-07-13,US,Unity,1320058.0
2021-07-14,US,Unity,2064510.0
2021-07-15,US,Unity,1223238.0
2021-07-16,US,Unity,1450330.0
2021-07-17,US,Unity,1578926.0
2021-07-18,US,Unity,1634920.0
2021-07-19,US,Unity,3100537.0
2021-07-20,US,Unity,2497276.0
2021-07-21,US,Unity,3294718.0
2021-07-22,US,Unity,2746364.0
2021-07-23,US,Unity,2766966.0
2021-07-24,US,Unity,2898049.0
2021-07-25,US,Unity,3039905.0
2021-07-26,US,Unity,2293510.0
2021-07-27,US,Unity,2178504.0
2021-07-28,US,Unity,1515184.0
2021-07-29,US,Unity,2219808.0
2021-07-30,US,Unity,1663477.0
2021-07-31,US,Unity,1772465.0
2021-08-01,US,Unity,2033433.0
2021-08-02,US,Unity,1337604.0
2021-08-03,US,Unity,1505358.0
2021-08-04,US,Unity,1231275.0
2021-08-05,US,Unity,1322833.0
2021-08-06,US,Unity,1538677.0
2021-08-07,US,Unity,1524262.0
2021-08-08,US,Unity,1619579.0
2021-08-09,US,Unity,1103262.0
2021-08-10,US,Unity,1520319.0
2021-08-11,US,Unity,1387823.0
2021-08-12,US,Unity,1977740.0
2021-08-13,US,Unity,2151685.0
2021-08-14,US,Unity,2738807.0
2021-08-15,US,Unity,2657070.0
2021-08-16,US,Unity,2048218.0
2021-08-17,US,Unity,1942398.0
2021-08-18,US,Unity,1881545.0
2021-08-19,US,Unity,1866174.0
2021-08-20,US,Unity,2037005.0
2021-08-21,US,Unity,2394547.0
2021-08-22,US,Unity,2860293.0
2021-08-23,US,Unity,1853258.0
2021-08-24,US,Unity,1818790.0
2021-08-25,US,Unity,2143463.0
2021-08-26,US,Unity,1934470.0
2021-08-27,US,Unity,1958385.0
2021-08-28,US,Unity,2404743.0
2021-08-29,US,Unity,2635663.0
2021-08-30,US,Unity,1877654.0
2021-08-31,US,Unity,1900859.0
2021-09-01,US,Unity,1082351.0
2021-09-02,US,Unity,975008.0
2021-09-03,US,Unity,1844043.0
2021-09-04,US,Unity,2391987.0
2021-09-05,US,Unity,2557929.0
2021-09-06,US,Unity,2249504.0
2021-09-07,US,Unity,1679300.0
2021-09-08,US,Unity,1722606.0
2021-09-09,US,Unity,1129015.0
2021-09-10,US,Unity,1618033.0
2021-09-11,US,Unity,1497648.0
2021-09-12,US,Unity,1501696.0
2021-09-13,US,Unity,987195.0
2021-09-14,US,Unity,915409.0
2021-09-15,US,Unity,1505204.0
2021-09-16,US,Unity,1658509.0
2021-09-17,US,Unity,1721442.0
2021-09-18,US,Unity,2285716.0
