date,country,networks,market_volume
2021-04-26,WW,AdMob,20791457.0
2021-04-27,WW,AdMob,19050591.0
2021-04-28,WW,AdMob,21358125.0
2021-04-29,WW,AdMob,21829274.0
2021-04-30,WW,AdMob,23660536.0
2021-05-01,WW,AdMob,27120070.0
2021-05-02,WW,AdMob,23055953.0
2021-05-03,WW,AdMob,21518165.0
2021-05-04,WW,AdMob,19279301.0
2021-05-05,WW,AdMob,21652806.0
2021-05-06,WW,AdMob,18625734.0
2021-05-07,WW,AdMob,19147469.0
2021-05-08,WW,AdMob,25422151.0
2021-05-09,WW,AdMob,22816610.0
2021-05-10,WW,AdMob,17532125.0
2021-05-11,WW,AdMob,19201477.0
2021-05-12,WW,AdMob,18311630.0
2021-05-13,WW,AdMob,18744198.0
2021-05-14,WW,AdMob,22258212.0
2021-05-15,WW,AdMob,22109031.0
2021-05-16,WW,AdMob,22209941.0
2021-05-17,WW,AdMob,17689783.0
2021-05-18,WW,AdMob,21097410.0
2021-05-19,WW,AdMob,17685506.0
2021-05-20,WW,AdMob,16108647.0
2021-05-21,WW,AdMob,17098378.0
2021-05-22,WW,AdMob,22460995.0
2021-05-23,WW,AdMob,20394027.0
2021-05-24,WW,AdMob,17258325.0
2021-05-25,WW,AdMob,14104725.0
2021-05-26,WW,AdMob,18811097.0
2021-05-27,WW,AdMob,14346960.0
2021-05-28,WW,AdMob,20230711.0
2021-05-29,WW,AdMob,24154002.0
2021-05-30,WW,AdMob,22482823.0
2021-05-31,WW,AdMob,20212122.0
2021-06-01,WW,AdMob,14823499.0
2021-06-02,WW,AdMob,15396272.0
2021-06-03,WW,AdMob,14842820.0
2021-06-04,WW,AdMob,14048607.0
2021-06-05,WW,AdMob,16667553.0
2021-06-06,WW,AdMob,15653176.0
2021-06-07,WW,AdMob,12380830.0
2021-06-08,WW,AdMob,11720389.0
2021-06-09,WW,AdMob,11706515.0
2021-06-10,WW,AdMob,12935084.0
2021-06-11,WW,AdMob,14498530.0
2021-06-12,WW,AdMob,18596384.0
2021-06-13,WW,AdMob,19533766.0
2021-06-14,WW,AdMob,13017889.0
