,date,country,market_volume
0,2021-04-26,WW,138463972.1423325
1,2021-04-27,WW,136609480.6089453
2,2021-04-28,WW,132795039.6911334
3,2021-04-29,WW,132198651.31460565
4,2021-04-30,WW,152811192.14738065
5,2021-05-01,WW,157817753.52133432
6,2021-05-02,WW,162958496.1190583
7,2021-05-03,WW,134093125.85157757
8,2021-05-04,WW,129225464.82895727
9,2021-05-05,WW,143735207.19684803
10,2021-05-06,WW,131297373.27001937
11,2021-05-07,WW,126679054.44994576
12,2021-05-08,WW,145175303.4957332
13,2021-05-09,WW,155579829.04482365
14,2021-05-10,WW,116639631.60563312
15,2021-05-11,WW,116372548.99231385
16,2021-05-12,WW,120530518.409469
17,2021-05-13,WW,124275620.02735308
18,2021-05-14,WW,115594009.1518185
19,2021-05-15,WW,123407570.92652972
20,2021-05-16,WW,129187836.05774626
21,2021-05-17,WW,109024552.78146417
22,2021-05-18,WW,112045745.1592493
23,2021-05-19,WW,103346672.43786213
24,2021-05-20,WW,103804820.7848594
25,2021-05-21,WW,114055125.39401665
26,2021-05-22,WW,133534998.96446364
27,2021-05-23,WW,137724323.20322287
28,2021-05-24,WW,106452744.4404825
29,2021-05-25,WW,100289220.33942017
30,2021-05-26,WW,108171772.81558059
31,2021-05-27,WW,103922709.9898936
32,2021-05-28,WW,122730854.8337403
33,2021-05-29,WW,143463458.2309941
34,2021-05-30,WW,132740532.37139916
35,2021-05-31,WW,109370821.10473785
36,2021-06-01,WW,101465785.97949253
37,2021-06-02,WW,103624921.54936314
38,2021-06-03,WW,104342148.52935722
39,2021-06-04,WW,111173813.38449566
40,2021-06-05,WW,126663482.92495133
41,2021-06-06,WW,125111934.82757668
42,2021-06-07,WW,106369374.15543067
43,2021-06-08,WW,96731435.665626
44,2021-06-09,WW,100502276.35444482
45,2021-06-10,WW,113087811.89466228
46,2021-06-11,WW,104074783.7257448
47,2021-06-12,WW,127178725.67891596
48,2021-06-13,WW,135397780.87559414
49,2021-06-14,WW,106596298.50537068
50,2021-06-15,WW,102086558.58935249
51,2021-06-16,WW,100707659.04820168
52,2021-06-17,WW,114972119.58624324
53,2021-06-18,WW,127125191.4250537
54,2021-06-19,WW,137465865.11754534
55,2021-06-20,WW,141560871.6957635
56,2021-06-21,WW,123814126.25079584
57,2021-06-22,WW,116611112.57943372
58,2021-06-23,WW,117143710.10718727
59,2021-06-24,WW,104847568.85762939
60,2021-06-25,WW,119202003.59935714
61,2021-06-26,WW,150879324.3431415
62,2021-06-27,WW,144899736.82482854
63,2021-06-28,WW,117840607.99950244
64,2021-06-29,WW,124652728.22974677
65,2021-06-30,WW,102140603.18027131
66,2021-07-01,WW,97737701.9415161
67,2021-07-02,WW,112983427.45542741
68,2021-07-03,WW,104253029.65885034
69,2021-07-04,WW,101277914.85814847
70,2021-07-05,WW,91155844.00466816
71,2021-07-06,WW,94990353.31820002
72,2021-07-07,WW,89389878.22439577
73,2021-07-08,WW,88244931.01394105
74,2021-07-09,WW,94538455.7638596
75,2021-07-10,WW,106147289.97500595
76,2021-07-11,WW,118800843.72726187
77,2021-07-12,WW,99323541.71135727
78,2021-07-13,WW,109160936.29161792
79,2021-07-14,WW,114308388.8749666
80,2021-07-15,WW,108472553.22487365
81,2021-07-16,WW,106690632.44608748
82,2021-07-17,WW,116748799.79444899
83,2021-07-18,WW,127511012.25159645
84,2021-07-19,WW,99606259.99502668
85,2021-07-20,WW,98516598.82612409
86,2021-07-21,WW,92951062.3583483
87,2021-07-22,WW,82051691.76567464
88,2021-07-23,WW,76016656.71728744
89,2021-07-24,WW,78438722.32109483
90,2021-07-25,WW,89272949.65820526
91,2021-07-26,WW,78942637.5563374
92,2021-07-27,WW,81166442.36615871
93,2021-07-28,WW,91553630.55755217
94,2021-07-29,WW,98260449.66269934
95,2021-07-30,WW,101368829.253421
96,2021-07-31,WW,121252036.58382805
97,2021-08-01,WW,137362542.85013643
98,2021-08-02,WW,108509006.02189794
99,2021-08-03,WW,107886827.91074076
100,2021-08-04,WW,106162141.64851987
101,2021-08-05,WW,109506271.54482158
102,2021-08-06,WW,109380157.4436788
103,2021-08-07,WW,120310192.39910842
104,2021-08-08,WW,114851266.85707736
105,2021-08-09,WW,84081537.6185363
106,2021-08-10,WW,87325935.66124617
107,2021-08-11,WW,83691260.78674714
108,2021-08-12,WW,91501921.64510843
109,2021-08-13,WW,95279020.153398
110,2021-08-14,WW,103957336.71174036
111,2021-08-15,WW,87807297.94437434
112,2021-08-16,WW,67781523.13655019
113,2021-08-17,WW,67482392.74965478
114,2021-08-18,WW,68752976.32617481
115,2021-08-19,WW,65797356.022237234
116,2021-08-20,WW,87545189.07746941
117,2021-08-21,WW,83328014.75061598
118,2021-08-22,WW,88690870.0214133
119,2021-08-23,WW,63560958.37143059
120,2021-08-24,WW,64102810.187540896
121,2021-08-25,WW,65320699.208749436
122,2021-08-26,WW,66773902.88861172
123,2021-08-27,WW,72825668.63708265
124,2021-08-28,WW,87811075.50266248
125,2021-08-29,WW,89698604.42728432
126,2021-08-30,WW,66696095.412789404
127,2021-08-31,WW,72219570.60936974
128,2021-09-01,WW,71715667.83745956
129,2021-09-02,WW,79216341.40713474
130,2021-09-03,WW,82108029.81443422
131,2021-09-04,WW,107103311.1126852
132,2021-09-05,WW,116215650.43034507
133,2021-09-06,WW,92547264.91481291
134,2021-09-07,WW,69699336.74219175
135,2021-09-08,WW,70484294.78522238
136,2021-09-09,WW,69728528.24830003
137,2021-09-10,WW,75236251.65334667
138,2021-09-11,WW,107932320.80914006
139,2021-09-12,WW,91337026.75621688
140,2021-09-13,WW,63263545.13619907
141,2021-09-14,WW,62653307.84410268
142,2021-09-15,WW,82278190.78452641
143,2021-09-16,WW,69734779.17576711
144,2021-09-17,WW,91245535.5825457
145,2021-09-18,WW,111402559.2935491
