date,country,network,market_volume
2021-04-26,WW,Amazon,884911.0
2021-04-27,WW,Amazon,1203906.0
2021-04-28,WW,Amazon,763023.0
2021-04-29,WW,Amazon,831096.0
2021-04-30,WW,Amazon,1164777.0
2021-05-01,WW,Amazon,1411962.0
2021-05-02,WW,Amazon,1365867.0
2021-05-03,WW,Amazon,1103727.0
2021-05-04,WW,Amazon,1164886.0
2021-05-05,WW,Amazon,1159542.0
2021-05-06,WW,Amazon,1044058.0
2021-05-07,WW,Amazon,1042128.0
2021-05-08,WW,Amazon,1222721.0
2021-05-09,WW,Amazon,1261996.0
2021-05-10,WW,Amazon,716818.0
2021-05-11,WW,Amazon,837327.0
2021-05-12,WW,Amazon,903861.0
2021-05-13,WW,Amazon,922970.0
2021-05-14,WW,Amazon,982636.0
2021-05-15,WW,Amazon,1047457.0
2021-05-16,WW,Amazon,917050.0
2021-05-17,WW,Amazon,820722.0
2021-05-18,WW,Amazon,1130337.0
2021-05-19,WW,Amazon,1227563.0
2021-05-20,WW,Amazon,1232439.0
2021-05-21,WW,Amazon,1433887.0
2021-05-22,WW,Amazon,1509901.0
2021-05-23,WW,Amazon,1648477.0
2021-05-24,WW,Amazon,1015707.0
2021-05-25,WW,Amazon,1072192.0
2021-05-26,WW,Amazon,1075012.0
2021-05-27,WW,Amazon,1112885.0
2021-05-28,WW,Amazon,1285587.0
2021-05-29,WW,Amazon,1837435.0
2021-05-30,WW,Amazon,1394826.0
2021-05-31,WW,Amazon,1018815.0
2021-06-01,WW,Amazon,783723.0
2021-06-02,WW,Amazon,761268.0
2021-06-03,WW,Amazon,834064.0
2021-06-04,WW,Amazon,960869.0
2021-06-05,WW,Amazon,1188698.0
2021-06-06,WW,Amazon,1070402.0
2021-06-07,WW,Amazon,1067475.0
2021-06-08,WW,Amazon,1282668.0
2021-06-09,WW,Amazon,2051491.0
2021-06-10,WW,Amazon,2702534.0
2021-06-11,WW,Amazon,2090886.0
2021-06-12,WW,Amazon,2680288.0
2021-06-13,WW,Amazon,2710626.0
2021-06-14,WW,Amazon,2079229.0
2021-06-15,WW,Amazon,2423127.0
2021-06-16,WW,Amazon,2482787.0
2021-06-17,WW,Amazon,3547094.0
2021-06-18,WW,Amazon,4326321.0
2021-06-19,WW,Amazon,4333735.0
2021-06-20,WW,Amazon,3729020.0
2021-06-21,WW,Amazon,3951936.0
2021-06-22,WW,Amazon,4041388.0
2021-06-23,WW,Amazon,3580524.0
2021-06-24,WW,Amazon,2519418.0
2021-06-25,WW,Amazon,2202645.0
2021-06-26,WW,Amazon,1422596.0
2021-06-27,WW,Amazon,694229.0
2021-06-28,WW,Amazon,371841.0
2021-06-29,WW,Amazon,280005.0
2021-06-30,WW,Amazon,281291.0
2021-07-01,WW,Amazon,328688.0
2021-07-02,WW,Amazon,1196108.0
2021-07-03,WW,Amazon,1141206.0
2021-07-04,WW,Amazon,1031992.0
2021-07-05,WW,Amazon,1053000.0
2021-07-06,WW,Amazon,1423996.0
2021-07-07,WW,Amazon,1372696.0
2021-07-08,WW,Amazon,1195466.0
2021-07-09,WW,Amazon,1393939.0
2021-07-10,WW,Amazon,1562109.0
2021-07-11,WW,Amazon,2034823.0
2021-07-12,WW,Amazon,1821116.0
2021-07-13,WW,Amazon,2481746.0
2021-07-14,WW,Amazon,2866432.0
2021-07-15,WW,Amazon,2663634.0
2021-07-16,WW,Amazon,2982486.0
2021-07-17,WW,Amazon,2948056.0
2021-07-18,WW,Amazon,2949723.0
2021-07-19,WW,Amazon,1992009.0
2021-07-20,WW,Amazon,1759065.0
2021-07-21,WW,Amazon,1397990.0
2021-07-22,WW,Amazon,1198639.0
2021-07-23,WW,Amazon,860580.0
2021-07-24,WW,Amazon,921599.0
2021-07-25,WW,Amazon,816137.0
2021-07-26,WW,Amazon,841569.0
2021-07-27,WW,Amazon,1310580.0
2021-07-28,WW,Amazon,1853155.0
2021-07-29,WW,Amazon,2060909.0
2021-07-30,WW,Amazon,2142204.0
2021-07-31,WW,Amazon,3092218.0
2021-08-01,WW,Amazon,3079011.0
2021-08-02,WW,Amazon,2570419.0
