date,country,network,market_volume
2021-04-26,WW,AppLovin,17628883.0
2021-04-27,WW,AppLovin,16150177.0
2021-04-28,WW,AppLovin,15843212.0
2021-04-29,WW,AppLovin,16156854.0
2021-04-30,WW,AppLovin,18317098.0
2021-05-01,WW,AppLovin,16910443.0
2021-05-02,WW,AppLovin,18084440.0
2021-05-03,WW,AppLovin,14745559.0
2021-05-04,WW,AppLovin,14514134.0
2021-05-05,WW,AppLovin,15653305.0
2021-05-06,WW,AppLovin,12693776.0
2021-05-07,WW,AppLovin,13197727.0
2021-05-08,WW,AppLovin,14396870.0
2021-05-09,WW,AppLovin,16971247.0
2021-05-10,WW,AppLovin,13325521.0
2021-05-11,WW,AppLovin,11217448.0
2021-05-12,WW,AppLovin,12580922.0
2021-05-13,WW,AppLovin,11556205.0
2021-05-14,WW,AppLovin,14290489.0
2021-05-15,WW,AppLovin,14447328.0
2021-05-16,WW,AppLovin,15286657.0
2021-05-17,WW,AppLovin,16118874.0
2021-05-18,WW,AppLovin,13752085.0
2021-05-19,WW,AppLovin,14556290.0
2021-05-20,WW,AppLovin,14721569.0
2021-05-21,WW,AppLovin,17317773.0
2021-05-22,WW,AppLovin,19142265.0
2021-05-23,WW,AppLovin,20303213.0
2021-05-24,WW,AppLovin,15465417.0
2021-05-25,WW,AppLovin,14781167.0
2021-05-26,WW,AppLovin,16770591.0
2021-05-27,WW,AppLovin,16847355.0
2021-05-28,WW,AppLovin,20770011.0
2021-05-29,WW,AppLovin,21097906.0
2021-05-30,WW,AppLovin,19541865.0
2021-05-31,WW,AppLovin,15699460.0
2021-06-01,WW,AppLovin,15459601.0
2021-06-02,WW,AppLovin,15153680.0
2021-06-03,WW,AppLovin,16851786.0
2021-06-04,WW,AppLovin,19773090.0
2021-06-05,WW,AppLovin,19243538.0
2021-06-06,WW,AppLovin,20637242.0
2021-06-07,WW,AppLovin,19197826.0
2021-06-08,WW,AppLovin,16679641.0
2021-06-09,WW,AppLovin,14916420.0
2021-06-10,WW,AppLovin,15543145.0
2021-06-11,WW,AppLovin,14239691.0
2021-06-12,WW,AppLovin,15574811.0
2021-06-13,WW,AppLovin,16967918.0
2021-06-14,WW,AppLovin,14817987.0
2021-06-15,WW,AppLovin,13674818.0
2021-06-16,WW,AppLovin,11593889.0
2021-06-17,WW,AppLovin,13326056.0
2021-06-18,WW,AppLovin,13995268.0
2021-06-19,WW,AppLovin,16113812.0
2021-06-20,WW,AppLovin,16209644.0
2021-06-21,WW,AppLovin,13913409.0
2021-06-22,WW,AppLovin,11287154.0
2021-06-23,WW,AppLovin,11372041.0
2021-06-24,WW,AppLovin,12949701.0
2021-06-25,WW,AppLovin,13938179.0
2021-06-26,WW,AppLovin,14635474.0
2021-06-27,WW,AppLovin,15449053.0
2021-06-28,WW,AppLovin,12420103.0
2021-06-29,WW,AppLovin,13317116.0
2021-06-30,WW,AppLovin,12300047.0
2021-07-01,WW,AppLovin,13157216.0
2021-07-02,WW,AppLovin,12208491.0
2021-07-03,WW,AppLovin,12903525.0
2021-07-04,WW,AppLovin,13433988.0
2021-07-05,WW,AppLovin,11615564.0
2021-07-06,WW,AppLovin,11827528.0
2021-07-07,WW,AppLovin,11237248.0
2021-07-08,WW,AppLovin,10841213.0
2021-07-09,WW,AppLovin,11106515.0
2021-07-10,WW,AppLovin,12825016.0
2021-07-11,WW,AppLovin,13797732.0
2021-07-12,WW,AppLovin,11736635.0
2021-07-13,WW,AppLovin,12092662.0
2021-07-14,WW,AppLovin,11774886.0
2021-07-15,WW,AppLovin,11728324.0
2021-07-16,WW,AppLovin,11530512.0
2021-07-17,WW,AppLovin,12973020.0
2021-07-18,WW,AppLovin,13816512.0
2021-07-19,WW,AppLovin,12484377.0
2021-07-20,WW,AppLovin,12375507.0
2021-07-21,WW,AppLovin,12243952.0
2021-07-22,WW,AppLovin,11527702.0
2021-07-23,WW,AppLovin,11449286.0
2021-07-24,WW,AppLovin,12246299.0
2021-07-25,WW,AppLovin,13584981.0
2021-07-26,WW,AppLovin,11037389.0
2021-07-27,WW,AppLovin,10735526.0
2021-07-28,WW,AppLovin,9633894.0
2021-07-29,WW,AppLovin,9794514.0
2021-07-30,WW,AppLovin,9703078.0
2021-07-31,WW,AppLovin,10768180.0
2021-08-01,WW,AppLovin,12695655.0
2021-08-02,WW,AppLovin,10848147.0
2021-08-03,WW,AppLovin,10518858.0
2021-08-04,WW,AppLovin,10004448.0
2021-08-05,WW,AppLovin,9908616.0
2021-08-06,WW,AppLovin,10911458.0
2021-08-07,WW,AppLovin,12034237.0
2021-08-08,WW,AppLovin,13460897.0
2021-08-09,WW,AppLovin,9834868.0
2021-08-10,WW,AppLovin,9305937.0
2021-08-11,WW,AppLovin,9443678.0
2021-08-12,WW,AppLovin,9740853.0
2021-08-13,WW,AppLovin,9825686.0
2021-08-14,WW,AppLovin,10867351.0
2021-08-15,WW,AppLovin,12233225.0
2021-08-16,WW,AppLovin,9184064.0
2021-08-17,WW,AppLovin,12112349.0
2021-08-18,WW,AppLovin,11710623.0
2021-08-19,WW,AppLovin,9048452.0
2021-08-20,WW,AppLovin,12300313.0
2021-08-21,WW,AppLovin,14174735.0
2021-08-22,WW,AppLovin,15440913.0
2021-08-23,WW,AppLovin,8653474.0
2021-08-24,WW,AppLovin,8742629.0
2021-08-25,WW,AppLovin,9124840.0
2021-08-26,WW,AppLovin,9007198.0
2021-08-27,WW,AppLovin,12387894.0
2021-08-28,WW,AppLovin,16494890.0
2021-08-29,WW,AppLovin,17890583.0
2021-08-30,WW,AppLovin,12160802.0
2021-08-31,WW,AppLovin,11204919.0
2021-09-01,WW,AppLovin,11094613.0
2021-09-02,WW,AppLovin,12115208.0
2021-09-03,WW,AppLovin,13119834.0
2021-09-04,WW,AppLovin,15469176.0
2021-09-05,WW,AppLovin,18864224.0
2021-09-06,WW,AppLovin,14924229.0
2021-09-07,WW,AppLovin,13838530.0
2021-09-08,WW,AppLovin,14002166.0
2021-09-09,WW,AppLovin,12844258.0
2021-09-10,WW,AppLovin,14450481.0
2021-09-11,WW,AppLovin,15547879.0
2021-09-12,WW,AppLovin,16744187.0
2021-09-13,WW,AppLovin,12273184.0
2021-09-14,WW,AppLovin,13044494.0
2021-09-15,WW,AppLovin,13430333.0
2021-09-16,WW,AppLovin,13631145.0
2021-09-17,WW,AppLovin,14982393.0
2021-09-18,WW,AppLovin,16247556.0
2021-09-19,WW,AppLovin,19773565.0
2021-09-20,WW,AppLovin,12977886.0
2021-09-21,WW,AppLovin,12600636.0
2021-09-22,WW,AppLovin,12620753.0
2021-09-23,WW,AppLovin,12957386.0
2021-09-24,WW,AppLovin,15426612.0
2021-09-25,WW,AppLovin,18475511.0
2021-09-26,WW,AppLovin,19999854.0
2021-09-27,WW,AppLovin,14191455.0
2021-09-28,WW,AppLovin,14473719.0
2021-09-29,WW,AppLovin,14329565.0
2021-09-30,WW,AppLovin,13652036.0
2021-10-01,WW,AppLovin,16336691.0
2021-10-02,WW,AppLovin,16644513.0
2021-10-03,WW,AppLovin,19142889.0
2021-10-04,WW,AppLovin,13282672.0
2021-10-05,WW,AppLovin,13967104.0
2021-10-06,WW,AppLovin,13937143.0
2021-10-07,WW,AppLovin,15419653.0
2021-10-08,WW,AppLovin,16415788.0
2021-10-09,WW,AppLovin,19730760.0
2021-10-10,WW,AppLovin,17973066.0
2021-10-11,WW,AppLovin,12012372.0
2021-10-12,WW,AppLovin,9974514.0
2021-10-13,WW,AppLovin,11206649.0
2021-10-14,WW,AppLovin,8962526.0
2021-10-15,WW,AppLovin,10894170.0
2021-10-16,WW,AppLovin,13527251.0
2021-10-17,WW,AppLovin,12838447.0
2021-10-18,WW,AppLovin,9432976.0
2021-10-19,WW,AppLovin,9834931.0
2021-10-20,WW,AppLovin,10201668.0
2021-10-21,WW,AppLovin,11091407.0
2021-10-22,WW,AppLovin,12028501.0
2021-10-23,WW,AppLovin,14392108.0
2021-10-24,WW,AppLovin,14885940.0
