date,country,network,market_volume
2021-04-26,WW,Facebook,3416185.0
2021-04-27,WW,Facebook,3566952.0
2021-04-28,WW,Facebook,3557928.0
2021-04-29,WW,Facebook,3707083.0
2021-04-30,WW,Facebook,4259659.0
2021-05-01,WW,Facebook,3582560.0
2021-05-02,WW,Facebook,3719238.0
2021-05-03,WW,Facebook,2748185.0
2021-05-04,WW,Facebook,2654166.0
2021-05-05,WW,Facebook,3062547.0
2021-05-06,WW,Facebook,2766270.0
2021-05-07,WW,Facebook,2919617.0
2021-05-08,WW,Facebook,3529598.0
2021-05-09,WW,Facebook,4304648.0
2021-05-10,WW,Facebook,3391517.0
2021-05-11,WW,Facebook,3567436.0
2021-05-12,WW,Facebook,3453265.0
2021-05-13,WW,Facebook,3789962.0
2021-05-14,WW,Facebook,3188965.0
2021-05-15,WW,Facebook,3736477.0
2021-05-16,WW,Facebook,4192878.0
2021-05-17,WW,Facebook,3137414.0
2021-05-18,WW,Facebook,3231920.0
2021-05-19,WW,Facebook,4029761.0
2021-05-20,WW,Facebook,4384781.0
2021-05-21,WW,Facebook,4230242.0
2021-05-22,WW,Facebook,5436929.0
2021-05-23,WW,Facebook,5331622.0
2021-05-24,WW,Facebook,4294718.0
2021-05-25,WW,Facebook,4313009.0
2021-05-26,WW,Facebook,4415683.0
2021-05-27,WW,Facebook,4432603.0
2021-05-28,WW,Facebook,4479969.0
2021-05-29,WW,Facebook,5112050.0
2021-05-30,WW,Facebook,5261902.0
2021-05-31,WW,Facebook,3528691.0
2021-06-01,WW,Facebook,3449163.0
2021-06-02,WW,Facebook,3572499.0
2021-06-03,WW,Facebook,3545874.0
2021-06-04,WW,Facebook,4032347.0
2021-06-05,WW,Facebook,4415346.0
2021-06-06,WW,Facebook,4341743.0
2021-06-07,WW,Facebook,3513860.0
2021-06-08,WW,Facebook,2764735.0
2021-06-09,WW,Facebook,3061163.0
2021-06-10,WW,Facebook,3073262.0
2021-06-11,WW,Facebook,3238621.0
2021-06-12,WW,Facebook,3493333.0
2021-06-13,WW,Facebook,3587008.0
2021-06-14,WW,Facebook,3030951.0
2021-06-15,WW,Facebook,2695373.0
2021-06-16,WW,Facebook,2599765.0
2021-06-17,WW,Facebook,2842201.0
2021-06-18,WW,Facebook,2875151.0
2021-06-19,WW,Facebook,3382655.0
2021-06-20,WW,Facebook,3595081.0
2021-06-21,WW,Facebook,3115358.0
2021-06-22,WW,Facebook,2819114.0
2021-06-23,WW,Facebook,2853484.0
2021-06-24,WW,Facebook,2682531.0
2021-06-25,WW,Facebook,2742814.0
2021-06-26,WW,Facebook,2849146.0
2021-06-27,WW,Facebook,2249560.0
2021-06-28,WW,Facebook,1838319.0
2021-06-29,WW,Facebook,3201857.0
2021-06-30,WW,Facebook,2298697.0
2021-07-01,WW,Facebook,2508982.0
2021-07-02,WW,Facebook,2752615.0
2021-07-03,WW,Facebook,3189059.0
2021-07-04,WW,Facebook,3352868.0
2021-07-05,WW,Facebook,2886111.0
2021-07-06,WW,Facebook,2333240.0
2021-07-07,WW,Facebook,2789957.0
2021-07-08,WW,Facebook,2638864.0
2021-07-09,WW,Facebook,2753910.0
2021-07-10,WW,Facebook,2824590.0
2021-07-11,WW,Facebook,3037606.0
2021-07-12,WW,Facebook,1704432.0
2021-07-13,WW,Facebook,2640579.0
2021-07-14,WW,Facebook,2796039.0
2021-07-15,WW,Facebook,2592651.0
2021-07-16,WW,Facebook,2594814.0
2021-07-17,WW,Facebook,2905013.0
2021-07-18,WW,Facebook,3120269.0
2021-07-19,WW,Facebook,1340952.0
2021-07-20,WW,Facebook,1969860.0
2021-07-21,WW,Facebook,2938287.0
2021-07-22,WW,Facebook,2388693.0
2021-07-23,WW,Facebook,2808556.0
2021-07-24,WW,Facebook,3114012.0
2021-07-25,WW,Facebook,2419539.0
2021-07-26,WW,Facebook,1763851.0
2021-07-27,WW,Facebook,2136399.0
2021-07-28,WW,Facebook,2645898.0
2021-07-29,WW,Facebook,2756439.0
2021-07-30,WW,Facebook,2983492.0
2021-07-31,WW,Facebook,3376437.0
2021-08-01,WW,Facebook,4078520.0
2021-08-02,WW,Facebook,2693964.0
2021-08-03,WW,Facebook,2809155.0
2021-08-04,WW,Facebook,3858437.0
2021-08-05,WW,Facebook,3801935.0
2021-08-06,WW,Facebook,3907762.0
2021-08-07,WW,Facebook,4543133.0
2021-08-08,WW,Facebook,4734140.0
2021-08-09,WW,Facebook,3128199.0
2021-08-10,WW,Facebook,2977983.0
2021-08-11,WW,Facebook,2660195.0
2021-08-12,WW,Facebook,2893656.0
2021-08-13,WW,Facebook,2920106.0
2021-08-14,WW,Facebook,3215515.0
2021-08-15,WW,Facebook,3220669.0
2021-08-16,WW,Facebook,2640802.0
2021-08-17,WW,Facebook,2924874.0
2021-08-18,WW,Facebook,2959896.0
2021-08-19,WW,Facebook,2822772.0
2021-08-20,WW,Facebook,3137703.0
2021-08-21,WW,Facebook,3607662.0
2021-08-22,WW,Facebook,3844257.0
2021-08-23,WW,Facebook,2918980.0
2021-08-24,WW,Facebook,2907099.0
2021-08-25,WW,Facebook,2813654.0
2021-08-26,WW,Facebook,2970322.0
2021-08-27,WW,Facebook,3366209.0
2021-08-28,WW,Facebook,3918902.0
2021-08-29,WW,Facebook,3908477.0
2021-08-30,WW,Facebook,2846256.0
2021-08-31,WW,Facebook,2634034.0
2021-09-01,WW,Facebook,2774748.0
2021-09-02,WW,Facebook,2845793.0
2021-09-03,WW,Facebook,2917529.0
2021-09-04,WW,Facebook,3330228.0
2021-09-05,WW,Facebook,3448432.0
2021-09-06,WW,Facebook,2644255.0
2021-09-07,WW,Facebook,2358709.0
2021-09-08,WW,Facebook,2742806.0
2021-09-09,WW,Facebook,2672944.0
2021-09-10,WW,Facebook,3005254.0
2021-09-11,WW,Facebook,3202535.0
2021-09-12,WW,Facebook,3306624.0
2021-09-13,WW,Facebook,2345164.0
2021-09-14,WW,Facebook,2448474.0
2021-09-15,WW,Facebook,2336311.0
2021-09-16,WW,Facebook,2615503.0
2021-09-17,WW,Facebook,3020031.0
2021-09-18,WW,Facebook,3525159.0
2021-09-19,WW,Facebook,3848192.0
2021-09-20,WW,Facebook,2312496.0
2021-09-21,WW,Facebook,2550513.0
2021-09-22,WW,Facebook,2535319.0
2021-09-23,WW,Facebook,2731855.0
2021-09-24,WW,Facebook,3054752.0
2021-09-25,WW,Facebook,3396507.0
2021-09-26,WW,Facebook,3674701.0
2021-09-27,WW,Facebook,2682618.0
2021-09-28,WW,Facebook,2700400.0
2021-09-29,WW,Facebook,2926769.0
2021-09-30,WW,Facebook,2837461.0
2021-10-01,WW,Facebook,2927705.0
2021-10-02,WW,Facebook,3088784.0
2021-10-03,WW,Facebook,3050964.0
2021-10-04,WW,Facebook,1502039.0
2021-10-05,WW,Facebook,2579829.0
2021-10-06,WW,Facebook,2173578.0
2021-10-07,WW,Facebook,2835572.0
2021-10-08,WW,Facebook,2925721.0
2021-10-09,WW,Facebook,3576043.0
2021-10-10,WW,Facebook,3369052.0
2021-10-11,WW,Facebook,1913020.0
2021-10-12,WW,Facebook,1697730.0
2021-10-13,WW,Facebook,1766591.0
2021-10-14,WW,Facebook,1899888.0
2021-10-15,WW,Facebook,2002087.0
2021-10-16,WW,Facebook,2321041.0
2021-10-17,WW,Facebook,2573174.0
2021-10-18,WW,Facebook,1888940.0
2021-10-19,WW,Facebook,1906720.0
2021-10-20,WW,Facebook,1932914.0
2021-10-21,WW,Facebook,2097233.0
2021-10-22,WW,Facebook,2325073.0
2021-10-23,WW,Facebook,2512404.0
2021-10-24,WW,Facebook,2432378.0
