date,country,networks,market_volume
2021-04-26,WW,Unity,9394445.0
2021-04-27,WW,Unity,8857469.0
2021-04-28,WW,Unity,8284741.0
2021-04-29,WW,Unity,8313579.0
2021-04-30,WW,Unity,8892898.0
2021-05-01,WW,Unity,10451901.0
2021-05-02,WW,Unity,10554607.0
2021-05-03,WW,Unity,8557198.0
2021-05-04,WW,Unity,8411697.0
2021-05-05,WW,Unity,8615077.0
2021-05-06,WW,Unity,8504070.0
2021-05-07,WW,Unity,8655869.0
2021-05-08,WW,Unity,10167015.0
2021-05-09,WW,Unity,10856532.0
2021-05-10,WW,Unity,8543966.0
2021-05-11,WW,Unity,8309916.0
2021-05-12,WW,Unity,8374478.0
2021-05-13,WW,Unity,8609506.0
2021-05-14,WW,Unity,9091164.0
2021-05-15,WW,Unity,10560968.0
2021-05-16,WW,Unity,11016811.0
2021-05-17,WW,Unity,8225885.0
2021-05-18,WW,Unity,8775109.0
2021-05-19,WW,Unity,9392400.0
2021-05-20,WW,Unity,8996249.0
2021-05-21,WW,Unity,9094785.0
2021-05-22,WW,Unity,10833132.0
2021-05-23,WW,Unity,10987155.0
2021-05-24,WW,Unity,9129642.0
2021-05-25,WW,Unity,8787533.0
2021-05-26,WW,Unity,8922543.0
2021-05-27,WW,Unity,8850540.0
2021-05-28,WW,Unity,10527939.0
2021-05-29,WW,Unity,12431015.0
2021-05-30,WW,Unity,11750615.0
2021-05-31,WW,Unity,9678133.0
2021-06-01,WW,Unity,9434747.0
2021-06-02,WW,Unity,9115625.0
2021-06-03,WW,Unity,9364872.0
2021-06-04,WW,Unity,9593752.0
2021-06-05,WW,Unity,10619946.0
2021-06-06,WW,Unity,10654074.0
2021-06-07,WW,Unity,9301327.0
2021-06-08,WW,Unity,8114071.0
2021-06-09,WW,Unity,8222972.0
2021-06-10,WW,Unity,8258214.0
2021-06-11,WW,Unity,8350216.0
2021-06-12,WW,Unity,9228261.0
2021-06-13,WW,Unity,9608340.0
2021-06-14,WW,Unity,8147325.0
2021-06-15,WW,Unity,7425357.0
2021-06-16,WW,Unity,7658130.0
2021-06-17,WW,Unity,7463504.0
2021-06-18,WW,Unity,7821376.0
2021-06-19,WW,Unity,9009790.0
2021-06-20,WW,Unity,9410129.0
2021-06-21,WW,Unity,7853322.0
2021-06-22,WW,Unity,7448175.0
2021-06-23,WW,Unity,7305426.0
2021-06-24,WW,Unity,7423355.0
2021-06-25,WW,Unity,7478051.0
2021-06-26,WW,Unity,8043152.0
2021-06-27,WW,Unity,8063962.0
2021-06-28,WW,Unity,5475123.0
2021-06-29,WW,Unity,4906945.0
2021-06-30,WW,Unity,5408269.0
2021-07-01,WW,Unity,6858397.0
2021-07-02,WW,Unity,7897045.0
2021-07-03,WW,Unity,8547425.0
2021-07-04,WW,Unity,8892265.0
2021-07-05,WW,Unity,7768857.0
2021-07-06,WW,Unity,7691754.0
2021-07-07,WW,Unity,7414295.0
2021-07-08,WW,Unity,7733456.0
2021-07-09,WW,Unity,8366073.0
2021-07-10,WW,Unity,8604129.0
2021-07-11,WW,Unity,9389841.0
2021-07-12,WW,Unity,8190204.0
2021-07-13,WW,Unity,8249339.0
2021-07-14,WW,Unity,8412462.0
2021-07-15,WW,Unity,8019043.0
2021-07-16,WW,Unity,8425174.0
2021-07-17,WW,Unity,9197072.0
2021-07-18,WW,Unity,9431409.0
2021-07-19,WW,Unity,8652088.0
2021-07-20,WW,Unity,8961615.0
2021-07-21,WW,Unity,9156159.0
2021-07-22,WW,Unity,8199021.0
2021-07-23,WW,Unity,8530073.0
2021-07-24,WW,Unity,8998144.0
2021-07-25,WW,Unity,9768024.0
2021-07-26,WW,Unity,8773395.0
2021-07-27,WW,Unity,8239714.0
2021-07-28,WW,Unity,8368333.0
2021-07-29,WW,Unity,8282369.0
2021-07-30,WW,Unity,8216757.0
2021-07-31,WW,Unity,9227478.0
2021-08-01,WW,Unity,10767629.0
2021-08-02,WW,Unity,9469436.0
2021-08-03,WW,Unity,9494643.0
2021-08-04,WW,Unity,9009557.0
2021-08-05,WW,Unity,8819418.0
2021-08-06,WW,Unity,8649968.0
2021-08-07,WW,Unity,9115170.0
2021-08-08,WW,Unity,10638869.0
2021-08-09,WW,Unity,8033553.0
2021-08-10,WW,Unity,8135453.0
2021-08-11,WW,Unity,7833821.0
2021-08-12,WW,Unity,7983776.0
2021-08-13,WW,Unity,8379889.0
2021-08-14,WW,Unity,8998242.0
2021-08-15,WW,Unity,9820169.0
2021-08-16,WW,Unity,8015910.0
2021-08-17,WW,Unity,8020952.0
2021-08-18,WW,Unity,8018227.0
2021-08-19,WW,Unity,7886163.0
2021-08-20,WW,Unity,7976678.0
2021-08-21,WW,Unity,8903941.0
2021-08-22,WW,Unity,9839045.0
2021-08-23,WW,Unity,7635981.0
2021-08-24,WW,Unity,7527363.0
2021-08-25,WW,Unity,7634937.0
2021-08-26,WW,Unity,7579121.0
2021-08-27,WW,Unity,8297480.0
2021-08-28,WW,Unity,10294281.0
2021-08-29,WW,Unity,10813380.0
2021-08-30,WW,Unity,7720173.0
2021-08-31,WW,Unity,7533589.0
2021-09-01,WW,Unity,7538910.0
2021-09-02,WW,Unity,6903953.0
2021-09-03,WW,Unity,7772057.0
2021-09-04,WW,Unity,10056054.0
2021-09-05,WW,Unity,9292527.0
2021-09-06,WW,Unity,7919642.0
2021-09-07,WW,Unity,7446751.0
2021-09-08,WW,Unity,7345640.0
2021-09-09,WW,Unity,7333086.0
2021-09-10,WW,Unity,7572353.0
2021-09-11,WW,Unity,9260837.0
2021-09-12,WW,Unity,9187375.0
2021-09-13,WW,Unity,6629735.0
2021-09-14,WW,Unity,6807250.0
2021-09-15,WW,Unity,7465277.0
2021-09-16,WW,Unity,7736259.0
2021-09-17,WW,Unity,8156181.0
2021-09-18,WW,Unity,10548218.0
