date,country,network,market_volume
2021-04-26,WW,other,41493974580.0
2021-04-27,WW,other,20546437338.0
2021-04-28,WW,other,92493060714.0
2021-04-29,WW,other,49939549404.0
2021-04-30,WW,other,8134961372.0
2021-05-01,WW,other,77412747108.0
2021-05-02,WW,other,81603688990.0
2021-05-03,WW,other,59405223365.0
2021-05-04,WW,other,388264452.0
2021-05-05,WW,other,34880730849.0
2021-05-06,WW,other,71456409823.0
2021-05-07,WW,other,34620511589.0
2021-05-08,WW,other,73743034489.0
2021-05-09,WW,other,30140899105.0
2021-05-10,WW,other,54667642433.0
2021-05-11,WW,other,25083301754.0
2021-05-12,WW,other,60805729579.0
2021-05-13,WW,other,4756014504.0
2021-05-14,WW,other,31956177139.0
2021-05-15,WW,other,542878129.0
2021-05-16,WW,other,90685781444.0
2021-05-17,WW,other,7658519840.0
2021-05-18,WW,other,38425920129.0
2021-05-19,WW,other,72901497431.0
2021-05-20,WW,other,59535322264.0
2021-05-21,WW,other,92032399087.0
2021-05-22,WW,other,85878156665.0
2021-05-23,WW,other,99651725432.0
2021-05-24,WW,other,35116710073.0
2021-05-25,WW,other,39803635297.0
2021-05-26,WW,other,39826026709.0
2021-05-27,WW,other,76167390704.0
2021-05-28,WW,other,586000382.0
2021-05-29,WW,other,57727320032.0
2021-05-30,WW,other,8739425518.0
2021-05-31,WW,other,21585962557.0
2021-06-01,WW,other,35544433557.0
2021-06-02,WW,other,27884259237.0
2021-06-03,WW,other,39683246365.0
2021-06-04,WW,other,44938450396.0
2021-06-05,WW,other,18370934678.0
2021-06-06,WW,other,54049316254.0
2021-06-07,WW,other,27106178249.0
2021-06-08,WW,other,83969000585.0
2021-06-09,WW,other,19986473943.0
2021-06-10,WW,other,15867752570.0
2021-06-11,WW,other,27280231409.0
2021-06-12,WW,other,16228380207.0
2021-06-13,WW,other,25712180937.0
2021-06-14,WW,other,90417747212.0
2021-06-15,WW,other,431385869.0
2021-06-16,WW,other,360195594.0
2021-06-17,WW,other,313955727.0
2021-06-18,WW,other,65382670937.0
2021-06-19,WW,other,60990826040.0
2021-06-20,WW,other,62306498101.0
2021-06-21,WW,other,58159707678.0
2021-06-22,WW,other,57112553021.0
2021-06-23,WW,other,233652899.0
2021-06-24,WW,other,33873958037.0
2021-06-25,WW,other,300929897.0
2021-06-26,WW,other,31302908280.0
2021-06-27,WW,other,26233311294.0
2021-06-28,WW,other,59837993599.0
2021-06-29,WW,other,28565207573.0
2021-06-30,WW,other,22898413452.0
2021-07-01,WW,other,465007891.0
2021-07-02,WW,other,331914100.0
2021-07-03,WW,other,135118871.0
2021-07-04,WW,other,3590160956.0
2021-07-05,WW,other,93396355.0
2021-07-06,WW,other,95160644.0
2021-07-07,WW,other,92822127.0
2021-07-08,WW,other,105562971.0
2021-07-09,WW,other,94644141.0
2021-07-10,WW,other,18207540512.0
2021-07-11,WW,other,88239197.0
2021-07-12,WW,other,69208791.0
2021-07-13,WW,other,8358794795.0
2021-07-14,WW,other,19287831820.0
2021-07-15,WW,other,67039927.0
2021-07-16,WW,other,84411547.0
2021-07-17,WW,other,78915587.0
2021-07-18,WW,other,84776383.0
2021-07-19,WW,other,70098699.0
2021-07-20,WW,other,15407469579.0
2021-07-21,WW,other,103964780.0
2021-07-22,WW,other,93336676.0
2021-07-23,WW,other,87651996.0
2021-07-24,WW,other,97696182.0
2021-07-25,WW,other,90891839.0
2021-07-26,WW,other,8669365227.0
2021-07-27,WW,other,78070815.0
2021-07-28,WW,other,86862906.0
2021-07-29,WW,other,64091024.0
2021-07-30,WW,other,56582786.0
2021-07-31,WW,other,49545967.0
2021-08-01,WW,other,15296043358.0
2021-08-02,WW,other,11799571370.0
2021-08-03,WW,other,54609553.0
2021-08-04,WW,other,54122042.0
2021-08-05,WW,other,50729038.0
2021-08-06,WW,other,15739426665.0
2021-08-07,WW,other,6518973318.0
2021-08-08,WW,other,44770728.0
2021-08-09,WW,other,19435566954.0
2021-08-10,WW,other,17920415370.0
2021-08-11,WW,other,17794448078.0
2021-08-12,WW,other,37672495.0
2021-08-13,WW,other,42784711.0
2021-08-14,WW,other,4360225821.0
2021-08-15,WW,other,44145670.0
2021-08-16,WW,other,19050468491.0
2021-08-17,WW,other,38856941.0
2021-08-18,WW,other,18157039904.0
2021-08-19,WW,other,39405837.0
2021-08-20,WW,other,37172367.0
2021-08-21,WW,other,46981988.0
2021-08-22,WW,other,44997182.0
2021-08-23,WW,other,42706172.0
2021-08-24,WW,other,12403160694.0
2021-08-25,WW,other,4810672920.0
2021-08-26,WW,other,41508156.0
2021-08-27,WW,other,13768790348.0
2021-08-28,WW,other,20644196468.0
2021-08-29,WW,other,51995498.0
2021-08-30,WW,other,94730681.0
2021-08-31,WW,other,111095780.0
2021-09-01,WW,other,80214282.0
2021-09-02,WW,other,3451846921.0
2021-09-03,WW,other,39680125471.0
2021-09-04,WW,other,86692585.0
2021-09-05,WW,other,36651235.0
2021-09-06,WW,other,23965785440.0
2021-09-07,WW,other,31075746.0
2021-09-08,WW,other,34115260.0
2021-09-09,WW,other,15947242894.0
2021-09-10,WW,other,6585014228.0
2021-09-11,WW,other,36882276.0
2021-09-12,WW,other,15984262026.0
2021-09-13,WW,other,35550668.0
2021-09-14,WW,other,43951944.0
2021-09-15,WW,other,42928172.0
2021-09-16,WW,other,9638910820.0
2021-09-17,WW,other,15796447215.0
2021-09-18,WW,other,63572683.0
