,date,country,platform,market_volume
0,2021-04-26,WW,Android,10105439.058336822
1,2021-04-27,WW,Android,10151879.484682223
2,2021-04-28,WW,Android,9993300.03518563
3,2021-04-29,WW,Android,10320581.258226058
4,2021-04-30,WW,Android,11584516.080506809
5,2021-05-01,WW,Android,10686978.4016111
6,2021-05-02,WW,Android,10639251.72629559
7,2021-05-03,WW,Android,9549293.678377911
8,2021-05-04,WW,Android,9361976.970505971
9,2021-05-05,WW,Android,9662677.888105951
10,2021-05-06,WW,Android,9199086.455387007
11,2021-05-07,WW,Android,9210614.67599601
12,2021-05-08,WW,Android,10312280.747839201
13,2021-05-09,WW,Android,11009347.43814638
14,2021-05-10,WW,Android,9006202.606307255
15,2021-05-11,WW,Android,8873701.884098873
16,2021-05-12,WW,Android,9174625.741884809
17,2021-05-13,WW,Android,9479988.055448728
18,2021-05-14,WW,Android,8766724.854453677
19,2021-05-15,WW,Android,9564915.342599818
20,2021-05-16,WW,Android,9746143.074845545
21,2021-05-17,WW,Android,8220373.2353373
22,2021-05-18,WW,Android,8213267.760170598
23,2021-05-19,WW,Android,7921306.554922503
24,2021-05-20,WW,Android,7991067.908908881
25,2021-05-21,WW,Android,9111365.903510572
26,2021-05-22,WW,Android,10027061.701313555
27,2021-05-23,WW,Android,10632746.346751617
28,2021-05-24,WW,Android,8334291.538377526
29,2021-05-25,WW,Android,8168314.381664491
30,2021-05-26,WW,Android,8506045.73044261
31,2021-05-27,WW,Android,8317155.125091197
32,2021-05-28,WW,Android,9318716.739932753
33,2021-05-29,WW,Android,10765618.304992544
34,2021-05-30,WW,Android,9869931.120328832
35,2021-05-31,WW,Android,7870629.791582245
36,2021-06-01,WW,Android,7457500.403157221
37,2021-06-02,WW,Android,7744704.956253362
38,2021-06-03,WW,Android,8016136.755263186
39,2021-06-04,WW,Android,9042060.662833203
40,2021-06-05,WW,Android,10166467.559022047
41,2021-06-06,WW,Android,10075645.941684902
42,2021-06-07,WW,Android,8374422.07071071
43,2021-06-08,WW,Android,7795106.118360341
44,2021-06-09,WW,Android,8212303.055745641
45,2021-06-10,WW,Android,9118232.806613509
46,2021-06-11,WW,Android,8979890.990234192
47,2021-06-12,WW,Android,10396341.918371104
48,2021-06-13,WW,Android,10599998.659302946
49,2021-06-14,WW,Android,8989981.7620534
50,2021-06-15,WW,Android,8814227.686649159
51,2021-06-16,WW,Android,8591445.460845392
52,2021-06-17,WW,Android,10134609.415571423
53,2021-06-18,WW,Android,11186996.028905945
54,2021-06-19,WW,Android,11720452.834418874
55,2021-06-20,WW,Android,11451693.350207921
56,2021-06-21,WW,Android,10647942.41185338
57,2021-06-22,WW,Android,10195751.571385937
58,2021-06-23,WW,Android,9740926.906951213
59,2021-06-24,WW,Android,8257165.95082821
60,2021-06-25,WW,Android,9068763.734171294
61,2021-06-26,WW,Android,10016816.700617919
62,2021-06-27,WW,Android,9057929.170834444
63,2021-06-28,WW,Android,7477582.739565071
64,2021-06-29,WW,Android,8983718.913422257
65,2021-06-30,WW,Android,8064005.746576083
66,2021-07-01,WW,Android,7948544.6881194385
67,2021-07-02,WW,Android,8511206.76662959
68,2021-07-03,WW,Android,8487857.695183935
69,2021-07-04,WW,Android,8392254.195383253
70,2021-07-05,WW,Android,7387592.89048107
71,2021-07-06,WW,Android,7323456.42785703
72,2021-07-07,WW,Android,7354015.108452966
73,2021-07-08,WW,Android,7047989.135705691
74,2021-07-09,WW,Android,7353140.097719301
75,2021-07-10,WW,Android,7940631.2750250045
76,2021-07-11,WW,Android,8755704.172034483
77,2021-07-12,WW,Android,6862391.44373129
78,2021-07-13,WW,Android,8146673.780231075
79,2021-07-14,WW,Android,8513461.733380819
80,2021-07-15,WW,Android,7967406.658318758
81,2021-07-16,WW,Android,8441506.402166203
82,2021-07-17,WW,Android,8884746.909645826
83,2021-07-18,WW,Android,9271722.833479198
84,2021-07-19,WW,Android,6317929.946424509
85,2021-07-20,WW,Android,6452752.259504868
86,2021-07-21,WW,Android,6820761.88415318
87,2021-07-22,WW,Android,6197504.476455823
88,2021-07-23,WW,Android,6198785.421893847
89,2021-07-24,WW,Android,6714936.762047015
90,2021-07-25,WW,Android,7204349.0524737565
91,2021-07-26,WW,Android,6127163.085343819
92,2021-07-27,WW,Android,6133234.588431611
93,2021-07-28,WW,Android,6957948.611923975
94,2021-07-29,WW,Android,7677170.425265698
95,2021-07-30,WW,Android,7901232.286705736
96,2021-07-31,WW,Android,9118773.963117775
97,2021-08-01,WW,Android,11089417.985422254
98,2021-08-02,WW,Android,8220034.627905977
99,2021-08-03,WW,Android,7939125.676235797
100,2021-08-04,WW,Android,8901980.134129157
101,2021-08-05,WW,Android,9358381.466286652
102,2021-08-06,WW,Android,9537543.306998733
103,2021-08-07,WW,Android,10437968.240532188
104,2021-08-08,WW,Android,10255625.800919313
105,2021-08-09,WW,Android,7042274.394492622
106,2021-08-10,WW,Android,7259816.611532773
107,2021-08-11,WW,Android,7133100.144176634
108,2021-08-12,WW,Android,7566729.483222888
109,2021-08-13,WW,Android,7664228.69245513
110,2021-08-14,WW,Android,8371843.539106721
111,2021-08-15,WW,Android,7728381.701045777
112,2021-08-16,WW,Android,6161624.9482898675
113,2021-08-17,WW,Android,6652067.278572457
114,2021-08-18,WW,Android,6598722.497418374
115,2021-08-19,WW,Android,6142501.902902892
116,2021-08-20,WW,Android,10413302.419448668
117,2021-08-21,WW,Android,7864369.490956553
118,2021-08-22,WW,Android,8271581.732196106
119,2021-08-23,WW,Android,6108702.073214406
120,2021-08-24,WW,Android,6173755.218696868
121,2021-08-25,WW,Android,6104467.367773201
122,2021-08-26,WW,Android,6274400.624763261
123,2021-08-27,WW,Android,7076854.317204745
124,2021-08-28,WW,Android,8230282.542551821
125,2021-08-29,WW,Android,8279576.355617348
126,2021-08-30,WW,Android,6685889.911249778
127,2021-08-31,WW,Android,6720426.098436531
128,2021-09-01,WW,Android,6769621.116190259
129,2021-09-02,WW,Android,7504976.202876272
130,2021-09-03,WW,Android,7498176.36294621
131,2021-09-04,WW,Android,12720541.524700139
132,2021-09-05,WW,Android,13875924.887049276
133,2021-09-06,WW,Android,11430986.37745358
134,2021-09-07,WW,Android,6454978.894765409
135,2021-09-08,WW,Android,6848145.249558539
136,2021-09-09,WW,Android,6901838.079405484
137,2021-09-10,WW,Android,7408296.910761669
138,2021-09-11,WW,Android,12694251.533325844
139,2021-09-12,WW,Android,8652037.752627531
140,2021-09-13,WW,Android,6341634.761546431
141,2021-09-14,WW,Android,6251378.261666233
142,2021-09-15,WW,Android,9861924.638961364
143,2021-09-16,WW,Android,6713411.4789024
144,2021-09-17,WW,Android,10862965.187441308
145,2021-09-18,WW,Android,13631368.654836621
146,2021-09-19,WW,Android,9511644.99597666
147,2021-09-20,WW,Android,6071277.495354351
148,2021-09-21,WW,Android,9572939.068770906
149,2021-09-22,WW,Android,10392394.653274793
150,2021-09-23,WW,Android,10705451.825545521
151,2021-09-24,WW,Android,12000802.870029187
152,2021-09-25,WW,Android,13093244.366567818
153,2021-09-26,WW,Android,13390393.28312091
154,2021-09-27,WW,Android,10035390.153821792
155,2021-09-28,WW,Android,14145170.278159164
156,2021-09-29,WW,Android,15072820.743270943
157,2021-09-30,WW,Android,11598084.630442042
158,2021-10-01,WW,Android,11916834.929776901
159,2021-10-02,WW,Android,8060371.706317309
160,2021-10-03,WW,Android,12930461.089769877
161,2021-10-04,WW,Android,6277272.415808223
162,2021-10-05,WW,Android,10527806.526243446
163,2021-10-06,WW,Android,10746561.585852055
164,2021-10-07,WW,Android,10852146.231968855
165,2021-10-08,WW,Android,12125874.178680941
166,2021-10-09,WW,Android,12415874.210525392
167,2021-10-10,WW,Android,14354593.142210178
168,2021-10-11,WW,Android,12182048.786122285
169,2021-10-12,WW,Android,10177613.996666122
170,2021-10-13,WW,Android,10382898.484457778
171,2021-10-14,WW,Android,5425461.2262739595
172,2021-10-15,WW,Android,6242396.107271623
173,2021-10-16,WW,Android,7360879.408406324
174,2021-10-17,WW,Android,7841336.012689796
175,2021-10-18,WW,Android,6114586.44575731
176,2021-10-19,WW,Android,5954431.096034429
177,2021-10-20,WW,Android,5923261.3368186755
178,2021-10-21,WW,Android,6595599.591377511
179,2021-10-22,WW,Android,6872405.365801115
180,2021-10-23,WW,Android,8133494.885124496
181,2021-10-24,WW,Android,7818367.979656017
