date,country,network,market_volume
2021-04-26,WW,Amazon,36077360.0
2021-04-27,WW,Amazon,34251169.0
2021-04-28,WW,Amazon,31156133.0
2021-04-29,WW,Amazon,29918439.0
2021-04-30,WW,Amazon,38563706.0
2021-05-01,WW,Amazon,44954677.0
2021-05-02,WW,Amazon,51468066.0
2021-05-03,WW,Amazon,40005318.0
2021-05-04,WW,Amazon,38437923.0
2021-05-05,WW,Amazon,40096224.0
2021-05-06,WW,Amazon,36787288.0
2021-05-07,WW,Amazon,33422762.0
2021-05-08,WW,Amazon,37098634.0
2021-05-09,WW,Amazon,37646028.0
2021-05-10,WW,Amazon,26208603.0
2021-05-11,WW,Amazon,25985404.0
2021-05-12,WW,Amazon,29157163.0
2021-05-13,WW,Amazon,30601485.0
2021-05-14,WW,Amazon,22895272.0
2021-05-15,WW,Amazon,19801170.0
2021-05-16,WW,Amazon,19714344.0
2021-05-17,WW,Amazon,18393565.0
2021-05-18,WW,Amazon,22183302.0
2021-05-19,WW,Amazon,17686879.0
2021-05-20,WW,Amazon,16731063.0
2021-05-21,WW,Amazon,19910563.0
2021-05-22,WW,Amazon,20140745.0
2021-05-23,WW,Amazon,24866308.0
2021-05-24,WW,Amazon,16642299.0
2021-05-25,WW,Amazon,15629758.0
2021-05-26,WW,Amazon,15115248.0
2021-05-27,WW,Amazon,15309446.0
2021-05-28,WW,Amazon,17171938.0
2021-05-29,WW,Amazon,25922354.0
2021-05-30,WW,Amazon,19271971.0
2021-05-31,WW,Amazon,15793873.0
2021-06-01,WW,Amazon,15533063.0
2021-06-02,WW,Amazon,15501437.0
2021-06-03,WW,Amazon,16207952.0
2021-06-04,WW,Amazon,18469170.0
2021-06-05,WW,Amazon,22463974.0
2021-06-06,WW,Amazon,22273290.0
2021-06-07,WW,Amazon,20132694.0
2021-06-08,WW,Amazon,19359730.0
2021-06-09,WW,Amazon,25920753.0
2021-06-10,WW,Amazon,35048339.0
2021-06-11,WW,Amazon,24984152.0
2021-06-12,WW,Amazon,35697377.0
2021-06-13,WW,Amazon,39475635.0
2021-06-14,WW,Amazon,28422042.0
2021-06-15,WW,Amazon,31546016.0
2021-06-16,WW,Amazon,32962370.0
2021-06-17,WW,Amazon,44689389.0
2021-06-18,WW,Amazon,52349949.0
2021-06-19,WW,Amazon,54647602.0
2021-06-20,WW,Amazon,53874117.0
2021-06-21,WW,Amazon,51329550.0
2021-06-22,WW,Amazon,49088828.0
2021-06-23,WW,Amazon,50374259.0
2021-06-24,WW,Amazon,38264742.0
2021-06-25,WW,Amazon,40780963.0
2021-06-26,WW,Amazon,53776516.0
2021-06-27,WW,Amazon,51075144.0
2021-06-28,WW,Amazon,38070679.0
2021-06-29,WW,Amazon,36211958.0
2021-06-30,WW,Amazon,27153594.0
2021-07-01,WW,Amazon,17742788.0
2021-07-02,WW,Amazon,36539067.0
2021-07-03,WW,Amazon,26547572.0
2021-07-04,WW,Amazon,25665553.0
2021-07-05,WW,Amazon,23698164.0
2021-07-06,WW,Amazon,29045186.0
2021-07-07,WW,Amazon,23446792.0
2021-07-08,WW,Amazon,21081518.0
2021-07-09,WW,Amazon,24150196.0
2021-07-10,WW,Amazon,28610786.0
2021-07-11,WW,Amazon,41026416.0
2021-07-12,WW,Amazon,36160704.0
2021-07-13,WW,Amazon,46741395.0
2021-07-14,WW,Amazon,51148366.0
2021-07-15,WW,Amazon,47235307.0
2021-07-16,WW,Amazon,47469106.0
2021-07-17,WW,Amazon,51578832.0
2021-07-18,WW,Amazon,55607262.0
2021-07-19,WW,Amazon,38590832.0
2021-07-20,WW,Amazon,32627084.0
2021-07-21,WW,Amazon,22940582.0
2021-07-22,WW,Amazon,19111100.0
2021-07-23,WW,Amazon,13060914.0
2021-07-24,WW,Amazon,13214070.0
2021-07-25,WW,Amazon,15049491.0
