date,country,network,market_volume
2021-04-26,WW,AppLovin,47954125890.0
2021-04-27,WW,AppLovin,127646738.0
2021-04-28,WW,AppLovin,36072452888.0
2021-04-29,WW,AppLovin,29837618011.0
2021-04-30,WW,AppLovin,37709752434.0
2021-05-01,WW,AppLovin,124194018.0
2021-05-02,WW,AppLovin,124650680.0
2021-05-03,WW,AppLovin,119595256.0
2021-05-04,WW,AppLovin,96946998.0
2021-05-05,WW,AppLovin,100763141.0
2021-05-06,WW,AppLovin,69292563.0
2021-05-07,WW,AppLovin,84991646.0
2021-05-08,WW,AppLovin,89271493.0
2021-05-09,WW,AppLovin,120667586.0
2021-05-10,WW,AppLovin,93870278.0
2021-05-11,WW,AppLovin,15624837236.0
2021-05-12,WW,AppLovin,69789051.0
2021-05-13,WW,AppLovin,33775382777.0
2021-05-14,WW,AppLovin,83081161.0
2021-05-15,WW,AppLovin,100174789.0
2021-05-16,WW,AppLovin,51129677909.0
2021-05-17,WW,AppLovin,35963679642.0
2021-05-18,WW,AppLovin,80882218.0
2021-05-19,WW,AppLovin,90224517.0
2021-05-20,WW,AppLovin,11881992070.0
2021-05-21,WW,AppLovin,105479595.0
2021-05-22,WW,AppLovin,109845735.0
2021-05-23,WW,AppLovin,28235349129.0
2021-05-24,WW,AppLovin,97169447.0
2021-05-25,WW,AppLovin,86576186.0
2021-05-26,WW,AppLovin,101393481.0
2021-05-27,WW,AppLovin,110724725.0
2021-05-28,WW,AppLovin,45987271749.0
2021-05-29,WW,AppLovin,143564630.0
2021-05-30,WW,AppLovin,99420193.0
2021-05-31,WW,AppLovin,95078784.0
2021-06-01,WW,AppLovin,15644213523.0
2021-06-02,WW,AppLovin,89139431.0
2021-06-03,WW,AppLovin,105819343.0
2021-06-04,WW,AppLovin,22206874606.0
2021-06-05,WW,AppLovin,113101934.0
2021-06-06,WW,AppLovin,135608624.0
2021-06-07,WW,AppLovin,44349450149.0
2021-06-08,WW,AppLovin,117062462.0
