date,country,networks,market_volume
2021-04-26,WW,Chartboost,5498225.0
2021-04-27,WW,Chartboost,5255701.0
2021-04-28,WW,Chartboost,7080149.0
2021-04-29,WW,Chartboost,5766723.0
2021-04-30,WW,Chartboost,6371080.0
2021-05-01,WW,Chartboost,5513609.0
2021-05-02,WW,Chartboost,7466264.0
2021-05-03,WW,Chartboost,6280628.0
2021-05-04,WW,Chartboost,6165690.0
2021-05-05,WW,Chartboost,6067424.0
2021-05-06,WW,Chartboost,5906932.0
2021-05-07,WW,Chartboost,5810447.0
2021-05-08,WW,Chartboost,6681957.0
2021-05-09,WW,Chartboost,8467141.0
2021-05-10,WW,Chartboost,5553120.0
2021-05-11,WW,Chartboost,5450978.0
2021-05-12,WW,Chartboost,5372425.0
2021-05-13,WW,Chartboost,5719515.0
2021-05-14,WW,Chartboost,4842989.0
2021-05-15,WW,Chartboost,6605707.0
2021-05-16,WW,Chartboost,9100629.0
2021-05-17,WW,Chartboost,4529765.0
2021-05-18,WW,Chartboost,5562347.0
2021-05-19,WW,Chartboost,4329504.0
2021-05-20,WW,Chartboost,5744507.0
2021-05-21,WW,Chartboost,6228897.0
2021-05-22,WW,Chartboost,6962343.0
2021-05-23,WW,Chartboost,5569782.0
2021-05-24,WW,Chartboost,4823600.0
2021-05-25,WW,Chartboost,4356035.0
2021-05-26,WW,Chartboost,4398211.0
2021-05-27,WW,Chartboost,4581218.0
2021-05-28,WW,Chartboost,6440691.0
2021-05-29,WW,Chartboost,5596644.0
2021-05-30,WW,Chartboost,5735777.0
2021-05-31,WW,Chartboost,6174801.0
2021-06-01,WW,Chartboost,5948510.0
2021-06-02,WW,Chartboost,6030972.0
2021-06-03,WW,Chartboost,4838765.0
2021-06-04,WW,Chartboost,6425903.0
2021-06-05,WW,Chartboost,7753036.0
2021-06-06,WW,Chartboost,7318673.0
2021-06-07,WW,Chartboost,6451823.0
2021-06-08,WW,Chartboost,5629858.0
2021-06-09,WW,Chartboost,5356541.0
2021-06-10,WW,Chartboost,5874771.0
2021-06-11,WW,Chartboost,4593730.0
2021-06-12,WW,Chartboost,4892099.0
2021-06-13,WW,Chartboost,5296148.0
2021-06-14,WW,Chartboost,4790350.0
2021-06-15,WW,Chartboost,4452067.0
2021-06-16,WW,Chartboost,5575253.0
2021-06-17,WW,Chartboost,5530838.0
2021-06-18,WW,Chartboost,5524867.0
2021-06-19,WW,Chartboost,6519051.0
2021-06-20,WW,Chartboost,8215073.0
2021-06-21,WW,Chartboost,5693657.0
2021-06-22,WW,Chartboost,5160723.0
2021-06-23,WW,Chartboost,5257351.0
2021-06-24,WW,Chartboost,5088006.0
2021-06-25,WW,Chartboost,5495749.0
2021-06-26,WW,Chartboost,7434674.0
2021-06-27,WW,Chartboost,6003957.0
2021-06-28,WW,Chartboost,5284956.0
2021-06-29,WW,Chartboost,5396679.0
2021-06-30,WW,Chartboost,5365964.0
2021-07-01,WW,Chartboost,5746635.0
2021-07-02,WW,Chartboost,5896189.0
2021-07-03,WW,Chartboost,6270638.0
2021-07-04,WW,Chartboost,6642501.0
2021-07-05,WW,Chartboost,5807648.0
2021-07-06,WW,Chartboost,5827274.0
2021-07-07,WW,Chartboost,5514699.0
2021-07-08,WW,Chartboost,7116867.0
2021-07-09,WW,Chartboost,5622767.0
2021-07-10,WW,Chartboost,6228817.0
2021-07-11,WW,Chartboost,6557109.0
2021-07-12,WW,Chartboost,5770548.0
2021-07-13,WW,Chartboost,4617601.0
2021-07-14,WW,Chartboost,4619567.0
2021-07-15,WW,Chartboost,4221351.0
2021-07-16,WW,Chartboost,4356280.0
2021-07-17,WW,Chartboost,4696003.0
2021-07-18,WW,Chartboost,5170993.0
2021-07-19,WW,Chartboost,4527639.0
2021-07-20,WW,Chartboost,4518192.0
2021-07-21,WW,Chartboost,4399830.0
2021-07-22,WW,Chartboost,4183649.0
2021-07-23,WW,Chartboost,3997428.0
2021-07-24,WW,Chartboost,4371785.0
2021-07-25,WW,Chartboost,4786176.0
2021-07-26,WW,Chartboost,4156834.0
2021-07-27,WW,Chartboost,4227886.0
2021-07-28,WW,Chartboost,3835304.0
2021-07-29,WW,Chartboost,3913703.0
2021-07-30,WW,Chartboost,3859099.0
2021-07-31,WW,Chartboost,4552382.0
2021-08-01,WW,Chartboost,5576816.0
2021-08-02,WW,Chartboost,5047596.0
2021-08-03,WW,Chartboost,4715320.0
2021-08-04,WW,Chartboost,4705670.0
2021-08-05,WW,Chartboost,4782963.0
2021-08-06,WW,Chartboost,4988791.0
2021-08-07,WW,Chartboost,5307858.0
2021-08-08,WW,Chartboost,1928232.0
2021-08-09,WW,Chartboost,4541655.0
2021-08-10,WW,Chartboost,4421877.0
2021-08-11,WW,Chartboost,4323891.0
2021-08-12,WW,Chartboost,4558019.0
2021-08-13,WW,Chartboost,4560664.0
2021-08-14,WW,Chartboost,5238022.0
2021-08-15,WW,Chartboost,5163412.0
2021-08-16,WW,Chartboost,4275746.0
2021-08-17,WW,Chartboost,4230427.0
2021-08-18,WW,Chartboost,3946330.0
2021-08-19,WW,Chartboost,3966434.0
2021-08-20,WW,Chartboost,4308822.0
2021-08-21,WW,Chartboost,4740808.0
2021-08-22,WW,Chartboost,4815908.0
2021-08-23,WW,Chartboost,4058463.0
2021-08-24,WW,Chartboost,4041666.0
2021-08-25,WW,Chartboost,3628028.0
2021-08-26,WW,Chartboost,4031149.0
2021-08-27,WW,Chartboost,4299693.0
2021-08-28,WW,Chartboost,4728014.0
2021-08-29,WW,Chartboost,5056602.0
2021-08-30,WW,Chartboost,4253053.0
2021-08-31,WW,Chartboost,4068584.0
2021-09-01,WW,Chartboost,4008936.0
2021-09-02,WW,Chartboost,3970672.0
2021-09-03,WW,Chartboost,4262696.0
2021-09-04,WW,Chartboost,4679545.0
2021-09-05,WW,Chartboost,4626237.0
2021-09-06,WW,Chartboost,3831773.0
2021-09-07,WW,Chartboost,3995125.0
2021-09-08,WW,Chartboost,4058519.0
2021-09-09,WW,Chartboost,4050641.0
2021-09-10,WW,Chartboost,4266426.0
2021-09-11,WW,Chartboost,4774513.0
2021-09-12,WW,Chartboost,4818532.0
2021-09-13,WW,Chartboost,3670454.0
2021-09-14,WW,Chartboost,3554658.0
2021-09-15,WW,Chartboost,3447598.0
2021-09-16,WW,Chartboost,3814027.0
2021-09-17,WW,Chartboost,4011929.0
2021-09-18,WW,Chartboost,5070972.0
2021-09-19,WW,Chartboost,5095146.0
2021-09-20,WW,Chartboost,3370954.0
2021-09-21,WW,Chartboost,3455479.0
2021-09-22,WW,Chartboost,3307821.0
2021-09-23,WW,Chartboost,3417618.0
2021-09-24,WW,Chartboost,3648905.0
2021-09-25,WW,Chartboost,4770358.0
2021-09-26,WW,Chartboost,5114013.0
2021-09-27,WW,Chartboost,3990964.0
2021-09-28,WW,Chartboost,3926224.0
2021-09-29,WW,Chartboost,4119270.0
2021-09-30,WW,Chartboost,4072321.0
2021-10-01,WW,Chartboost,4528808.0
2021-10-02,WW,Chartboost,5168607.0
2021-10-03,WW,Chartboost,5118405.0
2021-10-04,WW,Chartboost,4018985.0
2021-10-05,WW,Chartboost,3713931.0
2021-10-06,WW,Chartboost,3872428.0
2021-10-07,WW,Chartboost,4000677.0
2021-10-08,WW,Chartboost,4892398.0
2021-10-09,WW,Chartboost,5703337.0
2021-10-10,WW,Chartboost,5364399.0
2021-10-11,WW,Chartboost,3223230.0
2021-10-12,WW,Chartboost,3537456.0
2021-10-13,WW,Chartboost,3132803.0
2021-10-14,WW,Chartboost,3198874.0
2021-10-15,WW,Chartboost,3853912.0
2021-10-16,WW,Chartboost,4396837.0
2021-10-17,WW,Chartboost,5409904.0
2021-10-18,WW,Chartboost,4097661.0
2021-10-19,WW,Chartboost,3954802.0
2021-10-20,WW,Chartboost,3694076.0
2021-10-21,WW,Chartboost,4265162.0
2021-10-22,WW,Chartboost,4080448.0
2021-10-23,WW,Chartboost,4758325.0
2021-10-24,WW,Chartboost,1783523.0
2021-10-25,WW,Chartboost,3069293.0
2021-10-26,WW,Chartboost,2554519.0
2021-10-27,WW,Chartboost,3575913.0
2021-10-28,WW,Chartboost,3669326.0
2021-10-29,WW,Chartboost,3857640.0
2021-10-30,WW,Chartboost,5142516.0
2021-10-31,WW,Chartboost,1606259.0
2021-11-01,WW,Chartboost,1226932.0
2021-11-02,WW,Chartboost,1192397.0
2021-11-03,WW,Chartboost,3636865.0
2021-11-04,WW,Chartboost,3343873.0
