date,country,network,market_volume
2021-04-26,WW,Facebook,2254276.0
2021-04-27,WW,Facebook,2405002.0
2021-04-28,WW,Facebook,2387265.0
2021-04-29,WW,Facebook,2645158.0
2021-04-30,WW,Facebook,3038306.0
2021-05-01,WW,Facebook,2258547.0
2021-05-02,WW,Facebook,2308036.0
2021-05-03,WW,Facebook,1752362.0
2021-05-04,WW,Facebook,1643547.0
2021-05-05,WW,Facebook,1969681.0
2021-05-06,WW,Facebook,1760288.0
2021-05-07,WW,Facebook,1855124.0
2021-05-08,WW,Facebook,2273407.0
2021-05-09,WW,Facebook,2963337.0
2021-05-10,WW,Facebook,2397911.0
2021-05-11,WW,Facebook,2539822.0
2021-05-12,WW,Facebook,2440687.0
2021-05-13,WW,Facebook,2598858.0
2021-05-14,WW,Facebook,1948461.0
2021-05-15,WW,Facebook,2022296.0
2021-05-16,WW,Facebook,2215170.0
2021-05-17,WW,Facebook,1734255.0
2021-05-18,WW,Facebook,1867350.0
2021-05-19,WW,Facebook,2639346.0
2021-05-20,WW,Facebook,2654637.0
2021-05-21,WW,Facebook,2758642.0
2021-05-22,WW,Facebook,3212740.0
2021-05-23,WW,Facebook,3402315.0
2021-05-24,WW,Facebook,2856823.0
2021-05-25,WW,Facebook,2587018.0
2021-05-26,WW,Facebook,2688857.0
2021-05-27,WW,Facebook,2593043.0
2021-05-28,WW,Facebook,2542220.0
2021-05-29,WW,Facebook,2949796.0
2021-05-30,WW,Facebook,3049234.0
2021-05-31,WW,Facebook,1934665.0
2021-06-01,WW,Facebook,2000127.0
2021-06-02,WW,Facebook,2050706.0
2021-06-03,WW,Facebook,2035550.0
2021-06-04,WW,Facebook,2858099.0
2021-06-05,WW,Facebook,3151181.0
2021-06-06,WW,Facebook,3143854.0
2021-06-07,WW,Facebook,2718785.0
2021-06-08,WW,Facebook,1974629.0
2021-06-09,WW,Facebook,2317212.0
2021-06-10,WW,Facebook,2364686.0
2021-06-11,WW,Facebook,2463734.0
2021-06-12,WW,Facebook,2742980.0
2021-06-13,WW,Facebook,2897629.0
2021-06-14,WW,Facebook,2514949.0
2021-06-15,WW,Facebook,2239512.0
2021-06-16,WW,Facebook,2207509.0
2021-06-17,WW,Facebook,2433458.0
2021-06-18,WW,Facebook,2359992.0
2021-06-19,WW,Facebook,2711667.0
2021-06-20,WW,Facebook,2816869.0
2021-06-21,WW,Facebook,2639798.0
2021-06-22,WW,Facebook,2401398.0
2021-06-23,WW,Facebook,2425647.0
2021-06-24,WW,Facebook,2185407.0
2021-06-25,WW,Facebook,2132773.0
2021-06-26,WW,Facebook,2141167.0
2021-06-27,WW,Facebook,1680913.0
2021-06-28,WW,Facebook,1401315.0
2021-06-29,WW,Facebook,2757292.0
2021-06-30,WW,Facebook,1809667.0
2021-07-01,WW,Facebook,2074310.0
2021-07-02,WW,Facebook,2283375.0
2021-07-03,WW,Facebook,2692270.0
2021-07-04,WW,Facebook,2862446.0
2021-07-05,WW,Facebook,2486946.0
2021-07-06,WW,Facebook,2051299.0
2021-07-07,WW,Facebook,2432790.0
2021-07-08,WW,Facebook,2322972.0
2021-07-09,WW,Facebook,2432247.0
2021-07-10,WW,Facebook,2432663.0
2021-07-11,WW,Facebook,2588864.0
2021-07-12,WW,Facebook,1440612.0
2021-07-13,WW,Facebook,2365036.0
2021-07-14,WW,Facebook,2363692.0
2021-07-15,WW,Facebook,2294396.0
2021-07-16,WW,Facebook,2252733.0
2021-07-17,WW,Facebook,2516265.0
2021-07-18,WW,Facebook,2756145.0
2021-07-19,WW,Facebook,1009891.0
2021-07-20,WW,Facebook,1443544.0
2021-07-21,WW,Facebook,2354188.0
2021-07-22,WW,Facebook,1993993.0
2021-07-23,WW,Facebook,2383688.0
2021-07-24,WW,Facebook,2675849.0
2021-07-25,WW,Facebook,1984139.0
2021-07-26,WW,Facebook,1483940.0
2021-07-27,WW,Facebook,1904631.0
2021-07-28,WW,Facebook,2403806.0
2021-07-29,WW,Facebook,2520328.0
2021-07-30,WW,Facebook,2683348.0
2021-07-31,WW,Facebook,3125385.0
2021-08-01,WW,Facebook,3791433.0
2021-08-02,WW,Facebook,2545510.0
2021-08-03,WW,Facebook,2619973.0
2021-08-04,WW,Facebook,3714219.0
2021-08-05,WW,Facebook,3586449.0
2021-08-06,WW,Facebook,3755096.0
2021-08-07,WW,Facebook,4280053.0
2021-08-08,WW,Facebook,4470964.0
2021-08-09,WW,Facebook,2985327.0
2021-08-10,WW,Facebook,2830762.0
2021-08-11,WW,Facebook,2595047.0
2021-08-12,WW,Facebook,2792647.0
2021-08-13,WW,Facebook,2787137.0
2021-08-14,WW,Facebook,3070799.0
2021-08-15,WW,Facebook,3080979.0
2021-08-16,WW,Facebook,2557179.0
2021-08-17,WW,Facebook,2842209.0
2021-08-18,WW,Facebook,2855439.0
2021-08-19,WW,Facebook,2728326.0
2021-08-20,WW,Facebook,3014923.0
2021-08-21,WW,Facebook,3464802.0
2021-08-22,WW,Facebook,3688272.0
2021-08-23,WW,Facebook,2832658.0
2021-08-24,WW,Facebook,2826208.0
2021-08-25,WW,Facebook,2708666.0
2021-08-26,WW,Facebook,2859538.0
2021-08-27,WW,Facebook,3269858.0
2021-08-28,WW,Facebook,3826719.0
2021-08-29,WW,Facebook,3806470.0
2021-08-30,WW,Facebook,2761559.0
2021-08-31,WW,Facebook,2559511.0
2021-09-01,WW,Facebook,2707231.0
2021-09-02,WW,Facebook,2786597.0
2021-09-03,WW,Facebook,2850812.0
2021-09-04,WW,Facebook,3215869.0
2021-09-05,WW,Facebook,3351861.0
2021-09-06,WW,Facebook,2581950.0
2021-09-07,WW,Facebook,2309133.0
2021-09-08,WW,Facebook,2684789.0
2021-09-09,WW,Facebook,2613056.0
2021-09-10,WW,Facebook,2928617.0
2021-09-11,WW,Facebook,3139062.0
2021-09-12,WW,Facebook,3224658.0
2021-09-13,WW,Facebook,2312208.0
2021-09-14,WW,Facebook,2410462.0
2021-09-15,WW,Facebook,2297062.0
2021-09-16,WW,Facebook,2573639.0
2021-09-17,WW,Facebook,2963871.0
2021-09-18,WW,Facebook,3463311.0
2021-09-19,WW,Facebook,3784919.0
2021-09-20,WW,Facebook,2280557.0
2021-09-21,WW,Facebook,2524533.0
2021-09-22,WW,Facebook,2502098.0
2021-09-23,WW,Facebook,2702620.0
2021-09-24,WW,Facebook,3023664.0
2021-09-25,WW,Facebook,3352986.0
2021-09-26,WW,Facebook,3624936.0
2021-09-27,WW,Facebook,2641275.0
2021-09-28,WW,Facebook,2664331.0
2021-09-29,WW,Facebook,2883818.0
2021-09-30,WW,Facebook,2809790.0
2021-10-01,WW,Facebook,2894103.0
2021-10-02,WW,Facebook,3039172.0
2021-10-03,WW,Facebook,3000442.0
2021-10-04,WW,Facebook,1462609.0
2021-10-05,WW,Facebook,2532577.0
2021-10-06,WW,Facebook,2145054.0
2021-10-07,WW,Facebook,2792176.0
2021-10-08,WW,Facebook,2891221.0
2021-10-09,WW,Facebook,3531268.0
2021-10-10,WW,Facebook,3311520.0
2021-10-11,WW,Facebook,1887913.0
2021-10-12,WW,Facebook,1680702.0
2021-10-13,WW,Facebook,1711616.0
2021-10-14,WW,Facebook,1873002.0
2021-10-15,WW,Facebook,1976894.0
2021-10-16,WW,Facebook,2299072.0
2021-10-17,WW,Facebook,2491966.0
2021-10-18,WW,Facebook,1867409.0
2021-10-19,WW,Facebook,1884345.0
2021-10-20,WW,Facebook,1914687.0
2021-10-21,WW,Facebook,2080265.0
2021-10-22,WW,Facebook,2293488.0
2021-10-23,WW,Facebook,2483302.0
2021-10-24,WW,Facebook,2387150.0
