date,country,network,market_volume
2021-04-26,WW,IronSource,4715366.0
2021-04-27,WW,IronSource,4459749.0
2021-04-28,WW,IronSource,4862510.0
2021-04-29,WW,IronSource,5375862.0
2021-04-30,WW,IronSource,5339696.0
2021-05-01,WW,IronSource,4505989.0
2021-05-02,WW,IronSource,4743659.0
2021-05-03,WW,IronSource,3792908.0
2021-05-04,WW,IronSource,3769213.0
2021-05-05,WW,IronSource,9540742.0
2021-05-06,WW,IronSource,8856610.0
2021-05-07,WW,IronSource,6657330.0
2021-05-08,WW,IronSource,3584829.0
2021-05-09,WW,IronSource,3250760.0
2021-05-10,WW,IronSource,2705619.0
2021-05-11,WW,IronSource,2451359.0
2021-05-12,WW,IronSource,2629530.0
2021-05-13,WW,IronSource,2869809.0
2021-05-14,WW,IronSource,2987628.0
2021-05-15,WW,IronSource,3393516.0
2021-05-16,WW,IronSource,3606840.0
2021-05-17,WW,IronSource,8320977.0
2021-05-18,WW,IronSource,2917747.0
2021-05-19,WW,IronSource,2755759.0
2021-05-20,WW,IronSource,3213678.0
2021-05-21,WW,IronSource,3381726.0
2021-05-22,WW,IronSource,3503654.0
2021-05-23,WW,IronSource,3561680.0
2021-05-24,WW,IronSource,3255919.0
2021-05-25,WW,IronSource,3106678.0
2021-05-26,WW,IronSource,3166215.0
2021-05-27,WW,IronSource,2822547.0
2021-05-28,WW,IronSource,3606238.0
2021-05-29,WW,IronSource,3391135.0
2021-05-30,WW,IronSource,3441736.0
2021-05-31,WW,IronSource,3045104.0
2021-06-01,WW,IronSource,2874166.0
2021-06-02,WW,IronSource,2918540.0
2021-06-03,WW,IronSource,3171520.0
2021-06-04,WW,IronSource,3148034.0
2021-06-05,WW,IronSource,3522719.0
2021-06-06,WW,IronSource,3409827.0
2021-06-07,WW,IronSource,3043803.0
2021-06-08,WW,IronSource,3039954.0
2021-06-09,WW,IronSource,2628034.0
2021-06-10,WW,IronSource,3235693.0
2021-06-11,WW,IronSource,3383410.0
2021-06-12,WW,IronSource,3639584.0
2021-06-13,WW,IronSource,3313360.0
2021-06-14,WW,IronSource,3252611.0
2021-06-15,WW,IronSource,3260912.0
2021-06-16,WW,IronSource,3092114.0
2021-06-17,WW,IronSource,3087395.0
2021-06-18,WW,IronSource,2962972.0
2021-06-19,WW,IronSource,3460397.0
2021-06-20,WW,IronSource,3676781.0
2021-06-21,WW,IronSource,3082793.0
2021-06-22,WW,IronSource,2934512.0
2021-06-23,WW,IronSource,2918936.0
2021-06-24,WW,IronSource,2745213.0
2021-06-25,WW,IronSource,8354055.0
2021-06-26,WW,IronSource,12963131.0
2021-06-27,WW,IronSource,13250862.0
2021-06-28,WW,IronSource,13983416.0
2021-06-29,WW,IronSource,13547596.0
2021-06-30,WW,IronSource,6651941.0
2021-07-01,WW,IronSource,7612218.0
2021-07-02,WW,IronSource,4215895.0
2021-07-03,WW,IronSource,3240552.0
2021-07-04,WW,IronSource,2811346.0
2021-07-05,WW,IronSource,2462657.0
2021-07-06,WW,IronSource,3113303.0
2021-07-07,WW,IronSource,2762267.0
2021-07-08,WW,IronSource,2807175.0
2021-07-09,WW,IronSource,3939562.0
2021-07-10,WW,IronSource,4319311.0
2021-07-11,WW,IronSource,4639566.0
2021-07-12,WW,IronSource,3001889.0
2021-07-13,WW,IronSource,3164960.0
2021-07-14,WW,IronSource,3141273.0
2021-07-15,WW,IronSource,2893379.0
2021-07-16,WW,IronSource,3058093.0
2021-07-17,WW,IronSource,3242297.0
2021-07-18,WW,IronSource,3573612.0
2021-07-19,WW,IronSource,3242198.0
2021-07-20,WW,IronSource,3413092.0
2021-07-21,WW,IronSource,3001893.0
2021-07-22,WW,IronSource,2939150.0
2021-07-23,WW,IronSource,3165056.0
2021-07-24,WW,IronSource,3258925.0
2021-07-25,WW,IronSource,3703270.0
2021-07-26,WW,IronSource,3463364.0
2021-07-27,WW,IronSource,3187456.0
2021-07-28,WW,IronSource,2985594.0
2021-07-29,WW,IronSource,3001004.0
2021-07-30,WW,IronSource,2985789.0
2021-07-31,WW,IronSource,3199404.0
2021-08-01,WW,IronSource,3943681.0
2021-08-02,WW,IronSource,3545234.0
2021-08-03,WW,IronSource,3275796.0
2021-08-04,WW,IronSource,3138350.0
2021-08-05,WW,IronSource,3227060.0
2021-08-06,WW,IronSource,3342479.0
2021-08-07,WW,IronSource,3671232.0
2021-08-08,WW,IronSource,3988332.0
2021-08-09,WW,IronSource,2832942.0
2021-08-10,WW,IronSource,2718459.0
2021-08-11,WW,IronSource,2796585.0
2021-08-12,WW,IronSource,2909758.0
2021-08-13,WW,IronSource,3190366.0
2021-08-14,WW,IronSource,3571105.0
2021-08-15,WW,IronSource,3963660.0
2021-08-16,WW,IronSource,4718491.0
2021-08-17,WW,IronSource,4370856.0
2021-08-18,WW,IronSource,4486516.0
2021-08-19,WW,IronSource,3074684.0
2021-08-20,WW,IronSource,2932920.0
2021-08-21,WW,IronSource,3552195.0
2021-08-22,WW,IronSource,5499477.0
2021-08-23,WW,IronSource,3157957.0
2021-08-24,WW,IronSource,3006519.0
2021-08-25,WW,IronSource,2901005.0
2021-08-26,WW,IronSource,3003976.0
2021-08-27,WW,IronSource,2981564.0
2021-08-28,WW,IronSource,3307198.0
2021-08-29,WW,IronSource,3569300.0
2021-08-30,WW,IronSource,2796735.0
2021-08-31,WW,IronSource,2805795.0
2021-09-01,WW,IronSource,2679294.0
2021-09-02,WW,IronSource,2573827.0
2021-09-03,WW,IronSource,3048982.0
2021-09-04,WW,IronSource,3155381.0
2021-09-05,WW,IronSource,3617781.0
2021-09-06,WW,IronSource,2715223.0
2021-09-07,WW,IronSource,2771902.0
2021-09-08,WW,IronSource,2666451.0
2021-09-09,WW,IronSource,3086870.0
2021-09-10,WW,IronSource,3261103.0
2021-09-11,WW,IronSource,3170813.0
2021-09-12,WW,IronSource,3578476.0
2021-09-13,WW,IronSource,2762137.0
2021-09-14,WW,IronSource,2719528.0
2021-09-15,WW,IronSource,2495128.0
2021-09-16,WW,IronSource,2823219.0
2021-09-17,WW,IronSource,4296788.0
2021-09-18,WW,IronSource,3329454.0
