,date,country,platform,market_volume
0,2021-04-26,WW,iOS,38795135.54937736
1,2021-04-27,WW,iOS,38657432.85270161
2,2021-04-28,WW,iOS,38149793.08572608
3,2021-04-29,WW,iOS,38138653.508869514
4,2021-04-30,WW,iOS,44169476.66089307
5,2021-05-01,WW,iOS,48778227.14262584
6,2021-05-02,WW,iOS,44468698.51530973
7,2021-05-03,WW,iOS,36139253.98604275
8,2021-05-04,WW,iOS,34161047.8285491
9,2021-05-05,WW,iOS,40714037.179906875
10,2021-05-06,WW,iOS,35459446.43049156
11,2021-05-07,WW,iOS,35768384.13483879
12,2021-05-08,WW,iOS,46003901.258528516
13,2021-05-09,WW,iOS,48430605.194898754
14,2021-05-10,WW,iOS,32880406.982595403
15,2021-05-11,WW,iOS,35965314.797672
16,2021-05-12,WW,iOS,36452972.24268315
17,2021-05-13,WW,iOS,36644079.61394886
18,2021-05-14,WW,iOS,41307995.363466084
19,2021-05-15,WW,iOS,45902423.75386297
20,2021-05-16,WW,iOS,46796119.25437309
21,2021-05-17,WW,iOS,36511971.12372086
22,2021-05-18,WW,iOS,41211510.0751071
23,2021-05-19,WW,iOS,40005715.83587739
24,2021-05-20,WW,iOS,40894751.73864659
25,2021-05-21,WW,iOS,39342940.839722954
26,2021-05-22,WW,iOS,52257719.61532008
27,2021-05-23,WW,iOS,50444658.03490981
28,2021-05-24,WW,iOS,40092753.51052698
29,2021-05-25,WW,iOS,36319721.52002337
30,2021-05-26,WW,iOS,41807218.11781639
31,2021-05-27,WW,iOS,38214748.12590031
32,2021-05-28,WW,iOS,46543306.3768896
33,2021-05-29,WW,iOS,55467313.42274194
34,2021-05-30,WW,iOS,55135478.679254666
35,2021-05-31,WW,iOS,44049873.12741693
36,2021-06-01,WW,iOS,38315826.008493975
37,2021-06-02,WW,iOS,38604841.96563001
38,2021-06-03,WW,iOS,37030985.60764215
39,2021-06-04,WW,iOS,35804235.61303227
40,2021-06-05,WW,iOS,41564910.98242393
41,2021-06-06,WW,iOS,38283448.7964496
42,2021-06-07,WW,iOS,32709086.16030163
43,2021-06-08,WW,iOS,28006976.258088954
44,2021-06-09,WW,iOS,27905350.33999122
45,2021-06-10,WW,iOS,29135512.92161987
46,2021-06-11,WW,iOS,29446600.04312297
47,2021-06-12,WW,iOS,36999250.55603394
48,2021-06-13,WW,iOS,39739521.48575488
49,2021-06-14,WW,iOS,28483657.644243777
50,2021-06-15,WW,iOS,23862355.802741434
51,2021-06-16,WW,iOS,23234509.795431115
52,2021-06-17,WW,iOS,22536985.1071371
53,2021-06-18,WW,iOS,24524421.521761283
54,2021-06-19,WW,iOS,28890555.32177393
55,2021-06-20,WW,iOS,30775048.98596282
56,2021-06-21,WW,iOS,24972512.08513214
57,2021-06-22,WW,iOS,24287415.740937665
58,2021-06-23,WW,iOS,23772841.4809477
59,2021-06-24,WW,iOS,25222285.460164607
60,2021-06-25,WW,iOS,26013432.05163409
61,2021-06-26,WW,iOS,30139736.886762515
62,2021-06-27,WW,iOS,29622346.650185294
63,2021-06-28,WW,iOS,23504825.23744662
64,2021-06-29,WW,iOS,22861388.43921352
65,2021-06-30,WW,iOS,23292002.349621117
66,2021-07-01,WW,iOS,25021091.705629036
67,2021-07-02,WW,iOS,25348513.33558619
68,2021-07-03,WW,iOS,28827511.07173395
69,2021-07-04,WW,iOS,26966257.92951182
70,2021-07-05,WW,iOS,24970706.18863932
71,2021-07-06,WW,iOS,24524653.409207627
72,2021-07-07,WW,iOS,25108457.368359745
73,2021-07-08,WW,iOS,25646375.63138186
74,2021-07-09,WW,iOS,28613633.355375182
75,2021-07-10,WW,iOS,32477703.026553985
76,2021-07-11,WW,iOS,30513634.39514771
77,2021-07-12,WW,iOS,26040012.64459738
78,2021-07-13,WW,iOS,23282279.1622436
79,2021-07-14,WW,iOS,24362203.73387244
80,2021-07-15,WW,iOS,24898418.561906118
81,2021-07-16,WW,iOS,21386637.864619
82,2021-07-17,WW,iOS,24609268.495148424
83,2021-07-18,WW,iOS,28582444.089466155
84,2021-07-19,WW,iOS,27263108.426066473
85,2021-07-20,WW,iOS,30904572.95731278
86,2021-07-21,WW,iOS,33164748.558048487
87,2021-07-22,WW,iOS,28288880.273060463
88,2021-07-23,WW,iOS,26873496.59677757
89,2021-07-24,WW,iOS,26173069.299845107
90,2021-07-25,WW,iOS,30790936.763856284
91,2021-07-26,WW,iOS,26353099.898141395
92,2021-07-27,WW,iOS,25396101.95887512
93,2021-07-28,WW,iOS,25896763.33353896
94,2021-07-29,WW,iOS,24695774.024702024
95,2021-07-30,WW,iOS,26481389.00798578
96,2021-07-31,WW,iOS,29612421.001209088
97,2021-08-01,WW,iOS,32266524.22373605
98,2021-08-02,WW,iOS,25460124.10656987
99,2021-08-03,WW,iOS,26775547.747728035
100,2021-08-04,WW,iOS,25140602.01216391
101,2021-08-05,WW,iOS,26943667.24374523
102,2021-08-06,WW,iOS,27036553.143635616
103,2021-08-07,WW,iOS,30643535.763402507
104,2021-08-08,WW,iOS,32230094.60300644
105,2021-08-09,WW,iOS,24819998.803964596
106,2021-08-10,WW,iOS,24136506.306097817
107,2021-08-11,WW,iOS,21823305.83811868
108,2021-08-12,WW,iOS,24256096.469365623
109,2021-08-13,WW,iOS,30309829.739984598
110,2021-08-14,WW,iOS,33883205.362984896
111,2021-08-15,WW,iOS,33292813.22915157
112,2021-08-16,WW,iOS,24680549.11920526
113,2021-08-17,WW,iOS,22535699.663373437
114,2021-08-18,WW,iOS,24111157.60620235
115,2021-08-19,WW,iOS,25757064.743210513
116,2021-08-20,WW,iOS,27100876.552120015
117,2021-08-21,WW,iOS,30440025.10767533
118,2021-08-22,WW,iOS,33043032.86056543
119,2021-08-23,WW,iOS,23895565.92963095
120,2021-08-24,WW,iOS,24462600.888466127
121,2021-08-25,WW,iOS,25607572.011054102
122,2021-08-26,WW,iOS,25726757.233670227
123,2021-08-27,WW,iOS,27003917.69337693
124,2021-08-28,WW,iOS,33577156.31026302
125,2021-08-29,WW,iOS,36050007.00872259
126,2021-08-30,WW,iOS,21964383.52633937
127,2021-08-31,WW,iOS,25168364.72819089
128,2021-09-01,WW,iOS,22581545.49531737
129,2021-09-02,WW,iOS,20707248.18478026
130,2021-09-03,WW,iOS,26839140.001768053
131,2021-09-04,WW,iOS,31211710.967839547
132,2021-09-05,WW,iOS,36372251.566400506
133,2021-09-06,WW,iOS,26870566.534742747
134,2021-09-07,WW,iOS,24905076.323432703
135,2021-09-08,WW,iOS,23518726.097095203
136,2021-09-09,WW,iOS,21968812.222212654
137,2021-09-10,WW,iOS,25724866.758595295
138,2021-09-11,WW,iOS,33877857.88412311
139,2021-09-12,WW,iOS,32817646.020946756
140,2021-09-13,WW,iOS,20564282.4190128
141,2021-09-14,WW,iOS,21077064.436559904
142,2021-09-15,WW,iOS,24027471.976522192
143,2021-09-16,WW,iOS,24887443.915014867
144,2021-09-17,WW,iOS,26737143.56086806
145,2021-09-18,WW,iOS,34902648.032251745
146,2021-09-19,WW,iOS,40921992.00388899
147,2021-09-20,WW,iOS,25980180.627852477
148,2021-09-21,WW,iOS,25529655.95497174
149,2021-09-22,WW,iOS,25906469.62790281
150,2021-09-23,WW,iOS,26185082.852924753
151,2021-09-24,WW,iOS,30196764.628505144
152,2021-09-25,WW,iOS,40516859.258877285
153,2021-09-26,WW,iOS,46299925.60219963
154,2021-09-27,WW,iOS,29048771.81902933
155,2021-09-28,WW,iOS,26376489.3020734
156,2021-09-29,WW,iOS,26891612.93231625
157,2021-09-30,WW,iOS,29828206.94724983
158,2021-10-01,WW,iOS,28767961.189813543
159,2021-10-02,WW,iOS,32749110.38889379
160,2021-10-03,WW,iOS,40753152.550073095
161,2021-10-04,WW,iOS,28021574.6595945
162,2021-10-05,WW,iOS,26201703.776870042
163,2021-10-06,WW,iOS,26746096.05918097
164,2021-10-07,WW,iOS,27738744.547824398
165,2021-10-08,WW,iOS,28249766.633033648
166,2021-10-09,WW,iOS,36501062.23843627
167,2021-10-10,WW,iOS,38203982.112311095
168,2021-10-11,WW,iOS,870115378.4200788
169,2021-10-12,WW,iOS,769890619.8872713
170,2021-10-13,WW,iOS,2005399903.6768043
171,2021-10-14,WW,iOS,2093950620.0859318
172,2021-10-15,WW,iOS,9939092123.308859
173,2021-10-16,WW,iOS,8896915442.46553
174,2021-10-17,WW,iOS,4335074261.25703
