date,country,network,market_volume
2021-04-26,WW,Amazon,5751425.0
2021-04-27,WW,Amazon,9388941.0
2021-04-28,WW,Amazon,6037538.0
2021-04-29,WW,Amazon,6600436.0
2021-04-30,WW,Amazon,8337816.0
2021-05-01,WW,Amazon,8786801.0
2021-05-02,WW,Amazon,7444881.0
2021-05-03,WW,Amazon,5961110.0
2021-05-04,WW,Amazon,5753368.0
2021-05-05,WW,Amazon,8082550.0
2021-05-06,WW,Amazon,6464550.0
2021-05-07,WW,Amazon,5581170.0
2021-05-08,WW,Amazon,7649767.0
2021-05-09,WW,Amazon,9778685.0
2021-05-10,WW,Amazon,5122026.0
2021-05-11,WW,Amazon,6310263.0
2021-05-12,WW,Amazon,6461668.0
2021-05-13,WW,Amazon,6788130.0
2021-05-14,WW,Amazon,7078170.0
2021-05-15,WW,Amazon,9293926.0
2021-05-16,WW,Amazon,8511536.0
2021-05-17,WW,Amazon,6542324.0
2021-05-18,WW,Amazon,7103126.0
2021-05-19,WW,Amazon,6740180.0
2021-05-20,WW,Amazon,6653082.0
2021-05-21,WW,Amazon,6405038.0
2021-05-22,WW,Amazon,9619796.0
2021-05-23,WW,Amazon,9805091.0
2021-05-24,WW,Amazon,7288257.0
2021-05-25,WW,Amazon,5579206.0
2021-05-26,WW,Amazon,6181693.0
2021-05-27,WW,Amazon,6153328.0
2021-05-28,WW,Amazon,5960957.0
2021-05-29,WW,Amazon,6877471.0
2021-05-30,WW,Amazon,7499650.0
2021-05-31,WW,Amazon,5427928.0
2021-06-01,WW,Amazon,4908125.0
2021-06-02,WW,Amazon,5575827.0
2021-06-03,WW,Amazon,4348798.0
2021-06-04,WW,Amazon,3889940.0
2021-06-05,WW,Amazon,5431249.0
2021-06-06,WW,Amazon,5648023.0
2021-06-07,WW,Amazon,4303266.0
2021-06-08,WW,Amazon,3830264.0
2021-06-09,WW,Amazon,4290159.0
2021-06-10,WW,Amazon,4317879.0
2021-06-11,WW,Amazon,4073357.0
2021-06-12,WW,Amazon,5770508.0
2021-06-13,WW,Amazon,5174722.0
2021-06-14,WW,Amazon,3714548.0
2021-06-15,WW,Amazon,3587553.0
2021-06-16,WW,Amazon,3684961.0
2021-06-17,WW,Amazon,3243150.0
2021-06-18,WW,Amazon,3023132.0
2021-06-19,WW,Amazon,3037898.0
2021-06-20,WW,Amazon,2947130.0
