date,country,network,market_volume
2021-04-26,WW,AppLovin,20622120203.0
2021-04-27,WW,AppLovin,18953133.0
2021-04-28,WW,AppLovin,17804040.0
2021-04-29,WW,AppLovin,18646245.0
2021-04-30,WW,AppLovin,27390711.0
2021-05-01,WW,AppLovin,13144101446.0
2021-05-02,WW,AppLovin,15961936.0
2021-05-03,WW,AppLovin,15023567.0
2021-05-04,WW,AppLovin,12879352.0
2021-05-05,WW,AppLovin,20894412.0
2021-05-06,WW,AppLovin,17458287.0
2021-05-07,WW,AppLovin,9666273798.0
2021-05-08,WW,AppLovin,14902100.0
2021-05-09,WW,AppLovin,16251415.0
2021-05-10,WW,AppLovin,10083558121.0
2021-05-11,WW,AppLovin,12916331.0
2021-05-12,WW,AppLovin,18333100.0
2021-05-13,WW,AppLovin,13559484.0
2021-05-14,WW,AppLovin,19615573.0
2021-05-15,WW,AppLovin,17595624.0
2021-05-16,WW,AppLovin,16059487.0
2021-05-17,WW,AppLovin,26923925.0
2021-05-18,WW,AppLovin,24180838.0
2021-05-19,WW,AppLovin,25925530.0
2021-05-20,WW,AppLovin,24358111.0
2021-05-21,WW,AppLovin,27004132.0
2021-05-22,WW,AppLovin,16581658254.0
2021-05-23,WW,AppLovin,26037410.0
2021-05-24,WW,AppLovin,16680986328.0
2021-05-25,WW,AppLovin,26112737.0
2021-05-26,WW,AppLovin,23906851.0
2021-05-27,WW,AppLovin,24788884.0
2021-05-28,WW,AppLovin,24893648.0
2021-05-29,WW,AppLovin,30879014.0
2021-05-30,WW,AppLovin,31308266.0
2021-05-31,WW,AppLovin,28493746.0
2021-06-01,WW,AppLovin,25575911.0
2021-06-02,WW,AppLovin,19087262951.0
2021-06-03,WW,AppLovin,24787649.0
2021-06-04,WW,AppLovin,27789291.0
2021-06-05,WW,AppLovin,28667190.0
2021-06-06,WW,AppLovin,12569261916.0
2021-06-07,WW,AppLovin,25544306.0
2021-06-08,WW,AppLovin,18362942.0
2021-06-09,WW,AppLovin,11300158.0
2021-06-10,WW,AppLovin,12658998.0
2021-06-11,WW,AppLovin,12590507.0
2021-06-12,WW,AppLovin,14420167.0
2021-06-13,WW,AppLovin,15211445.0
2021-06-14,WW,AppLovin,13739791.0
2021-06-15,WW,AppLovin,11586700.0
2021-06-16,WW,AppLovin,8673480528.0
2021-06-17,WW,AppLovin,11738090.0
2021-06-18,WW,AppLovin,12540460.0
2021-06-19,WW,AppLovin,13835115.0
2021-06-20,WW,AppLovin,13711105.0
2021-06-21,WW,AppLovin,7257341295.0
2021-06-22,WW,AppLovin,12710785.0
2021-06-23,WW,AppLovin,12101158.0
2021-06-24,WW,AppLovin,13115101.0
2021-06-25,WW,AppLovin,12107130.0
2021-06-26,WW,AppLovin,7631979230.0
2021-06-27,WW,AppLovin,14542848.0
2021-06-28,WW,AppLovin,5988389322.0
2021-06-29,WW,AppLovin,13030906.0
2021-06-30,WW,AppLovin,11984441.0
2021-07-01,WW,AppLovin,11440665.0
2021-07-02,WW,AppLovin,12895222.0
2021-07-03,WW,AppLovin,13180737.0
2021-07-04,WW,AppLovin,13337126.0
2021-07-05,WW,AppLovin,11907606.0
2021-07-06,WW,AppLovin,12036558.0
2021-07-07,WW,AppLovin,9953423.0
2021-07-08,WW,AppLovin,10033704.0
2021-07-09,WW,AppLovin,9608265.0
2021-07-10,WW,AppLovin,11873647.0
2021-07-11,WW,AppLovin,12774395.0
2021-07-12,WW,AppLovin,10690067.0
2021-07-13,WW,AppLovin,11682845.0
2021-07-14,WW,AppLovin,12416888.0
2021-07-15,WW,AppLovin,12528085.0
2021-07-16,WW,AppLovin,11598850.0
2021-07-17,WW,AppLovin,13371100.0
2021-07-18,WW,AppLovin,12950830.0
2021-07-19,WW,AppLovin,11092213.0
2021-07-20,WW,AppLovin,13761014.0
2021-07-21,WW,AppLovin,14471708.0
2021-07-22,WW,AppLovin,13662384.0
2021-07-23,WW,AppLovin,11164128.0
2021-07-24,WW,AppLovin,11875667.0
2021-07-25,WW,AppLovin,12443832.0
2021-07-26,WW,AppLovin,7124398960.0
2021-07-27,WW,AppLovin,11078657.0
2021-07-28,WW,AppLovin,12226425.0
2021-07-29,WW,AppLovin,11959287.0
2021-07-30,WW,AppLovin,11821707.0
2021-07-31,WW,AppLovin,12005728.0
2021-08-01,WW,AppLovin,12860534.0
2021-08-02,WW,AppLovin,10285456.0
2021-08-03,WW,AppLovin,12183318.0
2021-08-04,WW,AppLovin,10152537.0
2021-08-05,WW,AppLovin,10485693.0
2021-08-06,WW,AppLovin,11485776.0
