date,country,network,market_volume
2021-09-20,WW,Chartboost,822032.0
2021-09-21,WW,Chartboost,805206.0
2021-09-22,WW,Chartboost,857387.0
2021-09-23,WW,Chartboost,794786.0
2021-09-24,WW,Chartboost,982393.0
2021-09-25,WW,Chartboost,1177087.0
2021-09-26,WW,Chartboost,1372251.0
2021-09-27,WW,Chartboost,879842.0
2021-09-28,WW,Chartboost,894495.0
2021-09-29,WW,Chartboost,811353.0
2021-09-30,WW,Chartboost,893674.0
2021-10-01,WW,Chartboost,965096.0
2021-10-02,WW,Chartboost,1211228.0
2021-10-03,WW,Chartboost,1258178.0
