date,country,network,market_volume
2021-04-26,WW,Facebook,4535656.0
2021-04-27,WW,Facebook,4347131.0
2021-04-28,WW,Facebook,4264498.0
2021-04-29,WW,Facebook,4135596.0
2021-04-30,WW,Facebook,4459616.0
2021-05-01,WW,Facebook,5559321.0
2021-05-02,WW,Facebook,5794793.0
2021-05-03,WW,Facebook,4131335.0
2021-05-04,WW,Facebook,4639018.0
2021-05-05,WW,Facebook,4254040.0
2021-05-06,WW,Facebook,3937783.0
2021-05-07,WW,Facebook,4311040.0
2021-05-08,WW,Facebook,5270953.0
2021-05-09,WW,Facebook,6177778.0
2021-05-10,WW,Facebook,4441674.0
2021-05-11,WW,Facebook,4300786.0
2021-05-12,WW,Facebook,4322396.0
2021-05-13,WW,Facebook,4700505.0
2021-05-14,WW,Facebook,5004098.0
2021-05-15,WW,Facebook,6270980.0
2021-05-16,WW,Facebook,6427605.0
2021-05-17,WW,Facebook,4873246.0
2021-05-18,WW,Facebook,4672144.0
2021-05-19,WW,Facebook,4487181.0
2021-05-20,WW,Facebook,5757598.0
2021-05-21,WW,Facebook,4976118.0
2021-05-22,WW,Facebook,7571070.0
2021-05-23,WW,Facebook,6996392.0
2021-05-24,WW,Facebook,4953908.0
2021-05-25,WW,Facebook,6070165.0
2021-05-26,WW,Facebook,6122765.0
2021-05-27,WW,Facebook,6538006.0
2021-05-28,WW,Facebook,6926379.0
2021-05-29,WW,Facebook,8102376.0
2021-05-30,WW,Facebook,8520774.0
2021-05-31,WW,Facebook,6250761.0
2021-06-01,WW,Facebook,6390637.0
2021-06-02,WW,Facebook,5987256.0
2021-06-03,WW,Facebook,6021692.0
2021-06-04,WW,Facebook,4995952.0
2021-06-05,WW,Facebook,5610920.0
2021-06-06,WW,Facebook,5549456.0
2021-06-07,WW,Facebook,3788269.0
2021-06-08,WW,Facebook,3834732.0
2021-06-09,WW,Facebook,3804512.0
2021-06-10,WW,Facebook,3880726.0
2021-06-11,WW,Facebook,4019801.0
2021-06-12,WW,Facebook,4769832.0
2021-06-13,WW,Facebook,4809213.0
2021-06-14,WW,Facebook,3377028.0
2021-06-15,WW,Facebook,3180223.0
2021-06-16,WW,Facebook,3002659.0
2021-06-17,WW,Facebook,3080755.0
2021-06-18,WW,Facebook,3881521.0
2021-06-19,WW,Facebook,4682125.0
2021-06-20,WW,Facebook,5540541.0
2021-06-21,WW,Facebook,3567115.0
2021-06-22,WW,Facebook,3291596.0
2021-06-23,WW,Facebook,3456167.0
2021-06-24,WW,Facebook,3965953.0
2021-06-25,WW,Facebook,4529118.0
2021-06-26,WW,Facebook,5263858.0
2021-06-27,WW,Facebook,4556939.0
2021-06-28,WW,Facebook,3666400.0
2021-06-29,WW,Facebook,3520246.0
2021-06-30,WW,Facebook,3637637.0
2021-07-01,WW,Facebook,3639301.0
2021-07-02,WW,Facebook,3865583.0
2021-07-03,WW,Facebook,4183642.0
2021-07-04,WW,Facebook,4355176.0
2021-07-05,WW,Facebook,3924436.0
2021-07-06,WW,Facebook,2748814.0
2021-07-07,WW,Facebook,3615534.0
2021-07-08,WW,Facebook,3406961.0
2021-07-09,WW,Facebook,3630327.0
2021-07-10,WW,Facebook,4253485.0
2021-07-11,WW,Facebook,5081855.0
2021-07-12,WW,Facebook,2861454.0
2021-07-13,WW,Facebook,2836963.0
2021-07-14,WW,Facebook,4080096.0
2021-07-15,WW,Facebook,2858368.0
2021-07-16,WW,Facebook,2972931.0
2021-07-17,WW,Facebook,3192938.0
2021-07-18,WW,Facebook,3170724.0
2021-07-19,WW,Facebook,2899944.0
2021-07-20,WW,Facebook,4629341.0
2021-07-21,WW,Facebook,5664084.0
2021-07-22,WW,Facebook,4286281.0
2021-07-23,WW,Facebook,4344246.0
2021-07-24,WW,Facebook,4562444.0
2021-07-25,WW,Facebook,4887740.0
2021-07-26,WW,Facebook,3019124.0
2021-07-27,WW,Facebook,2477153.0
2021-07-28,WW,Facebook,2525610.0
2021-07-29,WW,Facebook,2602993.0
2021-07-30,WW,Facebook,3930979.0
2021-07-31,WW,Facebook,4068718.0
2021-08-01,WW,Facebook,4943642.0
2021-08-02,WW,Facebook,2724103.0
2021-08-03,WW,Facebook,4313709.0
2021-08-04,WW,Facebook,2716239.0
2021-08-05,WW,Facebook,4036344.0
2021-08-06,WW,Facebook,2847789.0
2021-08-07,WW,Facebook,4783258.0
2021-08-08,WW,Facebook,5088478.0
2021-08-09,WW,Facebook,3740247.0
2021-08-10,WW,Facebook,3920080.0
2021-08-11,WW,Facebook,2043760.0
2021-08-12,WW,Facebook,3111876.0
2021-08-13,WW,Facebook,3695572.0
2021-08-14,WW,Facebook,4109556.0
2021-08-15,WW,Facebook,4444558.0
2021-08-16,WW,Facebook,3131711.0
2021-08-17,WW,Facebook,3198275.0
2021-08-18,WW,Facebook,3814614.0
2021-08-19,WW,Facebook,3193800.0
2021-08-20,WW,Facebook,3986065.0
2021-08-21,WW,Facebook,3945920.0
2021-08-22,WW,Facebook,4559428.0
2021-08-23,WW,Facebook,2915830.0
2021-08-24,WW,Facebook,2939082.0
2021-08-25,WW,Facebook,3193427.0
2021-08-26,WW,Facebook,3368770.0
2021-08-27,WW,Facebook,3468146.0
2021-08-28,WW,Facebook,3590843.0
2021-08-29,WW,Facebook,4142119.0
2021-08-30,WW,Facebook,3253536.0
2021-08-31,WW,Facebook,2969081.0
2021-09-01,WW,Facebook,2919139.0
2021-09-02,WW,Facebook,2567679.0
2021-09-03,WW,Facebook,2782888.0
2021-09-04,WW,Facebook,4261811.0
2021-09-05,WW,Facebook,4354928.0
2021-09-06,WW,Facebook,3327401.0
2021-09-07,WW,Facebook,2866292.0
2021-09-08,WW,Facebook,2957986.0
2021-09-09,WW,Facebook,2746232.0
2021-09-10,WW,Facebook,4283799.0
2021-09-11,WW,Facebook,4110766.0
2021-09-12,WW,Facebook,4564084.0
2021-09-13,WW,Facebook,1786211.0
2021-09-14,WW,Facebook,2381878.0
2021-09-15,WW,Facebook,2887076.0
2021-09-16,WW,Facebook,2709559.0
2021-09-17,WW,Facebook,3283307.0
2021-09-18,WW,Facebook,3860658.0
2021-09-19,WW,Facebook,4837391.0
2021-09-20,WW,Facebook,2498417.0
2021-09-21,WW,Facebook,1814578.0
2021-09-22,WW,Facebook,2424454.0
2021-09-23,WW,Facebook,2547420.0
2021-09-24,WW,Facebook,2623348.0
2021-09-25,WW,Facebook,3903142.0
2021-09-26,WW,Facebook,4310638.0
2021-09-27,WW,Facebook,3106308.0
2021-09-28,WW,Facebook,2866310.0
2021-09-29,WW,Facebook,3315685.0
2021-09-30,WW,Facebook,2859700.0
2021-10-01,WW,Facebook,3239021.0
2021-10-02,WW,Facebook,3909540.0
2021-10-03,WW,Facebook,4802757.0
2021-10-04,WW,Facebook,4842078.0
2021-10-05,WW,Facebook,3035188.0
2021-10-06,WW,Facebook,2995281.0
2021-10-07,WW,Facebook,3547444.0
2021-10-08,WW,Facebook,3048509.0
2021-10-09,WW,Facebook,4125893.0
2021-10-10,WW,Facebook,4424432.0
2021-10-11,WW,Facebook,3086851.0
2021-10-12,WW,Facebook,2524769.0
2021-10-13,WW,Facebook,7498408.0
2021-10-14,WW,Facebook,5771602.0
2021-10-15,WW,Facebook,4854211.0
2021-10-16,WW,Facebook,3955785.0
2021-10-17,WW,Facebook,8913623.0
2021-10-18,WW,Facebook,2647926.0
2021-10-19,WW,Facebook,3620775.0
2021-10-20,WW,Facebook,3272067.0
2021-10-21,WW,Facebook,3083534.0
2021-10-22,WW,Facebook,4689570.0
2021-10-23,WW,Facebook,5154814.0
2021-10-24,WW,Facebook,8061028.0
2021-10-25,WW,Facebook,3171090.0
2021-10-26,WW,Facebook,2067894.0
2021-10-27,WW,Facebook,4441290.0
2021-10-28,WW,Facebook,4662134.0
2021-10-29,WW,Facebook,4291315.0
2021-10-30,WW,Facebook,4664194.0
2021-10-31,WW,Facebook,8628394.0
2021-11-01,WW,Facebook,5598115.0
2021-11-02,WW,Facebook,6739403.0
2021-11-03,WW,Facebook,5380905.0
2021-11-04,WW,Facebook,4836345.0
2021-11-05,WW,Facebook,4723390.0
2021-11-06,WW,Facebook,5075723.0
2021-11-07,WW,Facebook,5414853.0
2021-11-08,WW,Facebook,4119378.0
2021-11-09,WW,Facebook,3187784.0
2021-11-10,WW,Facebook,2793509.0
2021-11-11,WW,Facebook,3963217.0
2021-11-12,WW,Facebook,5424940.0
2021-11-13,WW,Facebook,7883923.0
2021-11-14,WW,Facebook,6453018.0
2021-11-15,WW,Facebook,4684210.0
2021-11-16,WW,Facebook,3275484.0
2021-11-17,WW,Facebook,2909286.0
2021-11-18,WW,Facebook,2362305.0
2021-11-19,WW,Facebook,3364251.0
2021-11-20,WW,Facebook,4588316.0
2021-11-21,WW,Facebook,7855324.0
2021-11-22,WW,Facebook,2961390.0
2021-11-23,WW,Facebook,2953728.0
2021-11-24,WW,Facebook,3889671.0
2021-11-25,WW,Facebook,3255550.0
2021-11-26,WW,Facebook,4398724.0
2021-11-27,WW,Facebook,5115359.0
2021-11-28,WW,Facebook,6443270.0
