date,country,network,market_volume
2021-09-20,WW,IronSource,3962722.0
2021-09-21,WW,IronSource,3907007.0
2021-09-22,WW,IronSource,3844553.0
2021-09-23,WW,IronSource,4419083.0
2021-09-24,WW,IronSource,4934860.0
2021-09-25,WW,IronSource,6227893.0
2021-09-26,WW,IronSource,6920181.0
2021-09-27,WW,IronSource,4632341.0
2021-09-28,WW,IronSource,4847007.0
2021-09-29,WW,IronSource,4294864.0
2021-09-30,WW,IronSource,3991971.0
2021-10-01,WW,IronSource,4596506.0
2021-10-02,WW,IronSource,4636035.0
2021-10-03,WW,IronSource,5344708.0
