date,country,network,market_volume
2021-04-26,WW,Unity,4870955.0
2021-04-27,WW,Unity,4590769.0
2021-04-28,WW,Unity,3918345.0
2021-04-29,WW,Unity,3810381.0
2021-04-30,WW,Unity,4015013.0
2021-05-01,WW,Unity,5048142.0
2021-05-02,WW,Unity,4742832.0
2021-05-03,WW,Unity,3865300.0
2021-05-04,WW,Unity,3672573.0
2021-05-05,WW,Unity,4138516.0
2021-05-06,WW,Unity,4034205.0
2021-05-07,WW,Unity,4150605.0
2021-05-08,WW,Unity,4918558.0
2021-05-09,WW,Unity,5598658.0
2021-05-10,WW,Unity,4105028.0
2021-05-11,WW,Unity,4104626.0
2021-05-12,WW,Unity,4219310.0
2021-05-13,WW,Unity,4250598.0
2021-05-14,WW,Unity,4238189.0
2021-05-15,WW,Unity,5232263.0
2021-05-16,WW,Unity,5485774.0
2021-05-17,WW,Unity,3799825.0
2021-05-18,WW,Unity,4397159.0
2021-05-19,WW,Unity,4624825.0
2021-05-20,WW,Unity,4132739.0
2021-05-21,WW,Unity,4105175.0
2021-05-22,WW,Unity,5093070.0
2021-05-23,WW,Unity,4967250.0
2021-05-24,WW,Unity,3963365.0
2021-05-25,WW,Unity,4086707.0
2021-05-26,WW,Unity,4113966.0
2021-05-27,WW,Unity,4113559.0
2021-05-28,WW,Unity,5298205.0
2021-05-29,WW,Unity,6360963.0
2021-05-30,WW,Unity,5668408.0
2021-05-31,WW,Unity,4594064.0
2021-06-01,WW,Unity,4542299.0
2021-06-02,WW,Unity,4278072.0
2021-06-03,WW,Unity,4381751.0
2021-06-04,WW,Unity,4318925.0
2021-06-05,WW,Unity,4969560.0
2021-06-06,WW,Unity,4816502.0
2021-06-07,WW,Unity,4354986.0
2021-06-08,WW,Unity,3456722.0
2021-06-09,WW,Unity,3761479.0
2021-06-10,WW,Unity,3700942.0
2021-06-11,WW,Unity,3796645.0
2021-06-12,WW,Unity,4134842.0
2021-06-13,WW,Unity,4127050.0
2021-06-14,WW,Unity,3507070.0
2021-06-15,WW,Unity,2980885.0
2021-06-16,WW,Unity,3186569.0
2021-06-17,WW,Unity,3084632.0
2021-06-18,WW,Unity,3175080.0
2021-06-19,WW,Unity,3726442.0
2021-06-20,WW,Unity,4091493.0
2021-06-21,WW,Unity,3265597.0
2021-06-22,WW,Unity,3069351.0
2021-06-23,WW,Unity,3015407.0
2021-06-24,WW,Unity,3168162.0
2021-06-25,WW,Unity,3183696.0
2021-06-26,WW,Unity,3633006.0
2021-06-27,WW,Unity,3738665.0
2021-06-28,WW,Unity,3207075.0
2021-06-29,WW,Unity,3183323.0
2021-06-30,WW,Unity,3131803.0
2021-07-01,WW,Unity,3139708.0
2021-07-02,WW,Unity,3226404.0
2021-07-03,WW,Unity,3619045.0
2021-07-04,WW,Unity,3591295.0
2021-07-05,WW,Unity,3189142.0
2021-07-06,WW,Unity,3134543.0
2021-07-07,WW,Unity,3042125.0
2021-07-08,WW,Unity,3412798.0
2021-07-09,WW,Unity,4066865.0
2021-07-10,WW,Unity,3603419.0
2021-07-11,WW,Unity,4197223.0
2021-07-12,WW,Unity,3464658.0
2021-07-13,WW,Unity,3230814.0
2021-07-14,WW,Unity,3297777.0
2021-07-15,WW,Unity,3280615.0
2021-07-16,WW,Unity,3558271.0
2021-07-17,WW,Unity,3932213.0
2021-07-18,WW,Unity,3968510.0
2021-07-19,WW,Unity,3616350.0
2021-07-20,WW,Unity,3914521.0
2021-07-21,WW,Unity,4302598.0
2021-07-22,WW,Unity,3348186.0
2021-07-23,WW,Unity,3512078.0
2021-07-24,WW,Unity,3677568.0
2021-07-25,WW,Unity,3912312.0
2021-07-26,WW,Unity,3601653.0
2021-07-27,WW,Unity,3411715.0
2021-07-28,WW,Unity,3512764.0
2021-07-29,WW,Unity,3487748.0
2021-07-30,WW,Unity,3289254.0
2021-07-31,WW,Unity,3663804.0
2021-08-01,WW,Unity,3867791.0
2021-08-02,WW,Unity,3402280.0
2021-08-03,WW,Unity,3612252.0
2021-08-04,WW,Unity,3240927.0
2021-08-05,WW,Unity,3340045.0
2021-08-06,WW,Unity,2778795.0
2021-08-07,WW,Unity,3019755.0
2021-08-08,WW,Unity,3925696.0
2021-08-09,WW,Unity,2958348.0
2021-08-10,WW,Unity,3097783.0
2021-08-11,WW,Unity,2901901.0
2021-08-12,WW,Unity,2901608.0
2021-08-13,WW,Unity,3078371.0
2021-08-14,WW,Unity,3292459.0
2021-08-15,WW,Unity,3690662.0
2021-08-16,WW,Unity,2938749.0
2021-08-17,WW,Unity,2877715.0
2021-08-18,WW,Unity,2868331.0
2021-08-19,WW,Unity,2865602.0
2021-08-20,WW,Unity,2781792.0
2021-08-21,WW,Unity,3140784.0
2021-08-22,WW,Unity,3739203.0
2021-08-23,WW,Unity,2691959.0
2021-08-24,WW,Unity,2683901.0
2021-08-25,WW,Unity,2867885.0
2021-08-26,WW,Unity,2766637.0
2021-08-27,WW,Unity,2971477.0
2021-08-28,WW,Unity,4581170.0
2021-08-29,WW,Unity,4758196.0
2021-08-30,WW,Unity,2748857.0
2021-08-31,WW,Unity,2775407.0
2021-09-01,WW,Unity,2531218.0
2021-09-02,WW,Unity,2154561.0
2021-09-03,WW,Unity,2454668.0
2021-09-04,WW,Unity,4153669.0
2021-09-05,WW,Unity,3435468.0
2021-09-06,WW,Unity,2965502.0
2021-09-07,WW,Unity,2413204.0
2021-09-08,WW,Unity,2329500.0
2021-09-09,WW,Unity,2352292.0
2021-09-10,WW,Unity,2536642.0
2021-09-11,WW,Unity,3421987.0
2021-09-12,WW,Unity,3074094.0
2021-09-13,WW,Unity,2186478.0
2021-09-14,WW,Unity,2112626.0
2021-09-15,WW,Unity,2789252.0
2021-09-16,WW,Unity,3142834.0
2021-09-17,WW,Unity,3072893.0
2021-09-18,WW,Unity,4204896.0
2021-09-19,WW,Unity,3556065.0
2021-09-20,WW,Unity,2916591.0
2021-09-21,WW,Unity,2862609.0
2021-09-22,WW,Unity,2148925.0
2021-09-23,WW,Unity,2089777.0
2021-09-24,WW,Unity,3321539.0
2021-09-25,WW,Unity,4659462.0
2021-09-26,WW,Unity,4861878.0
2021-09-27,WW,Unity,3258565.0
2021-09-28,WW,Unity,3830037.0
2021-09-29,WW,Unity,2770647.0
2021-09-30,WW,Unity,3302703.0
2021-10-01,WW,Unity,3232116.0
2021-10-02,WW,Unity,4412165.0
2021-10-03,WW,Unity,3463806.0
2021-10-04,WW,Unity,2438522.0
2021-10-05,WW,Unity,2232205.0
2021-10-06,WW,Unity,2288094.0
2021-10-07,WW,Unity,3024069.0
2021-10-08,WW,Unity,2454549.0
2021-10-09,WW,Unity,4461738.0
2021-10-10,WW,Unity,4505641.0
2021-10-11,WW,Unity,3320785.0
2021-10-12,WW,Unity,2342388.0
2021-10-13,WW,Unity,2615833.0
2021-10-14,WW,Unity,2640467.0
2021-10-15,WW,Unity,4235532.0
2021-10-16,WW,Unity,6164499.0
2021-10-17,WW,Unity,4613622.0
2021-10-18,WW,Unity,2706347.0
2021-10-19,WW,Unity,3385840.0
2021-10-20,WW,Unity,3544650.0
2021-10-21,WW,Unity,3705739.0
2021-10-22,WW,Unity,4021968.0
2021-10-23,WW,Unity,5279943.0
2021-10-24,WW,Unity,5699266.0
