date,country,network,market_volume
2021-04-26,WW,other,1235092.0
2021-04-27,WW,other,1013485.0
2021-04-28,WW,other,1047165.0
2021-04-29,WW,other,1148134.0
2021-04-30,WW,other,1535673.0
2021-05-01,WW,other,1786388.0
2021-05-02,WW,other,1904338.0
2021-05-03,WW,other,1514894.0
2021-05-04,WW,other,1177380.0
2021-05-05,WW,other,1176335.0
2021-05-06,WW,other,1243386.0
2021-05-07,WW,other,1325807.0
2021-05-08,WW,other,1516434.0
2021-05-09,WW,other,1823456.0
2021-05-10,WW,other,1078699.0
2021-05-11,WW,other,1261869.0
2021-05-12,WW,other,1360883.0
2021-05-13,WW,other,1702984.0
2021-05-14,WW,other,1413102.0
2021-05-15,WW,other,1697022.0
2021-05-16,WW,other,1849535.0
2021-05-17,WW,other,1247614.0
2021-05-18,WW,other,1246156.0
2021-05-19,WW,other,1292905.0
2021-05-20,WW,other,1479962.0
2021-05-21,WW,other,1522204.0
2021-05-22,WW,other,1896771.0
2021-05-23,WW,other,2047858.0
2021-05-24,WW,other,1381983.0
2021-05-25,WW,other,1497026.0
2021-05-26,WW,other,1553359.0
2021-05-27,WW,other,1570234.0
2021-05-28,WW,other,1559664.0
2021-05-29,WW,other,1834950.0
2021-05-30,WW,other,1953205.0
2021-05-31,WW,other,1496327.0
2021-06-01,WW,other,1382244.0
2021-06-02,WW,other,1503073.0
2021-06-03,WW,other,1730651.0
2021-06-04,WW,other,1492876.0
2021-06-05,WW,other,1771921.0
2021-06-06,WW,other,1776639.0
2021-06-07,WW,other,1118423.0
2021-06-08,WW,other,1005144.0
2021-06-09,WW,other,1003554.0
2021-06-10,WW,other,1092450.0
2021-06-11,WW,other,1088160.0
2021-06-12,WW,other,1299349.0
2021-06-13,WW,other,1410281.0
2021-06-14,WW,other,1181716.0
2021-06-15,WW,other,1091223.0
2021-06-16,WW,other,1132407.0
2021-06-17,WW,other,1035104.0
2021-06-18,WW,other,1048849.0
2021-06-19,WW,other,1333893.0
2021-06-20,WW,other,1406238.0
2021-06-21,WW,other,1051020.0
2021-06-22,WW,other,940458.0
2021-06-23,WW,other,985624.0
2021-06-24,WW,other,1049372.0
2021-06-25,WW,other,1060802.0
2021-06-26,WW,other,1263694.0
2021-06-27,WW,other,1371696.0
2021-06-28,WW,other,860858.0
2021-06-29,WW,other,996689.0
2021-06-30,WW,other,1009068.0
2021-07-01,WW,other,899895.0
2021-07-02,WW,other,933456.0
2021-07-03,WW,other,997967.0
2021-07-04,WW,other,1070502.0
2021-07-05,WW,other,824961.0
2021-07-06,WW,other,820164.0
2021-07-07,WW,other,810687.0
2021-07-08,WW,other,908610.0
2021-07-09,WW,other,975118.0
2021-07-10,WW,other,1088895.0
2021-07-11,WW,other,1105667.0
2021-07-12,WW,other,867262.0
2021-07-13,WW,other,982025.0
2021-07-14,WW,other,990922.0
2021-07-15,WW,other,960501.0
2021-07-16,WW,other,1205498.0
2021-07-17,WW,other,1360065.0
2021-07-18,WW,other,1286600.0
2021-07-19,WW,other,1055236.0
2021-07-20,WW,other,1312085.0
2021-07-21,WW,other,2082067.0
2021-07-22,WW,other,1263579.0
2021-07-23,WW,other,1274123.0
2021-07-24,WW,other,1299356.0
2021-07-25,WW,other,1151622.0
