date,country,network,market_volume
2021-04-26,AR,Facebook,137745.0
2021-04-27,AR,Facebook,130577.0
2021-04-28,AR,Facebook,110776.0
2021-04-29,AR,Facebook,125222.0
2021-04-30,AR,Facebook,125133.0
2021-05-01,AR,Facebook,152850.0
2021-05-02,AR,Facebook,172211.0
2021-05-03,AR,Facebook,145811.0
2021-05-04,AR,Facebook,156304.0
2021-05-05,AR,Facebook,148879.0
2021-05-06,AR,Facebook,122075.0
2021-05-07,AR,Facebook,127263.0
2021-05-08,AR,Facebook,159716.0
2021-05-09,AR,Facebook,176682.0
2021-05-10,AR,Facebook,144711.0
2021-05-11,AR,Facebook,110876.0
2021-05-12,AR,Facebook,114160.0
2021-05-13,AR,Facebook,123060.0
2021-05-14,AR,Facebook,63300.0
2021-05-15,AR,Facebook,70006.0
2021-05-16,AR,Facebook,70724.0
2021-05-17,AR,Facebook,50509.0
2021-05-18,AR,Facebook,56250.0
2021-05-19,AR,Facebook,72747.0
2021-05-20,AR,Facebook,71118.0
2021-05-21,AR,Facebook,90862.0
2021-05-22,AR,Facebook,76681.0
2021-05-23,AR,Facebook,111633.0
2021-05-24,AR,Facebook,86662.0
2021-05-25,AR,Facebook,93339.0
2021-05-26,AR,Facebook,85593.0
2021-05-27,AR,Facebook,72827.0
2021-05-28,AR,Facebook,74043.0
2021-05-29,AR,Facebook,86415.0
2021-05-30,AR,Facebook,88467.0
2021-05-31,AR,Facebook,73400.0
2021-06-01,AR,Facebook,68288.0
2021-06-02,AR,Facebook,66906.0
2021-06-03,AR,Facebook,71249.0
2021-06-04,AR,Facebook,77903.0
2021-06-05,AR,Facebook,94846.0
2021-06-06,AR,Facebook,94777.0
2021-06-07,AR,Facebook,73254.0
2021-06-08,AR,Facebook,74123.0
2021-06-09,AR,Facebook,79374.0
2021-06-10,AR,Facebook,72152.0
2021-06-11,AR,Facebook,72181.0
2021-06-12,AR,Facebook,92766.0
2021-06-13,AR,Facebook,91060.0
2021-06-14,AR,Facebook,84704.0
2021-06-15,AR,Facebook,82489.0
2021-06-16,AR,Facebook,84050.0
2021-06-17,AR,Facebook,76742.0
2021-06-18,AR,Facebook,82686.0
2021-06-19,AR,Facebook,78241.0
2021-06-20,AR,Facebook,105679.0
2021-06-21,AR,Facebook,103134.0
2021-06-22,AR,Facebook,83112.0
2021-06-23,AR,Facebook,83742.0
2021-06-24,AR,Facebook,77186.0
2021-06-25,AR,Facebook,75560.0
2021-06-26,AR,Facebook,75978.0
2021-06-27,AR,Facebook,87519.0
2021-06-28,AR,Facebook,182304.0
2021-06-29,AR,Facebook,183809.0
2021-06-30,AR,Facebook,165594.0
2021-07-01,AR,Facebook,84240.0
2021-07-02,AR,Facebook,153115.0
2021-07-03,AR,Facebook,211190.0
2021-07-04,AR,Facebook,210137.0
2021-07-05,AR,Facebook,161214.0
2021-07-06,AR,Facebook,162411.0
2021-07-07,AR,Facebook,156182.0
2021-07-08,AR,Facebook,122589.0
2021-07-09,AR,Facebook,88084.0
2021-07-10,AR,Facebook,89830.0
2021-07-11,AR,Facebook,96532.0
2021-07-12,AR,Facebook,90522.0
2021-07-13,AR,Facebook,87615.0
2021-07-14,AR,Facebook,81378.0
2021-07-15,AR,Facebook,83489.0
2021-07-16,AR,Facebook,75054.0
2021-07-17,AR,Facebook,93334.0
2021-07-18,AR,Facebook,110283.0
2021-07-19,AR,Facebook,95817.0
2021-07-20,AR,Facebook,81095.0
2021-07-21,AR,Facebook,79302.0
2021-07-22,AR,Facebook,88610.0
2021-07-23,AR,Facebook,68127.0
2021-07-24,AR,Facebook,83094.0
2021-07-25,AR,Facebook,91706.0
2021-07-26,AR,Facebook,80274.0
2021-07-27,AR,Facebook,66200.0
2021-07-28,AR,Facebook,61779.0
2021-07-29,AR,Facebook,54180.0
2021-07-30,AR,Facebook,61177.0
2021-07-31,AR,Facebook,72369.0
2021-08-01,AR,Facebook,70398.0
2021-08-02,AR,Facebook,67394.0
2021-08-03,AR,Facebook,55388.0
2021-08-04,AR,Facebook,55219.0
2021-08-05,AR,Facebook,53281.0
2021-08-06,AR,Facebook,57166.0
2021-08-07,AR,Facebook,65593.0
2021-08-08,AR,Facebook,78619.0
2021-08-09,AR,Facebook,48006.0
2021-08-10,AR,Facebook,45699.0
2021-08-11,AR,Facebook,45478.0
2021-08-12,AR,Facebook,45422.0
2021-08-13,AR,Facebook,46119.0
2021-08-14,AR,Facebook,56063.0
2021-08-15,AR,Facebook,60938.0
2021-08-16,AR,Facebook,51342.0
2021-08-17,AR,Facebook,47064.0
2021-08-18,AR,Facebook,44209.0
2021-08-19,AR,Facebook,47635.0
2021-08-20,AR,Facebook,44337.0
2021-08-21,AR,Facebook,52299.0
2021-08-22,AR,Facebook,57625.0
2021-08-23,AR,Facebook,37798.0
2021-08-24,AR,Facebook,40078.0
2021-08-25,AR,Facebook,41962.0
2021-08-26,AR,Facebook,39396.0
2021-08-27,AR,Facebook,50500.0
2021-08-28,AR,Facebook,52998.0
2021-08-29,AR,Facebook,50186.0
2021-08-30,AR,Facebook,40624.0
2021-08-31,AR,Facebook,35798.0
2021-09-01,AR,Facebook,47668.0
2021-09-02,AR,Facebook,48327.0
2021-09-03,AR,Facebook,51846.0
2021-09-04,AR,Facebook,51228.0
2021-09-05,AR,Facebook,58282.0
2021-09-06,AR,Facebook,44918.0
2021-09-07,AR,Facebook,62315.0
2021-09-08,AR,Facebook,49945.0
2021-09-09,AR,Facebook,45023.0
2021-09-10,AR,Facebook,46095.0
2021-09-11,AR,Facebook,62974.0
2021-09-12,AR,Facebook,50994.0
2021-09-13,AR,Facebook,44133.0
2021-09-14,AR,Facebook,38723.0
2021-09-15,AR,Facebook,41446.0
2021-09-16,AR,Facebook,42366.0
2021-09-17,AR,Facebook,43255.0
2021-09-18,AR,Facebook,51834.0
