,date,country,platform,market_volume
0,2021-04-26,AR,iOS,27013.845931591357
1,2021-04-27,AR,iOS,49229.634200385444
2,2021-04-28,AR,iOS,67042.00239540383
3,2021-04-29,AR,iOS,56911.00869255454
4,2021-04-30,AR,iOS,54863.22325499098
5,2021-05-01,AR,iOS,59900.10051309971
6,2021-05-02,AR,iOS,64029.60222991954
7,2021-05-03,AR,iOS,59716.9064741726
8,2021-05-04,AR,iOS,160028.74684551597
9,2021-05-05,AR,iOS,240034.43333372468
10,2021-05-06,AR,iOS,194053.29127475375
11,2021-05-07,AR,iOS,56586.43844242267
12,2021-05-08,AR,iOS,30215.983462388795
13,2021-05-09,AR,iOS,23382.74693102827
14,2021-05-10,AR,iOS,49229.75920405576
15,2021-05-11,AR,iOS,22865.67384424136
16,2021-05-12,AR,iOS,39383.36149647355
17,2021-05-13,AR,iOS,69095.39440718561
18,2021-05-14,AR,iOS,23539.29334741201
19,2021-05-15,AR,iOS,22628.96532807749
20,2021-05-16,AR,iOS,27643.69567599771
21,2021-05-17,AR,iOS,23872.805640904407
22,2021-05-18,AR,iOS,14140.007292674572
23,2021-05-19,AR,iOS,27993.280575127443
24,2021-05-20,AR,iOS,78690.2563467908
25,2021-05-21,AR,iOS,157196.07883408523
26,2021-05-22,AR,iOS,92364.68302914828
27,2021-05-23,AR,iOS,115527.20572490967
28,2021-05-24,AR,iOS,164735.27781931293
29,2021-05-25,AR,iOS,44176.70574524969
30,2021-05-26,AR,iOS,22548.92852686332
31,2021-05-27,AR,iOS,25609.145471047297
32,2021-05-28,AR,iOS,98736.95872016683
33,2021-05-29,AR,iOS,158974.9032721885
34,2021-05-30,AR,iOS,100494.97983849772
35,2021-05-31,AR,iOS,27339.37475332469
36,2021-06-01,AR,iOS,25079.045764978782
37,2021-06-02,AR,iOS,19580.845273030845
38,2021-06-03,AR,iOS,21839.412260694528
39,2021-06-04,AR,iOS,36905.715690149584
40,2021-06-05,AR,iOS,30569.76661568921
41,2021-06-06,AR,iOS,31216.125895371082
42,2021-06-07,AR,iOS,96723.3044021959
43,2021-06-08,AR,iOS,19270.832010336155
44,2021-06-09,AR,iOS,24553.102103173533
45,2021-06-10,AR,iOS,42505.759411194966
46,2021-06-11,AR,iOS,21633.5576899636
47,2021-06-12,AR,iOS,24181.020565067665
48,2021-06-13,AR,iOS,87705.26730483823
49,2021-06-14,AR,iOS,43322.138305036
50,2021-06-15,AR,iOS,27936.023636494923
51,2021-06-16,AR,iOS,36179.499601741445
52,2021-06-17,AR,iOS,60214.89853214644
53,2021-06-18,AR,iOS,41116.1832106532
54,2021-06-19,AR,iOS,40857.05643823426
55,2021-06-20,AR,iOS,36160.531770948
56,2021-06-21,AR,iOS,38332.1567058639
57,2021-06-22,AR,iOS,34278.82766899922
58,2021-06-23,AR,iOS,57696.56028332475
59,2021-06-24,AR,iOS,27640.734821144775
60,2021-06-25,AR,iOS,52978.45797659141
61,2021-06-26,AR,iOS,35032.675948010576
62,2021-06-27,AR,iOS,26706.150077369366
63,2021-06-28,AR,iOS,20093.492620303943
64,2021-06-29,AR,iOS,25222.616990098304
65,2021-06-30,AR,iOS,58415.8227785618
66,2021-07-01,AR,iOS,60436.23323176591
67,2021-07-02,AR,iOS,23751.177542992275
68,2021-07-03,AR,iOS,19921.58443569272
69,2021-07-04,AR,iOS,22077.729124366302
70,2021-07-05,AR,iOS,20195.617915405383
71,2021-07-06,AR,iOS,21451.97428275703
72,2021-07-07,AR,iOS,16506.19180113797
73,2021-07-08,AR,iOS,24802.070421125387
74,2021-07-09,AR,iOS,23852.13966614074
75,2021-07-10,AR,iOS,31161.361032320936
76,2021-07-11,AR,iOS,27641.155488832614
77,2021-07-12,AR,iOS,29018.498524618935
78,2021-07-13,AR,iOS,15509.29959884091
79,2021-07-14,AR,iOS,26892.691681916745
80,2021-07-15,AR,iOS,35793.86387245158
81,2021-07-16,AR,iOS,21178.150758131294
82,2021-07-17,AR,iOS,42020.99256284685
83,2021-07-18,AR,iOS,30454.798245209182
84,2021-07-19,AR,iOS,48642.15315611059
85,2021-07-20,AR,iOS,31343.69210824191
86,2021-07-21,AR,iOS,36852.2053610442
87,2021-07-22,AR,iOS,17354.609308883606
88,2021-07-23,AR,iOS,21558.069593993936
89,2021-07-24,AR,iOS,34766.448870755405
90,2021-07-25,AR,iOS,38946.365350416
91,2021-07-26,AR,iOS,42373.26404703206
92,2021-07-27,AR,iOS,28106.557699207464
93,2021-07-28,AR,iOS,51312.65885345986
94,2021-07-29,AR,iOS,38965.54048838263
95,2021-07-30,AR,iOS,95700.05395331683
96,2021-07-31,AR,iOS,27728.379148964115
97,2021-08-01,AR,iOS,30034.14972206288
98,2021-08-02,AR,iOS,101724.13411694273
99,2021-08-03,AR,iOS,17063.549546327416
100,2021-08-04,AR,iOS,14854.368429202561
101,2021-08-05,AR,iOS,29267.923763217837
102,2021-08-06,AR,iOS,49945.42115768127
103,2021-08-07,AR,iOS,304859.6854859743
104,2021-08-08,AR,iOS,34174.20734666404
105,2021-08-09,AR,iOS,33465.54449106089
106,2021-08-10,AR,iOS,10017.186402128998
107,2021-08-11,AR,iOS,12057.966188397693
108,2021-08-12,AR,iOS,21870.863095270135
109,2021-08-13,AR,iOS,8586.555159477699
110,2021-08-14,AR,iOS,28477.963357739078
111,2021-08-15,AR,iOS,67623.88716997096
112,2021-08-16,AR,iOS,25494.92479968032
113,2021-08-17,AR,iOS,32236.502940244492
114,2021-08-18,AR,iOS,37671.16510332258
115,2021-08-19,AR,iOS,24118.617351634217
116,2021-08-20,AR,iOS,43607.33236850897
117,2021-08-21,AR,iOS,43462.35442704667
118,2021-08-22,AR,iOS,55083.20641129032
119,2021-08-23,AR,iOS,140020.96106647846
