date,country,network,market_volume
2021-04-26,UK,AdMob,815150.0
2021-04-27,UK,AdMob,1103495.0
2021-04-28,UK,AdMob,838185.0
2021-04-29,UK,AdMob,767052.0
2021-04-30,UK,AdMob,933799.0
2021-05-01,UK,AdMob,1284918.0
2021-05-02,UK,AdMob,1853841.0
2021-05-03,UK,AdMob,1587340.0
2021-05-04,UK,AdMob,732048.0
2021-05-05,UK,AdMob,752386.0
2021-05-06,UK,AdMob,941987.0
2021-05-07,UK,AdMob,940411.0
2021-05-08,UK,AdMob,1909396.0
2021-05-09,UK,AdMob,1627028.0
2021-05-10,UK,AdMob,962397.0
2021-05-11,UK,AdMob,991922.0
2021-05-12,UK,AdMob,860323.0
2021-05-13,UK,AdMob,820253.0
2021-05-14,UK,AdMob,943826.0
2021-05-15,UK,AdMob,1956810.0
2021-05-16,UK,AdMob,1490955.0
2021-05-17,UK,AdMob,1444154.0
2021-05-18,UK,AdMob,1190643.0
2021-05-19,UK,AdMob,1114862.0
2021-05-20,UK,AdMob,1162087.0
2021-05-21,UK,AdMob,1114154.0
2021-05-22,UK,AdMob,1576474.0
2021-05-23,UK,AdMob,1886978.0
2021-05-24,UK,AdMob,928415.0
2021-05-25,UK,AdMob,840340.0
2021-05-26,UK,AdMob,804768.0
2021-05-27,UK,AdMob,899734.0
2021-05-28,UK,AdMob,873424.0
2021-05-29,UK,AdMob,1462456.0
2021-05-30,UK,AdMob,1121901.0
2021-05-31,UK,AdMob,1417163.0
2021-06-01,UK,AdMob,1124077.0
2021-06-02,UK,AdMob,1104985.0
2021-06-03,UK,AdMob,1075014.0
2021-06-04,UK,AdMob,1083483.0
2021-06-05,UK,AdMob,1418986.0
2021-06-06,UK,AdMob,1376302.0
2021-06-07,UK,AdMob,1056850.0
2021-06-08,UK,AdMob,865940.0
2021-06-09,UK,AdMob,654924.0
2021-06-10,UK,AdMob,637064.0
2021-06-11,UK,AdMob,652500.0
2021-06-12,UK,AdMob,863121.0
2021-06-13,UK,AdMob,1015756.0
2021-06-14,UK,AdMob,609344.0
2021-06-15,UK,AdMob,531663.0
2021-06-16,UK,AdMob,791355.0
2021-06-17,UK,AdMob,540430.0
2021-06-18,UK,AdMob,767608.0
2021-06-19,UK,AdMob,1040533.0
2021-06-20,UK,AdMob,1110241.0
2021-06-21,UK,AdMob,535515.0
2021-06-22,UK,AdMob,977813.0
2021-06-23,UK,AdMob,730018.0
2021-06-24,UK,AdMob,337520.0
2021-06-25,UK,AdMob,1068706.0
2021-06-26,UK,AdMob,499874.0
2021-06-27,UK,AdMob,560441.0
2021-06-28,UK,AdMob,361667.0
2021-06-29,UK,AdMob,316838.0
2021-06-30,UK,AdMob,563045.0
2021-07-01,UK,AdMob,602131.0
2021-07-02,UK,AdMob,558865.0
2021-07-03,UK,AdMob,906528.0
2021-07-04,UK,AdMob,1581679.0
2021-07-05,UK,AdMob,616757.0
2021-07-06,UK,AdMob,642151.0
2021-07-07,UK,AdMob,739564.0
2021-07-08,UK,AdMob,1602845.0
2021-07-09,UK,AdMob,1185291.0
2021-07-10,UK,AdMob,1221527.0
2021-07-11,UK,AdMob,1174968.0
2021-07-12,UK,AdMob,952611.0
2021-07-13,UK,AdMob,766684.0
2021-07-14,UK,AdMob,692450.0
2021-07-15,UK,AdMob,905612.0
2021-07-16,UK,AdMob,1068034.0
2021-07-17,UK,AdMob,1171306.0
2021-07-18,UK,AdMob,925762.0
2021-07-19,UK,AdMob,783635.0
2021-07-20,UK,AdMob,785739.0
2021-07-21,UK,AdMob,847593.0
2021-07-22,UK,AdMob,1085549.0
2021-07-23,UK,AdMob,1048396.0
2021-07-24,UK,AdMob,1872423.0
2021-07-25,UK,AdMob,1543307.0
2021-07-26,UK,AdMob,1590087.0
2021-07-27,UK,AdMob,1547234.0
2021-07-28,UK,AdMob,1491676.0
2021-07-29,UK,AdMob,1381739.0
2021-07-30,UK,AdMob,1457118.0
2021-07-31,UK,AdMob,2203341.0
2021-08-01,UK,AdMob,2391574.0
2021-08-02,UK,AdMob,1567624.0
2021-08-03,UK,AdMob,1627151.0
2021-08-04,UK,AdMob,1457324.0
2021-08-05,UK,AdMob,2172303.0
2021-08-06,UK,AdMob,2308564.0
2021-08-07,UK,AdMob,2250438.0
2021-08-08,UK,AdMob,2131052.0
2021-08-09,UK,AdMob,1896829.0
2021-08-10,UK,AdMob,1529842.0
2021-08-11,UK,AdMob,1638338.0
2021-08-12,UK,AdMob,1791369.0
2021-08-13,UK,AdMob,3264545.0
2021-08-14,UK,AdMob,3517349.0
2021-08-15,UK,AdMob,3057128.0
2021-08-16,UK,AdMob,2378034.0
2021-08-17,UK,AdMob,1924055.0
2021-08-18,UK,AdMob,1451843.0
2021-08-19,UK,AdMob,1416173.0
2021-08-20,UK,AdMob,956668.0
2021-08-21,UK,AdMob,2064796.0
2021-08-22,UK,AdMob,1957475.0
2021-08-23,UK,AdMob,1680517.0
2021-08-24,UK,AdMob,1988572.0
2021-08-25,UK,AdMob,2128958.0
2021-08-26,UK,AdMob,1777514.0
2021-08-27,UK,AdMob,1944911.0
2021-08-28,UK,AdMob,2021579.0
2021-08-29,UK,AdMob,2652499.0
2021-08-30,UK,AdMob,2083946.0
2021-08-31,UK,AdMob,2244822.0
2021-09-01,UK,AdMob,2328143.0
2021-09-02,UK,AdMob,1496018.0
2021-09-03,UK,AdMob,1455988.0
2021-09-04,UK,AdMob,2010076.0
2021-09-05,UK,AdMob,2778104.0
2021-09-06,UK,AdMob,1994007.0
2021-09-07,UK,AdMob,1490999.0
2021-09-08,UK,AdMob,1625178.0
2021-09-09,UK,AdMob,1600876.0
2021-09-10,UK,AdMob,1599026.0
2021-09-11,UK,AdMob,2230724.0
2021-09-12,UK,AdMob,2396085.0
2021-09-13,UK,AdMob,1354912.0
2021-09-14,UK,AdMob,1208287.0
2021-09-15,UK,AdMob,1521564.0
2021-09-16,UK,AdMob,1345670.0
2021-09-17,UK,AdMob,1434652.0
2021-09-18,UK,AdMob,2738059.0
2021-09-19,UK,AdMob,2732215.0
2021-09-20,UK,AdMob,1404635.0
2021-09-21,UK,AdMob,1236320.0
2021-09-22,UK,AdMob,1431727.0
2021-09-23,UK,AdMob,1163490.0
2021-09-24,UK,AdMob,1344984.0
2021-09-25,UK,AdMob,2257589.0
2021-09-26,UK,AdMob,2381767.0
2021-09-27,UK,AdMob,1391990.0
2021-09-28,UK,AdMob,2260232.0
2021-09-29,UK,AdMob,1602196.0
2021-09-30,UK,AdMob,1139248.0
2021-10-01,UK,AdMob,2109108.0
2021-10-02,UK,AdMob,2035061.0
2021-10-03,UK,AdMob,2977772.0
2021-10-04,UK,AdMob,1260645.0
2021-10-05,UK,AdMob,1441471.0
2021-10-06,UK,AdMob,1263233.0
2021-10-07,UK,AdMob,1553862.0
2021-10-08,UK,AdMob,1782978.0
2021-10-09,UK,AdMob,2580750.0
2021-10-10,UK,AdMob,2049943.0
2021-10-11,UK,AdMob,1029641.0
2021-10-12,UK,AdMob,1066036.0
2021-10-13,UK,AdMob,1267247.0
2021-10-14,UK,AdMob,1099608.0
2021-10-15,UK,AdMob,1813478.0
2021-10-16,UK,AdMob,3059088.0
2021-10-17,UK,AdMob,4122101.0
