date,country,network,market_volume
2021-04-26,US,Amazon,3856746.0
2021-04-27,US,Amazon,4355835.0
2021-04-28,US,Amazon,3832983.0
2021-04-29,US,Amazon,3858812.0
2021-04-30,US,Amazon,4498013.0
2021-05-01,US,Amazon,5349265.0
2021-05-02,US,Amazon,5643801.0
2021-05-03,US,Amazon,3972510.0
2021-05-04,US,Amazon,4220409.0
2021-05-05,US,Amazon,4440475.0
2021-05-06,US,Amazon,3800894.0
2021-05-07,US,Amazon,4127540.0
2021-05-08,US,Amazon,5066064.0
2021-05-09,US,Amazon,5962382.0
2021-05-10,US,Amazon,3762916.0
2021-05-11,US,Amazon,4198702.0
2021-05-12,US,Amazon,4070482.0
2021-05-13,US,Amazon,3980241.0
2021-05-14,US,Amazon,4682457.0
2021-05-15,US,Amazon,5889277.0
2021-05-16,US,Amazon,5734596.0
2021-05-17,US,Amazon,4251955.0
2021-05-18,US,Amazon,4718673.0
2021-05-19,US,Amazon,4404627.0
2021-05-20,US,Amazon,5253871.0
2021-05-21,US,Amazon,5627586.0
2021-05-22,US,Amazon,6360105.0
2021-05-23,US,Amazon,6449413.0
2021-05-24,US,Amazon,5271646.0
2021-05-25,US,Amazon,4848868.0
2021-05-26,US,Amazon,5030211.0
2021-05-27,US,Amazon,5110426.0
2021-05-28,US,Amazon,6274089.0
2021-05-29,US,Amazon,6483673.0
2021-05-30,US,Amazon,7265973.0
2021-05-31,US,Amazon,5226672.0
2021-06-01,US,Amazon,3492677.0
2021-06-02,US,Amazon,3886261.0
2021-06-03,US,Amazon,3173712.0
2021-06-04,US,Amazon,2975324.0
2021-06-05,US,Amazon,3644838.0
2021-06-06,US,Amazon,4106614.0
2021-06-07,US,Amazon,4082025.0
2021-06-08,US,Amazon,3652724.0
2021-06-09,US,Amazon,4842786.0
2021-06-10,US,Amazon,5064996.0
2021-06-11,US,Amazon,4805295.0
2021-06-12,US,Amazon,5630122.0
2021-06-13,US,Amazon,5949408.0
2021-06-14,US,Amazon,4675162.0
2021-06-15,US,Amazon,5117058.0
2021-06-16,US,Amazon,4655074.0
2021-06-17,US,Amazon,4104716.0
2021-06-18,US,Amazon,5222624.0
2021-06-19,US,Amazon,4442714.0
2021-06-20,US,Amazon,4838567.0
2021-06-21,US,Amazon,5189730.0
2021-06-22,US,Amazon,5774913.0
2021-06-23,US,Amazon,4963801.0
2021-06-24,US,Amazon,3883445.0
2021-06-25,US,Amazon,4099523.0
2021-06-26,US,Amazon,4719333.0
2021-06-27,US,Amazon,4566816.0
2021-06-28,US,Amazon,4081009.0
2021-06-29,US,Amazon,4115419.0
2021-06-30,US,Amazon,3758583.0
2021-07-01,US,Amazon,3309675.0
2021-07-02,US,Amazon,3923355.0
2021-07-03,US,Amazon,3779628.0
2021-07-04,US,Amazon,4074060.0
2021-07-05,US,Amazon,4060072.0
2021-07-06,US,Amazon,4406107.0
2021-07-07,US,Amazon,4187881.0
2021-07-08,US,Amazon,4089029.0
2021-07-09,US,Amazon,4593772.0
2021-07-10,US,Amazon,5263336.0
2021-07-11,US,Amazon,5163349.0
2021-07-12,US,Amazon,4732765.0
2021-07-13,US,Amazon,5047887.0
2021-07-14,US,Amazon,4981771.0
2021-07-15,US,Amazon,5505676.0
2021-07-16,US,Amazon,6047449.0
2021-07-17,US,Amazon,7349444.0
2021-07-18,US,Amazon,6751029.0
2021-07-19,US,Amazon,5907661.0
2021-07-20,US,Amazon,5353255.0
2021-07-21,US,Amazon,5737646.0
2021-07-22,US,Amazon,4362024.0
2021-07-23,US,Amazon,4727189.0
2021-07-24,US,Amazon,4811243.0
2021-07-25,US,Amazon,5261794.0
2021-07-26,US,Amazon,4662498.0
2021-07-27,US,Amazon,4277114.0
2021-07-28,US,Amazon,3992802.0
2021-07-29,US,Amazon,4098571.0
2021-07-30,US,Amazon,4159571.0
2021-07-31,US,Amazon,4241198.0
2021-08-01,US,Amazon,4373672.0
2021-08-02,US,Amazon,3623280.0
2021-08-03,US,Amazon,3400028.0
2021-08-04,US,Amazon,3306344.0
2021-08-05,US,Amazon,3301978.0
2021-08-06,US,Amazon,3669007.0
2021-08-07,US,Amazon,4185704.0
2021-08-08,US,Amazon,3950065.0
2021-08-09,US,Amazon,2988054.0
2021-08-10,US,Amazon,3169714.0
2021-08-11,US,Amazon,3091116.0
2021-08-12,US,Amazon,3163015.0
2021-08-13,US,Amazon,3187793.0
2021-08-14,US,Amazon,3671148.0
2021-08-15,US,Amazon,4086544.0
2021-08-16,US,Amazon,2371810.0
2021-08-17,US,Amazon,2222680.0
2021-08-18,US,Amazon,2166852.0
2021-08-19,US,Amazon,2014840.0
2021-08-20,US,Amazon,2200970.0
2021-08-21,US,Amazon,2752722.0
2021-08-22,US,Amazon,3413793.0
2021-08-23,US,Amazon,2221260.0
2021-08-24,US,Amazon,2586487.0
2021-08-25,US,Amazon,2307635.0
2021-08-26,US,Amazon,2591368.0
2021-08-27,US,Amazon,2681107.0
2021-08-28,US,Amazon,3698066.0
2021-08-29,US,Amazon,4210969.0
2021-08-30,US,Amazon,2334130.0
2021-08-31,US,Amazon,3106114.0
2021-09-01,US,Amazon,2333982.0
2021-09-02,US,Amazon,2426325.0
2021-09-03,US,Amazon,3387571.0
2021-09-04,US,Amazon,3904446.0
2021-09-05,US,Amazon,4657855.0
2021-09-06,US,Amazon,3340034.0
2021-09-07,US,Amazon,2721592.0
2021-09-08,US,Amazon,3029087.0
2021-09-09,US,Amazon,3021961.0
2021-09-10,US,Amazon,3408622.0
2021-09-11,US,Amazon,4391071.0
2021-09-12,US,Amazon,4624856.0
2021-09-13,US,Amazon,2970735.0
2021-09-14,US,Amazon,2192599.0
2021-09-15,US,Amazon,2566411.0
2021-09-16,US,Amazon,2809985.0
2021-09-17,US,Amazon,3173596.0
2021-09-18,US,Amazon,4242927.0
