date,country,network,market_volume
2021-04-26,US,AdMob,4043193.0
2021-04-27,US,AdMob,5218915.0
2021-04-28,US,AdMob,3973702.0
2021-04-29,US,AdMob,3817034.0
2021-04-30,US,AdMob,5938597.0
2021-05-01,US,AdMob,8622954.0
2021-05-02,US,AdMob,9263233.0
2021-05-03,US,AdMob,7277025.0
2021-05-04,US,AdMob,4087013.0
2021-05-05,US,AdMob,6164856.0
2021-05-06,US,AdMob,3600732.0
2021-05-07,US,AdMob,5987161.0
2021-05-08,US,AdMob,6734183.0
2021-05-09,US,AdMob,4426672.0
2021-05-10,US,AdMob,3227092.0
2021-05-11,US,AdMob,3857592.0
2021-05-12,US,AdMob,4248674.0
2021-05-13,US,AdMob,4189504.0
2021-05-14,US,AdMob,4300997.0
2021-05-15,US,AdMob,5075588.0
2021-05-16,US,AdMob,4298767.0
2021-05-17,US,AdMob,3386041.0
2021-05-18,US,AdMob,4364133.0
2021-05-19,US,AdMob,4586748.0
2021-05-20,US,AdMob,4921145.0
2021-05-21,US,AdMob,5044035.0
2021-05-22,US,AdMob,5400286.0
2021-05-23,US,AdMob,5975954.0
2021-05-24,US,AdMob,4619110.0
2021-05-25,US,AdMob,4649758.0
2021-05-26,US,AdMob,4652907.0
2021-05-27,US,AdMob,4864036.0
2021-05-28,US,AdMob,5918609.0
2021-05-29,US,AdMob,5562695.0
2021-05-30,US,AdMob,6417067.0
2021-05-31,US,AdMob,9921934.0
2021-06-01,US,AdMob,9419814.0
2021-06-02,US,AdMob,8768866.0
2021-06-03,US,AdMob,8217376.0
2021-06-04,US,AdMob,4635648.0
2021-06-05,US,AdMob,5355161.0
2021-06-06,US,AdMob,5904879.0
2021-06-07,US,AdMob,5025182.0
2021-06-08,US,AdMob,6837110.0
2021-06-09,US,AdMob,4390242.0
2021-06-10,US,AdMob,4617263.0
2021-06-11,US,AdMob,4988189.0
2021-06-12,US,AdMob,6249235.0
2021-06-13,US,AdMob,6326504.0
2021-06-14,US,AdMob,5546129.0
2021-06-15,US,AdMob,8572010.0
2021-06-16,US,AdMob,6554786.0
2021-06-17,US,AdMob,6007074.0
2021-06-18,US,AdMob,6881852.0
2021-06-19,US,AdMob,6813971.0
2021-06-20,US,AdMob,8201135.0
2021-06-21,US,AdMob,6607990.0
2021-06-22,US,AdMob,6361722.0
2021-06-23,US,AdMob,7112754.0
2021-06-24,US,AdMob,6496356.0
2021-06-25,US,AdMob,6678551.0
2021-06-26,US,AdMob,7730440.0
2021-06-27,US,AdMob,8332325.0
2021-06-28,US,AdMob,3734247.0
2021-06-29,US,AdMob,2727102.0
2021-06-30,US,AdMob,2739699.0
2021-07-01,US,AdMob,3781468.0
2021-07-02,US,AdMob,5754181.0
2021-07-03,US,AdMob,5912310.0
2021-07-04,US,AdMob,7370266.0
2021-07-05,US,AdMob,7895427.0
2021-07-06,US,AdMob,7940894.0
2021-07-07,US,AdMob,7216619.0
2021-07-08,US,AdMob,7020334.0
2021-07-09,US,AdMob,6487569.0
2021-07-10,US,AdMob,8853975.0
2021-07-11,US,AdMob,8320754.0
2021-07-12,US,AdMob,8661332.0
2021-07-13,US,AdMob,8996573.0
2021-07-14,US,AdMob,8085378.0
2021-07-15,US,AdMob,7923652.0
2021-07-16,US,AdMob,7938002.0
2021-07-17,US,AdMob,7424463.0
2021-07-18,US,AdMob,9372599.0
2021-07-19,US,AdMob,8713713.0
2021-07-20,US,AdMob,8301973.0
2021-07-21,US,AdMob,6084092.0
2021-07-22,US,AdMob,5707031.0
2021-07-23,US,AdMob,6075208.0
2021-07-24,US,AdMob,7967893.0
2021-07-25,US,AdMob,9786811.0
2021-07-26,US,AdMob,8971512.0
2021-07-27,US,AdMob,8701964.0
2021-07-28,US,AdMob,7752459.0
2021-07-29,US,AdMob,6546494.0
2021-07-30,US,AdMob,7224847.0
2021-07-31,US,AdMob,8155735.0
2021-08-01,US,AdMob,8910548.0
2021-08-02,US,AdMob,6853225.0
2021-08-03,US,AdMob,7509325.0
2021-08-04,US,AdMob,5885784.0
2021-08-05,US,AdMob,7042292.0
2021-08-06,US,AdMob,7517947.0
2021-08-07,US,AdMob,8016362.0
2021-08-08,US,AdMob,9489080.0
2021-08-09,US,AdMob,6803599.0
2021-08-10,US,AdMob,6034539.0
2021-08-11,US,AdMob,6846248.0
2021-08-12,US,AdMob,6572259.0
2021-08-13,US,AdMob,7004751.0
2021-08-14,US,AdMob,8691214.0
2021-08-15,US,AdMob,9251059.0
2021-08-16,US,AdMob,6373726.0
2021-08-17,US,AdMob,7138127.0
2021-08-18,US,AdMob,6624757.0
2021-08-19,US,AdMob,6002272.0
2021-08-20,US,AdMob,6690905.0
2021-08-21,US,AdMob,8520605.0
2021-08-22,US,AdMob,10273121.0
2021-08-23,US,AdMob,6549457.0
2021-08-24,US,AdMob,6144542.0
2021-08-25,US,AdMob,6358509.0
2021-08-26,US,AdMob,6424725.0
2021-08-27,US,AdMob,7839462.0
2021-08-28,US,AdMob,9956751.0
2021-08-29,US,AdMob,10007067.0
2021-08-30,US,AdMob,7115162.0
2021-08-31,US,AdMob,6485071.0
2021-09-01,US,AdMob,6574224.0
2021-09-02,US,AdMob,6495921.0
2021-09-03,US,AdMob,7021104.0
2021-09-04,US,AdMob,10133708.0
2021-09-05,US,AdMob,12138461.0
2021-09-06,US,AdMob,9110824.0
2021-09-07,US,AdMob,6203204.0
2021-09-08,US,AdMob,6859675.0
2021-09-09,US,AdMob,6830073.0
2021-09-10,US,AdMob,6717540.0
2021-09-11,US,AdMob,8654766.0
2021-09-12,US,AdMob,9232214.0
2021-09-13,US,AdMob,4877648.0
2021-09-14,US,AdMob,4470219.0
2021-09-15,US,AdMob,5202567.0
2021-09-16,US,AdMob,5095409.0
2021-09-17,US,AdMob,5977179.0
2021-09-18,US,AdMob,10060003.0
