,date,country,platform,market_volume
0,2021-04-26,US,Android,17019036.624628417
1,2021-04-27,US,Android,16119907.372125793
2,2021-04-28,US,Android,15482239.638337847
3,2021-04-29,US,Android,15100059.049043274
4,2021-04-30,US,Android,18424671.100174613
5,2021-05-01,US,Android,25652540.942890394
6,2021-05-02,US,Android,27405258.612386715
7,2021-05-03,US,Android,19965203.929128062
8,2021-05-04,US,Android,17401705.749213275
9,2021-05-05,US,Android,17950693.78451362
10,2021-05-06,US,Android,14072542.892790059
11,2021-05-07,US,Android,17738109.88717302
12,2021-05-08,US,Android,21680654.871773977
13,2021-05-09,US,Android,21239761.646674007
14,2021-05-10,US,Android,15717961.357422179
15,2021-05-11,US,Android,15278793.027370589
16,2021-05-12,US,Android,16782383.875695553
17,2021-05-13,US,Android,16033058.621793902
18,2021-05-14,US,Android,19697272.83965409
19,2021-05-15,US,Android,23494816.336864714
20,2021-05-16,US,Android,22115961.40139716
21,2021-05-17,US,Android,16299624.408933496
22,2021-05-18,US,Android,18175403.336656205
23,2021-05-19,US,Android,17065602.18921002
24,2021-05-20,US,Android,19529929.844440136
25,2021-05-21,US,Android,21224839.30755164
26,2021-05-22,US,Android,23997127.341432605
27,2021-05-23,US,Android,25057487.133370046
28,2021-05-24,US,Android,20318891.552068483
29,2021-05-25,US,Android,18391617.37565585
30,2021-05-26,US,Android,20245985.46395334
31,2021-05-27,US,Android,20002887.618479814
32,2021-05-28,US,Android,24152756.297003597
33,2021-05-29,US,Android,24427980.229684047
34,2021-05-30,US,Android,26749203.458975874
35,2021-05-31,US,Android,24089785.040644296
36,2021-06-01,US,Android,21125481.766811114
37,2021-06-02,US,Android,20732125.87179353
38,2021-06-03,US,Android,20040183.692767706
39,2021-06-04,US,Android,18743354.42512484
40,2021-06-05,US,Android,23034603.72044672
41,2021-06-06,US,Android,22654286.47233394
42,2021-06-07,US,Android,20767807.67009941
43,2021-06-08,US,Android,19632327.397041395
44,2021-06-09,US,Android,18492392.776955
45,2021-06-10,US,Android,18044467.62537302
46,2021-06-11,US,Android,19222682.383587956
47,2021-06-12,US,Android,22387821.231042586
48,2021-06-13,US,Android,24112173.933826916
49,2021-06-14,US,Android,21200210.98901617
50,2021-06-15,US,Android,24125099.727873344
51,2021-06-16,US,Android,22062088.8867244
52,2021-06-17,US,Android,21691934.08571994
53,2021-06-18,US,Android,24127615.263910264
54,2021-06-19,US,Android,25655085.737455484
55,2021-06-20,US,Android,28544948.39537282
56,2021-06-21,US,Android,24995385.819995627
57,2021-06-22,US,Android,25112959.960722744
58,2021-06-23,US,Android,24288358.18516458
59,2021-06-24,US,Android,20425683.07559032
60,2021-06-25,US,Android,21347884.98311162
61,2021-06-26,US,Android,22870530.2566809
62,2021-06-27,US,Android,23138958.924127046
63,2021-06-28,US,Android,17547107.484070018
64,2021-06-29,US,Android,16553854.29668202
65,2021-06-30,US,Android,16266091.748668723
66,2021-07-01,US,Android,16618537.529395223
67,2021-07-02,US,Android,21383081.982411183
68,2021-07-03,US,Android,21304299.18898866
69,2021-07-04,US,Android,23316185.41553586
70,2021-07-05,US,Android,24862434.687574454
71,2021-07-06,US,Android,23892372.477608245
72,2021-07-07,US,Android,23139084.204266112
73,2021-07-08,US,Android,22520499.99588766
74,2021-07-09,US,Android,21716872.439368155
75,2021-07-10,US,Android,25614443.797955137
76,2021-07-11,US,Android,25249532.29704479
77,2021-07-12,US,Android,24145148.70386016
78,2021-07-13,US,Android,25629675.79475283
79,2021-07-14,US,Android,24047261.133277252
80,2021-07-15,US,Android,23444613.52508455
81,2021-07-16,US,Android,22498754.39114693
82,2021-07-17,US,Android,23622011.50995005
83,2021-07-18,US,Android,26439383.848618656
84,2021-07-19,US,Android,24538739.16426865
85,2021-07-20,US,Android,22962514.491500985
86,2021-07-21,US,Android,20952381.028630182
87,2021-07-22,US,Android,19627026.16104239
88,2021-07-23,US,Android,20186456.822150305
89,2021-07-24,US,Android,24019155.877716742
90,2021-07-25,US,Android,26902913.60403804
91,2021-07-26,US,Android,23801463.936364442
92,2021-07-27,US,Android,23210582.845053792
93,2021-07-28,US,Android,22274072.096998192
94,2021-07-29,US,Android,20524783.589385673
95,2021-07-30,US,Android,21824392.18173452
96,2021-07-31,US,Android,24920446.99646923
97,2021-08-01,US,Android,25853670.09283867
98,2021-08-02,US,Android,21711207.52750804
99,2021-08-03,US,Android,21438814.642277602
100,2021-08-04,US,Android,20378927.784602594
101,2021-08-05,US,Android,20049166.340448108
102,2021-08-06,US,Android,22855295.70697321
103,2021-08-07,US,Android,24348331.690442406
104,2021-08-08,US,Android,26406168.504670642
105,2021-08-09,US,Android,19543011.461030487
106,2021-08-10,US,Android,18217448.783997905
107,2021-08-11,US,Android,18631519.63828516
108,2021-08-12,US,Android,18170328.03089337
109,2021-08-13,US,Android,20005497.693740148
110,2021-08-14,US,Android,23560022.97046302
111,2021-08-15,US,Android,25117680.359158747
112,2021-08-16,US,Android,18120581.509567846
113,2021-08-17,US,Android,19711158.697445966
114,2021-08-18,US,Android,18228693.228192743
115,2021-08-19,US,Android,16477252.674808491
116,2021-08-20,US,Android,18470446.798789404
117,2021-08-21,US,Android,22712785.04339111
118,2021-08-22,US,Android,25804066.155863963
119,2021-08-23,US,Android,17322344.62811989
120,2021-08-24,US,Android,18176761.56423386
121,2021-08-25,US,Android,17564042.34373039
122,2021-08-26,US,Android,18026123.44193493
123,2021-08-27,US,Android,21469494.45416688
124,2021-08-28,US,Android,26090527.133184604
125,2021-08-29,US,Android,27058234.071615204
126,2021-08-30,US,Android,18878282.989515312
127,2021-08-31,US,Android,18015506.63201155
128,2021-09-01,US,Android,17935236.709974322
129,2021-09-02,US,Android,18454601.05229446
130,2021-09-03,US,Android,20208781.438933354
131,2021-09-04,US,Android,27965542.795117073
132,2021-09-05,US,Android,30664909.058435142
133,2021-09-06,US,Android,24809189.577512212
134,2021-09-07,US,Android,17807220.06414425
135,2021-09-08,US,Android,19929008.078800336
136,2021-09-09,US,Android,19335176.12029943
137,2021-09-10,US,Android,20548370.610178422
138,2021-09-11,US,Android,26857015.513117723
139,2021-09-12,US,Android,29089389.820952743
140,2021-09-13,US,Android,17114358.178498082
141,2021-09-14,US,Android,15553786.328625258
142,2021-09-15,US,Android,16301094.477706797
143,2021-09-16,US,Android,16835148.005350534
144,2021-09-17,US,Android,18301662.048530508
145,2021-09-18,US,Android,27902709.390261795
