date,country,network,market_volume
2021-04-26,US,Unity,1262288.0
2021-04-27,US,Unity,1264696.0
2021-04-28,US,Unity,1284054.0
2021-04-29,US,Unity,1283756.0
2021-04-30,US,Unity,1414280.0
2021-05-01,US,Unity,1932007.0
2021-05-02,US,Unity,2046666.0
2021-05-03,US,Unity,1457782.0
2021-05-04,US,Unity,1524250.0
2021-05-05,US,Unity,1291641.0
2021-05-06,US,Unity,1162999.0
2021-05-07,US,Unity,1348943.0
2021-05-08,US,Unity,1587607.0
2021-05-09,US,Unity,1777672.0
2021-05-10,US,Unity,1302034.0
2021-05-11,US,Unity,1279648.0
2021-05-12,US,Unity,1204931.0
2021-05-13,US,Unity,1156903.0
2021-05-14,US,Unity,1494762.0
2021-05-15,US,Unity,2442446.0
2021-05-16,US,Unity,2586267.0
2021-05-17,US,Unity,1965545.0
2021-05-18,US,Unity,1824113.0
2021-05-19,US,Unity,2154135.0
2021-05-20,US,Unity,2458442.0
2021-05-21,US,Unity,2461722.0
2021-05-22,US,Unity,2848448.0
2021-05-23,US,Unity,3087967.0
2021-05-24,US,Unity,2571543.0
2021-05-25,US,Unity,1684927.0
2021-05-26,US,Unity,2431123.0
2021-05-27,US,Unity,2440686.0
2021-05-28,US,Unity,3029967.0
2021-05-29,US,Unity,3031128.0
2021-05-30,US,Unity,3221651.0
2021-05-31,US,Unity,1950304.0
2021-06-01,US,Unity,1702047.0
2021-06-02,US,Unity,1707880.0
2021-06-03,US,Unity,1774573.0
2021-06-04,US,Unity,2654558.0
2021-06-05,US,Unity,2912308.0
2021-06-06,US,Unity,2961047.0
2021-06-07,US,Unity,2602536.0
2021-06-08,US,Unity,2199181.0
2021-06-09,US,Unity,2309933.0
2021-06-10,US,Unity,2200871.0
2021-06-11,US,Unity,2284665.0
2021-06-12,US,Unity,2558347.0
2021-06-13,US,Unity,2725242.0
2021-06-14,US,Unity,2419832.0
2021-06-15,US,Unity,2323857.0
2021-06-16,US,Unity,2343055.0
2021-06-17,US,Unity,2468659.0
2021-06-18,US,Unity,2322813.0
2021-06-19,US,Unity,2793588.0
2021-06-20,US,Unity,2975719.0
2021-06-21,US,Unity,2594559.0
2021-06-22,US,Unity,2534357.0
2021-06-23,US,Unity,2275796.0
2021-06-24,US,Unity,2248296.0
2021-06-25,US,Unity,1568210.0
2021-06-26,US,Unity,1272099.0
2021-06-27,US,Unity,1255559.0
2021-06-28,US,Unity,1128880.0
2021-06-29,US,Unity,1070722.0
2021-06-30,US,Unity,1051263.0
2021-07-01,US,Unity,1154857.0
2021-07-02,US,Unity,2367268.0
2021-07-03,US,Unity,2319338.0
2021-07-04,US,Unity,2417570.0
2021-07-05,US,Unity,2500332.0
